human_gene,CD4_T,CD8_T,other_T,B,NK,CD14_Mono,CD16_Mono,DC,other,skin_de
DAPP1,0.45721223,0.606860411,0.522073733,0.517157533,0.510230263,0.524910959,0.617286986,0.360489769,0.33047124,0
SGMS2,0.072021835,0.575440895,0.072604119,0.552100522,0.460673956,0.543016303,0.749376117,0.76746681,0.372334249,0
SCLT1,0.417623928,0.51157131,0.401020784,0.481645179,0.558832026,0.620489834,0.686786445,-0.491340788,0.367113292,0
MAML3,0.453460998,0.518169148,0.603751149,0.573248947,0.471018726,0.857772333,0.727320577,0.535977044,0.375247329,0
TBC1D9,0.505733276,0.406669129,0.571330917,0.075539802,0.046605063,0.617507965,0.701963461,0.492514588,0.419228103,0
IL15,0.473364658,0.346925277,0.755642194,0.563006621,0.42691855,0.669269541,0.676801104,0.566647327,0.43076712,0
TLR2,0.079924563,0.432247532,0.675659381,0.572978338,0.551188599,0.659434233,0.750854976,0.682327484,0.311825699,0
DDX60L,0.429018342,0.581351412,0.614104719,0.461299019,0.484095116,0.651015211,0.643525646,0.603119285,0.379295939,0
ACSL1,0.485881578,0.485492287,0.605099121,0.503122705,0.468303318,0.530061276,0.807904416,0.486899747,0.387627117,0
FYB1,0.40358946,0.469491474,0.490125391,0.644088571,0.533160882,0.501746652,0.66759625,0.286721491,0.510907572,0
MAP3K1,0.656114786,0.387738206,0.294622459,0.490743762,0.524755778,0.547884524,0.618365659,0.704710107,0.361899928,0
ZSWIM6,0.365564195,0.052539108,0.652470769,0.372982216,0.552116632,0.601261846,0.645805599,0.566755839,0.618444136,0
NAIP,0.405964974,0.644797798,0.416546463,0.782764694,0.467967073,0.512008985,0.566896316,0.473740321,0.457938929,0
POLK,0.458482063,0.442369582,0.550653402,0.390578377,0.479390898,0.583422281,0.668239146,0.534031661,0.407020445,0
S100Z,0.466438459,0.437835109,0.399190468,0.452687532,0.359194179,0.667511022,0.540450336,0.333047889,0.217964119,0
VCAN,0.414929132,0.421022607,0.510715136,0.461517049,0.045772956,0.561203077,0.625034601,0.362938904,0.446340675,0
RASA1,0.370455557,0.770774059,0.576564674,0.382498006,0.039408433,0.612621022,0.675141295,0.366897173,0.428867541,0
MEF2C,0.301921176,0.41047681,0.062888964,0.440487452,0.408051318,0.255387518,0.585891267,0.461162507,0.581363923,0
MCTP1,0.484610961,0.426276974,0.406184737,0.373103303,0.483315015,0.695230108,0.556779572,0.481269894,0.636707391,0
ST8SIA4,0.504120793,0.396307498,0.547254298,0.433170782,0.477273205,0.612665708,0.781124098,0.42110467,0.361234399,0
DOCK2,0.30215061,0.401781058,0.451305826,0.397834356,0.310339665,0.456009552,0.701802991,0.319501357,0.574088673,0
LCP2,0.546246886,0.426098529,0.402647331,0.442601627,0.514957874,0.531197222,0.934920825,0.582123624,0.465283145,0
RNF130,0.465623454,0.288041384,0.505522859,0.355054652,0.629726728,0.521161685,0.610839664,0.600667488,0.370589026,0
F13A1,0.448579043,0.369394221,0.423911766,0.503325182,0.523385497,0.478092789,0.605341581,0.494972731,0.410928308,0
NEDD9,0.381801315,0.481903108,0.553592918,0.438322751,0.431403159,0.631337928,0.616187781,0.465833675,0.514805591,0
TMEM170B,0.378584719,0.698299504,0.423581587,0.472492068,0.053350125,0.525337485,0.572776323,0.517775215,0.508517685,0
KIF13A,0.354883477,0.356861451,0.323443275,0.490754554,0.445497064,0.521164381,0.598662172,0.622595676,0.704842075,0
RNF144B,0.4152384,0.014889215,0.371185554,0.497890344,0.332097729,0.518463363,0.416196135,0.50408472,0.687063208,0
RIPOR2,0.387665348,0.413626005,0.262693673,0.259280582,0.080102857,0.444612815,0.612416304,0.402334401,0.405245796,0
STX7,0.418314578,0.197564775,0.344785721,0.484498525,0.241123399,0.487658095,0.487924404,0.413275462,0.610328285,0
STX11,0.589242655,0.446828323,0.399995779,0.602432957,0.441717502,0.434916468,-0.539996114,0.460179129,0.424256182,0
OPRM1,0.436793614,0.054776472,0.42533768,0.23384625,0.468520883,0.542329428,0.535908136,0.451478484,0.362299267,0
IPCEF1,0.280793614,0.280937741,0.34958202,0.080172647,0.185933139,0.55425371,0.610228568,0.502538722,0.387748543,0
QKI,0.307247788,0.2806652,0.563089574,0.463091264,0.480957356,0.645967903,0.592088222,0.392864002,0.295371514,0
AHR,0.411395691,0.351220788,0.468597034,0.3975548,0.380854549,0.552221948,0.502599885,0.443818122,0.459340943,0
HDAC9,0.362115469,0.371722512,0.545850204,0.279406064,0.519261868,0.628825459,0.56528265,0.591504227,0.393878559,0
SNX10,0.357789233,0.345813523,0.564349476,0.440465038,0.554378748,0.624345175,0.572723584,0.393663848,0.457079903,0
SKAP2,0.39389143,0.37954512,0.494383385,0.500920963,0.337315816,0.524386452,0.489823318,0.491241174,0.570691153,0
JAZF1,0.40723145,0.298466506,0.526586498,0.464921387,0.371432103,0.456214045,0.704404225,0.500484281,0.219867912,0
CREB5,0.051597716,0.34992939,0.247810093,0.376707748,0.293335838,0.539441867,0.654273114,0.490839829,0.351995811,0
CPVL,0.060151528,0.505256534,0.441140227,0.463160478,0.468371808,0.498220423,0.533397612,0.353156013,0.550484251,0
ELMO1,0.31527191,0.286039089,0.35265871,0.477546837,0.310637699,0.457286843,0.570023487,0.417042292,0.482195013,0
TNS3,0.31492014,0.05372791,0.471298479,0.400814936,0.498247599,0.501943818,0.735579638,0.574808401,0.923312391,0
GSAP,0.279286393,0.230855379,0.560894674,0.396866153,0.403390659,0.493764001,0.591618269,0.337686081,0.297563577,0
CD36,0.30615633,0.301233489,0.318913665,0.341825069,0.288556583,0.368658319,0.538404562,0.543790191,0.404845824,0
TFEC,0.370153301,0.313861278,0.540618433,0.306505775,0.441359451,0.260506652,0.663662968,0.34639536,0.421640234,0
TBXAS1,0.361915806,0.392429965,0.422616549,0.362397708,0.348716173,0.478984022,0.446839722,0.396341726,0.706952236,0
DOCK5,0.49461977,0.32150557,0.553059235,0.379655161,0.402519927,0.449688798,0.468248728,0.466133605,0.356208482,0
PTK2B,0.357597706,0.379276462,0.297315718,0.532253863,0.026443516,0.435784362,0.648203614,0.311280851,0.383747181,0
HMBOX1,0.326689749,0.371107527,0.38287271,0.454937425,0.418348125,0.534357428,0.417135327,0.324265352,0.31376526,0
SPIDR,0.317637898,0.026314219,0.504227155,0.084765569,0.410524545,0.37106502,0.386671917,0.314593585,0.616047921,0
CPQ,0.349231575,0.042592186,0.306225557,0.402765427,0.523339108,0.418375765,0.57549287,0.46744383,0.265769323,0
STK3,0.392512554,0.26462822,0.572510152,0.468044632,0.370994591,0.444931818,0.552262063,0.428655034,0.323155074,0
TRPS1,0.419309571,0.40608011,0.6498634,0.39282597,0.487083778,0.488795523,0.536307996,1.109304626,0.11275384,0
ASAP1,0.281250402,0.43058946,0.437195352,0.070420232,0.376193641,0.455667829,0.604551991,0.472054154,0.180202057,0
DOCK8,0.413497983,0.242362906,0.557953986,0.419794577,0.079267814,0.560308294,0.49516806,0.440747055,0.554475917,0
JAK2,0.504112272,0.439937985,0.301941938,0.081948818,0.135182535,0.435325014,0.638778108,0.433834033,0.501801707,0
C9orf72,0.234590372,0.398829389,0.457793527,0.362171278,0.421357277,0.492795653,0.488926116,0.565962851,0.162640154,0
DAPK1,0.402234526,0.371781089,0.467670633,0.3483725,0.317337188,0.514789899,0.580850752,0.541317968,0.314407011,0
SYK,0.22462896,0.381398275,0.42789126,0.454954235,0.348031107,0.412617292,0.578744359,0.407387753,0.338872774,0
FKBP15,0.222524111,0.368551683,0.444055419,0.551250912,0.342931544,0.425235382,0.507110356,0.498700262,0.412726821,0
MEGF9,0.322382121,0.552151829,0.356536235,0.161458918,0.604100989,0.432804481,0.450055444,0.359526578,0.331934048,0
CNTRL,0.467650266,0.310870809,0.469691875,0.416579445,0.308208005,0.402950827,0.644515159,0.389289688,0.350274883,0
DENND1A,0.312071204,0.519639698,0.037320883,0.434809397,0.451050861,0.560069182,0.489459361,0.491820568,0.344728057,0
SETX,0.309694621,0.260572879,0.345422565,0.402163541,0.239553697,0.392303919,0.476545579,0.480074602,0.215381345,0
FCN1,0.339559159,0.543395425,0.693553818,0.353514446,0.628243384,0.425675494,0.345171191,0.48339813,0.321659353,0
PLXDC2,0.356703087,0.407455171,0.38436293,0.397975839,0.372529555,0.421128104,0.4892475,0.457339135,0.153461028,0
ALOX5,0.290894808,0.292121468,0.405552394,0.29009395,0.358574002,0.39309825,0.451604071,0.400667169,0.199735127,0
IPMK,0.273765407,0.478425605,0.432907537,0.422303056,0.448396872,0.429431446,0.379445262,0.41253225,0.441258968,0
LRMDA,0.36191548,0.351135553,0.374818362,0.450680596,0.413954996,0.644408528,0.534212325,0.231386863,0.3109582,0
PTEN,0.291205638,0.396048133,0.420253309,0.380481856,0.521578303,0.416390237,0.529891868,0.349179608,0.161046309,0
ENTPD1,0.460077962,0.250409146,0.318254224,0.373825422,0.516424791,0.396858074,0.475479706,0.407800883,0.33014188,0
SHTN1,0.250951796,0.078836422,0.376864518,0.294735728,0.472436167,0.458695267,-0.558078533,0.556343271,0.333320431,0
PTPRE,0.279407302,0.318210541,0.386128779,0.107085598,0.372974326,0.410612595,0.40220421,0.309886269,0.510018118,0
SBF2,0.014225048,0.268613165,0.793776829,0.12356863,0.444215114,0.395287492,0.422849946,0.560963742,0.471065451,0
MTRNR2L8,0.323677133,0.491095747,0.469293297,0.860936033,0.028836463,0.429376219,0.510124064,0.330556546,0.321204283,0
MICAL2,0.328500236,0.244901591,0.388932909,0.318389763,0.345576189,0.428675986,0.491284513,0.651396297,0.41482877,0
PHF21A,0.326356486,0.391054766,0.393635884,0.320313871,0.235647168,0.429866199,0.532455839,0.413048406,0.284291747,0
MS4A6A,0.243766323,0.430890803,0.059112274,0.156401435,0.369457753,-0.801626272,0.482324923,0.454098174,0.331619367,0
MS4A6A,0.243766323,0.430890803,0.059112274,0.156401435,0.369457753,-0.801626272,0.482324923,0.454098174,0.331619367,0
MS4A6A,0.243766323,0.430890803,0.059112274,0.156401435,0.369457753,-0.801626272,0.482324923,0.454098174,0.331619367,0
AHNAK,0.368862288,0.328728602,0.335212922,0.492409715,0.524821724,0.369546629,0.377642418,0.400165669,0.394220232,0
JAML,0.328908312,0.363928308,0.297384015,0.299416452,0.444755586,0.410842232,0.429392792,0.345496566,0.734762191,0
NRGN,0.242628466,0.406149223,0.35213242,0.101612069,0.40447729,0.368688713,0.421104821,0.378979015,0.227564621,0
FLI1,0.029091375,0.474248474,0.422988708,0.40757482,0.453513684,0.419956764,0.526880637,0.405391779,0.390932667,0
CLEC12A,0.253624666,0.283025908,0.389687819,0.380310271,0.286188409,0.493889133,0.490176493,0.578038343,0.205322327,0
CLEC7A,0.279566804,0.31995463,0.525585939,0.44671436,0.441273066,0.428653438,0.457394949,0.284921126,0.231571709,0
ETV6,0.363991586,0.43552743,0.280477182,0.374674664,0.460593107,0.43421421,0.497892729,0.413160465,0.463470111,0
PLBD1,0.412887362,0.298922015,0.364740975,0.45607394,0.346558737,0.414683915,0.427395061,0.342161955,0.312664424,0
FAR2,0.411851753,0.375438259,0.274174149,0.30881407,0.507084594,0.456562096,0.456382016,0.448784374,0.309391586,0
FGD4,0.212305169,0.365410537,0.340859349,0.272712069,0.381010627,0.430640792,0.517016658,0.311104579,0.319596028,0
CPNE8,0.314910201,0.369177859,0.4731661,0.331283865,0.409465602,0.249954144,0.365262455,0.405757091,0.274152622,0
LRRK2,0.34454652,0.349667495,0.42875291,0.405742822,0.34721483,0.38035863,0.459377941,0.388601702,0.23953971,0
LRP1,0.392610145,0.207348332,0.426848747,0.326555652,0.33023837,0.39276029,0.428740137,0.49393274,0.617717523,0
USP15,0.207774385,0.279304188,0.162920204,0.358356598,0.332571972,0.413216049,0.584542441,0.342161955,0.543392777,0
IRAK3,0.301098132,0.509429942,0.424020774,0.272304009,0.378368463,0.440625367,0.47948384,0.384654037,0.247111603,0
LYZ,0.286445952,0.302430596,0.371212289,0.040028507,0.399079583,0.393444021,0.446579303,0.302050718,0.672512755,0
TMTC2,0.325333552,0.3151806,0.299994555,0.294609034,0.29778806,0.355338438,0.52084612,0.4038226,0.351568996,0
ATP2B1,0.305004768,0.414456171,0.391616264,0.051098991,0.377181613,0.478001426,0.513938036,0.551267332,0.316165565,0
PLXNC1,0.286013938,0.237931301,0.354436262,0.359559068,0.333778041,0.391238358,0.470405661,0.530093946,0.255281848,0
WASHC4,0.424131937,0.233072531,0.419266758,0.438352151,0.257845945,0.423663747,0.50780904,0.760570959,0.302274348,0
MED13L,0.211465936,0.203378068,0.385065147,0.402635318,0.284831724,0.431722449,0.584295776,0.331364609,0.324600265,0
GLT1D1,0.303479464,0.290456413,0.405392382,0.370099716,0.382188636,0.431163249,0.463075919,0.299420695,0.091044024,0
WDFY2,0.26363639,0.396363272,0.243790777,0.355477035,0.514420924,0.388940032,0.438645105,0.314877331,0.468133549,0
TNFSF13B,0.245399423,0.334191587,0.364499143,0.380782726,0.2591902179999999,0.326876852,0.484098684,0.369833033,0.349944136,0
ATP11A,0.232582363,0.396320457,0.052351814,0.039409233,0.197668804,0.495131236,0.390360061,0.320166347,0.266490585,0
RTN1,0.209462523,0.173265883,0.05421731,0.372078328,0.198675462,0.374758278,0.488722143,0.323771795,0.244281566,0
NUMB,0.330565354,0.366787669,0.460704524,0.326217608,0.034903413,0.367308494,0.453640339,0.284173173,0.40089504,0
SPTLC2,0.294746388,0.147430431,0.369260081,0.361499164,0.293640347,0.348174228,0.484849807,0.520839312,0.498455831,0
SLC24A4,0.167413114,0.364845553,0.376634924,0.613661945,0.409963579,0.434161179,-0.430815633,0.422665313,0.308950065,0
TNFAIP2,0.176299818,0.337015018,0.313344565,0.472579432,0.347859399,0.474762887,0.495641739,0.420720456,0.298241697,0
SLC12A6,0.26227719,0.291786266,0.276572985,0.127422099,0.344319876,0.35918902,0.571488928,0.558251847,0.353868394,0
DMXL2,0.580123996,0.27820301,0.428169738,0.402347202,0.303981922,0.376969073,0.427680394,0.398910504,0.534311905,0
VPS13C,0.296408347,0.191025071,0.365432308,0.200427921,0.38048889,0.328508823,0.397866287,0.348974242,0.306163017,0
ZNF710,0.638799447,0.33051459,0.476332909,0.350278671,0.275026041,0.624032976,0.385935792,0.281108313,0.188876129,0
MEF2A,0.233733997,0.265387848,0.42872117,0.134228632,0.419826976,0.353307584,0.367941945,0.418826741,0.173063881,0
CIITA,0.257672662,0.221692951,0.372368236,0.351175859,0.177582923,-1.451524465,0.463031545,0.227512493,0.209041603,0
CPPED1,0.032467809,0.285037159,0.354576173,0.332505375,0.39580175,0.326060332,0.45905577,0.310535849,0.303767365,0
ZFHX3,0.086732655,0.349190458,0.291910521,0.416542139,0.282782695,0.398148941,0.439069933,0.336980475,0.162681684,0
PLCG2,0.281746613,0.334923923,0.326600966,0.332510333,0.298809044,0.398900712,0.40141722,0.575044074,0.293740005,0
GAS7,0.277911178,0.259162967,0.270495902,0.307828857,0.319309246,0.403246115,0.505564473,0.353065745,0.264348812,0
VMP1,0.160953578,0.241131892,0.032716733,0.25204267,0.299462433,0.399495039,0.387437476,0.269078352,0.193154055,0
USP32,0.595238068,0.380094444,0.010195767,0.329960935,0.035854745,0.505096455,0.386700651,0.311545299,0.30464359,0
PECAM1,1.796395938,0.026499966,0.414941787,0.36152968,0.189042326,0.399624581,0.346092575,0.336010445,0.300182284,0
EMILIN2,0.053051822,0.077979449,0.272065611,0.320141878,0.396225865,0.462806201,0.301344431,0.279485679,0.256457601,0
RAB31,0.289792683,0.334119996,0.376499781,0.311352528,0.215859775,0.363150076,0.375794196,0.61123088,0.555241243,0
ZNF516,0.377855069,0.269626189,0.466828406,0.381653313,0.282175494,0.299495979,0.494835267,0.423573812,0.287784487,0
RIN2,0.250824856,0.230802318,0.267698722,0.257487347,0.418210973,0.41510226,0.316292676,0.282101386,0.174618652,0
HCK,0.245134675,0.243608215,0.310440933,0.347329239,0.241732431,0.311276099,0.41009028,0.493002394,0.248499954,0
SULF2,0.122390313,0.347242548,0.314935094,0.339783869,0.3713650539999999,0.368553387,0.359003464,0.428275516,0.256624603,0
BACH1,0.120765381,0.267092762,0.301820221,0.326587471,0.222613735,0.421921066,0.443245937,0.369007141,0.297889474,0
IFNGR2,0.198377964,0.523136913,0.049516634,0.254840547,0.360612675,0.317519701,0.40134759,0.357373629,0.234013231,0
GRK3,0.440422504,0.050238671,0.388387312,0.406996426,0.243319099,0.291823374,0.374016035,0.361074136,0.291798791,0
AP1S2,0.274075235,0.109512236,0.327561725,0.240705641,0.397034349,0.386773104,0.412376815,0.271656687,0.182598684,0
CYBB,0.310428924,0.307301887,0.200603572,0.343185538,0.208995872,0.395592977,0.403172602,0.650105642,0.540795181,0
DIAPH2,0.402727304,0.275020136,0.288605988,0.356781903,0.349865873,1.692423692,0.613817363,0.292898514,0.140603963,0
DOCK11,0.147034401,0.267806506,0.346657251,0.295144749,0.275865278,0.333076968,0.406925452,0.429590809,0.191430801,0
SLC9A9,0.35111186,0.23419134,0.196963878,0.307147899,0.258106396,0.424952251,0.489774125,0.273342368,0.44044117,0
MBD2,0.271045721,0.263744675,0.41219552,0.315421574,0.358474548,0.304039111,0.299502453,0.322883997,0.212186868,0
GPD2,0.301378672,0.350659217,0.305375467,0.31764994,0.300334837,0.280891011,0.378455827,0.521135219,0.195865173,0
IL17RA,0.261098317,0.273375581,0.175358015,0.404371043,0.215734571,0.330701925,0.39118552,0.383754561,0.203178864,0
ZNF438,0.269278099,0.365125555,0.324802661,0.259637191,0.26893062,0.413239531,0.397152455,0.405737435,0.350320315,0
ANKRD44,0.040681539,0.289246935,0.051968774,0.334058547,0.296475455,0.369621636,0.402319824,0.423352174,0.371552845,0
MAPK14,0.333257267,0.334999004,0.321498478,0.259867127,0.378565003,0.342975723,0.282324404,0.322788096,0.485098832,0
RELCH,0.25167419,0.248293975,0.138291164,0.231203861,0.33514327,-0.933801418,0.397471318,0.26579683,0.37628431,0
TANK,0.07076563,0.533605586,0.378124622,0.240379636,0.395581572,0.319455305,0.545096013,0.907788718,0.039967554,0
RUNX1,0.294625025,0.352207108,0.321513019,0.286871756,0.223569665,0.35334098,0.338334127,0.320135649,0.234013231,0
TRIO,0.236579937,0.327483595,0.36864497,0.053548306,0.214962927,0.321930402,1.702131101,0.344338787,0.249905076,0
PICALM,0.588451047,0.236336312,0.30781399,0.387056695,0.327430121,0.339387203,0.373694987,0.298038274,0.30959937,0
ARHGAP26,0.216874392,0.315617262,0.2899165,0.437231997,0.246548111,0.310651722,0.33892327,0.358447638,0.191690462,0
MAPKAP1,0.272438768,0.19787161,0.377790088,0.38183138,0.419798983,0.370550958,0.396326679,0.351723527,0.22912786,0
ADAM10,0.347871549,0.035857617,0.340523631,0.19886823,0.296495775,0.425256803,0.36765157,0.332966778,0.33494458,0
MANBA,0.294563444,0.384380897,0.33736279,0.25930536,0.331924225,0.758921588,0.445397088,0.405622275,0.235018944,0
PRKAG2,0.288932309,0.230093969,0.356761976,0.293474348,0.385887335,0.374040007,0.389116835,0.468285094,0.256409981,0
CEPT1,0.343130101,0.255242008,0.445127627,0.323535529,0.289576179,0.313944884,0.340012552,0.348541671,0.231151956,0
FRY,0.279970618,0.280913188,0.252913318,0.288316389,0.195405001,0.398189427,0.460762946,0.258959816,0.18607705,0
IKZF1,0.293686761,0.232956654,0.182459704,0.195477384,0.328405899,0.3156194,0.36771016,0.393981989,0.298500411,0
TBC1D22A,0.241065888,0.241996127,0.352584239,0.297061378,0.388544142,0.310987557,0.421316102,0.276074247,0.249111089,0
TTC7A,0.183860424,0.335129669,0.045341559,0.322032757,0.299573309,0.352220245,0.326637939,0.309129673,0.668150354,0
KCNQ1,0.262546056,0.293004612,0.380452632,0.353002706,0.288979823,0.317004899,0.483174251,0.335796709,0.332999202,0
MAP4K4,0.231902306,0.277138147,0.256467808,0.296916957,0.39694188,0.472248521,0.361374369,0.205438304,0.195436199,0
CHST11,0.234720047,0.146949542,0.249706389,0.276475951,0.318545562,0.349468874,0.323193388,0.204235539,0.345027379,0
ASAH1,0.299286686,0.229008572,0.335470885,0.343324164,0.238331279,0.362605812,0.359711883,0.282479689,0.178097978,0
PHKB,0.389952939,0.242229818,0.274128872,0.272165624,0.293770106,0.317460208,0.314904369,0.345420537,0.221448053,0
ACER3,0.273135829,0.181547473,0.381087516,0.329699434,0.238527212,0.387997581,0.186137899,0.702232731,0.042692191,0
TET3,0.212913649,0.323801575,0.2326051,0.245572819,0.304104513,0.352453653,0.344356688,0.240891523,0.24592791,0
CERT1,0.202553807,0.103831843,0.226393298,0.549651292,0.215651284,0.325333355,0.352325122,0.302381344,0.423358751,0
MYCBP2,0.179030767,0.141808022,0.294269955,0.356828736,0.343338591,0.322309767,0.362825175,0.428746621,0.228160505,0
RESF1,0.501468285,0.303295592,0.198024939,0.226631802,0.145998409,0.348721666,0.330215041,0.12685628,0.193050992,0
