DB,timepoint,CellType,ExperimentType,Pathway,p.value,padj,ES,NES,nMoreExtreme,size,celltype,Celltype,negative_log10_of_adjusted_p_value,info
MSigDB,In-flight vs Pre-flight,CD8,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.79e-05,0.000133147,-0.617937629,-2.874230447,0,198,CD8;Multivariate (PolyA+ and Ribodepleted together),CD8_Multivariate,3.8756686144156,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MYC_TARGETS_V1,1.79e-05,0.000133147,-0.54408024,-2.529073593,0,197,CD8;Multivariate (PolyA+ and Ribodepleted together),CD8_Multivariate,3.8756686144156,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MITOTIC_SPINDLE,0.002482631,0.009443788,-0.317723902,-1.478968627,138,199,CD8;Multivariate (PolyA+ and Ribodepleted together),CD8_Multivariate,2.0248537707953,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,PolyA+,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3.64e-05,0.000511977,-0.56890375,-2.922740211,0,198,CD8;PolyA+,CD8_PolyA,3.29074954878481,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,PolyA+,HALLMARK_MYC_TARGETS_V1,3.64e-05,0.000511977,-0.50110199,-2.57276747,0,197,CD8;PolyA+,CD8_PolyA,3.29074954878481,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,PolyA+,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.72e-05,0.000534873,-0.581273515,-2.829731361,0,198,CD8;PolyA+,CD8_PolyA,3.27174932442124,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,PolyA+,HALLMARK_MYC_TARGETS_V1,2.72e-05,0.000534873,-0.455145221,-2.214262032,0,197,CD8;PolyA+,CD8_PolyA,3.27174932442124,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,PolyA+,HALLMARK_MITOTIC_SPINDLE,0.001712142,0.009923115,-0.291481029,-1.496527501,46,197,CD8;PolyA+,CD8_PolyA,2.00335197553196,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,Ribodepleted,HALLMARK_MYC_TARGETS_V1,1.33e-05,9.42e-05,-0.628437269,-2.926914881,0,197,CD8;Ribodepleted,CD8_Ribodepleted,4.02594909720712,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,Ribodepleted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.33e-05,9.42e-05,-0.606665579,-2.827624163,0,198,CD8;Ribodepleted,CD8_Ribodepleted,4.02594909720712,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,Ribodepleted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.31e-05,0.0001218,-0.589942595,-2.6944295,0,198,CD8;Ribodepleted,CD8_Ribodepleted,3.91435271170314,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,Ribodepleted,HALLMARK_MYC_TARGETS_V1,1.31e-05,0.0001218,-0.536287418,-2.44783517,0,197,CD8;Ribodepleted,CD8_Ribodepleted,3.91435271170314,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD8,Ribodepleted,HALLMARK_UV_RESPONSE_DN,0.001027116,0.003677079,0.331580509,1.620584265,29,131,CD8;Ribodepleted,CD8_Ribodepleted,2.43449703945518,HALLMARK
MSigDB,In-flight vs Pre-flight,CD8,Ribodepleted,HALLMARK_MITOTIC_SPINDLE,0.002702103,0.009706681,-0.329338293,-1.504178234,206,198,CD8;Ribodepleted,CD8_Ribodepleted,2.01292924277891,HALLMARK
MSigDB,In-flight vs Pre-flight,LD,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.1e-05,0.001271,0.399147757,1.829998715,0,198,LD;Multivariate (PolyA+ and Ribodepleted together),LD_Multivariate,2.89585444944599,HALLMARK
MSigDB,In-flight vs Pre-flight,LD,Ribodepleted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.89e-05,0.001767501,0.419387456,1.93219466,0,198,LD;Ribodepleted,LD_Ribodepleted,2.75264033181997,HALLMARK
MSigDB,Post-flight vs Pre-flight,LD,Ribodepleted,HALLMARK_MYC_TARGETS_V1,0.000126974,0.008698275,0.346997447,1.656697069,4,197,LD;Ribodepleted,LD_Ribodepleted,2.06056686603208,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MYC_TARGETS_V1,2.02e-05,0.00039232,-0.475872051,-2.278028407,0,197,CD19;Multivariate (PolyA+ and Ribodepleted together),CD19_Multivariate,3.4063595514977,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.02e-05,0.00039232,-0.388375228,-1.860569281,0,198,CD19;Multivariate (PolyA+ and Ribodepleted together),CD19_Multivariate,3.4063595514977,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,Multivariate (PolyA+ and Ribodepleted together),HALLMARK_MITOTIC_SPINDLE,2.02e-05,0.00039232,-0.367646508,-1.761265268,0,198,CD19;Multivariate (PolyA+ and Ribodepleted together),CD19_Multivariate,3.4063595514977,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,PolyA+,HALLMARK_MYC_TARGETS_V1,0.000344353,0.007315727,-0.324765763,-1.683170822,0,197,CD19;PolyA+,CD19_PolyA,2.13574250940198,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,PolyA+,HALLMARK_MITOTIC_SPINDLE,0.00034638,0.007321261,-0.315683045,-1.636661369,0,198,CD19;PolyA+,CD19_PolyA,2.13541411044758,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,Ribodepleted,HALLMARK_UV_RESPONSE_DN,4.18e-05,0.00285447,0.400333162,1.804386287,1,135,CD19;Ribodepleted,CD19_Ribodepleted,2.54447451699533,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD19,Ribodepleted,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.000149872,0.00785676,-0.440046114,-1.987396951,7,198,CD19;Ribodepleted,CD19_Ribodepleted,2.10475651302128,HALLMARK
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),DACOSTA_UV_RESPONSE_VIA_ERCC3_UP,1.5e-05,9.57e-05,-0.637517869,-3.259108719,0,298,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),HSIAO_HOUSEKEEPING_GENES,1.45e-05,9.57e-05,-0.620457496,-3.256839929,0,385,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),VERHAAK_AML_WITH_NPM1_MUTATED_UP,1.59e-05,9.57e-05,-0.672895292,-3.210817475,0,169,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),ENK_UV_RESPONSE_KERATINOCYTE_UP,1.41e-05,9.57e-05,-0.585049147,-3.130556226,0,475,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,1.67e-05,9.57e-05,-0.681657127,-2.994855774,0,98,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP,1.34e-05,9.57e-05,-0.54204882,-2.987889532,0,698,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17,1.59e-05,9.57e-05,-0.610366307,-2.908585003,0,168,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),MARTENS_TRETINOIN_RESPONSE_DN,1.33e-05,9.57e-05,-0.516004472,-2.85234369,0,727,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP,1.36e-05,9.57e-05,-0.518656376,-2.840654525,0,639,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),MOOTHA_VOXPHOS,1.7e-05,9.57e-05,-0.662322871,-2.825208084,0,83,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),KIM_ALL_DISORDERS_DURATION_CORR_DN,1.63e-05,9.57e-05,-0.607632501,-2.81171989,0,136,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP,1.45e-05,9.57e-05,-0.532220105,-2.793673538,0,385,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),CHEN_METABOLIC_SYNDROM_NETWORK,1.26e-05,9.57e-05,-0.491329306,-2.782786847,0,1076,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,1.6e-05,9.57e-05,-0.579960211,-2.759432004,0,166,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),KEGG_PARKINSONS_DISEASE,1.66e-05,9.57e-05,-0.61506354,-2.730609418,0,104,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),KEGG_RIBOSOME,1.69e-05,9.57e-05,-0.633695317,-2.725577703,0,87,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),REACTOME_TRANSLATION,1.6e-05,9.57e-05,-0.574988774,-2.723895713,0,161,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN,1.58e-05,9.57e-05,-0.562793263,-2.710419038,0,181,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),KEGG_OXIDATIVE_PHOSPHORYLATION,1.66e-05,9.57e-05,-0.604210398,-2.702540488,0,109,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),LOPEZ_MBD_TARGETS,1.3e-05,9.57e-05,-0.479708243,-2.682895094,0,867,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),WONG_MITOCHONDRIA_GENE_MODULE,1.56e-05,9.57e-05,-0.540522695,-2.658451124,0,213,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,1.72e-05,9.57e-05,-0.641297432,-2.628126885,0,67,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,1.64e-05,9.57e-05,-0.574541019,-2.618748778,0,123,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),BENPORATH_MYC_TARGETS_WITH_EBOX,1.56e-05,9.57e-05,-0.525797398,-2.588134597,0,215,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),TAKAO_RESPONSE_TO_UVB_RADIATION_UP,1.7e-05,9.57e-05,-0.606603154,-2.587529754,0,83,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN,1.43e-05,9.57e-05,-0.486090438,-2.576222097,0,426,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),PECE_MAMMARY_STEM_CELL_UP,1.63e-05,9.57e-05,-0.561323134,-2.574266018,0,128,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1.73e-05,9.57e-05,-0.630250671,-2.567362436,0,65,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),DAZARD_RESPONSE_TO_UV_NHEK_UP,1.56e-05,9.57e-05,-0.522385796,-2.56542164,0,211,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,1.42e-05,9.57e-05,-0.476944112,-2.548446275,0,467,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP,1.42e-05,9.57e-05,-0.469783314,-2.509458604,0,465,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),JOHNSTONE_PARVB_TARGETS_2_UP,1.63e-05,9.57e-05,-0.544486727,-2.493818432,0,127,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),LI_AMPLIFIED_IN_LUNG_CANCER,1.6e-05,9.57e-05,-0.52379388,-2.481370017,0,161,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,1.71e-05,9.57e-05,-0.593545077,-2.466272088,0,72,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),WANG_TUMOR_INVASIVENESS_UP,1.47e-05,9.57e-05,-0.471662357,-2.457702685,0,358,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),MATTIOLI_MGUS_VS_PCL,1.67e-05,9.57e-05,-0.555369204,-2.457032967,0,102,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,1.73e-05,9.57e-05,-0.607459249,-2.444348427,0,61,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),DIRMEIER_LMP1_RESPONSE_EARLY,1.73e-05,9.57e-05,-0.601578361,-2.420684391,0,61,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,1.64e-05,9.57e-05,-0.524386831,-2.390146793,0,123,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,1.32e-05,9.57e-05,-0.428658289,-2.383063683,0,794,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,1.76e-05,9.57e-05,-0.608463363,-2.3505372,0,50,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),LUI_THYROID_CANCER_PAX8_PPARG_DN,1.77e-05,9.57e-05,-0.619889543,-2.33134325,0,44,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),TIEN_INTESTINE_PROBIOTICS_6HR_UP,1.74e-05,9.57e-05,-0.590936202,-2.331135654,0,55,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),DANG_MYC_TARGETS_UP,1.63e-05,9.57e-05,-0.499115773,-2.311292918,0,137,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),HILLION_HMGA1B_TARGETS,1.7e-05,9.57e-05,-0.542317764,-2.302678318,0,81,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),MUNSHI_MULTIPLE_MYELOMA_UP,1.71e-05,9.57e-05,-0.545545738,-2.300229325,0,78,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),FERNANDEZ_BOUND_BY_MYC,1.6e-05,9.57e-05,-0.479825741,-2.2815365,0,165,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),IRITANI_MAD1_TARGETS_DN,1.76e-05,9.57e-05,-0.600250438,-2.279415916,0,46,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),DAZARD_UV_RESPONSE_CLUSTER_G1,1.74e-05,9.57e-05,-0.574041544,-2.279292007,0,57,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),MODY_HIPPOCAMPUS_PRENATAL,1.77e-05,9.57e-05,-0.614280272,-2.274947214,0,41,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),BENPORATH_MYC_MAX_TARGETS,1.33e-05,9.57e-05,-0.407915079,-2.258174053,0,745,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,1.49e-05,9.57e-05,-0.43625364,-2.249769204,0,324,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR,1.41e-05,9.57e-05,-0.417822928,-2.24285371,0,493,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),BOUDOUKHA_BOUND_BY_IGF2BP2,1.67e-05,9.57e-05,-0.507526654,-2.233329183,0,99,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),MALONEY_RESPONSE_TO_17AAG_DN,1.71e-05,9.57e-05,-0.529656575,-2.233234538,0,78,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
MSigDB,Post-flight vs Pre-flight,CD4,Multivariate (PolyA+ and Ribodepleted together),ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,1.71e-05,9.57e-05,-0.532616224,-2.218465676,0,73,CD4;Multivariate (PolyA+ and Ribodepleted together),CD4_Multivariate,4.01908806222316,C2
