pathway,I4_Capsule_FD2_0,I4_Capsule_FD2_1,I4_Capsule_FD2_2,I4_Capsule_FD2_3,I4_Capsule_FD2_4,I4_Capsule_FD2_5,I4_Capsule_FD2_6,I4_Capsule_FD2_7,I4_Capsule_FD2_8,I4_Capsule_FD2_9,I4_Capsule_FD3_0,I4_Capsule_FD3_1,I4_Capsule_FD3_2,I4_Capsule_FD3_3,I4_Capsule_FD3_4,I4_Capsule_FD3_5,I4_Capsule_FD3_6,I4_Capsule_FD3_7,I4_Capsule_FD3_8,I4_Capsule_FD3_9,I4_Capsule_LM44_0,I4_Capsule_LM44_1,I4_Capsule_LM44_2,I4_Capsule_LM44_3,I4_Capsule_LM44_4,I4_Capsule_LM44_5,I4_Capsule_LM44_6,I4_Capsule_LM44_7,I4_Capsule_LM44_8,I4_Capsule_LM44_9,I4_Capsule_LM92_0,I4_Capsule_LM92_1,I4_Capsule_LM92_2,I4_Capsule_LM92_3,I4_Capsule_LM92_4,I4_Capsule_LM92_5,I4_Capsule_LM92_6,I4_Capsule_LM92_7,I4_Capsule_LM92_9
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3377,7.50981,0.0,0.0,12.668,30.1421,0,0.0,0.0,0.0,0.0,13.9932,0.0,0.0,0.0,0.0,124.19,0.0,51.4217,127.098,40.8987,0.0,0.0,0.0,0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,285.011,280.751,346.936,128.851,217.447,248.957,0.0,0.0,295.877,205.011,295.264,0.0,418.432,259.323,458.258,384.628,410.467,441.735,520.909,405.611,0,265.366,289.204,242.252,318.829,276.776,171.126,296.218,387.962,282.308,461.242,241.322,180.133,370.745,310.725,233.231,226.957,335.97,217.907
CALVIN-PWY: Calvin-Benson-Bassham cycle,163.951,96.0867,169.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.653,0.0,57.0629,0.0,199.146,234.95,176.622,180.532,198.151,193.609,0,183.878,128.752,139.759,270.426,186.259,0.0,153.033,365.908,158.031,230.645,131.877,137.569,296.688,283.237,176.279,168.506,227.954,135.806
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate,0.0,0.0,0.0,0.0,93.0983,87.1531,0.0,0.0,0.0,0.0,0.0,0.0,141.879,21.6433,116.121,44.1786,75.8176,88.0477,132.703,110.914,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.038,0.0,11.6989,74.9862,37.9946,0.0,0.0,76.965,0.0
CENTFERM-PWY: pyruvate fermentation to butanoate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4468,0.0,0.0,0.0,0.0
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",0.0,26.6496,46.7265,0.0,0.0,37.4802,0.0,0.0,0.0,38.6519,43.1037,0.0,0.0,0.0,78.9655,47.3535,70.5312,93.2257,100.072,67.8226,0,0.0,0.0,12.0116,0.0,0.0,0.0,0.0,0.0,0.0,5.28922,0.0,1.2406,3.596,7.14603,0.0,0.0,0.0,0.0
CITRULBIO-PWY: L-citrulline biosynthesis,60.6513,162.069,61.7259,137.742,163.002,115.836,0.0,0.0,111.061,0.0,137.235,0.0,135.457,163.788,203.756,153.818,180.12,192.438,249.461,167.66,0,94.5022,69.2968,155.802,249.497,119.103,48.5267,127.862,324.551,48.6512,194.304,68.936,63.6201,174.185,194.198,91.5002,0.0,106.304,34.8958
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals),376.002,188.662,303.216,204.678,0.0,161.952,613.472,320.582,135.921,237.922,361.202,610.263,0.0,133.52,197.169,299.782,294.202,206.799,202.538,211.61,0,404.101,357.406,356.808,330.628,379.675,325.155,397.85,371.718,401.451,129.344,373.727,147.357,239.37,243.667,257.639,255.239,183.494,174.895
COA-PWY: coenzyme A biosynthesis I (prokaryotic),462.054,228.015,347.098,206.802,0.0,207.19,596.676,318.92,128.255,259.904,404.29,839.965,0.0,149.174,180.906,287.823,280.366,191.016,183.303,190.825,0,428.625,369.428,355.754,330.254,365.671,326.037,398.134,336.283,412.241,147.133,428.125,147.701,245.044,274.378,285.897,306.486,168.376,186.406
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I,13.3427,0.0,120.062,69.1045,0.0,54.559,0.0,91.212,60.8105,22.7284,0.0,0.0,15.8027,0.0,121.624,67.239,140.256,121.063,121.391,82.8838,0,23.5923,27.6867,0.0,0.0,14.4771,0.0,0.0,0.0,24.1622,99.0307,20.3632,21.4939,78.9508,53.5702,0.0,69.6873,55.7259,0.0
COLANSYN-PWY: colanic acid building blocks biosynthesis,125.149,116.553,44.3822,0.0,0.0,80.9367,0.0,0.0,0.0,42.9813,111.386,0.0,119.971,108.634,156.109,111.581,112.544,143.624,153.026,172.133,0,51.076,0.0,75.0238,144.33,54.1213,0.0,0.0,74.6452,58.1612,213.73,57.0327,57.0287,167.654,108.858,22.5013,56.7855,115.559,83.425
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis,224.843,138.093,232.661,180.079,0.0,153.856,0.0,0.0,0.0,79.1554,225.482,0.0,56.3516,0.0,239.689,266.808,234.239,235.231,220.184,214.779,0,259.081,60.3041,165.142,231.476,216.84,194.375,261.599,0.0,184.583,252.137,90.2054,135.147,252.259,229.482,139.713,90.957,189.022,93.4218
CRNFORCAT-PWY: creatinine degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.60183,4.09374,0.0,0.0,18.5756,19.6622,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9135,0.0,8.33036,4.75012,7.22291,0.0,0.0,0.0,0.0
DAPLYSINESYN-PWY: L-lysine biosynthesis I,332.888,183.34,187.031,127.536,0.0,191.978,0.0,256.505,71.4577,140.077,338.659,430.273,148.285,65.2115,201.538,240.632,242.762,219.68,229.153,219.724,0,310.117,255.857,287.627,176.823,277.249,257.086,348.218,419.303,304.048,226.537,266.585,117.633,241.411,215.671,212.645,236.873,213.955,177.946
DENITRIFICATION-PWY: nitrate reduction I (denitrification),0.0,52.4439,0.0,0.0,0.0,38.1339,0.0,0.0,102.188,60.5766,45.6394,0.0,130.982,117.965,93.8965,40.3026,48.5942,60.4831,103.947,87.486,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69785,97.6092,0.0,5.99181,39.2109,31.5966,0.0,0.0,40.3603,0.0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7356,0.0,0.0,0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis,84.5653,79.798,61.9631,69.1478,0.0,27.9601,0.0,45.8953,206.672,49.8517,53.1887,0.0,185.052,92.8327,154.328,62.4631,78.8568,115.401,192.306,137.713,0,50.8034,48.8462,76.8828,136.565,121.985,32.6412,99.4086,158.925,68.7502,313.007,45.3126,97.6831,173.037,104.334,52.3897,119.109,68.5903,110.537
FAO-PWY: fatty acid &beta;-oxidation I (generic),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1274,0.0,0,0.0,0.0,0.0,0.0,8.77115,0.0,0.0,0.0,0.0,329.444,0.0,38.8427,166.625,80.841,0.0,0.0,125.029,0.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated,107.117,347.232,307.873,103.546,261.47,423.522,0.0,152.705,0.0,261.206,268.284,0.0,557.481,522.768,680.347,389.887,464.182,537.855,685.849,531.948,0,125.068,173.689,133.498,135.394,161.599,123.282,166.25,86.2381,113.481,493.825,145.072,114.154,348.576,204.453,125.9,83.479,255.503,196.861
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09459,0.0,0.0,0.0,0.0,0.0,0.0
FERMENTATION-PWY: mixed acid fermentation,28.6711,41.7296,42.4198,0.0,0.0,54.2753,0.0,145.777,0.0,125.666,0.0,0.0,121.706,0.0,130.262,77.6636,87.2932,101.4,133.714,117.452,0,8.36228,0.0,24.2323,51.1159,24.47,0.0,25.4564,0.0,47.4385,48.8345,0.0,54.7767,61.6224,39.5871,61.8529,0.0,45.8967,38.92
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,34.8916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3474,0.0,0.0,0.0,0.0,18.7546,0.0,0.0,0.0,139.708,0,26.8524,0.0,38.1273,36.7985,35.5319,0.0,0.0,0.0,59.7827,57.9293,71.341,50.4468,49.556,39.0165,0.0,0.0,71.8507,0.0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03698,0.0,0.0,0.0,0.0,0.0,0.0
FUCCAT-PWY: fucose degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15367,0.0,0.0,0.0,0.0,0.0,0.0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74398,0.0,0.0,0.0,0.0,0.0,0.0
GALACTARDEG-PWY: D-galactarate degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21545,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4945,0.0,2.29863,48.2702,19.5028,0.0,10.5734,27.812,0.0
GALACTUROCAT-PWY: D-galacturonate degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66739,0.0,0,0.0,0.0,0.0,0.0,4.76227,0.0,0.0,0.0,0.0,33.0063,0.0,8.19531,32.6518,21.4362,0.0,61.319,0.0,0.0
GALLATE-DEGRADATION-I-PWY: gallate degradation II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.414,16.6755,2.85914,61.2072,21.0084,0.0,0.0,48.0985,0.0
GALLATE-DEGRADATION-II-PWY: gallate degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69979,0.0,0.610947,0.0,0.0,0.0,0.0,0.0
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",53.638,34.7346,0.0,0.0,0.0,0.0,0.0,41.6266,0.0,36.6366,134.732,0.0,0.0,0.0,11.5784,10.1401,0.0,26.2808,13.0163,91.2379,0,69.9105,0.0,84.3132,119.785,54.4775,90.2769,19.1057,0.0,26.5403,6.85294,54.5725,30.5115,29.2632,66.9553,55.2436,0.0,34.9792,46.1505
GLUCARDEG-PWY: D-glucarate degradation I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32048,1.32676,0.0,0.0,5.72014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.521,0.0,2.21669,53.7423,22.2143,0.0,10.5734,29.5271,0.0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21545,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4945,0.0,2.29863,48.2702,19.5028,0.0,10.5734,27.812,0.0
GLUCONEO-PWY: gluconeogenesis I,88.0021,73.2677,114.717,0.0,0.0,108.522,0.0,0.0,0.0,0.0,104.317,0.0,0.0,0.0,146.613,168.935,164.275,144.415,142.648,154.316,0,104.806,65.3246,122.602,186.262,96.6865,0.0,92.1942,0.0,64.044,87.0602,84.2364,110.555,186.716,166.592,121.462,0.0,176.271,82.9934
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,0.0,50.6252,60.9579,96.0904,0.0,56.0788,0.0,0.0,0.0,15.0945,104.26,0.0,0.0,83.0733,86.1913,106.574,78.3707,96.7325,104.555,132.928,0,0.0,0.0,128.709,0.0,0.0,18.7615,273.886,0.0,0.0,185.971,46.6843,86.7824,125.41,142.179,0.0,26.847,63.196,49.8852
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,0.0,0.0,42.4982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9485,25.8478,34.0977,53.3447,43.3566,33.8414,0,0.0,0.0,14.8668,32.049,7.68346,0.0,0.0,0.0,0.0,9.06181,0.0,15.0491,5.23173,14.6519,0.0,0.0,0.0,0.0
GLUDEG-I-PWY: GABA shunt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15777,1.30408,0.0,0.0,0.0,20.5222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52376,17.5142,0.0,2.49275,13.1819,15.2579,0.0,0.0,0.0,0.0
GLUTORN-PWY: L-ornithine biosynthesis I,377.04,220.657,283.53,254.056,0.0,229.975,329.742,210.296,175.003,209.487,204.468,0.0,202.781,134.719,305.844,294.369,281.726,267.193,300.368,225.364,0,333.436,296.927,303.888,174.409,287.956,348.891,354.588,335.935,340.967,316.052,340.227,123.097,283.507,202.577,243.223,321.906,215.692,214.587
GLYCOCAT-PWY: glycogen degradation I,0.0,26.3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.95844,0.0,5.77966,0.0,4.58732,0.0,0.0,0.0,23.1529,0.0,0.0,22.4233,3.32245,27.9686,12.4934,0.0,0.0,0.0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),259.09,210.477,100.299,141.526,134.056,74.8999,0.0,49.3998,49.1082,39.6562,173.267,0.0,208.726,114.407,233.553,147.971,214.523,203.9,252.323,273.024,0,139.226,78.6973,187.667,159.131,156.954,72.8047,198.949,108.974,82.3044,201.604,81.8798,107.101,177.935,179.709,73.3772,63.2982,118.74,76.8716
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16969,0.0,0.0,0.0,0.0,0.0,0.0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway,0.0,72.5383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1125,0.0,0.0,0.0,45.9243,103.565,39.6882,0.0,0.0,62.66,0,34.7857,0.0,41.3094,0.0,39.3856,0.0,0.0,0.0,66.7641,36.4505,58.6587,72.2682,109.052,150.857,25.8587,0.0,83.784,38.136
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4102,0.0,0.0,0.0,0.0,0.0,0.0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),135.137,150.426,202.641,0.0,0.0,177.283,0.0,0.0,0.0,208.35,156.527,0.0,0.0,113.962,198.57,203.957,201.347,201.234,190.395,197.3,0,143.053,103.895,179.525,243.613,138.487,0.0,211.53,140.499,100.967,90.7925,158.918,151.99,284.624,234.313,191.496,176.258,281.646,214.091
GLYOXYLATE-BYPASS: glyoxylate cycle,9.3683,86.1903,45.7904,0.0,0.0,87.4167,0.0,80.1115,0.0,95.3541,29.5463,0.0,275.534,133.252,278.259,150.383,153.823,213.745,266.994,227.291,0,23.6587,0.0,58.9439,23.8158,35.5586,0.0,0.0,0.0,21.1301,270.034,18.1239,31.6573,139.257,83.1196,27.5183,0.0,85.2958,40.0687
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.739,0.0,0.0,0.0,2.52523,1.03645,0.0,0.0,0.0,0.0,0,8.0195,0.0,7.58687,0.0,4.42422,0.0,0.0,0.0,3.80654,0.0,0.0,8.94565,12.9007,8.03124,0.0,0.0,0.0,0.0
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9291,0.0,0.98086,6.83011,0.0,0.0,0.0,0.0,0.0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic),0.0,22.9852,0.0,0.0,0.0,103.313,0.0,113.547,110.02,28.0774,102.367,0.0,167.932,67.9827,223.171,101.336,134.021,187.763,230.62,150.87,0,0.0,0.0,39.5377,8.27205,6.34432,0.0,65.3178,0.0,7.55685,186.154,15.8638,24.8735,135.691,57.8555,0.0,67.5985,37.5821,0.0
