pathway,C002_L-44,C002_L-92,C002_R+45,C002_R+82,C004_L-44,C004_L-92,C004_R+45,C004_R+82
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),675.737,647.069,607.125,557.414,570.734,529.586,536.239,540.59
KETOGLUCONMET-PWY: ketogluconate metabolism,0.0,0.0,0.0,0.0,0.0,4.65153,0.0,0.0
LACTOSECAT-PWY: lactose and galactose degradation I,116.822,179.748,196.271,102.616,39.3241,35.2053,44.538,38.6756
LIPASYN-PWY: phospholipases,0.0,0.0,2.48004,0.0,0.0,0.0,0.0,0.731261
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,11.3513,4.49132,6.86322,5.69343,8.32411,1.75195,3.31273,5.50352
METH-ACETATE-PWY: methanogenesis from acetate,152.657,181.925,198.921,132.224,128.652,118.906,128.824,100.598
METHANOGENESIS-PWY: methanogenesis from H2 and CO2,0.0,0.0,0.0,0.0,3.96624,15.2089,14.7481,8.86697
METHGLYUT-PWY: superpathway of methylglyoxal degradation,5.30174,5.33019,16.4461,8.58345,7.43056,11.2894,13.0734,11.8502
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis,9.99478,3.93673,6.02057,4.99841,7.30704,1.53398,2.90413,4.82413
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),0.0,0.0,0.0,0.0,5.90651,22.0606,10.0283,10.502
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli),40.1255,34.8692,47.4649,42.0719,28.2245,54.6727,37.2949,39.3123
NONMEVIPP-PWY: methylerythritol phosphate pathway I,477.424,552.41,563.812,504.674,497.122,460.953,472.218,444.09
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I,457.255,525.044,484.935,409.407,441.0,437.201,425.008,422.251
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),194.875,268.794,248.159,245.072,268.179,296.172,274.22,258.611
ORNDEG-PWY: superpathway of ornithine degradation,17.5863,30.9518,24.4926,24.5068,0.0,1.09558,3.12437,3.32888
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),0.0,8.14758,5.70863,4.41015,0.0,6.53719,8.19707,23.517
P108-PWY: pyruvate fermentation to propanoate I,3.89681,11.6013,27.0643,33.536,18.5331,17.0142,18.6195,75.07
P122-PWY: heterolactic fermentation,11.4243,0.0,8.14111,0.0,3.18908,0.0,0.0,0.0
P124-PWY: Bifidobacterium shunt,39.4019,84.6377,91.8599,76.9195,77.2907,75.0177,94.0995,68.7865
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",6.61777,8.20106,2.0817,2.06507,1.78847,2.0139,0.0,1.44596
P161-PWY: acetylene degradation (anaerobic),11.334,23.7514,27.4696,45.0451,31.994,44.5149,52.634,59.2356
P163-PWY: L-lysine fermentation to acetate and butanoate,0.0,3.37861,7.84371,3.1456,2.05589,8.76775,6.82533,4.79349
P164-PWY: purine nucleobases degradation I (anaerobic),75.5458,53.66,69.2058,72.6718,92.2106,76.2954,80.9924,57.2395
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),46.057,66.4871,77.6693,36.3699,26.1507,56.5666,34.744,26.7116
P221-PWY: octane oxidation,0.0,6.19766,2.12997,0.0,0.0,0.0,0.0,0.0
P23-PWY: reductive TCA cycle I,2.25236,6.32461,15.3308,18.8993,5.26388,10.6098,10.9515,4.32783
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",17.659,8.55249,12.8618,9.69381,13.922,3.55776,6.39399,9.98713
P41-PWY: pyruvate fermentation to acetate and (S)-lactate I,318.488,407.578,372.162,307.329,316.39,246.552,275.312,243.867
P42-PWY: incomplete reductive TCA cycle,45.9674,31.0343,64.2161,44.1475,65.9834,121.237,113.439,96.0132
P441-PWY: superpathway of N-acetylneuraminate degradation,96.101,105.682,114.975,123.945,74.3199,110.249,106.055,106.497
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",43.7944,59.4198,74.2828,36.8837,52.4819,80.4558,59.0535,60.1375
P621-PWY: nylon-6 oligomer degradation,5.34654,6.9587,3.49776,5.26951,1.22494,0.0,1.47333,0.0
PANTO-PWY: phosphopantothenate biosynthesis I,379.176,342.07,402.056,398.719,319.409,305.299,259.541,339.19
PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria),362.43,360.064,400.123,372.782,327.501,311.805,279.261,324.22
PENTOSE-P-PWY: pentose phosphate pathway,89.7154,131.5,168.369,164.879,157.54,138.238,125.267,132.484
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing),565.844,553.757,562.37,537.263,503.78,476.78,487.387,465.888
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),234.09,152.409,106.114,186.167,60.2096,60.698,96.0787,40.9322
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,42.5499,54.3554,54.0328,58.3416,0.0,6.41313,8.13667,13.2858
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,40.4671,51.7139,52.6115,58.0552,57.2625,78.6972,73.5322,81.1949
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),53.5089,57.9033,79.6002,82.4062,102.172,94.0132,74.3161,85.7299
PPGPPMET-PWY: ppGpp metabolism,101.534,64.8295,76.5386,65.1625,29.6012,52.98,36.3359,34.1567
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction),0.0,5.94472,0.0,4.29606,7.44317,0.0,0.0,4.06607
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),0.0,0.0,0.0,0.0,0.0,0.0,1.29087,0.0
PWY-1042: glycolysis IV,791.926,796.231,800.893,713.052,764.014,731.758,729.759,685.497
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis,141.776,49.1579,49.8352,96.2819,42.8213,41.814,76.0068,48.7405
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle),60.9516,106.552,92.9052,7.01328,83.519,126.461,80.0465,69.8575
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",32.5775,40.5806,20.2981,33.8099,2.50654,7.61412,7.34212,1.62479
PWY-2941: L-lysine biosynthesis II,95.4407,146.666,102.253,82.5791,35.0527,39.8218,67.1033,34.0181
PWY-2942: L-lysine biosynthesis III,466.028,448.729,465.226,445.503,441.063,436.499,455.343,421.907
PWY-3001: superpathway of L-isoleucine biosynthesis I,382.048,390.572,397.872,373.047,363.589,312.39,329.532,302.416
PWY-3841: folate transformations II (plants),465.521,521.298,511.604,473.207,462.559,430.017,450.868,422.602
PWY-4041: &gamma;-glutamyl cycle,39.3421,68.0776,56.7377,51.5203,69.6697,53.9969,69.8793,56.3559
PWY-4984: urea cycle,58.5552,132.816,136.168,128.021,138.009,133.07,152.23,122.439
PWY-5005: biotin biosynthesis II,18.8734,20.7989,22.6081,18.3626,17.1428,24.0982,21.2822,21.7069
PWY-5022: 4-aminobutanoate degradation V,28.0771,35.8201,49.8714,32.8958,57.7112,61.3275,64.4226,64.7727
PWY-5030: L-histidine degradation III,43.9058,50.1352,82.452,101.254,103.958,93.0119,92.2641,91.7484
PWY-5097: L-lysine biosynthesis VI,490.171,501.308,502.781,474.873,485.978,449.305,471.303,457.343
PWY-5100: pyruvate fermentation to acetate and lactate II,318.488,407.578,372.162,307.329,316.39,246.552,310.702,288.329
PWY-5103: L-isoleucine biosynthesis III,639.445,605.659,559.782,504.495,521.946,487.581,500.71,498.437
PWY-5104: L-isoleucine biosynthesis IV,1.3054,0.0,8.84804,0.0,0.0,2.1028,2.93052,2.47408
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),105.823,130.964,149.612,137.243,165.769,138.277,123.732,141.456
PWY-5130: 2-oxobutanoate degradation I,9.71498,15.8701,14.2729,23.5087,17.8219,27.0377,26.8146,31.6536
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome),9.05317,10.5921,8.15956,14.7373,6.72821,15.769,18.0684,15.9974
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",1.08955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),410.801,209.116,177.043,357.787,155.069,156.612,147.371,157.181
PWY-5180: toluene degradation I (aerobic) (via o-cresol),0.0,0.0,5.25186,0.0,0.0,0.0,0.0,0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),131.092,170.035,186.164,116.67,150.884,147.457,113.576,145.694
PWY-5189: tetrapyrrole biosynthesis II (from glycine),2.52212,9.00337,4.42516,1.54064,1.66486,1.7905,0.0,0.0
PWY-5198: factor 420 biosynthesis II (mycobacteria),0.0,0.0,0.0,0.0,0.0,12.5027,8.54487,8.17011
PWY-5209: methyl-coenzyme M oxidation to CO2,0.0,0.0,0.0,0.0,3.25428,11.7672,9.43549,6.7476
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),24.4704,61.6613,63.7134,49.0154,43.3225,56.4369,36.5625,45.0456
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),11.3921,4.49198,6.86414,5.70355,8.31807,1.7515,3.31262,5.49634
PWY-5367: petroselinate biosynthesis,0.0,0.0,0.0,0.0,15.1693,18.2021,18.4953,20.7392
PWY-5384: sucrose degradation IV (sucrose phosphorylase),73.827,113.533,102.425,94.7993,122.065,74.2756,91.0177,95.0341
PWY-5392: reductive TCA cycle II,1.7662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWY-5415: catechol degradation I (meta-cleavage pathway),0.0,0.0,1.7284,0.0,0.0,0.0,0.0,0.0
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",0.0,0.0,0.0,0.0,0.0,5.30075,3.3958,0.0
PWY-5484: glycolysis II (from fructose 6-phosphate),202.254,292.136,317.713,329.674,368.733,341.447,386.28,380.56
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway),0.0,2.7041,0.0,1.95934,3.44235,0.0,0.0,1.86596
PWY-5497: purine nucleobases degradation II (anaerobic),20.3751,26.8813,42.128,36.0298,25.7711,12.7677,17.9277,11.6313
PWY-5505: L-glutamate and L-glutamine biosynthesis,157.112,112.652,129.257,175.804,118.429,123.446,119.481,146.804
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,1.61437,0.0,0.0,0.0,0.0,0.0,0.0,1.951
PWY-5656: mannosylglycerate biosynthesis I,0.0,0.0,0.0,0.0,0.0,0.799638,0.0,0.0
PWY-5659: GDP-mannose biosynthesis,120.36,145.852,131.901,139.816,154.225,123.957,131.011,136.163
PWY-5667: CDP-diacylglycerol biosynthesis I,481.714,497.809,505.968,467.371,472.529,420.293,442.68,375.927
PWY-5675: nitrate reduction V (assimilatory),0.701372,0.0,2.4926,0.0,0.0,5.46964,8.82634,1.1903
PWY-5676: acetyl-CoA fermentation to butanoate II,51.2433,81.8932,85.0829,42.403,66.4801,93.1973,77.7638,61.1652
PWY-5677: succinate fermentation to butanoate,1.73892,0.0,4.56654,6.3138,0.0,0.0,0.0,0.0
PWY-5686: UMP biosynthesis I,603.567,599.541,644.157,586.074,569.856,540.745,523.781,541.879
PWY-5690: TCA cycle II (plants and fungi),13.5525,8.12028,11.2222,3.04306,19.853,20.0081,14.8746,22.0747
PWY-5695: inosine 5'-phosphate degradation,404.334,351.213,416.795,470.636,374.998,376.019,368.907,368.903
PWY-5723: Rubisco shunt,0.0,0.0,0.0,3.26978,1.71342,2.642,4.03546,0.0
"PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis",10.2848,0.0,0.0,3.11258,22.2295,16.259,22.3909,20.1831
PWY-5838: superpathway of menaquinol-8 biosynthesis I,28.0555,0.0,0.0,10.2016,51.7125,41.4056,50.2012,47.5333
PWY-5840: superpathway of menaquinol-7 biosynthesis,27.909,0.0,0.0,9.87978,49.342,40.8713,48.6311,45.5267
PWY-5845: superpathway of menaquinol-9 biosynthesis,21.0609,0.0,0.0,9.81576,27.61,23.1966,32.1574,27.8144
PWY-5850: superpathway of menaquinol-6 biosynthesis,0.0,0.0,0.0,0.0,0.0,4.91524,0.0,11.7738
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,0.0,0.0,0.0,0.0,0.0,3.30702,0.0,8.05034
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I,19.3913,0.0,0.0,6.87749,38.4358,29.9038,36.8459,35.2435
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,14.4246,0.0,0.0,6.61456,19.4784,16.1608,22.776,19.7059
PWY-5896: superpathway of menaquinol-10 biosynthesis,0.0,0.0,0.0,0.0,0.0,4.91524,0.0,11.7738
PWY-5897: superpathway of menaquinol-11 biosynthesis,26.871,0.0,0.0,9.06608,49.183,38.9863,49.1581,45.4296
PWY-5898: superpathway of menaquinol-12 biosynthesis,26.871,0.0,0.0,9.06608,49.183,38.9863,49.1581,45.4296
PWY-5899: superpathway of menaquinol-13 biosynthesis,26.871,0.0,0.0,9.06608,49.183,38.9863,49.1581,45.4296
PWY-5913: partial TCA cycle (obligate autotrophs),26.1939,30.8746,16.0375,27.1333,2.01198,6.13632,5.99301,1.30402
PWY-5918: superpathway of heme b biosynthesis from glutamate,4.42482,12.7957,8.72739,3.18928,2.9393,4.27307,0.0,0.0
PWY-5920: superpathway of heme b biosynthesis from glycine,0.0,0.0,2.48092,0.0,0.0,2.17115,0.0,0.0
PWY-5941: glycogen degradation II,645.3,716.483,732.242,583.886,680.893,591.384,622.137,558.338
PWY-5971: palmitate biosynthesis (type II fatty acid synthase),0.0,0.0,0.0,0.0,115.543,104.549,99.2942,108.404
PWY-5973: cis-vaccenate biosynthesis,361.262,227.368,249.093,368.075,257.861,227.006,301.051,266.243
PWY-5981: CDP-diacylglycerol biosynthesis III,18.5097,27.4613,3.58082,11.6867,1.41028,14.5942,10.4204,10.7417
PWY-5989: stearate biosynthesis II (bacteria and plants),42.3316,42.2797,73.1026,80.1363,93.3393,83.0017,72.9676,83.647
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I,456.815,548.348,540.072,449.849,489.484,436.177,453.344,447.424
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II,560.549,559.285,553.172,497.223,500.695,452.871,463.245,459.086
PWY-6123: inosine-5'-phosphate biosynthesis I,349.319,366.051,413.625,384.113,393.384,347.38,366.687,343.23
PWY-6124: inosine-5'-phosphate biosynthesis II,334.453,349.124,401.691,368.748,388.208,335.286,358.323,334.785
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,123.651,157.877,157.395,171.147,132.532,184.668,148.546,143.648
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II,165.824,215.352,214.693,226.064,180.58,242.544,199.656,193.867
PWY-6143: CMP-pseudaminate biosynthesis,0.0,3.00755,2.3573,2.55851,0.0,0.0,0.0,0.0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,229.131,128.356,97.7308,246.688,144.07,140.576,110.363,131.204
PWY-6151: S-adenosyl-L-methionine salvage I,462.963,522.57,497.086,464.564,449.32,375.41,390.154,408.669
PWY-6160: 3-dehydroquinate biosynthesis II (archaea),0.0,0.0,0.0,0.0,3.56759,15.1779,11.1102,10.558
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,513.856,599.624,613.498,512.669,548.583,529.02,497.851,495.794
PWY-6165: chorismate biosynthesis II (archaea),0.0,0.0,0.0,0.0,9.40641,38.5041,28.5249,27.1656
PWY-6167: flavin biosynthesis II (archaea),0.0,0.0,0.0,0.0,0.0,22.0323,23.0731,9.68666
PWY-6168: flavin biosynthesis III (fungi),31.6642,0.0,127.037,43.1773,0.0,44.2991,74.6552,76.15
PWY-621: sucrose degradation III (sucrose invertase),73.109,111.78,99.8578,92.5974,119.185,73.5541,87.4824,92.0607
PWY-622: starch biosynthesis,28.0949,37.667,28.0699,9.32405,0.0,0.0,0.0,0.0
PWY-6270: isoprene biosynthesis I,345.48,371.854,414.854,313.032,330.672,328.47,317.621,296.182
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis,560.549,559.285,553.172,497.223,500.695,452.871,463.245,459.086
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),42.1331,41.9985,72.0553,79.5738,93.1963,83.0855,74.7362,83.8746
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),0.0,0.0,0.0,0.0,38.8873,43.0746,42.9823,47.6807
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian),54.5396,81.9702,91.5639,73.8949,114.336,93.4248,140.034,114.158
PWY-6293: superpathway of L-cysteine biosynthesis (fungi),7.82644,15.9379,0.0,0.0,2.86473,0.0,2.91807,0.0
PWY-6305: superpathway of putrescine biosynthesis,48.5434,78.0646,89.4565,80.3143,83.3244,74.535,94.3588,67.794
PWY-6317: D-galactose degradation I (Leloir pathway),421.959,506.776,506.112,375.661,456.348,386.486,397.053,390.273
PWY-6349: CDP-archaeol biosynthesis,0.0,0.0,0.0,0.0,3.48913,17.1229,12.1569,9.41219
PWY-6350: archaetidylinositol biosynthesis,0.0,0.0,0.0,0.0,2.38207,13.4786,10.5268,7.91108
PWY-6353: purine nucleotides degradation II (aerobic),120.294,119.289,124.113,109.494,142.35,140.477,147.939,123.038
PWY-6385: peptidoglycan biosynthesis III (mycobacteria),546.776,553.757,562.37,529.638,498.284,460.166,472.163,448.812
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),585.078,596.46,595.14,553.107,518.344,488.262,495.16,476.358
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),580.903,591.976,587.367,547.283,512.813,483.867,489.387,471.081
"PWY-6396: superpathway of 2,3-butanediol biosynthesis",0.0,0.0,0.0,0.0,0.0,1.8938,0.0,1.14312
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),105.024,126.727,127.759,117.825,110.243,123.937,115.708,104.993
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,119.121,87.4108,82.2683,102.438,109.77,56.9051,79.356,71.136
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,46.4894,46.842,76.8242,86.486,94.9101,86.255,77.5341,86.3198
PWY-6527: stachyose degradation,422.552,423.522,379.405,328.519,374.675,307.331,270.151,271.534
PWY-6531: mannitol cycle,4.76692,3.58344,4.34733,5.91121,10.0177,5.54401,6.50953,4.52587
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III,64.7715,81.671,96.5495,68.2436,98.3238,110.664,110.155,105.129
PWY-6549: L-glutamine biosynthesis III,62.7834,67.4655,40.889,63.3321,35.2533,32.9787,25.0346,38.3137
PWY-6562: norspermidine biosynthesis,0.0,2.04059,0.0,0.0,7.49083,5.25886,8.30399,20.1192
PWY-6565: superpathway of polyamine biosynthesis III,0.0,0.0,0.0,0.0,4.34953,5.68952,7.34783,26.6232
PWY-6572: chondroitin sulfate degradation I (bacterial),4.2083,4.47483,9.80523,6.57386,0.0,0.0,0.0,0.0
PWY-6588: pyruvate fermentation to acetone,1.81039,8.47924,19.0028,9.77603,23.9372,19.063,38.3682,25.6367
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,26.6291,38.7798,27.2698,35.5458,83.5152,59.5166,90.9193,80.3343
PWY-6595: superpathway of guanosine nucleotides degradation (plants),7.36798,4.02896,14.3228,6.14369,4.6189,13.3927,8.28792,7.21251
PWY-6606: guanosine nucleotides degradation II,66.452,47.0662,60.2413,57.7481,78.279,73.6406,79.8831,63.8109
PWY-6607: guanosine nucleotides degradation I,7.45404,4.10528,15.0704,6.22905,4.6548,13.8361,8.4227,7.35575
PWY-6608: guanosine nucleotides degradation III,99.7289,144.001,171.113,95.2484,136.722,165.659,159.384,138.437
