Category,Term,Count,%,PValue,Genes,Fold Enrichment,FDR
HPA_RNA_TISSUE,ovary,3,0.828729281767955,0.874732523122131,"ROBO3, BAMBI, CDH11",0.840527760829774,0.942857142857142
HPA_RNA_TISSUE,intestine,18,4.97237569060773,0.910249419579835,"SEC16B, PTGDR2, FAXC, PRDM6, ARHGEF16, TMPRSS4, GRIK3, CACNA1C, WNT9A, FRMD1, SLC5A9, SLC22A18AS, NCS1, CCNI2, MUC12, SPEG, NPTX1, APOB",0.801100019383601,0.942857142857142
HPA_RNA_TISSUE,stomach 1,5,1.38121546961325,0.944230034933336,"ATP4A, PTGDR2, MUC5AC, FRMD1, FOXA2",0.66687239810243,0.944230034933336
HPA_RNA_TISSUE,lung,3,0.828729281767955,0.945204630454539,"GPRC5A, EPAS1, NCKAP5",0.655699666825321,0.945204630454539
HPA_RNA_TISSUE,salivary gland,5,1.38121546961325,0.948619817050615,"CHRM3, MUC16, KLRG2, OTX1, TAS1R3",0.656386983037926,0.948619817050615
HPA_RNA_TISSUE,skin 1,10,2.76243093922651,0.960631170364324,"CA12, FAM83H, LRRC15, C6ORF132, AHNAK2, TCHH, PLEKHN1, OTX1, DMKN, IGSF9",0.681014879628256,0.960631170364324
HPA_RNA_TISSUE,breast,2,0.552486187845303,0.961473750741791,"ANKRD30A, GSTM5",0.623077792853912,0.961473750741791
HPA_RNA_TISSUE,adrenal gland,3,0.828729281767955,0.972139807092597,"NR5A1, TH, ASTN1",0.559101055194805,0.972139807092597
HPA_RNA_TISSUE,vagina,2,0.552486187845303,0.972648286520869,"SALL3, PLEKHN1",0.564138001638001,0.972648286520869
HPA_RNA_TISSUE,epididymis,3,0.828729281767955,0.995857393628951,"CPNE7, CTNNA2, TAS1R3",0.400123438861458,0.995857393628951
HPA_RNA_TISSUE,bone marrow,7,1.93370165745856,0.999990768436912,"CEACAM3, RAB44, CARD9, OTOF, CWC25, SOX6, FHDC1",0.321477981131446,0.999990768436912
HPA_RNA_TISSUE,testis,24,6.62983425414364,0.999992909261317,"DNAI2, DNAH17, ANKRD30BL, ATP1A4, DCLK3, CACNA1B, CHD5, KIF6, FRMD1, WDR87, DNAJC18, CLGN, DMRTA2, FAM83F, CNNM1, NR6A1, MSANTD1, GLB1L, NLRP7, PRKACG, SALL4, IGF2BP1, NOX5, SSX2IP",0.50780998018707,0.999992909261317
HPA_RNA_TISSUE,lymphoid tissue,12,3.31491712707182,0.999999769844562,"NR5A1, LRRC15, FCGR2A, DMRT2, CARD9, SIRPG, KAZN, NOX5, DLL1, STK32B, ARNTL2, FRMD1",0.347885101010101,0.999999769844562
