taxid,domain,phylum,class,order,family,genus,species,C002_L-44,C002_L-92,C002_R+45,C002_R+82,C004_L-44,C004_L-92,C004_R+45,C004_R+82
1049336,Eukaryota,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,Ephemera,Ephemera danica,0.0,8.909364682360524,7.165461296732719,0.0,0.0,0.0,0.0,0.0
1050370,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Thiomonas,Thiomonas sp. X19,0.0,6.5512968695857845,0.0,0.0,0.0,0.0,0.0,0.0
1051632,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,Sulfobacillus acidophilus,0.0,0.0,0.0,0.0,0.0,4.7334357061539425,0.0,0.0
1054942,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-1,0.0,18.549078473557696,0.0,0.0,0.0,4.774018762685242,0.0,0.0
1054946,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Candidatus Arthromitus,Candidatus Arthromitus sp. SFB-5,0.0,0.0,0.0,0.0,5.499235963535986,0.0,0.0,9.656142287542076
105843,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum soehngenii,0.0,0.0,0.0,0.0,0.0,0.0,6.72185382957668,3.703616038058046
1064539,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum baldaniorum,23.926062877815543,0.0,12.061603982942094,0.0,19.55613673283151,0.0,12.258991623398993,0.0
106588,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Pseudoflavonifractor capillosus,4.547041898681872,0.0,6.340373306782094,0.0,0.0,22.026117979908022,25.47036150030997,15.691175569527116
106589,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,,0.0,0.0,0.0,5.027138973788718,0.0,0.0,0.0,0.0
106590,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus necator,0.0,0.0,0.0,10.06512833386768,0.0,0.0,10.321465746833848,0.0
106592,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer adhaerens,0.0,0.0,8.525255953171534,0.0,0.0,0.0,0.0,0.0
106654,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,7.30483602994603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069963,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter alkaliphilus,15.1711951328593,0.0,0.0,25.616521987119853,0.0,8.779915832877412,0.0,0.0
1070774,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,Halonotius sp. J07HN4,0.0,0.0,0.0,0.0,0.0,0.0,10.781417798591962,6.1087850718285726
1073090,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicilliopsis,Penicilliopsis zonata,0.0,0.0,0.0,0.0,5.730549666791032,0.0,0.0,0.0
1073351,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,19.800792794030592,68.72695199746235,48.86915158214085,0.0,0.0,0.0,0.0,0.0
1073376,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,[Ruminococcus] lactaris,0.0,0.0,0.0,0.0,0.0,9.240842600766012,0.0,0.0
1073386,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.767437745052431
1073569,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,7.616173774759064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073570,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thermophilus,0.0,0.0,0.0,7.141879261757374,0.0,0.0,0.0,0.0
1074000,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter universalis,0.0,13.877665120334528,9.87035189244971,0.0,28.51282945438948,0.0,10.801787947225664,0.0
1076126,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Phytohabitans,Phytohabitans houttuyneae,0.0,3.245460900972631,0.0,0.0,0.0,0.0,0.0,0.0
1076937,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Fontimonas,Fontimonas thermophila,0.0,0.0,0.0,0.0,0.0,7.905498783707991,0.0,0.0
1077285,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis,10.723435981223526,0.0,10.234063482635785,0.0,0.0,0.0,0.0,0.0
1077348,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,Ganoderma sinense,0.0,0.0,0.0,0.0,0.0,7.847580580512659,0.0,0.0
1078085,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Paenisporosarcina,Paenisporosarcina sp. HGH0030,7.291706246369282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078089,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp. HPS0048,0.0,0.0,0.0,6.998654162726147,0.0,0.0,0.0,0.0
1078464,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,0.0,8.190540159084893,0.0,0.0,0.0,0.0,0.0,0.0
1078763,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.250649681668443
1081782,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia hiiakae,0.0,0.0,8.86348976694583,0.0,0.0,0.0,0.0,0.0
1084,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pararhodospirillum,Pararhodospirillum photometricum,0.0,0.0,0.0,0.0,0.0,3.541476396774387,0.0,0.0
1088818,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Apostasia,Apostasia shenzhenica,0.0,10.946636195563825,0.0,0.0,0.0,0.0,0.0,0.0
1093141,Eukaryota,,Eustigmatophyceae,Eustigmatales,Monodopsidaceae,Nannochloropsis,Nannochloropsis gaditana,0.0,0.0,0.0,0.0,8.631471622140992,0.0,0.0,0.0
1095750,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum saburreum,0.0,0.0,56.52179369320902,0.0,0.0,0.0,0.0,0.0
1096246,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella effluvii,0.0,0.0,0.0,0.0,0.0,7.965970225559266,13.210336608502022,0.0
1099853,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter fastidiosus,0.0,0.0,8.466134446369846,5.5127712630363765,0.0,0.0,0.0,3.864623466589698
1101373,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas fonticaldi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.208209013871159
110321,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium medicae,11.769681886236478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104322,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,0.0,9.174946176482942,0.0,0.0,0.0,0.0,0.0,0.0
1105031,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. MSTE9,0.0,0.0,0.0,0.0,0.0,0.0,7.217084617012005,6.666152723040449
110505,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium heckeshornense,0.0,0.0,0.0,0.0,9.411625374870846,0.0,9.07121097199713,0.0
1108140,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia catarinensis,0.0,6.4885136795892295,0.0,0.0,0.0,0.0,0.0,0.0
1111133,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus sp. BV3AC2,0.0,0.0,0.0,0.0,0.0,0.0,4.453682062145628,0.0
1111135,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,Coriobacteriaceae bacterium BV3Ac1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.129290220226888
1114861,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium collinsii,7.035585536598189,6.883617754718238,0.0,9.599181745460896,0.0,5.416762999073337,0.0,0.0
1114943,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces tsukubensis,6.771550984671248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1114960,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus pyridinivorans,0.0,0.0,0.0,0.0,0.0,0.0,6.459403653701865,0.0
111527,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,9.23941071695296,9.221560544946138,19.49507188923716,10.732737101754582,0.0,9.086976376499992,0.0,0.0
1115758,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia ilealis,11.042867428241404,83.6779516536284,52.700290550522034,14.74489994085014,0.0,0.0,0.0,5.608994270635388
1115818,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pyogenes,15.79117272175042,9.070192853995538,5.7359293933206414,5.16090873619559,0.0,0.0,0.0,0.0
1117,Bacteria,Cyanobacteria,,,,,,0.0,0.0,0.0,0.0,6.655176336693083,0.0,0.0,0.0
1117987,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. 598K,0.0,0.0,0.0,0.0,0.0,0.0,6.448923359839598,0.0
1120227,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicoflavus,4.313763415133343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120994,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerosphaera,Anaerosphaera aminiphila,0.0,6.976158456685764,0.0,0.0,0.0,0.0,0.0,0.0
1121097,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides graminisolvens,0.0,0.0,0.0,5.649176119256593,0.0,3.5941537416759406,0.0,9.274621459196563
1121098,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,,Phocaeicola,Phocaeicola massiliensis,38.28608918970039,54.43164965709594,20.764877732836943,19.27710629428528,0.0,0.0,0.0,0.0
1121100,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides pyogenes,0.0,10.97312554148018,0.0,0.0,0.0,0.0,0.0,0.0
1121290,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium acetireducens,0.0,0.0,19.4878858497364,0.0,11.44178393269926,0.0,0.0,240.80894265755987
1121323,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum lactatifermentans,10.593217305750018,0.0,11.212998045534444,0.0,0.0,152.46476500587056,12.383131442246414,0.0
1121865,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus columbae,11.222907337286951,28.178299731632155,17.527076980506948,18.671964750326495,9.972557179369849,21.4162970840834,0.0,28.403787908190335
1122184,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Lutispora,Lutispora thermophila,6.264345646500967,0.0,0.0,5.018148653719658,0.0,0.0,0.0,0.0
1122204,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,Marinococcus luteus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.622483646618685
1122985,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii,0.0,0.0,0.0,0.0,0.0,3.261695192475826,0.0,0.0
1123069,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,Rubellimicrobium thermophilum,0.0,10.393284079895553,0.0,11.499084384882709,10.056728357200605,0.0,7.155236122247354,6.731000876283151
1123286,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Sporomusa acidovorans,0.0,6.118866897938276,0.0,0.0,18.096018054715135,0.0,0.0,7.228862556212824
1123500,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella halotolerans,0.0,0.0,0.0,0.0,0.0,12.837549581097896,0.0,0.0
1124744,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,Kribbella sindirgiensis,0.0,0.0,6.610013107140067,0.0,0.0,0.0,0.0,0.0
1125847,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium sp. NT-26,0.0,0.0,0.0,0.0,12.581078513225648,0.0,0.0,0.0
1127483,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus basilensis,0.0,0.0,0.0,3.667275560584216,0.0,0.0,0.0,0.0
1127690,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 181,0.0,7.074891473283087,0.0,0.0,0.0,0.0,0.0,0.0
1127694,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria sp. oral taxon 020,15.27137718015038,0.0,21.00348690807801,6.946417303014541,0.0,0.0,0.0,0.0
1127696,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas catoniae,0.0,0.0,0.0,0.0,6.106336287218276,12.763908803021232,0.0,0.0
1127699,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella saccharolytica,0.0,0.0,0.0,4.464623947398756,0.0,0.0,0.0,10.991836171609728
1129896,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus opacus,0.0,0.0,0.0,0.0,0.0,7.791812473027596,0.0,0.0
1130380,Bacteria,Spirochaetes,,,,,,0.0,0.0,0.0,7.679593405198206,0.0,0.0,0.0,0.0
1131707,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Sphaerochaeta pleomorpha,0.0,0.0,0.0,0.0,0.0,4.258533316148604,0.0,0.0
1131822,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,uncultured Akkermansia sp. SMG25,0.0,0.0,0.0,0.0,0.0,12.793472619037413,0.0,0.0
1132277,Bacteria,,,,,,uncultured bacterium r_02,0.0,0.0,13.118605065871714,0.0,0.0,0.0,0.0,5.8522119437813584
1132475,Bacteria,,,,,,uncultured bacterium scaffold00056,0.0,0.0,5.666192146347379,0.0,0.0,0.0,0.0,0.0
1133849,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia brasiliensis,9.970901536221945,10.413409102442394,0.0,0.0,0.0,0.0,0.0,0.0
1134687,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis,9.840862720797436,3.93573197345531,13.061770026183904,0.0,0.0,0.0,6.683918117990726,0.0
1134807,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,0.0,0.0,0.0,0.0,9.105405604777609,0.0,0.0,0.0
1134839,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,0.0,0.0,11.475615125471224,0.0,0.0,5.845169569344141,0.0,8.848879235733605
1145144,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis,0.0,0.0,0.0,0.0,6.781747174998289,0.0,0.0,0.0
1145179,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis,0.0,6.639709361800113,0.0,0.0,0.0,0.0,0.0,0.0
1145184,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria meningitidis,0.0,10.150579748155444,0.0,0.0,0.0,0.0,0.0,0.0
1150298,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,1165.0504819170872,1698.4870556585156,968.432166168305,778.1325077000355,823.0061473567025,367.3470772427709,1226.1341570980503,1297.4300605937613
1150460,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum,0.0,0.0,0.0,4.112451409521104,29.88956213357278,0.0,0.0,0.0
1150591,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium xenopi,0.0,0.0,4.553499257286888,0.0,0.0,0.0,0.0,0.0
1151255,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,33.45199065282002,0.0,46.97710004540728,0.0,0.0,0.0,0.0,0.0
1151268,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,0.0,0.0,0.0,8.908249670584006,0.0,0.0
1151327,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,0.0,0.0,28.217759224643228,0.0,0.0,0.0
1151333,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,23.036646129553723,0.0,0.0,0.0,0.0,0.0
1151342,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,0.0,0.0,0.0,0.0,4.6048344693986145,0.0
1151344,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,23.221551065896044,0.0,8.54746734799206,0.0,0.0,27.89480422108322,5.939522034224306,8.370902344212451
1151346,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,23.512564625172462,0.0,0.0,0.0,0.0,0.0,25.375153196913313,0.0
1151367,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,39.44041448082861,50.46251154211392,0.0,10.257569109758764,0.0,9.611920892424624
1151377,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,0.0,0.0,0.0,0.0,4.6015870543990385,0.0
1151382,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,0.0,0.0,20.902555716908275,0.0,0.0,0.0,0.0,0.0
