pathway,pval,padj,log2err,ES,NES,size,timepoint,celltype,sample,info
ABE_INNER_EAR,1.09e-05,0.000912,0.5933255,-0.9354623,-1.696039,43,Immediately Post-flight,CD4_T,Inspiration4,C2
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP,0.00014,0.00846,0.5188481,-0.5104675,-1.355088,835,Immediately Post-flight,CD4_T,Inspiration4,C2
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN,0.000252,0.0134,0.4984931,0.6443374,1.372673,701,Immediately Post-flight,CD4_T,Inspiration4,C2
ANDERSEN_LIVER_CANCER_KRT19_UP,6.47e-06,0.000573,0.6105269,-0.9625218,-1.689061,33,Immediately Post-flight,CD4_T,Inspiration4,C2
BENPORATH_MYC_MAX_TARGETS,3.3e-07,3.81e-05,0.6749629,-0.5869038,-1.57825,742,Immediately Post-flight,CD4_T,Inspiration4,C2
BENPORATH_MYC_TARGETS_WITH_EBOX,4.5e-07,5.06e-05,0.6749629,-0.7713507,-1.857667,218,Immediately Post-flight,CD4_T,Inspiration4,C2
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN,5.8e-05,0.00405,0.5573322,-0.8023358,-1.769887,118,Immediately Post-flight,CD4_T,Inspiration4,C2
BHATTACHARYA_EMBRYONIC_STEM_CELL,0.000114,0.00715,0.5384341,-0.8370282,-1.729882,79,Immediately Post-flight,CD4_T,Inspiration4,C2
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2,3.66e-06,0.000348,0.6272567,-0.8979299,-1.803545,68,Immediately Post-flight,CD4_T,Inspiration4,C2
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES,2.51e-16,5.44e-14,1.0376962,-0.9823437,-1.973095,68,Immediately Post-flight,CD4_T,Inspiration4,C2
BILANGES_SERUM_RESPONSE_TRANSLATION,5.66e-06,0.000508,0.6105269,-0.9641013,-1.698834,32,Immediately Post-flight,CD4_T,Inspiration4,C2
BONOME_OVARIAN_CANCER_SURVIVAL_SUBOPTIMAL_DEBULKING,0.000691,0.0299,0.4772708,0.6584714,1.369383,488,Immediately Post-flight,CD4_T,Inspiration4,C2
BOUDOUKHA_BOUND_BY_IGF2BP2,4.38e-05,0.0032,0.5573322,-0.8201655,-1.771415,102,Immediately Post-flight,CD4_T,Inspiration4,C2
BRUINS_UVC_RESPONSE_LATE,0.000513,0.0233,0.4772708,0.6156728,1.325341,1092,Immediately Post-flight,CD4_T,Inspiration4,C2
CAIRO_HEPATOBLASTOMA_CLASSES_UP,1.98e-08,2.65e-06,0.733762,-0.633496,-1.697461,599,Immediately Post-flight,CD4_T,Inspiration4,C2
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN,0.000215,0.0116,0.5188481,-0.804628,-1.733672,101,Immediately Post-flight,CD4_T,Inspiration4,C2
CHICAS_RB1_TARGETS_LOW_SERUM,0.000397,0.0192,0.4984931,-0.792555,-1.698517,95,Immediately Post-flight,CD4_T,Inspiration4,C2
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,9.4e-13,1.79e-10,0.9101197,-0.981617,-1.869409,52,Immediately Post-flight,CD4_T,Inspiration4,C2
CUI_TCF21_TARGETS_2_DN,1.84e-08,2.52e-06,0.733762,0.6902674,1.473632,825,Immediately Post-flight,CD4_T,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,6.47e-15,1.36e-12,0.9969862,0.7779632,1.608529,457,Immediately Post-flight,CD4_T,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,2.94e-24,7.7e-22,1.279034,0.7694353,1.644308,845,Immediately Post-flight,CD4_T,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_UP,0.000256,0.0135,0.4984931,-0.6228847,-1.54533,308,Immediately Post-flight,CD4_T,Inspiration4,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN,0.000695,0.0299,0.4772708,0.790499,1.398412,84,Immediately Post-flight,CD4_T,Inspiration4,C2
DANG_MYC_TARGETS_UP,1.26e-09,1.94e-07,0.7881868,-0.8869334,-2.008619,128,Immediately Post-flight,CD4_T,Inspiration4,C2
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP,2.03e-06,0.000209,0.6272567,0.7292638,1.463703,322,Immediately Post-flight,CD4_T,Inspiration4,C2
DAZARD_RESPONSE_TO_UV_NHEK_DN,1.09e-09,1.72e-07,0.7881868,0.7767817,1.548999,295,Immediately Post-flight,CD4_T,Inspiration4,C2
DAZARD_RESPONSE_TO_UV_NHEK_UP,5.88e-10,9.69e-08,0.8012156,-0.8356156,-1.990082,200,Immediately Post-flight,CD4_T,Inspiration4,C2
DAZARD_UV_RESPONSE_CLUSTER_G1,3.84e-06,0.00036,0.6105269,-0.9112188,-1.779121,59,Immediately Post-flight,CD4_T,Inspiration4,C2
DAZARD_UV_RESPONSE_CLUSTER_G6,6.83e-06,0.000596,0.6105269,0.7911591,1.476076,142,Immediately Post-flight,CD4_T,Inspiration4,C2
DIRMEIER_LMP1_RESPONSE_EARLY,0.000339,0.0166,0.4984931,-0.8626945,-1.689142,61,Immediately Post-flight,CD4_T,Inspiration4,C2
ENK_UV_RESPONSE_KERATINOCYTE_UP,2.92e-26,9.18e-24,1.3267161,-0.840486,-2.231132,505,Immediately Post-flight,CD4_T,Inspiration4,C2
FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL,4.22e-05,0.00316,0.5573322,0.7129348,1.427489,309,Immediately Post-flight,CD4_T,Inspiration4,C2
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,4.43e-05,0.0032,0.5573322,0.7046,1.423287,357,Immediately Post-flight,CD4_T,Inspiration4,C2
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP,1.48e-06,0.000156,0.6435518,-0.9319432,-1.77481,52,Immediately Post-flight,CD4_T,Inspiration4,C2
GABRIELY_MIR21_TARGETS,3.15e-06,0.000309,0.6272567,0.7415311,1.475268,287,Immediately Post-flight,CD4_T,Inspiration4,C2
GENTILE_UV_LOW_DOSE_DN,0.00125,0.0481,0.4550599,0.8111785,1.379481,62,Immediately Post-flight,CD4_T,Inspiration4,C2
GEORGES_TARGETS_OF_MIR192_AND_MIR215,9.76e-05,0.00632,0.5384341,0.6426326,1.373977,871,Immediately Post-flight,CD4_T,Inspiration4,C2
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN,2.6e-06,0.000259,0.6272567,0.653458,1.404033,1048,Immediately Post-flight,CD4_T,Inspiration4,C2
GOZGIT_ESR1_TARGETS_DN,0.000826,0.0342,0.4772708,0.6347395,1.352049,731,Immediately Post-flight,CD4_T,Inspiration4,C2
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN,1.37e-05,0.00109,0.5933255,0.6145093,1.339151,1733,Immediately Post-flight,CD4_T,Inspiration4,C2
GRUETZMANN_PANCREATIC_CANCER_DN,0.000404,0.0194,0.4984931,-0.6758013,-1.593854,189,Immediately Post-flight,CD4_T,Inspiration4,C2
HAMAI_APOPTOSIS_VIA_TRAIL_UP,3.37e-09,4.92e-07,0.774939,0.7153663,1.51508,647,Immediately Post-flight,CD4_T,Inspiration4,C2
HILLION_HMGA1B_TARGETS,6.58e-07,7.25e-05,0.6594444,-0.8952893,-1.854487,83,Immediately Post-flight,CD4_T,Inspiration4,C2
HILLION_HMGA1_TARGETS,8.07e-08,9.94e-06,0.7049757,-0.9131,-1.885099,81,Immediately Post-flight,CD4_T,Inspiration4,C2
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP,5.31e-05,0.00375,0.5573322,-0.9631712,-1.667756,27,Immediately Post-flight,CD4_T,Inspiration4,C2
HSIAO_HOUSEKEEPING_GENES,8.94e-39,5.62e-35,1.6216996,-0.922884,-2.36001,382,Immediately Post-flight,CD4_T,Inspiration4,C2
IRITANI_MAD1_TARGETS_DN,4.12e-05,0.00312,0.5573322,-0.9286684,-1.682591,44,Immediately Post-flight,CD4_T,Inspiration4,C2
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM,0.000136,0.0083,0.5188481,0.7288128,1.409713,201,Immediately Post-flight,CD4_T,Inspiration4,C2
JISON_SICKLE_CELL_DISEASE_DN,5.82e-08,7.46e-06,0.7195128,-0.8113591,-1.901896,180,Immediately Post-flight,CD4_T,Inspiration4,C2
JOHNSTONE_PARVB_TARGETS_2_DN,7.25e-05,0.00485,0.5384341,0.707997,1.425264,334,Immediately Post-flight,CD4_T,Inspiration4,C2
JOHNSTONE_PARVB_TARGETS_2_UP,0.000181,0.0101,0.5188481,-0.7448447,-1.697012,143,Immediately Post-flight,CD4_T,Inspiration4,C2
KEGG_OXIDATIVE_PHOSPHORYLATION,6.67e-05,0.00451,0.5384341,-0.7914894,-1.785941,127,Immediately Post-flight,CD4_T,Inspiration4,C2
KEGG_PARKINSONS_DISEASE,1.27e-05,0.00102,0.5933255,-0.8030035,-1.792881,122,Immediately Post-flight,CD4_T,Inspiration4,C2
KEGG_RIBOSOME,2.79e-36,4.39e-33,1.5697917,-0.9958054,-2.086723,86,Immediately Post-flight,CD4_T,Inspiration4,C2
KIM_ALL_DISORDERS_DURATION_CORR_DN,0.000145,0.00869,0.5188481,-0.7485155,-1.705375,143,Immediately Post-flight,CD4_T,Inspiration4,C2
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP,6.73e-19,1.63e-16,1.123915,-0.736213,-1.988679,738,Immediately Post-flight,CD4_T,Inspiration4,C2
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP,1.4e-16,3.14e-14,1.0476265,-0.7344777,-1.988583,659,Immediately Post-flight,CD4_T,Inspiration4,C2
LEE_LIVER_CANCER_MYC_UP,1.13e-05,0.000937,0.5933255,-0.9214843,-1.7265,50,Immediately Post-flight,CD4_T,Inspiration4,C2
LEE_LIVER_CANCER_SURVIVAL_DN,1.49e-06,0.000156,0.6435518,-0.7996043,-1.874339,173,Immediately Post-flight,CD4_T,Inspiration4,C2
LI_AMPLIFIED_IN_LUNG_CANCER,4.69e-18,1.09e-15,1.0959293,-0.9262252,-2.177309,171,Immediately Post-flight,CD4_T,Inspiration4,C2
LOPEZ_MBD_TARGETS,8.22e-08,9.94e-06,0.7049757,-0.5608063,-1.503966,919,Immediately Post-flight,CD4_T,Inspiration4,C2
LUI_TARGETS_OF_PAX8_PPARG_FUSION,0.000176,0.00992,0.5188481,-0.9377591,-1.645607,33,Immediately Post-flight,CD4_T,Inspiration4,C2
LUI_THYROID_CANCER_CLUSTER_3,0.000518,0.0233,0.4772708,-0.9450785,-1.636428,27,Immediately Post-flight,CD4_T,Inspiration4,C2
LUI_THYROID_CANCER_PAX8_PPARG_DN,4.12e-05,0.00312,0.5573322,-0.9288743,-1.682964,44,Immediately Post-flight,CD4_T,Inspiration4,C2
LU_EZH2_TARGETS_DN,0.000172,0.00992,0.5188481,0.6901558,1.405897,384,Immediately Post-flight,CD4_T,Inspiration4,C2
MALONEY_RESPONSE_TO_17AAG_DN,2.6e-05,0.00202,0.5756103,-0.8679234,-1.773407,73,Immediately Post-flight,CD4_T,Inspiration4,C2
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN,0.000273,0.014,0.4984931,0.7248293,1.407321,215,Immediately Post-flight,CD4_T,Inspiration4,C2
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_DN,0.000216,0.0116,0.5188481,0.7581577,1.417503,148,Immediately Post-flight,CD4_T,Inspiration4,C2
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_DN,0.000613,0.0268,0.4772708,0.7232271,1.398422,199,Immediately Post-flight,CD4_T,Inspiration4,C2
MARTENS_TRETINOIN_RESPONSE_DN,8.73e-37,2.74e-33,1.5763736,-0.831214,-2.237316,764,Immediately Post-flight,CD4_T,Inspiration4,C2
MARTINEZ_RB1_AND_TP53_TARGETS_DN,0.000112,0.00711,0.5384341,-0.5553439,-1.457697,552,Immediately Post-flight,CD4_T,Inspiration4,C2
MARTINEZ_RB1_TARGETS_DN,4.55e-06,0.000415,0.6105269,-0.6076333,-1.608153,507,Immediately Post-flight,CD4_T,Inspiration4,C2
MARTINEZ_RESPONSE_TO_TRABECTEDIN,1.84e-05,0.00145,0.5756103,0.868774,1.453277,50,Immediately Post-flight,CD4_T,Inspiration4,C2
MARTINEZ_TP53_TARGETS_DN,6.37e-05,0.0044,0.5384341,-0.5609013,-1.472518,556,Immediately Post-flight,CD4_T,Inspiration4,C2
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,0.000518,0.0233,0.4772708,0.6192206,1.330201,998,Immediately Post-flight,CD4_T,Inspiration4,C2
MODY_HIPPOCAMPUS_PRENATAL,1.19e-07,1.41e-05,0.7049757,-0.9699814,-1.756608,39,Immediately Post-flight,CD4_T,Inspiration4,C2
MOOTHA_VOXPHOS,4.62e-05,0.0033,0.5573322,-0.8471573,-1.775229,86,Immediately Post-flight,CD4_T,Inspiration4,C2
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,7.56e-05,0.00495,0.5384341,-0.8923607,-1.682525,51,Immediately Post-flight,CD4_T,Inspiration4,C2
NUTT_GBM_VS_AO_GLIOMA_DN,0.000276,0.014,0.4984931,-0.9038073,-1.637547,44,Immediately Post-flight,CD4_T,Inspiration4,C2
NUYTTEN_NIPP1_TARGETS_UP,0.000921,0.0373,0.4772708,0.636878,1.35623,720,Immediately Post-flight,CD4_T,Inspiration4,C2
ONKEN_UVEAL_MELANOMA_DN,8.18e-06,0.000704,0.5933255,-0.6053017,-1.610281,510,Immediately Post-flight,CD4_T,Inspiration4,C2
OSMAN_BLADDER_CANCER_DN,4.29e-09,6.13e-07,0.7614608,-0.7066618,-1.834334,406,Immediately Post-flight,CD4_T,Inspiration4,C2
OSMAN_BLADDER_CANCER_UP,0.000177,0.00992,0.5188481,0.6867249,1.400241,395,Immediately Post-flight,CD4_T,Inspiration4,C2
PARENT_MTOR_SIGNALING_UP,0.000275,0.014,0.4984931,0.660674,1.385573,540,Immediately Post-flight,CD4_T,Inspiration4,C2
PECE_MAMMARY_STEM_CELL_UP,1.11e-19,2.79e-17,1.1421912,-0.9596528,-2.170969,129,Immediately Post-flight,CD4_T,Inspiration4,C2
PEREZ_TP53_TARGETS,8.56e-07,9.27e-05,0.6594444,0.6531021,1.407239,1120,Immediately Post-flight,CD4_T,Inspiration4,C2
PILON_KLF1_TARGETS_UP,0.000452,0.0212,0.4984931,0.6716379,1.391513,469,Immediately Post-flight,CD4_T,Inspiration4,C2
PLASARI_TGFB1_TARGETS_10HR_DN,0.000719,0.0306,0.4772708,0.7028332,1.385535,245,Immediately Post-flight,CD4_T,Inspiration4,C2
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN,4.3e-05,0.00318,0.5573322,-0.8964128,-1.739552,57,Immediately Post-flight,CD4_T,Inspiration4,C2
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN,3.47e-06,0.000336,0.6272567,-0.9487699,-1.722913,42,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,4.54e-13,8.91e-11,0.9325952,-0.9767485,-1.904116,60,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,2.58e-28,1.08e-25,1.3802649,-0.8232199,-2.222127,625,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,2.46e-27,9.11e-25,1.3575741,-0.9685271,-2.252912,156,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD,0.00123,0.0478,0.4550599,0.9843877,1.384481,7,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_DEVELOPMENTAL_BIOLOGY,9.31e-30,4.5e-27,1.4172759,-0.7741355,-2.086562,907,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,8.69e-35,7.81e-32,1.536459,-0.9944453,-2.118311,93,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,4.9e-27,1.71e-24,1.3499257,-0.9810293,-2.177166,119,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_INFECTIOUS_DISEASE,6.77e-27,2.24e-24,1.3422338,-0.7729337,-2.053664,832,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_INFLUENZA_INFECTION,7.56e-25,2.07e-22,1.2951231,-0.9621359,-2.238045,156,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1.53e-36,3.21e-33,1.5697917,-0.9243184,-2.348731,358,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_METABOLISM_OF_RNA,2.98e-30,1.56e-27,1.4318124,-0.8225542,-2.205736,666,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,1.4e-31,9.81e-29,1.4604515,-0.851532,-2.249649,569,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,7.21e-25,2.06e-22,1.2951231,-0.980975,-2.149707,115,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,4.91e-28,1.93e-25,1.372743,-0.9649655,-2.277697,170,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.000318,0.0158,0.4984931,-0.7871308,-1.704997,103,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,0.000157,0.00921,0.5188481,-0.7764655,-1.752041,127,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,9.01e-36,9.44e-33,1.5565442,-0.9936796,-2.141007,101,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,0.000985,0.0395,0.4550599,-0.8264235,-1.613562,59,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_RRNA_PROCESSING,2.34e-30,1.34e-27,1.4318124,-0.9596157,-2.287579,201,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_SELENOAMINO_ACID_METABOLISM,4.56e-36,5.73e-33,1.563182,-0.9923343,-2.162464,107,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1.2e-25,3.59e-23,1.3110148,-0.9415666,-2.243089,213,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,4.27e-29,1.92e-26,1.4025887,-0.9859826,-2.162515,112,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,0.00123,0.0478,0.4550599,-0.6874789,-1.619453,177,Immediately Post-flight,CD4_T,Inspiration4,C2
REACTOME_TRANSLATION,5.76e-32,4.53e-29,1.467524,-0.9372518,-2.316424,274,Immediately Post-flight,CD4_T,Inspiration4,C2
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN,7.35e-05,0.00487,0.5384341,0.6516138,1.388762,788,Immediately Post-flight,CD4_T,Inspiration4,C2
SANA_RESPONSE_TO_IFNG_DN,6.53e-05,0.00446,0.5384341,-0.8453585,-1.753977,82,Immediately Post-flight,CD4_T,Inspiration4,C2
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN,0.000122,0.0075,0.5384341,0.6885731,1.40362,389,Immediately Post-flight,CD4_T,Inspiration4,C2
SHEN_SMARCA2_TARGETS_UP,0.000273,0.014,0.4984931,0.6827207,1.39968,422,Immediately Post-flight,CD4_T,Inspiration4,C2
SMID_BREAST_CANCER_BASAL_DN,1.16e-05,0.000949,0.5933255,0.673988,1.430593,658,Immediately Post-flight,CD4_T,Inspiration4,C2
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN,0.000287,0.0144,0.4984931,-0.9984029,-1.50686,5,Immediately Post-flight,CD4_T,Inspiration4,C2
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP,3.1e-09,4.64e-07,0.774939,-0.6836925,-1.815599,478,Immediately Post-flight,CD4_T,Inspiration4,C2
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,2.55e-06,0.000259,0.6272567,-0.6248262,-1.648194,514,Immediately Post-flight,CD4_T,Inspiration4,C2
TAKAO_RESPONSE_TO_UVB_RADIATION_UP,3.33e-07,3.81e-05,0.6749629,-0.9006868,-1.865667,83,Immediately Post-flight,CD4_T,Inspiration4,C2
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,4.15e-11,7.24e-09,0.8513391,-0.7596527,-1.910318,350,Immediately Post-flight,CD4_T,Inspiration4,C2
TIEN_INTESTINE_PROBIOTICS_24HR_DN,2.43e-11,4.49e-09,0.8634154,-0.8440083,-1.996997,205,Immediately Post-flight,CD4_T,Inspiration4,C2
TIEN_INTESTINE_PROBIOTICS_6HR_UP,1.12e-08,1.56e-06,0.7477397,-0.9646576,-1.807389,50,Immediately Post-flight,CD4_T,Inspiration4,C2
TONG_INTERACT_WITH_PTTG1,0.00101,0.0401,0.4550599,-0.8487696,-1.647097,57,Immediately Post-flight,CD4_T,Inspiration4,C2
WANG_TUMOR_INVASIVENESS_UP,3.61e-14,7.31e-12,0.9653278,-0.7949584,-2.03049,374,Immediately Post-flight,CD4_T,Inspiration4,C2
WEST_ADRENOCORTICAL_TUMOR_DN,0.000302,0.015,0.4984931,-0.5614188,-1.485937,515,Immediately Post-flight,CD4_T,Inspiration4,C2
WONG_EMBRYONIC_STEM_CELL_CORE,3.02e-11,5.42e-09,0.8513391,-0.7726681,-1.928753,332,Immediately Post-flight,CD4_T,Inspiration4,C2
WP_CANONICAL_AND_NONCANONICAL_NOTCH_SIGNALING,0.000839,0.0345,0.4772708,0.8838966,1.381535,26,Immediately Post-flight,CD4_T,Inspiration4,C2
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,1.19e-30,7.48e-28,1.4390257,-0.9932346,-2.093568,88,Immediately Post-flight,CD4_T,Inspiration4,C2
