gene,baseMean,log2FoldChange,lfcSE,stat,pval,adj_pval
ABCB5,9.04887644,0.22666056,0.17003867,1.33299423,0.1825337,0.64488049
ABCB6,10.7856693,0.24919404,0.14589401,1.7080484,0.08762736,0.51684567
ABCB7,7.78835203,0.02983631,0.19000802,0.15702659,0.8752239,0.97595082
ABCB8,6.64203032,-0.1592776,0.2053778,-0.7755348,0.43802372,
ABCB9,12.9972593,0.11989926,0.1561459,0.76786684,0.4425663,0.81079041
ABCC1,9.72725763,-0.329907,0.1824681,-1.8080257,0.0706025,0.4792538
ABCC10,7.72814124,-0.1241242,0.19692359,-0.6303163,0.52848764,0.85678841
ABCC11,7.86304724,0.17736232,0.18203479,0.97433199,0.32989173,0.75468795
ABCC12,8.3164103,0.28370932,0.17661029,1.60641447,0.10818287,0.54780518
ABCC2,7.40158342,0.30238032,0.17604265,1.71765378,0.08585979,0.51460653
ABCC3,11.3414753,-0.065112,0.15652144,-0.415994,0.67741442,0.91982029
ABCC4,7.12027083,0.31246072,0.19619875,1.59257243,0.11125614,
ABCC5,8.43229768,0.34939124,0.16956826,2.06047554,0.0393531,0.39851805
ABCC6,11.8681828,0.04531584,0.15250064,0.29715178,0.76635064,0.94710281
ABCC8,11.0938832,-0.0019331,0.17110288,-0.011298,0.99098573,0.99730326
ABCC9,9.34014483,0.29992642,0.16806815,1.78455235,0.07433396,0.48955476
ABCD1,10.0854847,0.35433868,0.17713346,2.00040515,0.04545653,0.41702817
ABCD2,9.46598846,0.43852972,0.18297855,2.39661824,0.01654715,0.30528388
ABCD3,7.69586121,-0.3559353,0.21024595,-1.6929472,0.09046551,0.51995782
ABCD4,10.1816321,0.07571537,0.16721193,0.45281083,0.65068497,0.9112534
ABCE1,9.92557012,-0.0336068,0.16153553,-0.208046,0.83519306,0.96620145
ABCF1,10.6501941,0.22558247,0.15477366,1.45749912,0.14497865,0.59690482
ABCF2,11.4007333,-0.1453664,0.14349666,-1.01303,0.31104583,0.74402836
ABCF3,9.87628331,0.06390186,0.15941439,0.40085378,0.68852778,0.92298067
ABCG1,8.60419588,-0.4049519,0.20738998,-1.9526106,0.05086575,0.43048009
ABCG2,6.5774761,-0.1093219,0.21081707,-0.5185628,0.60406569,
ABCG4,8.38368446,0.20301099,0.1765419,1.14993087,0.25017234,0.70181831
ABCG5,11.3532449,0.33170003,0.15185142,2.18437228,0.0289349,0.36358681
ABCG8,11.6099644,0.15704027,0.14747418,1.06486618,0.28693649,0.72872528
ABHD1,10.2893576,0.22824856,0.15119461,1.50963421,0.13113679,0.57776026
ABHD10,6.91757576,0.10676279,0.20649321,0.51702807,0.60513656,
ABHD11,7.63364449,0.28108259,0.2085463,1.34781863,0.17771672,0.64133766
ABHD12,8.53534703,0.09131494,0.16633091,0.5489956,0.58300847,0.88257739
ABHD12B,5.70682039,0.21911407,0.22292828,0.98289038,0.3256614,
ABHD13,7.26512618,0.19320001,0.19153175,1.0087101,0.31311369,0.74561151
ABHD14A,7.43962813,0.17611448,0.20524501,0.85806946,0.39085411,0.78863554
ABHD14B,9.10170821,0.00196747,0.17774518,0.01106904,0.99116837,0.99730326
ABHD15,9.42699787,0.36612136,0.17844214,2.05176519,0.04019249,0.40073325
ABHD16A,15.0634169,-0.2376252,0.18842173,-1.2611349,0.20726024,0.66848639
ABHD16B,9.67706773,0.10934253,0.15803664,0.69188089,0.48901213,0.83762295
ABHD17A,18.0419415,-0.1406985,0.14828375,-0.9488461,0.34269887,0.76280271
ABHD17B,11.2698185,0.43814309,0.15477012,2.83092824,0.00464131,0.204774
ABHD17C,11.4901516,-0.1556033,0.15624618,-0.9958855,0.31930577,0.74750365
ABHD18,12.6667952,-0.0501128,0.14337938,-0.3495121,0.7267049,0.9359242
ABHD2,11.4819499,0.0430881,0.16155511,0.26670838,0.7896937,0.95538803
ABHD3,7.93100672,0.22705919,0.19126458,1.18714712,0.23516959,0.69180159
ABHD4,6.35714297,-0.1463463,0.21539392,-0.6794356,0.4968619,
ABHD5,11.6580263,0.20210325,0.14872268,1.35892694,0.17416974,0.63492276
ABHD6,7.26527438,-0.4831322,0.20043139,-2.410462,0.01593233,0.30256434
ABHD8,13.5375775,0.0878178,0.15407475,0.56996882,0.56869884,0.87770488
ABI1,12.2598206,0.06600559,0.142689,0.46258362,0.64366285,0.90906563
ABI2,10.5329871,0.04610363,0.16888582,0.27298699,0.78486322,0.95365164
ABI3,7.70556575,0.34077723,0.20422833,1.66860897,0.0951949,0.52624523
ABI3BP,8.35457732,0.14087873,0.18053469,0.78034163,0.43518981,0.80795964
ABITRAM,12.2315073,0.38839138,0.14705565,2.64111834,0.00826329,0.23933336
ABL1,9.42415283,0.21719016,0.17047902,1.27399934,0.20266365,0.66289699
ABL2,9.00110611,-0.0654709,0.20562752,-0.3183955,0.75018497,0.94205118
ABLIM1,10.4559619,-0.1369952,0.16888941,-0.8111531,0.41727777,0.80010333
ABLIM2,7.54106478,0.13072775,0.19399606,0.67386808,0.50039519,0.84237623
ABLIM3,8.23755516,0.03486139,0.17923533,0.19450066,0.84578388,0.96758635
ABO,8.31208218,-0.1708415,0.18079761,-0.9449324,0.34469337,0.76460634
ABR,8.95591203,-0.197303,0.17751741,-1.1114571,0.26637164,0.71431945
ABRA,6.99796322,0.12586052,0.20039829,0.62805187,0.52996996,
ABRACL,13.3356203,-0.0667207,0.14733455,-0.4528519,0.65065536,0.9112534
ABRAXAS1,11.4457031,0.16174438,0.15033053,1.07592501,0.2819608,0.72677958
ABRAXAS2,12.5028309,-0.0423579,0.13997196,-0.302617,0.76218179,0.94595867
ABT1,8.1754547,0.24634013,0.17938607,1.37324004,0.16967774,0.63083306
ABTB1,10.9248796,-0.1390933,0.1663347,-0.8362253,0.40302819,0.79521833
ABTB2,9.74865354,0.24156736,0.15816464,1.52731581,0.1266825,0.57175721
ACAA1,7.34847839,-0.2576643,0.19912228,-1.2940003,0.19566533,0.65652378
ACAA2,12.0920428,0.10767983,0.1552421,0.69362521,0.48791728,0.83733369
ACACA,8.6362832,-0.0301327,0.18194523,-0.1656143,0.86846049,0.97419022
ACACB,9.86352247,0.04903749,0.16831198,0.29134875,0.7707846,0.94891021
ACAD10,11.2630731,0.00976796,0.16811628,0.05810238,0.95366708,0.9937666
ACAD11,9.30514465,-0.3391914,0.17228931,-1.9687317,0.04898391,0.42671254
ACAD8,13.6115033,-0.009796,0.16411757,-0.0596889,0.95240344,0.9937666
ACAD9,12.4414745,-0.0876355,0.14584918,-0.600864,0.54793059,0.86653234
ACADL,8.68032391,0.41087102,0.17910429,2.29403223,0.02178865,0.32993653
ACADM,11.539867,-0.1505571,0.14997697,-1.0038685,0.31544202,0.74584225
ACADS,9.72426601,0.39305627,0.19262114,2.04056667,0.04129392,0.4057008
ACADSB,11.3232781,-0.0106013,0.16138829,-0.0656883,0.947626,0.9937666
ACADVL,19.5814823,-0.1875774,0.20759047,-0.9035936,0.36621092,0.77573342
ACAN,6.5702127,0.13969667,0.19939386,0.7006067,0.4835485,
ACAP2,9.20244427,0.14382123,0.17794762,0.80822223,0.41896266,0.80138587
ACAP3,13.562606,-0.2583861,0.17923721,-1.4415872,0.14941885,0.60108064
ACAT1,11.1083602,0.05268678,0.15453869,0.34092939,0.73315674,0.93813842
ACAT2,10.392951,-0.0605089,0.15754589,-0.3840713,0.70092561,0.92763994
ACBD3,10.9756148,-0.1938004,0.14823462,-1.3073893,0.19108052,0.65147741
ACBD4,7.02037486,0.00422608,0.21446206,0.01970549,0.98427831,
ACBD5,13.0500093,0.32191207,0.14476302,2.22371756,0.02616745,0.35319883
ACBD6,6.55559625,0.06775063,0.2024856,0.33459482,0.73793075,
ACBD7,10.6030441,0.22116856,0.17451166,1.26735695,0.20502768,0.66600359
ACCS,8.27504535,0.37360839,0.1808536,2.06580562,0.03884684,0.39719433
ACCSL,6.30145724,-0.0279947,0.21170574,-0.1322338,0.89479938,
ACD,7.75957893,0.66083367,0.24541014,2.69277241,0.00708606,0.23259455
ACE,8.04717768,0.18254091,0.19648156,0.92904854,0.35286393,0.76923333
ACE2,9.10043215,0.32214597,0.18761461,1.71706227,0.08596779,0.51460653
ACER1,8.60281334,0.24406945,0.20032899,1.21834314,0.2230936,0.68145321
ACER2,13.9903866,-0.2105914,0.15344992,-1.3723789,0.16994551,0.63083306
ACER3,7.74341783,0.31102668,0.18898121,1.64580749,0.0998034,0.53171064
ACHE,9.69933976,-0.0280146,0.19477579,-0.1438302,0.88563459,0.97843499
ACIN1,7.86602936,-0.0784758,0.18612508,-0.4216294,0.67329553,0.91839393
ACKR1,6.73163002,-0.0210296,0.21631024,-0.0972198,0.92255188,
ACKR2,11.4367159,-0.0058962,0.15863949,-0.0371675,0.97035145,0.9943792
ACKR3,8.18228009,-0.0613089,0.18210173,-0.3366736,0.73636294,0.93941125
ACKR4,10.2883993,0.03213885,0.18838161,0.17060504,0.86453433,0.97336322
ACLY,8.99760018,0.19920349,0.19203333,1.0373381,0.29957831,0.73637782
ACMSD,6.91034979,0.56771294,0.22704047,2.5004923,0.01240208,
ACO1,11.339665,-0.0424521,0.15303019,-0.2774097,0.78146553,0.95264063
ACO2,12.4610616,0.09721012,0.15522065,0.6262705,0.53113753,0.85734101
ACOD1,9.88893964,0.07048722,0.16456891,0.42831428,0.66842232,0.91605967
ACOT1,14.4956402,0.19768665,0.15720356,1.2575202,0.20856533,0.66984909
ACOT11,9.02217263,0.00478432,0.16839272,0.02841171,0.97733379,0.99521335
ACOT12,7.18903969,-0.0194275,0.20412868,-0.095173,0.92417738,
ACOT13,8.69287151,0.26729479,0.17311502,1.54403004,0.12258106,0.56851627
ACOT2,12.7748633,0.15605095,0.1525469,1.02297029,0.30632189,0.74057285
ACOT4,11.9849657,0.02960921,0.15097972,0.19611385,0.84452106,0.96739167
ACOT6,5.7708289,0.25763968,0.21621073,1.19161375,0.23341273,
ACOT7,7.62075398,0.14007267,0.20011857,0.69994839,0.48395954,0.83535522
ACOT8,9.96040576,0.27064378,0.1651592,1.63868429,0.10127903,0.53372132
ACOT9,8.75075013,0.31280283,0.16933198,1.84727559,0.06470721,0.46629632
ACOX1,8.47831584,-0.0661152,0.17727335,-0.3729562,0.70918106,0.93007662
ACOX2,10.0700974,0.0482021,0.16560398,0.29106846,0.77099896,0.94902129
ACOX3,8.65620242,-0.23385,0.18295185,-1.278205,0.20117715,0.6612936
ACOXL,6.06945327,0.25377366,0.21538265,1.1782456,0.23869871,
ACP1,8.72466339,0.20776165,0.19009964,1.09290922,0.27443366,0.7218361
ACP2,11.1344956,-0.0270476,0.15722069,-0.1720357,0.86340947,0.97328704
ACP3,12.7286825,0.16032478,0.15211671,1.05395901,0.29190168,0.73254847
ACP4,6.62287476,0.29163218,0.20239873,1.44087949,0.14961873,
ACP5,7.43761915,-0.0995001,0.19151488,-0.5195426,0.60338238,0.89241327
ACP6,9.93723247,0.28851572,0.16188551,1.78222076,0.07471324,0.48958867
ACP7,7.56452587,0.53035622,0.19976269,2.65493133,0.00793246,0.23712166
ACR,12.5444551,0.22713469,0.15368234,1.47794913,0.13942139,0.58960968
ACRBP,8.62030235,0.0052503,0.17206657,0.03051317,0.97565779,0.99469893
ACRV1,10.5965302,0.1434485,0.15654651,0.9163315,0.35949305,0.77068877
ACSBG1,7.3261898,0.11221912,0.19572602,0.57334798,0.5664091,0.87665319
ACSBG2,9.99398389,-0.140664,0.16861267,-0.8342435,0.40414377,0.79557538
ACSF2,17.0922156,-0.3887137,0.16975033,-2.2899141,0.0220263,0.33156813
ACSF3,10.7620634,0.00858186,0.15852148,0.0541369,0.95682609,0.9937666
ACSL1,13.1586615,-0.1056086,0.17071391,-0.618629,0.53616082,0.86008184
ACSL3,6.78823142,0.15389355,0.18983456,0.81067192,0.4175541,
ACSL4,9.21727614,0.46853215,0.16653897,2.81334839,0.00490285,0.20747364
ACSL5,6.57268705,0.12882227,0.23426076,0.5499097,0.58238131,
ACSL6,6.74586014,-0.3131617,0.20110865,-1.5571766,0.11942855,
ACSM1,6.87286271,0.17776666,0.19049679,0.93317406,0.35073011,
ACSM2A,9.57540145,-0.0127001,0.1742485,-0.0728848,0.94189778,0.99342343
ACSM2B,10.6794591,0.07213798,0.15158025,0.47590615000000003,0.63414124,0.90514704
ACSM3,11.8317786,0.21003929,0.15369537,1.36659476,0.17175236,0.63282963
ACSM4,10.5486026,-0.1332735,0.17454227,-0.7635602,0.44512939,0.81232487
ACSM5,20.3020634,-0.0671722,0.15114085,-0.4444347,0.65672835,0.91394761
ACSM6,6.84096065,-0.0191331,0.19586689,-0.0976842,0.92218306,
ACSS1,9.95747354,-0.2661775,0.16148743,-1.6482863,0.09929394,0.53140373
ACSS2,9.50395915,0.13669185,0.15280426,0.89455526,0.37102488,0.77982859
ACSS3,10.5475212,0.20740018,0.15523431,1.33604602,0.18153423,0.6440276
ACTA1,12.3052177,-0.0812479,0.27123552,-0.2995474,0.76452242,0.94668004
ACTA2,64.2851889,0.30427973,0.27224219,1.11768031,0.26370356,0.7117726
ACTBL2,11.5497258,0.39967636,0.16499825,2.42230668,0.01542233,0.29973529
ACTC1,14.5998394,0.1462658,0.23976268,0.61004407,0.54183262,0.86378417
ACTG2,41.4766783,0.3168616,0.27212493,1.16439757,0.24426293,0.69852567
ACTL10,8.134756,0.03218878,0.16541986,0.19458838,0.8457152,0.96758635
ACTL6A,10.6390409,-0.173603,0.16561193,-1.0482517,0.29452265,0.7337414
ACTL6B,6.54324041,0.40341984,0.19839404,2.03342718,0.04200938,
ACTL7A,7.05401421,0.2101551,0.18114068,1.1601762,0.24597707,
ACTL7B,6.51042327,0.07137475,0.19366318,0.36855096,0.71246245,
ACTL8,9.12742023,0.19859275,0.16341498,1.21526652,0.22426446,0.68255881
ACTL9,10.7136944,0.02601915,0.17465383,0.14897553,0.88157294,0.97718778
ACTN1,11.7682518,0.34866202,0.30059465,1.15990761,0.24608642,0.69933101
ACTN2,11.4472433,0.08766963,0.15474828,0.56653058,0.57103315,0.87816394
ACTN3,7.93736199,0.23088901,0.17843852,1.29394155,0.19568561,0.65652378
ACTN4,21.567058,-0.2730395,0.17836066,-1.5308282,0.12581186,0.5715393
ACTR10,12.5010043,0.21429946,0.1856866,1.15409226,0.24846234,0.70098144
ACTR1A,9.67368112,-0.0705162,0.16005736,-0.4405683,0.65952554,0.91550989
ACTR1B,7.01160644,0.28435731,0.18826985,1.5103709,0.13094881,
ACTR2,14.2127612,0.1429476,0.13978404,1.02263174,0.306482,0.74057285
ACTR3,15.3819708,0.1821419,0.14685946,1.24024632,0.2148843,0.67483704
ACTR3B,16.6560828,-0.3320935,0.15357369,-2.1624372,0.03058449,0.3700163
ACTR5,11.3310914,0.37660828,0.17685144,2.12951771,0.03321145,0.38075231
ACTR6,11.1255263,0.21093303,0.16232522,1.29944706,0.19379055,0.65417099
ACTR8,7.59643233,-0.140071,0.18067729,-0.775255,0.43818898,0.80940793
ACTRT1,10.9453679,0.11862548,0.15761072,0.75264854,0.45166114,0.81716142
ACTRT2,15.0601632,0.12014952,0.13963132,0.86047689,0.38952622,0.78800953
ACTRT3,8.00326084,0.23841342,0.18797082,1.26835335,0.20467179,0.66528636
ACVR1,10.1259327,0.08805801,0.16679708,0.52793493,0.5975445,0.88991945
ACVR1B,10.3109617,0.03783218,0.15162821,0.24950619,0.80296925,0.9584655
ACVR1C,8.98733644,0.37585994,0.23143808,1.62401945,0.10437166,0.53964186
ACVR2A,13.9091984,-0.1591708,0.21967994,-0.7245578,0.46872336,0.82689972
ACVR2B,9.44387647,0.43281048,0.17150547,2.52359579,0.01161614,0.26748609
ACVRL1,7.91700527,0.17326316,0.18518473,0.93562336,0.34946714,0.76749641
ACY1,11.8830474,0.12853255,0.14670379,0.87613654,0.38095581,0.78435068
ACY3,9.280792,0.05680748,0.17022089,0.333728,0.73858482,0.94001166
ACYP1,8.69738956,0.14946716,0.17114449,0.87333902,0.38247832,0.78489257
ACYP2,13.265512,0.09359486,0.14734556,0.63520649,0.52529375,0.85606176
ADA,10.1190877,-0.2109042,0.16896868,-1.2481852,0.21196324,0.6729958
ADA2,8.10366236,0.26216219,0.18810827,1.39367709,0.16341514,0.62213376
ADAD1,9.90673359,0.13571462,0.16731591,0.81112798,0.41729218,0.80010333
ADAD2,6.10878585,0.24168726,0.26922462,0.89771603,0.36933696,
ADAL,6.71953274,0.36557873,0.19088164,1.91521164,0.05546552,
ADAM10,13.4611714,0.10374081,0.13963013,0.74296862,0.45750068,0.8210114
ADAM11,10.1634588,-0.1103756,0.15674846,-0.7041577,0.48133455,0.83391195
ADAM12,8.55424433,-0.0776081,0.17814112,-0.4356554,0.6630868,0.91550989
ADAM15,1016.11513,-0.1173139,0.23297113,-0.5035557,0.61457361,0.89753869
ADAM17,7.57894592,-0.3692129,0.18649644,-1.9797317,0.04773368,0.42423312
ADAM18,8.38182368,0.20166552,0.17104634,1.17901098,0.2383938,0.69411125
ADAM19,8.4343218,0.0672225,0.17356556,0.38730323,0.69853173,0.9269995
ADAM2,8.33045061,0.1709993,0.19319922,0.88509312,0.37610641,0.78277458
ADAM20,7.37343757,-0.0087208,0.20571738,-0.042392,0.96618622,0.99380289
ADAM21,10.4577605,0.24923316,0.17916828,1.39105624,0.16420837,0.62356436
ADAM22,8.51608937,-0.0774009,0.1842946,-0.4199844,0.67449686,0.91887318
ADAM23,9.22000793,0.23872675,0.16982084,1.40575645,0.15979646,0.61529917
ADAM28,8.6730782,-0.1808188,0.1925937,-0.9388615,0.34780187,0.76642749
ADAM29,7.91847596,-0.0992068,0.18308491,-0.5418623,0.58791337,0.88553407
ADAM30,8.29547089,0.13759164,0.17874321,0.76977268,0.44143475,0.8105627
ADAM32,9.62414928,-0.5135078,0.19899249,-2.5805386,0.00986463,0.25410267
ADAM33,12.1294774,0.09662094,0.19267274,0.50147695,0.6160355,0.89839686
ADAM7,7.4404017,0.13548204,0.19762113,0.68556451,0.49298777,0.83890033
ADAM8,5.3931318,0.11909238,0.23550813,0.50568267,0.61307944,
ADAM9,12.180761,-0.4327509,0.15917221,-2.7187591,0.00655273,0.22680088
ADAMDEC1,7.17244587,-0.0112904,0.29404629,-0.0383968,0.96937131,
ADAMTS1,9.48346279,-0.1105882,0.18519913,-0.5971311,0.55041983,0.86843059
ADAMTS10,9.33877784,0.35086064,0.16673792,2.10426416,0.03535541,0.38689989
ADAMTS12,9.28526606,0.17629382,0.16417759,1.07379956,0.28291253,0.72699557
ADAMTS13,11.7612315,0.28341011,0.14054484,2.01651033,0.04374664,0.4119886
ADAMTS14,7.47399995,0.33155967,0.1933135,1.71513979,0.0863196,0.51460653
ADAMTS15,8.33191428,-0.1658346,0.18987529,-0.8733869,0.38245223,0.78489257
ADAMTS16,7.20481035,0.00469435,0.19748437,0.02377075,0.98103547,
ADAMTS17,8.2801888,-0.0729517,0.17541055,-0.415891,0.67748979,0.91984524
ADAMTS18,9.27408869,0.23867664,0.17296105,1.37994443,0.16760376,0.62864445
ADAMTS19,5.42378556,-0.1050652,0.21430403,-0.4902622,0.62394841,
ADAMTS2,4.46650092,0.34955569,0.24379647,1.43380127,0.15162898,
ADAMTS20,10.2891269,0.10295747,0.17123016,0.60128121,0.5476527,0.86643242
ADAMTS3,14.5241096,-0.4402553,0.16081987,-2.7375678,0.00618954,0.22623948
ADAMTS4,12.3633556,0.00240982,0.14043313,0.01715993,0.98630903,0.99712636
ADAMTS5,7.16397315,-0.0814401,0.26560538,-0.3066207,0.75913206,
ADAMTS6,8.41025452,0.37202925,0.16757354,2.22009547,0.02641229,0.35352168
ADAMTS7,8.40098927,-0.1691216,0.20171058,-0.8384369,0.40178539,0.79501014
ADAMTS8,7.16423876,-0.3484972,0.20026405,-1.7401887,0.08182589,
ADAMTS9,7.37140358,0.36536388,0.1850288,1.97463253,0.04830987,0.42623035
ADAMTSL1,8.44525563,0.13097384,0.19096584,0.68584954,0.492808,0.83885971
ADAMTSL2,10.2756526,0.13895194,0.15570722,0.8923924,0.37218264,0.78040231
ADAMTSL3,5.56018297,0.42642088,0.23494155,1.81500832,0.06952263,
ADAMTSL4,7.13817893,-0.1202946,0.2069102,-0.5813856,0.5609806,
ADAMTSL5,7.74005844,0.03801307,0.19214859,0.19783165,0.84317678,0.96706495
ADAP1,9.92492317,-0.041777,0.17658419,-0.2365842,0.81297941,0.96011803
ADAP2,8.13809548,0.2716701,0.18959297,1.43291231,0.1518829,0.60455141
ADAR,8.43202939,-0.0913021,0.17683584,-0.5163099,0.60563795,0.89344375
ADARB1,10.8048498,0.25393335,0.14921855,1.70175454,0.08880139,0.5174392
ADARB2,7.96009244,0.12801126,0.18979483,0.6744718,0.50001141,0.84237623
ADAT1,11.9647676,-0.0706192,0.15540476,-0.4544213,0.64952561,0.91120716
ADAT2,9.63939024,0.14408287,0.16925513,0.85127625,0.39461591,0.79158569
ADAT3,16.7133232,0.02375625,0.15441103,0.15385075,0.87772742,0.97644907
ADCK1,8.53000751,-0.0775299,0.18591696,-0.4170138,0.67666832,0.91958074
ADCK2,10.3849624,0.17226991,0.15556668,1.10737023,0.26813389,0.71615903
ADCK5,5.89427356,0.15219833,0.22512561,0.67605962,0.4990028,
ADCY1,7.61150185,0.22278958,0.18862736,1.18110953,0.23755921,0.69318164
ADCY10,8.07412464,0.04490597,0.18982053,0.23657066,0.81298988,0.96011803
ADCY2,10.9045285,0.1163024,0.157906,0.73652932,0.46140863,0.82271713
ADCY3,8.59464762,-0.3556092,0.18053615,-1.9697394,0.04886824,0.4265451
ADCY4,11.2610741,0.17508158,0.15276695,1.14606973,0.2517663,0.70404481
ADCY5,10.7996146,-0.211199,0.16785198,-1.2582453,0.20830305,0.66953047
ADCY6,8.05758529,-0.1077092,0.18516646,-0.5816887,0.56077637,0.87338237
ADCY7,9.45121316,0.11876161,0.17388648,0.68298357,0.49461723,0.83902525
ADCY8,9.02360817,0.05595828,0.17970886,0.31138297,0.7555095,0.94357962
ADCY9,7.89250952,-0.1371694,0.19236225,-0.7130783,0.47579728,0.83066404
ADCYAP1,10.1122592,0.33120578,0.15133349,2.18858217,0.02862722,0.36192266
ADCYAP1R1,9.91582251,0.01995591,0.16629133,0.12000574,0.9044786,0.98317128
ADD1,11.7791515,-0.2142791,0.15954537,-1.3430607,0.17925233,0.64162831
ADD2,7.75804065,0.05823584,0.180316,0.32296545,0.74672141,0.94105304
ADD3,11.4339069,-0.2476943,0.15523129,-1.5956465,0.11056774,0.55171083
ADGB,8.61424063,0.09774397,0.17090878,0.57190726,0.5673848,0.87718853
ADGRA1,9.32370229,0.14091281,0.17128311,0.82268947,0.4106846,0.79708777
ADGRA2,8.64405336,-0.0038091,0.2066284,-0.0184348,0.98529201,0.99709343
ADGRA3,10.9268965,0.13061356,0.15431471,0.84641029,0.3973239,0.79302531
ADGRB1,8.05662637,0.16585719,0.23891868,0.69419935,0.4875572,0.83707172
ADGRB2,6.89196115,0.48940111,0.21875828,2.23717757,0.02527474,
ADGRB3,7.94164819,0.47679683,0.18306641,2.60450198,0.00920079,0.24837656
ADGRD1,9.6700692,0.08759335,0.24297723,0.36050025,0.71847307,0.93261306
ADGRD2,15.414408,-0.1835863,0.16145062,-1.1371048,0.25549448,0.70634075
ADGRE1,8.97520105,-0.2420729,0.18208708,-1.3294348,0.18370457,0.64520001
ADGRE2,13.377181,-0.1084922,0.15788629,-0.6871539,0.49198573,0.83852113
ADGRE5,12.1877335,0.12535603,0.15823443,0.79221718,0.42823405,0.80444014
ADGRF1,9.59940401,0.31156983,0.15877389,1.96234924,0.04972184,0.42911891
ADGRF2,8.88522797,-0.0404739,0.17284599,-0.2341618,0.81485937,0.96101848
ADGRF3,6.79937241,-0.2674066,0.20028715,-1.3351159,0.18183841,
ADGRF4,9.03699852,0.12154819,0.17799392,0.68287835,0.49468371,0.83902525
ADGRF5,11.0126223,-0.2053832,0.15633471,-1.3137401,0.18893369,0.64861073
