taxid,domain,phylum,class,order,family,genus,species,C001_L-44_DEL,C001_R+1_DEL,C002_L-44_DEL,C002_R+1_DEL,C003_L-44_DEL,C003_R+1_DEL,C004_L-44_DEL,C004_R+1_DEL
1037660,Eukaryota,Basidiomycota,Exobasidiomycetes,Georgefischeriales,Tilletiariaceae,Tilletiaria,Tilletiaria anomala,0.0,0.0,0.0,0.0,0.0,42.31355518236379,0.0,46.53156265626269
103796,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,0.0,0.0,230.50641852025933,4918.265421067767,43.79906625010748,0.0,0.0,0.0
1042403,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.84617488827306
104259,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brasilianum,0.0,0.0,0.0,0.0,0.0,0.0,32.09959860000238,0.0
1047088,Eukaryota,Chordata,Mammalia,Rodentia,Cricetidae,Arvicola,Arvicola amphibius,0.0,0.0,0.0,0.0,0.0,0.0,42.410316280184595,0.0
1049583,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,Kocuria indica,0.0,0.0,0.0,0.0,0.0,0.0,25.77142515354854,0.0
1050843,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,[Propionibacterium] humerusii,0.0,0.0,180.8118286947199,0.0,88.51639202413074,44.69499802804121,0.0,182.55407610572072
1051006,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,[Propionibacterium] namnetense,265.3318607222943,241.35985557868415,0.0,0.0,1388.0724223921306,879.5333598537427,0.0,0.0
105487,Eukaryota,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Valsa,Valsa mali,141.77376292590392,79.88359237878295,0.0,0.0,0.0,50.13062051310665,0.0,122.8066952793181
1064539,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum baldaniorum,0.0,0.0,206.99293330360015,0.0,0.0,0.0,0.0,0.0
106589,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,,73.47774067182606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069220,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacillus,Mycolicibacillus koreensis,0.0,0.0,0.0,0.0,0.0,0.0,48.190417418372974,0.0
10699,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,,0.0,0.0,0.0,0.0,0.0,37.24873250485537,0.0,297.6934854579819
1074000,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter universalis,0.0,0.0,0.0,0.0,0.0,0.0,57.13095432789152,0.0
1076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Rhodopseudomonas,Rhodopseudomonas palustris,0.0,0.0,0.0,0.0,0.0,0.0,27.214195438394697,0.0
1076124,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Phytohabitans,Phytohabitans flavus,0.0,0.0,0.0,0.0,0.0,0.0,26.810443110989105,0.0
1076125,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Phytohabitans,Phytohabitans rumicis,0.0,0.0,0.0,0.0,80.18988248695699,0.0,0.0,0.0
1078764,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. HFH0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.70619717972232
108486,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium falsenii,56.31965940383415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091501,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,0.0,0.0,95.58806630465388,0.0,0.0,0.0,0.0,0.0
110319,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. CF8,0.0,0.0,0.0,0.0,0.0,0.0,32.051921463468325,0.0
110539,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium vanbaalenii,65.41974815370529,0.0,0.0,0.0,0.0,0.0,38.73273391077322,0.0
111527,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,0.0,0.0,0.0,0.0,69.85109328995222,0.0,0.0,0.0
1115803,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,0.0,0.0,322.6060594658549,0.0,0.0,0.0,0.0,0.0
1117,Bacteria,Cyanobacteria,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,755.4455169535144,0.0
111806,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Thermomonospora,Thermomonospora umbrina,0.0,70.99005455848263,0.0,0.0,0.0,0.0,0.0,0.0
112090,Eukaryota,,Oomycota,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces astaci,0.0,0.0,0.0,0.0,0.0,40.26356196058427,0.0,0.0
1121923,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Glaciecola punicea,0.0,0.0,0.0,0.0,0.0,0.0,30.37892644725046,0.0
112252,Eukaryota,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.886731732487505
1125779,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pyruviciproducens,0.0,48.90958884230038,0.0,0.0,0.0,0.0,0.0,0.0
1126212,Eukaryota,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina,Macrophomina phaseolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.85539797773087
1127690,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 181,0.0,0.0,0.0,0.0,0.0,0.0,36.18608758185006,0.0
1133849,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia brasiliensis,0.0,126.49493328723077,0.0,0.0,0.0,0.0,0.0,0.0
1134687,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis,0.0,0.0,0.0,0.0,0.0,0.0,49.94845813759754,0.0
1136877,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,0.0,0.0,298.6626282665667,0.0,605.2490043514048,0.0,31.295959658964232,0.0
1143189,Eukaryota,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia oryzae,154.54441993155825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,Bacteria,Cyanobacteria,,Oscillatoriales,,,,0.0,0.0,0.0,0.0,0.0,0.0,657.4883299448765,0.0
1151,Bacteria,Cyanobacteria,,Oscillatoriales,,,Oscillatoriales cyanobacterium,0.0,0.0,0.0,0.0,0.0,0.0,88.73187585117275,0.0
1151754,Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,Moesziomyces antarcticus,0.0,68.31688058457358,0.0,0.0,0.0,0.0,0.0,0.0
1155135,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,0.0,0.0,0.0,0.0,0.0,0.0,48.90042018135323,0.0
115547,Archaea,,,,,,uncultured archaeon,0.0,43.518201077982,0.0,0.0,0.0,0.0,48.78917352944042,0.0
1157632,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. LaPpAH-95,0.0,0.0,295.6367205554881,0.0,0.0,0.0,0.0,0.0
1157641,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. PgraA7,0.0,85.29932598985825,0.0,0.0,0.0,0.0,45.71850822239511,0.0
1159327,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pontimonas,Pontimonas salivibrio,76.37171492050862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159556,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Ustilaginoidea,Ustilaginoidea virens,71.62807517343259,0.0,0.0,0.0,0.0,52.472713175124966,38.439798711527885,146.0675664019246
1160705,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces viridochromogenes,110.72106523457364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160718,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces auratus,0.0,0.0,301.0631600029121,0.0,0.0,0.0,0.0,0.0
1161,Bacteria,Cyanobacteria,,Nostocales,,,,0.0,0.0,0.0,0.0,0.0,0.0,26.97924594574485,0.0
1161099,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium appendicis,0.0,0.0,0.0,0.0,0.0,0.0,74.09628350647252,0.0
1163399,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.835812174484374
1163406,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Tolypocladium ophioglossoides,0.0,0.0,0.0,0.0,0.0,35.07312138908715,0.0,0.0
117010,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Tricholomella,Tricholomella constricta,0.0,0.0,0.0,0.0,0.0,0.0,64.97062185960098,0.0
1175663,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pamexvirus,Pseudomonas virus PaMx74,0.0,0.0,0.0,0.0,99.79137550137776,0.0,0.0,0.0
1177594,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. C448,0.0,0.0,218.33113001217347,0.0,0.0,0.0,86.91112466407452,99.06953422080092
1177755,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Methyloligella,Methyloligella halotolerans,0.0,106.96226043415945,0.0,0.0,0.0,0.0,0.0,0.0
1181884,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter roseus,0.0,0.0,0.0,0.0,0.0,0.0,26.362020313317363,0.0
1183422,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.9071786384769
118367,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium microaerophilum,117.22808225703196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118510,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Tanacetum,Tanacetum cinerariifolium,291.45285459075495,86.13925770297175,0.0,6222.678221819246,30.398216322961694,560.1755933537007,485.90304032005537,218.6931887686336
1185650,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus,5547.996436800844,3928.860929382688,2473.8049547183496,11718.61755098914,4711.39711749392,929.8009492753552,6195.4106612040805,4769.862030540959
1187065,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. 012931,0.0,0.0,0.0,0.0,0.0,0.0,27.711154420105625,0.0
119045,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,,,0.0,0.0,0.0,0.0,0.0,0.0,60.29826247926263,0.0
119060,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,,0.0,0.0,0.0,0.0,64.15262337981865,0.0,51.54285030709708,0.0
1193181,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Phycicoccus,Phycicoccus elongatus,0.0,0.0,66.72631363741232,0.0,49.125688879072015,0.0,0.0,0.0
1193182,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,Tetrasphaera australiensis,0.0,129.46025742222275,0.0,0.0,0.0,0.0,0.0,0.0
1193518,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,Tetrasphaera jenkinsii,0.0,80.3303386667723,0.0,0.0,0.0,0.0,45.91608914857231,0.0
1195242,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus wratislaviensis,0.0,0.0,49.434016502733904,0.0,0.0,0.0,0.0,0.0
1197460,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. 6(2017),0.0,0.0,0.0,0.0,0.0,0.0,20.875283898126877,0.0
1200352,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium terpenotabidum,0.0,82.42773336488037,0.0,0.0,0.0,0.0,108.89586841506168,0.0
1203559,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. KPL1818,244.36824756765563,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1203561,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sp. KPL1824,153.05096991790325,0.0,0.0,0.0,0.0,0.0,36.15902758543884,0.0
1203573,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. KPL1844,0.0,0.0,0.0,0.0,91.19345331846333,28.92238498944746,180.16975134346805,147.63760461849614
1203575,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. KPL1849,0.0,0.0,0.0,0.0,0.0,0.0,193.6323143199293,0.0
1203577,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. KPL1854,0.0,0.0,136.41990598827198,0.0,0.0,0.0,0.0,0.0
1203634,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. KPL2008,0.0,0.0,0.0,0.0,780.81472533216,0.0,107.74946951948132,225.1918457807755
1205679,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,0.0,0.0,0.0,0.0,0.0,0.0,41.31245356864343,0.0
1205910,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis alba,79.97148258305185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206458,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. MBES04,0.0,0.0,0.0,0.0,286.1980588562794,0.0,0.0,0.0
1207542,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum,0.0,0.0,0.0,0.0,0.0,0.0,65.60975320340899,0.0
120793,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,0.0,0.0,0.0,0.0,0.0,0.0,31.92735957522617,0.0
1208661,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter dublinensis,0.0,0.0,0.0,0.0,0.0,0.0,35.47651434262236,87.68276760866848
1212549,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.60840373917454
1212764,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus popilliae,0.0,0.0,0.0,0.0,0.0,0.0,80.56577026751833,0.0
1213189,Eukaryota,Zoopagomycota,Harpellomycetes,Harpellales,Legeriomycetaceae,Zancudomyces,Zancudomyces culisetae,0.0,435.0931484391572,0.0,0.0,0.0,0.0,176.59783181718626,136.23119718426426
1214101,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces davaonensis,0.0,0.0,297.50307698008237,0.0,0.0,643.1114025553876,0.0,0.0
1214102,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium fortuitum,119.90744220745596,70.99492372783402,0.0,0.0,0.0,0.0,0.0,0.0
1224,Bacteria,Proteobacteria,,,,,,677.1014734501737,154.23337378971956,691.805886215864,0.0,958.630660406678,642.0270023018586,1695.210414223971,135.16568258537131
1226748,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,0.0,0.0,0.0,0.0,0.0,1345.322997295256,104.23295855727964,0.0
1226753,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium mucogenicum,0.0,0.0,0.0,0.0,0.0,29.976515870930985,0.0,0.0
1230097,Eukaryota,Ascomycota,Sordariomycetes,Diaporthales,Valsaceae,Cytospora,Cytospora leucostoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.52658269144794
1230340,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,0.0,0.0,0.0,0.0,0.0,20.88208303986925,0.0,0.0
1230383,Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia sympodialis,23093.476425816316,167969.6803251793,87541.32106609718,0.0,0.0,160.91425199662677,971.808657782626,771.5172706437967
1230476,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. DFCI-1,0.0,0.0,90.08671202692328,0.0,0.0,0.0,220.36329553669492,0.0
1231000,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium lactis,0.0,0.0,0.0,0.0,64.5376228156271,0.0,19.98702877783457,167.51288903171695
1231336,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus,Lactobacillus shenzhenensis,0.0,0.0,0.0,0.0,0.0,0.0,37.016356995546886,0.0
1234380,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,0.0,0.0,0.0,0.0,588.3556595422824,0.0,0.0,0.0
1235458,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,0.0,0.0,0.0,0.0,0.0,0.0,58.116281816262195,0.0
1235591,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Pseudorhodoplanes,Pseudorhodoplanes sinuspersici,0.0,0.0,0.0,0.0,81.45248933234119,0.0,0.0,0.0
1236,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,0.0,56.21699474638782,0.0,2168.6631997860095,137.06577739991187,127.66486027327927,315.2931991372961,106.4667588439909
123899,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella trematum,0.0,0.0,0.0,0.0,0.0,0.0,33.55654316868299,0.0
1239,Bacteria,Firmicutes,,,,,,731.9807832852829,113.20818741964548,132.04878849821014,0.0,117.75124048671476,544.8933441422436,232.10518636040425,219.3474736548201
1242752,Eukaryota,Arthropoda,Insecta,Lepidoptera,Crambidae,Glyphodes,Glyphodes pyloalis,0.0,60.6856749186192,0.0,0.0,0.0,0.0,0.0,0.0
1243,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,,0.0,0.0,0.0,0.0,0.0,15.134686022735458,0.0,0.0
1245,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc mesenteroides,0.0,0.0,0.0,0.0,0.0,0.0,24.446773900656147,0.0
1248411,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,0.0,108.02860852211224,0.0,0.0,0.0,0.0,0.0,0.0
1250539,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,Pelagibaca abyssi,0.0,0.0,102.99486300539957,0.0,0.0,0.0,0.0,0.0
1255656,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Agrococcus,Agrococcus casei,0.0,0.0,0.0,0.0,0.0,0.0,28.123497222562403,0.0
1259239,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium sp. TMT1-51,42.34539231310083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia magna,0.0,0.0,0.0,0.0,0.0,0.0,184.17506033608208,0.0
1262550,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium jeotgali,0.0,0.0,0.0,0.0,0.0,0.0,37.18258268778728,0.0
1262691,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia sp. CAG:344,0.0,0.0,0.0,0.0,0.0,0.0,37.25474267821721,0.0
1262693,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp. CAG:268,0.0,0.0,0.0,0.0,0.0,0.0,31.58245200192118,0.0
1262694,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp. CAG:29,0.0,0.0,128.57339180529212,0.0,0.0,50.30996654247607,0.0,138.1044405919954
1262705,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum sp. CAG:239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.16651815013526
1262755,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. CAG:237,91.2818773531324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262770,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. CAG:1024,0.0,0.0,70.93782996725584,0.0,0.0,0.0,0.0,0.0
1262808,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. CAG:448,0.0,0.0,0.0,0.0,0.0,0.0,36.03274760218645,0.0
1262910,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter sp. CAG:155,0.0,0.0,310.80860227583696,0.0,0.0,0.0,0.0,0.0
1262956,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus sp. CAG:379,81.86761097075903,0.0,0.0,0.0,0.0,0.0,0.0,37.96939177230152
1262993,Bacteria,Firmicutes,,,,,Firmicutes bacterium CAG:791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.2230734407214
1263004,Bacteria,Firmicutes,,,,,Firmicutes bacterium CAG:137,0.0,0.0,0.0,0.0,0.0,0.0,25.854323237792457,0.0
1263006,Bacteria,Firmicutes,,,,,Firmicutes bacterium CAG:170,0.0,0.0,0.0,0.0,0.0,0.0,25.402034726347676,0.0
1263007,Bacteria,Firmicutes,,,,,Firmicutes bacterium CAG:176,69.8691229351278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263030,Bacteria,Firmicutes,,,,,Firmicutes bacterium CAG:555,0.0,0.0,0.0,0.0,738.9765257737478,325.67120077442615,0.0,0.0
1263057,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis CAG:119,129.38587162745304,252.43843314541743,0.0,0.0,0.0,0.0,151.86499509732573,270.5940611663222
1263058,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum CAG:234,0.0,0.0,0.0,0.0,452.6361845172783,456.6165042431333,134.6252002408594,0.0
1263059,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum CAG:69,0.0,40.01848560667575,0.0,0.0,0.0,0.0,31.84660910974505,0.0
