gene,Pre vs Flight Pval,Pre vs Flight Fold Change,Pre vs Post Pval,Pre vs Post Fold Change,Flight vs Post Pval,Flight vs Post Fold Change
ABCA9,0.415122431871283,3.37199112052909,0.423667398122187,-2.63115023302341,0.0823134810504603,-8.87221522253298
ABCB1,0.542434416024654,-1.40716033122585,0.189110766947918,-2.16357421093666,0.44374370560027,-1.53754633564169
ABCB10,0.837021979803496,1.10030499321975,0.418995246240492,1.41551691484652,0.503509930277293,1.28647686193297
ABCB11,0.448939630465889,-2.05843842115505,0.469127993418656,-2.05843842115505,1.0,1.0
ABCB4,0.0174542735242168,4.60288008058262,0.285326892398028,1.95548075716287,0.117629837879714,-2.35383552802675
ABCB5,0.0561300783852327,-6.10703196103136,0.128682063435389,6.68600831345569,0.000439467948776416,40.8316664619953
ABCB6,0.307778657905965,3.06891632947418,0.138648717659002,5.33681082752113,0.556041295784526,1.73898870303692
ABCB7,0.345006694242673,-1.47235860694298,0.180360370976482,-1.74776245687045,0.662595830648247,-1.18704943797577
ABCB8,0.0804855700175814,-2.68957375002162,0.518038160230452,1.49551240778878,0.0112756459622669,4.02229091482033
ABCB9,0.422334082811867,-1.88600052379259,0.201158481283909,3.27739850193577,0.0249150659784635,6.18117529132793
ABCC1,0.36018251734305,1.32251904210248,0.019911748136179,-1.99482795008918,0.000523782922072558,-2.63819794971121
ABCC10,0.658368237993043,-1.25094251130635,1.0,1.01190037069099,0.635456653607662,1.26582919090401
ABCC11,7.02541177607241e-06,-59.4823425458881,0.511653661249393,1.85647409729869,5.51400567044739e-07,110.427428183089
ABCC12,0.0456546130845652,-7.67592598657073,0.71465070187335,-1.42855249154854,0.086442864050102,5.37321941754487
ABCC13,0.143279282634713,-2.35665121108958,0.724685116782326,1.26397619090956,0.0523765034739424,2.97875102109542
ABCC2,0.67797112871729,1.63146154373931,0.127606055939349,5.92404085260052,0.183099159873823,3.63112503346087
ABCC3,0.455333616920021,1.35994056713866,0.0307334399623798,-2.33839424723723,0.00202128789187839,-3.1800771987816
ABCC4,0.102863025406257,1.70831594853761,0.0304608838987495,-1.98341274335267,5.4710659273427e-05,-3.38829562200211
ABCC5,0.828085035270906,-1.09584281355954,0.133261208582054,-2.03860644944084,0.165225893054763,-1.86030918322947
ABCC5-AS1,0.315268985849416,3.45509730696384,0.218447236435718,4.87576818695169,0.830710506969701,1.4111811488274
ABCC6,0.309091453154121,-2.38041486708905,0.504855961128029,-1.78538974103722,0.721913902468876,1.33327464159515
ABCC6P1,0.266407721396122,-3.37744277707504,0.0232695620263447,-10.5845473938466,0.19473400336567,-3.13389392284925
ABCC6P2,1.0,1.0,0.163819289335469,5.7556281947047,0.0695511228473363,5.7556281947047
ABCC8,0.039376647949332,-7.44711130010729,0.851019372456238,-1.15248114144408,0.047834624978296,6.46180751450383
ABCC9,0.405894880857901,3.05676644949537,0.168303032232461,6.84398239294847,0.485130268118544,2.2389614993577
ABCD1,0.495930357592738,-1.54741293229567,0.685950059205066,1.35761041547057,0.238334371912453,2.10078391391846
ABCD1P2,0.00570094774099089,-15.4643154880802,0.715846257979638,1.59661072455503,0.00193067943376103,24.6904919561713
ABCD1P3,0.829268292682918,-1.52772023301634,0.0299555487663332,19.9574810492906,0.0020201130644851,30.4894475990414
ABCD1P4,0.60169648473271,2.5579872210596,0.187962182679887,-4.11449011384502,0.051911793863051,-10.5248131323916
ABCD1P5,0.00277643519706566,-31.2126296037531,0.159451605301143,-5.56215210129589,0.0623994604813186,5.61161022484104
ABCD2,0.259779572894986,-2.32473126013629,0.00152687442908711,-13.996984726026,0.0202281699764566,-6.02090442282149
ABCD3,0.926506268499027,-1.02973182049827,0.136606411181427,-1.80983661365511,0.131860294302334,-1.75758054439783
ABCD4,0.475294425627185,-1.35304360059411,0.740123427171962,1.17368506424174,0.253608339191434,1.58804706528517
ABCE1,0.893895793659312,-1.03831477149726,0.52419661994773,-1.22187621265215,0.583388639377057,-1.17678785489124
ABCF1,0.515110188122116,1.15377453870273,0.837511196797953,1.0479244822521,0.628831174097219,-1.10100924087884
ABCF2,0.828317544746696,-1.05693809858347,0.851885987861291,1.05573293081185,0.657242552831733,1.11584435650423
ABCF3,0.369467030459195,-1.56109862768615,0.864170027926907,1.11312100965195,0.246684041684711,1.73769168061627
ABCG1,0.190227302910748,-2.05339966653309,0.754811896447371,1.21866567171423,0.0818395897389956,2.50240768391332
ABCG2,0.538475068060119,-1.46849473323771,0.726488280352197,1.30067889389615,0.292039935846922,1.91004010531995
ABCG4,0.000201158978914916,-25.5935854328875,0.509773668713136,1.84067700344007,1.7186549351689e-05,47.1095241418947
ABCG5,0.027714825909499,-8.93355736354228,0.108063039493122,7.59575249937656,0.00023876268321756,67.8570906724501
ABCG8,0.00107173836106665,-18.737261243814,0.284399339059145,3.21039921545079,2.61015758593404e-05,60.1540887968369
ABHD1,0.416513811898918,-2.24189250204378,0.844326043425497,-1.17674225532136,0.518736644298047,1.90516869085452
ABHD10,0.260159593161716,1.54982876507606,0.463505046893638,1.33404038688511,0.667516967213078,-1.16175550628929
ABHD11,0.169904468805956,2.78119705622038,0.588114497600974,1.50826301298131,0.344293473317779,-1.84397351939496
ABHD12,0.532895639492539,-1.51310673238297,0.728261887163005,1.32224465457563,0.286794808159539,2.00069728869579
ABHD12B,1.0,1.30961672345212,1.0,1.0,1.0,-1.30961672345212
ABHD13,0.459711770280773,1.44082079050486,0.72202725041002,-1.17385242151391,0.231399745805179,-1.69131097390172
ABHD14A,1.0,-1.03192334322362,0.561023791858791,2.2273649965002,0.460928727537992,2.29846993376775
ABHD14A-ACY1,0.203001972709031,4.44854179601715,0.323924523863818,3.28505557443368,0.800910532291661,-1.35417550638669
ABHD14B,0.157557167126146,3.08305724728389,0.110335657979364,3.58786279634875,0.818470875023845,1.16373537971427
ABHD15,0.126507876734727,6.24811992394003,0.0465616943999836,13.7087797993938,0.510354752007972,2.19406476928649
ABHD16A,0.111326484987989,2.56064107498668,0.878260700027142,1.11460654180595,0.10818512071233,-2.29734976329655
ABHD16B,0.716920978202152,-1.28956641260925,0.638932380838733,-1.41910111736259,0.910057548702404,-1.10044826190165
ABHD17A,0.514659799392931,1.15458194303495,0.361066617402002,1.22529389735275,0.768466970011263,1.06124463901794
ABHD17AP3,0.230364387792673,-2.91061637354942,0.392264786518328,2.59897624745529,0.0343483510560247,7.56462282030939
ABHD17AP4,0.0283653451486889,-7.54487111260424,0.188013158659934,4.33159436512538,0.00057665007585461,32.6813211969538
ABHD17AP5,0.274994799819973,-2.84995019032175,0.384646617616193,2.8940945028146,0.0361688517569134,8.2480251791056
ABHD17AP6,0.181347914199978,4.29509233594216,0.766176923891541,1.64303306825898,0.359293175338349,-2.61412409702344
ABHD17B,0.925558705255027,1.06381148851509,0.962286042043611,1.03894219829758,0.963158881206045,-1.02393712591351
ABHD17C,0.205263294006164,-2.22453495434012,0.149559554946191,2.74227241474528,0.00399542572409418,6.10028084092356
ABHD2,0.535350828811872,1.19123402461238,0.857847908720948,1.05462346683218,0.633124863560392,-1.12953491182075
ABHD3,0.857719028157642,-1.09508355073003,0.379481498586681,-1.6817047078018,0.44958682019825,-1.53568621013502
ABHD4,0.295577832261975,1.41023820422864,0.379612768584726,-1.31957676400758,0.0366549150384154,-1.8609175660159
ABHD5,0.254039561312562,2.04383364224387,0.468145444195493,1.58495573370479,0.641796100442946,-1.28952096186716
ABHD6,0.851193239714492,1.15305224924647,0.78794235749005,1.21675718184582,0.93098104953932,1.05524895566614
ABHD8,0.363966318881516,-2.39596298630885,0.714623227756638,1.5527945795129,0.170859915478665,3.72043833785393
ABI1,0.0704954690661623,1.46887414215095,0.0148296482448689,-1.65875013557948,5.07721567810648e-06,-2.43649518244209
ABI2,0.960149448070689,-1.01188480158576,0.216219240598109,-1.60403184929115,0.198951023591853,-1.58519215505304
ABI3,0.115865376390988,1.39322896699956,0.110858162298834,1.40332774050648,0.969415749442616,1.00724846650918
ABI3BP,0.612671456964825,-1.62315132678219,0.916516803824134,1.18438721624504,0.503386653320336,1.92243968147199
ABL1,0.838897895690076,-1.07547430268887,0.492997392827753,1.33296445805317,0.325732121816665,1.43356902103378
ABL2,0.721869175580014,1.14971751972253,0.319968153905507,1.4534994831706,0.474600266824164,1.26422313154051
ABLIM1,0.60131727836824,1.10054821674948,0.744361746649461,-1.05849325992433,0.35403385144832,-1.16492286965107
ABLIM2,0.563351765937006,-1.5718872092333,0.226839425728,3.17734659642695,0.0485525001929167,4.99443047422449
ABLIM3,0.00205683871448672,1.80968962114232,0.899112303741638,-1.0215517562213,0.000408647133885109,-1.8486916106934
ABO,0.774113642248645,-1.16197508107773,0.120663493811274,2.47582679612828,0.0392078101562334,2.87684904216558
ABR,0.971892027215666,1.00851739892804,0.331111024438263,1.18604613788928,0.302184007018763,1.17602942611593
ABRA,0.00507243909009216,-13.0706057072026,0.165315124924554,4.43467153313969,6.60324836191323e-05,57.9638430506245
ABRACL,0.804444518319127,1.05117439033003,0.978735364085283,-1.00284019535004,0.763385892807999,-1.05415993094552
ABT1,0.342330180810823,1.52486493297909,0.422638195394532,1.43292116589885,0.87702779020543,-1.06416526552078
ABTB1,0.506882092621709,1.14048972768689,0.248881601798265,1.25696755200856,0.583782706257974,1.10212965666767
ABTB2,0.00400186552245129,-8.62483982239936,0.210483535920916,2.68238999900468,4.22354156043521e-05,23.1351840826213
AC000032.2,0.242768340271437,5.22791154899743,1.0,1.0,0.12925481063541,-5.22791154899743
AC000036.4,0.00860209117632336,-22.125831505272,0.749964188509309,-1.47329968535637,0.0154412768534842,15.0178756740318
AC000041.8,0.369511705478412,2.61477876978776,1.0,1.0,0.230292124513642,-2.61477876978776
AC000067.1,0.44568040970111,-2.005809842273,0.465799974190827,-2.005809842273,1.0,1.0
AC000068.5,0.00637421458912195,-16.5773845125172,0.939659251931794,-1.04691889042567,0.00606154911364151,15.8344497019984
AC000077.2,1.0,1.0,0.113177250828395,8.25578456882407,0.0412753465187838,8.25578456882407
AC002115.5,0.829268292682908,-1.45625444544399,0.850000000000015,-1.45625444544399,1.0,1.0
AC002116.7,1.0,1.0128746222603,1.0,1.05304128643055,0.96826491564417,1.03965610677521
AC002116.8,0.421811134498071,3.11269250822923,1.0,1.0,0.269464182621555,-3.11269250822923
AC002127.4,0.0884096484369544,-5.06280827117595,0.0980395037348512,-5.06280827117595,1.0,1.0
AC002306.1,1.0,1.0,0.0800869052937338,8.90726014915725,0.0279836261598933,8.90726014915725
AC002310.12,1.0,1.27585596148838,1.0,1.52622609570158,1.0,1.19623699051508
AC002310.7,1.0,1.41603106380372,0.107526222311454,6.18309556703869,0.102413200422725,4.36649712360813
AC002368.4,0.829268292682928,-1.70999252102919,0.374825271965834,4.02574620262118,0.0473352217101813,6.88399589804385
AC002398.11,1.0,1.0,0.710374432166269,1.86560695921158,0.522350441755622,1.86560695921158
AC002398.12,0.309213348162299,-2.50078802199089,0.32743907011701,-2.50078802199089,1.0,1.0
AC002398.5,0.418776385715926,-2.19060492989516,0.559713506160326,2.00221925922067,0.131914207437209,4.38607137997983
AC002398.9,0.362784658179035,-2.49656331867792,0.0699340584408393,-7.41830317910475,0.304734584526869,-2.97140598181711
AC002429.5,0.453867462061947,-1.8552370735665,1.0,1.08330295748726,0.384504838811404,2.0097838086346
AC002451.1,0.0431506546845777,-8.20166316690875,0.939634614097127,1.22085899712345,0.0270554001416814,10.0130742686965
AC002451.3,0.939320533018941,-1.02091048546594,0.0309359036407797,-15.9246741078045,0.0300280176488418,-15.5985018613425
AC002454.1,0.237582844431089,6.15104332761189,1.0,1.0,0.124976801734741,-6.15104332761189
AC002456.2,0.965279907134178,1.1893022453398,0.629705428828691,2.11352103143552,0.627955563156187,1.77711009940257
AC002463.3,0.798241816555342,1.73267659245297,0.0117969249346018,32.4995490316406,0.0096502146319007,18.7568465882202
AC002467.7,0.589667450640408,1.68809816148388,0.611148454019878,1.63608583935713,0.986044034183661,-1.0317907049102
AC002472.13,0.172595088191075,-2.99992791998076,0.171656749319101,3.56574966822255,0.00442782325730797,10.696991985363
AC002480.2,0.171869933768591,-3.98571946746411,0.877243551687526,-1.29405879789792,0.236118812504613,3.08001419559804
AC002480.3,1.0,1.38978599857723,0.0672953950085457,10.8916909327995,0.0344708467218069,7.83695543339026
AC002480.5,1.0,1.0,1.0,1.45686318070842,0.978723404255351,1.45686318070842
AC002511.1,0.00221405700074474,-14.2149114412635,0.056031302048896,8.1975157105285,3.58903832501516e-06,116.526959863529
AC002511.3,0.403610318267968,3.36214163323852,0.149156529909927,8.32823371748814,0.433059546895989,2.47706213062361
AC002519.6,1.0,1.0,0.555678782636979,2.18575663001783,0.373521852084643,2.18575663001783
AC002523.1,0.308125189416622,-2.47811494653904,0.326316660412963,-2.47811494653904,1.0,1.0
AC002543.2,0.829268292682889,-1.40222701561486,0.849999999999974,-1.40222701561486,1.0,1.0
AC002551.1,1.0,1.0,0.775538743450417,1.7102492607646,0.58199952487457,1.7102492607646
AC003002.4,0.0912165025408602,8.91545649503498,0.330908684844558,3.33419938967104,0.382084908260204,-2.67394221313039
AC003002.6,0.891425910058899,1.43441210611458,0.964873864345155,1.28252950509143,0.9484975295561,-1.11842425489644
AC003005.2,1.0,1.0,1.0,1.40039877077531,0.978723404255338,1.40039877077531
AC003005.4,1.0,1.0,0.0665671027755842,13.4171703282269,0.0195895071940043,13.4171703282269
AC003006.7,1.0,1.48720157457453,1.0,1.0,1.0,-1.48720157457453
AC003051.1,0.063303684061847,16.1786602150373,0.0746511769051244,13.8284746764776,0.921809270939061,-1.16995262265312
AC003075.4,0.77208912026821,1.56807191024382,0.360889490118976,3.50596633543516,0.465042794916542,2.23584537962294
AC003090.1,0.846487712999479,1.5498515555152,0.290218548631881,-3.85956874308587,0.175595272034974,-5.98175862008949
AC003092.1,0.657198186466734,2.25055505106395,1.0,1.0,0.484163738387416,-2.25055505106395
AC003101.1,1.0,1.0,0.0372364397161332,22.8544504301061,0.00865728045969427,22.8544504301061
AC003102.1,0.0778750273676534,-4.30256286606876,0.759292275826129,-1.51498799714662,0.163863521583783,2.83999798953677
AC003102.3,0.0211378050784439,-9.7116561321316,0.339500012100129,3.18627843034675,0.00121705976130825,30.9440404567557
AC003104.1,0.724528589365007,1.60774954680223,1.0,1.0,0.557096555704041,-1.60774954680223
AC003665.1,0.412898237531935,-1.7817695607311,1.0,-1.25906547320847,0.978723404255279,1.41515242745131
AC003956.1,1.0,1.0,0.122336088937632,7.03558672810096,0.046299556489871,7.03558672810096
AC003958.2,0.302204033365433,-2.5933071332841,0.218694967523223,5.35249273463388,0.0134284508556201,13.8806575895774
AC003958.6,1.0,1.0,0.10403321841934,9.50628515277736,0.0365523044675098,9.50628515277736
AC003973.4,1.0,1.0,0.0803733018512127,10.3523650453623,0.0256572594413594,10.3523650453623
AC003986.5,0.325002080800323,-2.39930352172127,0.10115753462307,15.0737478219987,0.0050358716240311,36.1664962348597
AC003986.7,0.125959698986217,-4.17151522029327,0.137766632327644,-4.17151522029327,1.0,1.0
AC003991.3,0.255024109967732,4.86040210105279,1.0,1.0,0.138195460828565,-4.86040210105279
AC004009.3,1.0,1.0,0.367461694803738,2.93065101158975,0.212622530952417,2.93065101158975
AC004012.1,1.0,1.0,0.0904493360301057,9.36191110532632,0.0303006699972181,9.36191110532632
AC004051.2,0.00175507203391731,-23.1076396116804,0.828764698256399,1.36841056757105,0.000768982390866115,31.6207382362468
AC004057.1,1.0,1.25976023594905,1.0,1.0,1.0,-1.25976023594905
AC004063.1,1.0,1.5204001121292,1.0,1.0,1.0,-1.5204001121292
AC004069.2,0.588812364790993,-1.61393397213683,0.012296503289207,-12.3048165308531,0.031792911853332,-7.62411396208584
AC004076.9,0.508278558681585,1.52562825376034,0.155284310160372,-2.30169950097053,0.0269968520510958,-3.51153779034671
AC004112.4,0.0614965982561276,-6.32054667511365,0.428406278163174,-2.55348243851423,0.294532924587895,2.47526537867686
AC004156.3,0.0241388389135128,-7.44663972694732,0.796047788260968,-1.21720769822745,0.0349198589126925,6.11780531604546
AC004158.2,0.429164543005055,2.12177976062307,0.264155429698531,-2.5784165051556,0.0417774037242395,-5.47083195509562
AC004166.6,1.0,1.0,0.760302225776642,1.58966230856526,0.567833761376656,1.58966230856526
AC004221.2,0.751179320002753,1.42352407256511,0.19988534111088,3.5953336700857,0.260848610272246,2.52565709240667
AC004381.6,0.237537339375119,3.75360315347938,0.287403575386941,-2.78249289628924,0.0194702680544082,-10.4443741100453
AC004381.7,0.805583736630657,1.61278001520881,1.0,1.0,0.633055626713461,-1.61278001520881
AC004447.2,1.0,1.0,1.0,1.50960213330408,0.978723404255276,1.50960213330408
AC004448.5,0.00384631495286417,-25.3287678355146,0.750694397026926,1.61713091706588,0.00145539382473474,40.9599335579946
AC004461.4,1.0,1.0,1.0,1.47972742072398,0.978723404255291,1.47972742072398
AC004471.10,0.00227256272338483,-29.0429121309202,0.846841069390939,-1.19873452855875,0.00289074583366736,24.2279766195095
AC004471.9,1.0,1.0,1.0,1.46397205308469,0.978723404255328,1.46397205308469
AC004528.4,1.0,1.0,0.335903321641754,3.25548338390102,0.186906420552686,3.25548338390102
AC004535.2,0.284938650007273,-2.47143728016762,0.05860601717981,13.0345194939975,0.00145229229102258,32.213997406537
AC004538.3,0.403453213583186,3.60885137398839,0.326698201058059,-2.28784666992638,0.0412749738843546,-8.25649859823858
AC004540.4,0.0935558702202486,-5.66259553336047,0.315267863232724,-2.84395897656007,0.482836021170016,1.99109606714851
AC004540.5,0.0251259970720219,-7.06079260584601,0.409937759567123,2.3633511344201,0.00201094200830278,16.6871322149312
AC004549.6,0.100895551255617,-5.28491180727404,0.389860308666435,-2.74190748909641,0.534850471248031,1.92745810290473
AC004562.1,0.829268292682929,-1.5687832772402,0.850000000000038,-1.5687832772402,1.0,1.0
AC004603.4,1.0,1.0,0.0232282194888512,21.7505517197785,0.004573089298347,21.7505517197785
AC004637.1,0.0664638583162315,-6.07378621815283,0.0745382101451568,-6.07378621815283,1.0,1.0
AC004791.2,1.0,1.0,0.205243570073178,3.84114217647246,0.0977238712733928,3.84114217647246
AC004840.8,0.0593382206743176,-6.72404347003375,0.461386267483477,-2.47579451253127,0.26593420193395,2.71591339103464
AC004840.9,0.897013592886921,-1.0826000089852,0.618155237385196,1.60420044579396,0.476258837652948,1.7367074170306
AC004854.4,0.277199220594031,4.41831050068788,1.0,1.0,0.154414136436481,-4.41831050068788
AC004866.3,0.123257664635791,-4.19153289780064,0.378222486003612,3.28187400852067,0.0121821212571372,13.7560828731513
AC004869.2,0.0438533156541724,-4.44837335301778,0.0495067773234666,-4.44837335301778,1.0,1.0
AC004870.4,1.0,1.51669828282218,1.0,1.0,1.0,-1.51669828282218
AC004878.2,0.173776900757635,-3.99089708779764,0.559662298823445,2.75033268727717,0.0255933757004589,10.9762947121291
AC004878.3,0.461651986877286,2.93807539317899,0.821217972951542,-1.50137964414695,0.180844972244382,-4.41116658828797
AC004893.11,0.0684983594856875,-3.51008940308857,0.514131226858628,1.64688577821819,0.0097142254572356,5.78071631822095
AC004906.3,0.829268292682922,-1.50885797664276,0.944918521932481,1.49437715625827,0.37355815507271,2.25480289233302
AC004920.3,0.00109504617683653,-24.5460877870341,0.689851857620761,1.64658324056519,0.000263330079611471,40.4171767715723
AC004941.3,0.0410244386897948,-4.63133016755716,0.0352243316762996,6.83382013638983,2.42834206911133e-05,31.6496773573218
AC004947.2,0.08071524206947,-5.64447736538106,1.0,1.02820486645811,0.065895929392195,5.80367909569748
AC004951.5,0.336849614645165,4.49764558240312,0.342129189409857,-2.35179078787882,0.0349009267700073,-10.5775214478395
AC004951.6,0.82655398534872,1.30146386696414,0.7892255868829,1.514732091077,1.0,1.16386795632702
AC004967.7,1.0,1.03376827416969,0.707313797406192,-1.36048154245088,0.691369408831181,-1.40642265617917
AC004980.11,0.450941497501281,-1.84902225759387,0.458637472758901,2.83582673585988,0.0591502865051362,5.24350675328471
AC004980.7,0.516230355044673,-1.94843346355399,0.0676002443578939,-7.11525993725919,0.197361032733266,-3.65178491868066
AC004980.9,0.829268292682918,-1.38129530272163,0.850000000000133,-1.38129530272163,1.0,1.0
AC004985.12,0.635416667198946,1.95604842136342,1.0,1.0,0.464324173739123,-1.95604842136342
AC005000.1,0.622757560570771,-2.03119112827228,0.243613191605058,-3.27383912611948,0.643302199413105,-1.61178289947741
AC005003.1,0.883640114324002,1.23936953893662,0.464007614474826,2.16330213078532,0.51339498294671,1.74548596106488
AC005008.2,0.00804955417234068,-28.7546571275706,0.00984868964905199,-28.7546571275706,1.0,1.0
AC005013.1,0.0387860050769502,-5.57080802543623,0.0937081039411909,7.59671572504852,0.000197024301114815,42.3198449280579
AC005013.5,1.0,1.0,0.0796395590924521,7.33572880608761,0.0260715971271205,7.33572880608761
AC005019.2,0.287085196756351,2.16633261142672,0.0447977032470796,4.58874878788196,0.295458537888575,2.11821064026722
AC005022.1,1.0,1.0,0.768079335779341,1.6460184127438,0.575047342111631,1.6460184127438
AC005037.3,0.349774916174561,3.83277428389796,0.18751565606282,6.77850637024666,0.619114792132902,1.76856393519549
AC005042.4,1.0,-1.17043142764649,0.850000000000025,-1.49729866659026,1.0,-1.27927072976931
AC005042.5,0.829268292682931,-1.64774640194632,0.849999999999996,-1.64774640194632,1.0,1.0
AC005062.2,0.196008013399832,-1.59360491286477,0.362633930978437,-1.3763019528837,0.713882352985682,1.1578890152163
AC005076.5,0.295458354088555,3.95492925767233,1.0,1.00622266032152,0.205838252989081,-3.93047127005528
AC005077.12,0.320337819144461,3.91536910542369,0.227305492513615,5.23577728941175,0.797828481391604,1.33723721785488
AC005077.7,1.0,1.0,0.113066900150334,8.49412498663732,0.0441479297958566,8.49412498663732
AC005083.1,0.793365817085356,-1.32130830514891,0.92428817035296,-1.1052717659297,0.88181303453971,1.19546010843541
AC005086.1,0.403722085369668,-1.9966681380582,0.05108808026846,-4.05066918167363,0.338409636165735,-2.02871428880164
