gene,mean_abs_log2fc,max_abs_log2fc,mean_base_expr,mean_lfcSE,mean_abs_wald,n_cell_types,n_contrasts,n_total_deg_entries,direction_consistency,label
AATK,2.6624466812147918,4.41930486563979,72.51093321964323,0.7064382617734695,3.682643971653323,5,12,22,0.5909090909090909,0
AATK-AS1,2.97453314823827,2.97453314823827,0.82949210296709,1.08020471199172,2.75367540542729,1,1,1,1.0,0
ABAT,0.6498722569137815,0.82635813519628,344.24398340567825,0.178976266125507,3.607720071074887,2,3,4,1.0,0
ABCA1,1.4194165055668142,2.40051479114307,599.2430017669501,0.34780626144059995,3.8005639971943173,3,7,16,0.625,0
ABCA10,1.4133747281410778,2.31328868382527,53.4054193771781,0.41241060250329203,3.438270450552589,5,7,15,0.5333333333333333,0
ABCA11P,0.7145020575360455,0.949517764276054,101.47518718250944,0.193005128509519,3.6875820967001127,3,2,4,1.0,0
ABCA12,2.804210464441915,2.97437818785514,9.187534037799505,0.9714186695884305,2.9445241328271052,1,1,2,1.0,0
ABCA13,2.082276448178265,4.34926419403472,209.32677520461584,0.30321290026053566,4.321102792812381,5,11,23,0.8260869565217391,0
ABCA17P,1.3186099885778801,1.92143233519161,19.61618717180075,0.38646845170902283,3.4198780581875172,2,5,6,0.8333333333333334,0
ABCA2,1.1913649232875672,2.58892012806268,1183.6454283822957,0.290025157447031,3.401897066022915,4,8,12,0.6666666666666666,0
ABCA3,0.361352789191348,0.361352789191348,135.644358682477,0.127657949656297,2.83063287608994,1,1,1,1.0,0
ABCA4,7.6304141540777115,11.0307394766472,6.192389745671068,0.6678603401162347,3.989991956546741,1,4,8,1.0,0
ABCA5,0.4868149744240134,0.617552609204285,853.4906999351169,0.14314153196983145,3.542775477578108,4,7,13,0.5384615384615384,0
ABCA6,1.599526187898631,2.74011316233493,70.80272766332669,0.3866606862084114,4.069556690189203,2,7,10,0.9,0
ABCA7,1.3917882555995003,2.81637503491141,1133.5140892092054,0.21254571086739366,3.401556003313805,4,7,10,1.0,0
ABCA8,3.1557844722469373,4.08019671198789,20.9024699440918,0.28128391186790036,4.004327229650211,1,2,4,1.0,0
ABCA9,1.0513501179446993,2.47567275242373,154.71163931350893,0.16940618871072494,3.6844312640044685,3,8,16,0.9375,0
ABCB1,0.7131140382218966,1.03101698502535,394.5771630494881,0.16647121876927468,3.7180335814491103,3,6,11,1.0,0
ABCB10,0.7277478477232575,0.870250965637024,302.3203072372695,0.17132793880507952,4.21105417275705,1,1,2,1.0,0
ABCB11,4.334197901514025,5.15401118951777,4.40155484652294,1.0349837481865651,4.29712964424156,1,2,4,1.0,0
ABCB4,0.592844965038074,0.645890484337626,134.134306043991,0.2073652510674015,2.855857061301055,1,2,2,1.0,0
ABCB5,3.14980002192311,5.13322391461948,33.73807102505508,0.3016590104188677,4.190497518670634,1,3,5,1.0,0
ABCB6,0.892558825310836,0.892558825310836,67.2088875020663,0.28006037952786,3.18702283705948,1,1,1,1.0,0
ABCB7,0.862357393586165,0.862357393586165,276.643969681045,0.175926203086073,4.9018132515726,1,1,1,1.0,0
ABCB8,0.8139098595392925,1.15272359537942,322.93803149983404,0.1340003619036901,3.263575614846957,3,3,3,1.0,0
ABCB9,0.8706311313393705,1.39519389206368,126.72240503789858,0.23028837276945202,3.661326857154652,2,4,6,1.0,0
ABCC1,0.8870865718942869,1.56889701305203,1621.5194682906672,0.10123776549296552,3.9409307416753685,3,3,5,1.0,0
ABCC10,0.595589776422067,0.595589776422067,491.055916872838,0.210766663673554,2.82582532759804,1,1,1,1.0,0
ABCC11,4.243184082749019,5.9763885217091,19.164246871936683,0.8861883236808354,3.752992829252183,2,6,7,1.0,0
ABCC12,5.9873620037161,6.18412836662536,15.0117041373646,0.9984004793913319,6.013775745633935,1,1,2,1.0,0
ABCC13,3.235880234438628,5.21060201070877,34.97879653118195,0.32296131497520114,4.916915262532935,2,8,12,0.75,0
ABCC2,2.2870656462091232,2.68328255756339,80.6772950536026,0.2890447203555348,4.494387157376097,1,2,3,1.0,0
ABCC3,0.8451767312621418,1.22429897108304,631.4691316417744,0.16850159606498064,4.5775092764311065,3,4,13,1.0,0
ABCC4,0.641052925470493,1.0074483055841,312.5522616591815,0.04947426570414333,2.809423488814435,2,2,2,1.0,0
ABCC5,0.7530440590841653,1.18813171696537,398.0709990456856,0.13260867116207542,2.73474586944606,3,3,3,1.0,0
ABCC6,0.902109709714231,1.22757480846608,104.97679824843452,0.32360048672590774,2.830263044157335,2,3,4,0.75,0
ABCC8,212.37382236492962,674.648501012298,3.482618842007002,0.49773698798619925,25.27526550667412,2,3,4,0.5,0
ABCC9,1.740045958859591,4.21806995450307,174.24318933869725,0.21926047268661175,4.276967991155326,3,8,16,0.875,0
ABCD1,1.3879100125630994,3.5327425973646,186.1882295856347,0.2335972214269655,3.5736599139588243,4,8,14,0.6428571428571429,0
ABCD2,1.3564096768094127,2.45660456800918,228.44030783172357,0.2185935648448923,6.256435816471434,4,6,16,0.875,0
ABCD3,0.9621034056339026,1.70064597025668,442.1030531464937,0.14358129828542832,3.5588363854753964,3,6,8,0.875,0
ABCD4,0.455286359881237,0.455286359881237,549.879546932484,0.126346240611531,3.60348165230399,1,1,1,1.0,0
ABCE1,0.5731636835905329,0.64048580914105,775.90398871925,0.19893059415952,2.91442591401922,1,2,2,1.0,0
ABCF1,0.334951408104826,0.334951408104826,1091.16027203981,0.110292283658376,3.03694326560795,1,1,1,1.0,0
ABCF2,0.5933888770069495,0.978794825397086,605.451386505395,0.17799652369045835,3.095768300203845,2,2,2,0.5,0
ABCF3,0.269998625635559,0.269998625635559,731.433902959177,0.082651964883903,3.26669336917534,1,1,1,1.0,0
ABCG1,1.078761582279895,1.47625370140623,575.8421331164022,0.24611276872210106,3.6507483435851382,3,5,7,0.5714285714285714,0
ABCG4,3.92462443006094,3.92462443006094,1.85986556613029,0.914452070296054,4.29177707344503,1,1,1,1.0,1
ABCG5,1.2301982837773204,1.51379140804403,7.057894765977775,0.405248101476744,3.005552779156745,1,2,2,1.0,0
ABCG8,2.98196986066045,2.98196986066045,0.686709500964675,1.25994065626035,2.36675421643371,1,1,1,1.0,0
ABHD1,1.04374365204959,1.04374365204959,49.2408583610046,0.316553970011007,3.29720600886255,1,1,1,1.0,0
ABHD11,0.5027217585482224,0.552243740525183,100.11875181448886,0.1778653459091985,2.829718617862195,1,2,2,1.0,0
ABHD12B,1.2942540340933264,1.67682781530107,101.97295547502988,0.356890251311426,3.7012204246728166,1,2,3,1.0,0
ABHD13,0.5032864124242169,0.866886830378061,739.6909694662188,0.17048178589610322,2.888647453740456,2,4,5,0.6,0
ABHD14A,0.607166792246959,0.783040478620208,139.996852209503,0.21410819464959352,2.801772540919365,2,2,2,0.5,0
ABHD14B,0.574507153199779,0.889107331765326,415.9990718541888,0.18781823421372482,3.0668370508810723,3,4,5,1.0,0
ABHD15,0.3327686916098203,0.46682416106926,578.9569919864483,0.10942498026317214,3.0939726942996963,2,3,3,0.6666666666666666,0
ABHD16A,0.5899222138190165,0.696812624130335,334.23033640079376,0.17386102003280923,3.497291572818952,2,4,4,0.75,0
ABHD16B,2.937595317472667,5.18482572744914,89.62268945451018,0.6280013613302976,3.71870446681828,4,8,10,0.9,0
ABHD17A,1.1158768244597692,2.03566200737213,1293.1567998521205,0.2881379445681575,3.8972276589708,3,4,6,0.5,0
ABHD17AP3,4.881849203174495,5.07701222463706,1.115378481998455,1.737047639481085,2.9249385217291097,1,1,2,1.0,0
ABHD17AP4,4.421662554297235,4.79188749431785,3.166262475762575,1.4798671583144105,3.3686880393130103,1,1,2,1.0,0
ABHD17B,0.631896296689482,0.848092782487092,315.5770232090715,0.22345429526713875,2.85872166592704,2,3,4,0.75,0
ABHD17C,1.1066943990217293,1.48971422484578,40.7703777398261,0.31977089847015366,3.4079983536359535,2,2,3,1.0,1
ABHD2,0.716701223040398,1.27610047108609,2690.4241423917865,0.14808233948588773,3.518875068481593,4,5,10,0.6,0
ABHD3,0.9064333294745718,1.68513154549549,443.34475048223766,0.1340480713766347,2.925806124474436,2,3,3,0.6666666666666666,0
ABHD4,0.9756142302021821,1.60937004909284,151.92555810772953,0.2844372361581495,3.4210756130030684,2,4,6,0.6666666666666666,0
ABHD5,0.8648964412331499,1.45258294201465,211.61406490850396,0.19344119781630714,3.6313144984199,4,10,17,0.6470588235294118,0
ABHD6,0.6690132749655076,0.795600997350478,113.21259744647548,0.23981085831260002,2.7977951700944947,1,2,2,1.0,0
ABHD8,2.75246473947314,2.75246473947314,84.9200111942918,0.60623255892924,4.54027864213478,1,1,1,1.0,0
ABI1,0.7724296227083338,1.20216953391744,1090.3120607054275,0.11761608185610321,3.587407660980522,1,3,4,1.0,0
ABI2,0.5629774583609496,1.26578377683268,744.6713080701577,0.11131410812007521,3.1337133912955464,4,8,15,0.7333333333333333,0
ABI3,0.8343542845015135,1.1339793595935,274.5962945130232,0.2353154710127104,3.5961135689393924,2,5,13,0.6923076923076923,0
ABI3BP,1.5270780546205402,3.82051647458783,129.047929303717,0.18968222660310902,3.969397596070746,4,9,15,0.8666666666666667,0
ABL1,1.4927708185719395,2.96325446848597,416.0768549074786,0.15785585235739377,3.7522378941029517,3,7,11,1.0,0
ABL2,0.8753712006794014,1.4143724827755,497.13026289119995,0.14364974480535317,3.3252487640463415,3,5,6,0.6666666666666666,0
ABLIM1,0.9872924772147863,2.44466955231502,3089.5688918027217,0.13716273066124507,4.157837671373666,5,10,21,0.9047619047619048,0
ABLIM2,1.785540561163291,2.93119863908934,36.20863920002797,0.31886684470173027,4.019333079053516,3,10,11,0.9090909090909091,0
ABLIM3,1.643508108203811,2.28909616999486,157.06982831080924,0.3808082223705729,3.7561930003147777,3,8,9,0.7777777777777778,0
ABO,1.4328154000671651,4.06547798845311,194.0651165386771,0.19902056166722715,4.120066851404527,4,10,19,0.8421052631578947,0
ABR,0.6114336703881341,0.678992344041745,2514.1667161914866,0.20196295203887696,3.0857543907414935,3,3,3,0.6666666666666666,0
ABRA,1.4643753463120213,2.0605424744794,16.989082472085165,0.4280891969333496,3.3749312826347064,2,2,3,1.0,0
ABRACL,1.1507459345013928,1.92468437959507,350.74610943802753,0.09578468470628586,3.372625012941123,2,4,6,1.0,0
ABT1,1.277897213769487,1.80825362231265,547.4792966488865,0.14328269996188342,3.01021297333914,2,2,2,1.0,0
ABTB1,1.0533478968533971,3.06185883488906,1140.0957586862173,0.20140535736391252,3.6972024731243924,3,6,15,0.7333333333333333,0
ABTB2,0.8365915789929628,1.27027455903221,72.2233866872671,0.25729954153159973,3.1931068236178177,2,3,4,1.0,1
AC002429.5,2.3013861418981865,3.84443880329736,77.19408659257593,0.28794747213123206,4.4222158471245505,1,4,8,1.0,0
AC002543.2,0.928883873390668,0.928883873390668,32.5450066971976,0.404162234336376,2.29829458191677,1,1,1,1.0,0
AC004057.1,1.06575631797482,1.3927611222387,1054.0883618510109,0.3075429556818548,3.625646014117892,2,3,6,1.0,0
AC004381.6,3.1658473662769215,4.71628467993898,21.372680511079597,0.5039051252783955,3.5679489188382667,1,3,6,1.0,0
AC004461.4,1.28831467459826,1.28831467459826,4.41183146390825,0.558807548232229,2.30547113880943,1,1,1,1.0,0
AC004967.7,2.3273289536642534,3.77709802678165,24.148016836739668,0.720487496399202,3.1397758143843597,1,2,3,1.0,0
AC004980.7,0.578596213325657,0.578596213325657,89.3845172074529,0.246579113660836,2.34649319942606,1,1,1,1.0,0
AC004980.9,2.572016326118452,3.17867625999582,11.481594352135076,0.7765608345002011,3.302930841903278,2,3,5,1.0,0
AC005077.7,2.23830216102478,2.23830216102478,2.89296253698361,0.706293679534092,3.16908139755871,1,1,1,1.0,0
AC005086.1,2.7015340894524598,3.28066422545687,6.817347007150327,0.675280667794345,4.139268082394127,2,2,3,1.0,0
AC005176.2,2.636467202996485,2.85896371453016,11.726608898693549,0.6278603259586619,4.22432543213802,1,1,2,1.0,0
AC005307.3,4.16063521139131,4.35013134120207,2.25985228812659,1.040235184402382,4.04159308431253,1,1,2,1.0,0
AC005682.6,0.956261486584519,0.956261486584519,7.22197082725823,0.32859598451534,2.91014355514706,1,1,1,1.0,0
AC006486.9,7.731206035521687,8.15957305170559,19.984839668153167,2.0679516249595564,3.7786834928785438,2,3,3,1.0,0
AC007040.11,2.0213390862437786,3.51395124157045,41.06969868167216,0.5044959328666366,3.9812090194119656,3,5,9,0.8888888888888888,0
AC007161.5,1.534616165574165,1.58838727197087,11.272314241569317,0.5261000253245998,2.91857457505423,2,4,4,0.75,0
AC008132.13,3.040107434932795,4.49656979853659,54.812863768646686,0.2040226531693089,4.302988905973777,2,4,6,1.0,0
AC008280.1,12.1103977123179,12.1103977123179,0.954631641645935,3.07722450751934,3.93549371608265,1,1,1,1.0,0
AC008694.3,5.07328958462221,5.07328958462221,2.55244076044918,1.79053291507044,2.83339643852492,1,1,1,1.0,0
AC008984.7,1.4822550253372,1.64538633548623,15.2535962503061,0.42500281032856074,3.5109252707668976,2,3,4,1.0,0
AC009237.8,1.6294897613159123,2.58069256623543,27.12869380901135,0.2514020809883361,3.401350522907497,2,3,6,1.0,0
AC010547.9,5.495547067373953,7.73072952223972,20.86353046344699,0.3987199584854812,3.860038575120375,1,3,4,1.0,0
AC010980.2,2.771384510407625,4.33820654476813,9.852900116327165,0.23269038921807603,2.7831633879573197,1,2,2,1.0,0
AC011330.5,0.57995338504687,0.57995338504687,58.6027700972369,0.210533132614435,2.75468938235476,1,1,1,1.0,0
AC012358.4,0.998389190695852,0.998389190695852,15.9673079004617,0.328902711922364,3.03551522838011,1,1,1,1.0,0
AC013271.3,15.6047201280313,15.9213681135969,2.190366870865375,2.188387113717525,7.201810182795845,1,2,2,1.0,0
AC016582.2,2.26795163638338,2.26795163638338,2.62335954514304,0.820704213513763,2.76342146054468,1,1,1,1.0,0
AC016831.6,4.28670888637715,4.40764813353699,1.91113534875249,1.46198881720349,3.03209871499622,1,1,2,1.0,0
AC018892.3,4.593416526001456,5.45686852418787,8.3193594162766,0.5834588420459146,4.16372391975435,1,2,3,1.0,0
AC024560.3,0.3087750127427043,0.330899866219331,627.282508090026,0.10349313730802763,3.0854409526669904,1,2,3,0.6666666666666666,0
AC024592.12,4.530593174569501,8.64778394488344,7.354324095814213,0.5328468576291099,3.178321742054996,2,5,7,1.0,0
AC025335.1,0.697940741638124,0.723001074448963,71.28884011648655,0.239128081358158,2.9469870323529,1,1,2,1.0,0
AC026150.6,2.49887154631118,2.49887154631118,10.0891772016022,1.06353556910067,2.34958906773964,1,1,1,1.0,0
AC026954.6,2.31885085003069,2.31885085003069,1.12988933805603,0.865355729740903,2.67965042621834,1,1,1,1.0,0
AC027612.3,4.7742808707411575,7.79390118662411,21.289794455182065,0.3405634749533415,4.030425995507965,1,4,6,1.0,0
AC037459.4,3.086004163410743,3.91094758232156,3.7407315890758936,1.171523292023708,2.632289672009057,2,3,3,0.6666666666666666,0
AC063976.7,2.241167818411389,3.34182004749559,33.27563816256556,0.24067655511147557,4.239709959384405,2,4,6,1.0,0
AC069368.3,7.95095689125955,7.95095689125955,4.08832226968416,0.00804724884923126,2.88898882069095,1,1,1,1.0,0
AC083899.3,1.05347469813437,1.05347469813437,26.8568485546415,0.460384499467926,2.28824971160387,1,1,1,1.0,0
AC090958.5,1.41739499390902,1.41739499390902,3.80391671990417,0.465425274459756,3.04537607149561,1,1,1,1.0,0
AC092835.2,2.40913981033053,2.40913981033053,12.0666720255358,0.842640612623216,2.85903595701453,1,1,1,1.0,0
AC093063.2,1.04767472136386,1.04767472136386,9.24254951196672,0.374855052345225,2.79487955360142,1,1,1,1.0,0
AC093166.3,5.416539417111143,6.80963613024726,8.007990253099424,0.5705990356282477,4.974377006938297,1,2,3,1.0,0
AC093616.4,1.548709546721447,2.31728301016168,65.48951759899958,0.285973559007607,3.6796598982735844,3,5,5,1.0,0
AC093838.4,0.360088190789381,0.360088190789381,395.413861511079,0.109895099678818,3.2766537529133,1,1,1,1.0,0
AC097374.2,0.44148807293701126,0.5671426248413,358.1122513130252,0.12868590070899993,3.6212656866318844,4,4,7,0.8571428571428571,1
AC104534.3,6.2419017240599795,6.9736656648775,18.938539502866146,1.7291887137484334,3.6782065741007295,2,3,3,0.6666666666666666,0
AC105339.1,2.221073161209523,2.78064508577306,4.697934507050497,0.6042686522968357,3.6331561091206765,1,2,3,1.0,0
AC109829.1,1.16901193789622,1.16901193789622,20.3297859795088,0.448922751104565,2.60403807786504,1,1,1,1.0,0
AC114755.7,7.77042722861459,7.81735474814524,7.21626310524976,2.721122464944475,2.99310231608635,1,1,2,1.0,0
AC125232.1,1.51000777122981,1.51000777122981,200.506364783676,0.333690503627274,4.52517453992774,1,1,1,1.0,0
AC126365.1,2.19818628988492,2.19818628988492,1.68094573288666,0.927321854574457,2.37046746934876,1,1,1,1.0,0
AC129778.2,3.630138667523297,4.92420950167367,21.898654309963685,0.31931837599986335,4.470154491166708,1,4,7,1.0,0
AC136289.1,1.69996735980743,1.96245745397702,12.13149969587645,0.5094567153669409,3.3336409218478202,1,1,2,1.0,0
AC141586.5,0.6073394708359245,0.965804289887398,213.89209507699098,0.17770818104181674,3.386141522122883,2,3,4,1.0,0
ACAA1,0.42087059227636103,0.503815689570023,1046.878139949204,0.1725775750402955,2.491325072055555,2,2,2,0.5,0
ACAA2,0.548980971971875,0.784072932234575,391.311814017425,0.19094995023310235,2.8646919636155364,2,2,3,1.0,0
ACACA,2.4750900006695966,4.34884147467408,333.88896599582944,0.18851657564751312,4.882169929287252,3,6,9,0.8888888888888888,0
ACACB,0.552902151241156,1.1035869039283,563.1298797613168,0.14198718664879134,3.936057337857338,3,8,19,0.7894736842105263,0
ACAD10,0.4091691471902535,0.586892247011553,507.39987301886725,0.13865335025340225,2.94433717909245,2,4,4,1.0,0
ACAD11,0.3067258221627763,0.32781407155083,534.3600072334849,0.10295120467105671,2.986421091972987,2,2,3,1.0,0
ACAD8,0.301508880296488,0.341176857401034,646.986825975993,0.08769325896908005,3.516203691116383,2,1,3,1.0,0
ACAD9,0.7209740256494982,1.15104344540116,390.6747516561545,0.08036324106085899,3.211610379495525,3,3,4,1.0,0
ACADS,1.6236717320154188,2.23191524799406,119.20936664480833,0.47384727533210896,3.3082033062348137,2,2,3,0.6666666666666666,0
ACADSB,0.6095940093406387,1.19182313209338,910.1425921797425,0.19031560830071959,3.085331586292056,3,3,5,0.6,0
ACADVL,0.45639404738253603,0.564866044589527,1053.5197517966756,0.1447372109024215,3.135600223740635,1,2,2,1.0,0
ACAN,1.7915040938279228,2.57261718482608,25.980782275388034,0.46846462128804234,3.6859728081503733,2,2,3,1.0,0
ACAP1,0.8503434657917068,1.5040947308972,2190.8730348764525,0.13039211804432455,3.748835540377044,4,4,7,0.8571428571428571,0
ACAP2,0.439386952933017,0.439386952933017,1651.37693969574,0.190886550041131,2.30182248481279,1,1,1,1.0,0
ACAP3,1.8783206352665252,3.49432745076604,440.3792955565943,0.2238131884135833,3.15195888034093,3,3,3,1.0,0
ACAT1,0.6677079267256263,1.65505327149058,397.8370251737058,0.11334705805330077,3.5785349997092633,3,9,13,0.8461538461538461,0
ACAT2,1.0663553523370177,1.54519208160535,192.13416162410365,0.19654378725829483,4.047366655080974,2,5,6,0.8333333333333334,0
ACBD3,0.5914993171913651,0.742466613719662,610.9675920421755,0.2141950345568915,2.779270567270045,1,2,2,1.0,0
ACBD4,1.9106992086883252,5.71887412740874,182.01355021483118,0.15181986593572566,3.2269285152283524,3,3,4,1.0,0
ACBD5,1.0178861766487428,1.99742328764101,396.11909984130676,0.07750646570138814,4.256307497109068,4,5,9,1.0,0
ACBD6,0.39963633116263636,0.737532488804142,375.33753998251717,0.13338643039345124,3.068797161328478,4,4,6,0.6666666666666666,0
ACCS,0.912519246978264,1.34162226481518,424.1739463341223,0.1306405733479124,3.3021474312781067,2,3,3,1.0,0
ACD,0.8377287932023856,1.0900580578897,262.1984231135598,0.26227570895026175,3.1933943362137773,2,2,4,0.75,0
ACER1,0.80412495322349,0.80412495322349,20.0401932979956,0.295547774931197,2.72079515202133,1,1,1,1.0,0
ACER2,1.325991535229356,2.36080987766481,45.47388904582682,0.37330980584662277,3.68914931370506,2,3,4,1.0,0
ACER3,0.518383607709047,0.640451913097737,881.749060620426,0.15733182468115367,3.282922273775803,2,3,3,1.0,0
ACIN1,0.5298791031502983,0.608872328792361,4018.1136026248037,0.15490261206066633,3.5402309069907596,2,2,3,0.6666666666666666,0
ACKR2,1.9942941849390294,3.20674112489127,56.4127003000332,0.19470252725781462,4.238648213942009,2,6,10,1.0,0
ACKR3,1.1768226975173457,2.33807320375025,68.89635988235915,0.3386466266428469,3.365369627971462,3,3,6,1.0,0
ACLY,0.696629596808449,1.43369681410458,1445.5187984218862,0.07904097228506247,3.6487160097985765,3,3,6,1.0,0
ACO1,1.0790254965050101,1.10316819496371,236.23135226657052,0.28339510290348047,3.894576222484805,1,1,2,1.0,0
ACO2,0.34512313591857,0.482790302449261,1360.4713401500157,0.12253913138842036,2.784702157019673,2,2,3,0.6666666666666666,0
ACOT1,1.74575422028349,1.95434069802283,14.3005041731813,0.615884994378183,2.9253165314921548,2,2,2,1.0,0
ACOT11,0.5431825568325093,1.06148155743655,338.5456074389478,0.1540968712467109,3.40412706865484,3,6,9,0.7777777777777778,0
ACOT13,0.625682780314369,0.625682780314369,166.580554909614,0.237367227748988,2.63592740349152,1,1,1,1.0,0
ACOT8,0.5944061548791207,0.859235716112284,271.729982455932,0.10315514746497058,3.139965842832233,3,2,3,0.6666666666666666,0
ACOT9,0.5440069378489156,1.03824125087576,952.8552656492267,0.16596320052226152,3.1400334203947264,2,3,3,1.0,0
ACOX1,0.5929030212565127,0.733531363279897,746.8469517168288,0.17251108692315553,3.469625914522268,4,6,13,0.6153846153846154,0
ACOX3,0.42507810622467296,0.580729332308727,239.21642364020298,0.13900165088065933,3.016077598685867,2,2,3,0.6666666666666666,0
ACOXL,1.0806690287448022,1.27808130278985,34.266936330953385,0.3513833341874948,3.122656510382762,2,4,5,0.8,0
ACP1,0.5256061527161924,0.936715246730821,769.3058479509912,0.1519802908830014,3.3854865012635016,2,4,5,1.0,0
ACP2,0.432952673276174,0.464317615245349,183.9373881087175,0.139222388761005,3.1060228119407247,1,2,2,0.5,0
ACP5,0.47714627516759583,0.652337361021885,493.03568577805584,0.1600613592297164,2.972638175459692,3,3,5,0.6,0
ACP6,1.5658253844941208,4.22272023925509,302.7991732601625,0.24629243259400774,4.082284989592006,2,7,14,0.8571428571428571,0
ACPP,1.5766907234217846,2.1722032574782,99.99108547962226,0.3631657083079822,4.336114882743213,4,11,24,0.5,0
ACRBP,1.1333694560209986,1.63411049358769,286.19016098823397,0.3237356953171296,3.452742638681979,2,5,7,0.7142857142857143,0
ACRC,0.8307895461824036,1.57959753754177,101.5885856177892,0.244176302918836,3.218923054108977,2,2,3,0.6666666666666666,0
ACSBG1,1.6385803766524152,3.03414571839805,85.47369732594544,0.3372386896105806,3.7044092365762915,3,10,18,0.8333333333333334,0
ACSBG2,1.12810393609468,1.12810393609468,8.5037502089951,0.360760201886935,3.12701880693657,1,1,1,1.0,0
ACSF2,0.47235863322696153,0.744507175147301,264.119889485934,0.1331270705979553,3.5626273889583473,2,3,4,1.0,0
ACSF3,0.3206253597797935,0.326227731850652,974.6435926616675,0.0964460060960413,3.39633681173356,1,2,2,1.0,0
ACSL1,1.263738511401944,1.65535964364549,1113.7187618567716,0.31643419379591076,4.031995389626104,3,8,18,0.5,0
ACSL3,0.9574632566711849,1.45945934937503,803.3542937278085,0.22332165009515023,3.7366889850315372,3,7,11,0.8181818181818182,0
ACSL4,0.9017490791418408,1.64795488553492,868.6407663782791,0.1290359701880559,3.683084201775548,4,6,9,0.7777777777777778,0
ACSL5,0.6059172454550668,1.51481981319314,1240.7866492928206,0.11565765733623871,3.4156406899480265,3,5,8,1.0,0
ACSL6,1.1518248960741415,1.45260223081176,216.78579243748771,0.27451659023613595,4.409697784441904,3,4,11,1.0,0
ACSM2A,1.0072144930552092,1.63159719529613,125.69067521489998,0.2732778969847238,3.7268077829119366,3,4,9,0.8888888888888888,0
ACSM2B,1.9002158039708685,3.37149278014998,124.45373954780143,0.18860133681075103,3.6261658448598837,3,7,13,0.6923076923076923,0
ACSM3,0.9184910879804182,2.46295864595652,231.6949778414563,0.1535814068220758,3.604043512956,2,8,13,0.9230769230769231,0
