metabolite_name,metabolite_id,annotation_confidence,Formula,Mass,RT,CAS ID,C001_June_Pre,C002_June_Pre,C003_June_Pre,C004_June_Pre,C001_Aug_Pre,C002_Aug_Pre,C003_Aug_Pre,C004_Aug_Pre,C001_Sept_Pre,C002_Sept_Pre,C003_Sept_Pre,C004_Sept_Pre,C001_Sept_Post,C002_Sept_Post,C003_Sept_Post,C004_Sept_Post,C001_Nov_Post,C002_Nov_Post,C003_Nov_Post,C004_Nov_Post,C001_Dec_Post,C002_Dec_Post,C003_Dec_Post,C004_Dec_Post
TG (48:1) [M+NH4]+,TG (48:1) [M+NH4]+,2.0,,821.7489,11.37,RPPOS,160582.93864685,96298.5297674561,62688.190201782,67408.1036292723,84653.3911574706,115255.594378418,172927.739886779,118314.696461609,74018.6415895994,152111.145446166,94844.218663147,121284.873342469,79592.5822752076,46405.7731362304,93082.2297734978,102968.016090332,56548.1719797363,79352.8457406007,61197.4467839965,158651.625377441,71967.519178894,66464.2227009278,193722.40708844,79708.1609591065
TG (48:2) [M+NH4]+,TG (48:2) [M+NH4]+,2.0,,819.7335,11.19,RPPOS,154497.611562378,118800.24761792,61516.0298459473,76001.3598377684,90119.0939766845,131088.838199219,199517.720770508,137321.23289447,86970.853661621,264167.111138123,135358.736633729,176909.856911499,79278.3193056029,44751.3974157104,114428.964641602,112815.975736328,58542.7561342773,111043.103693909,54504.0067071532,202488.338648804,86856.0295502932,58111.8569456175,211590.282947143,93062.3857440185
TG (48:3) [M+Na]+,TG (48:3) [M+Na]+,2.0,,823.676,10.98,RPPOS,34086.7564559326,35041.5201776735,12929.413689331,22816.1622642212,19754.5442945557,32383.8534517213,41765.1318784179,32191.5187832031,23043.7699895019,100920.174260498,35625.7994814454,55485.0485612793,15929.4559544067,5595.75827893076,24979.0677780151,26042.2721920166,11411.5515113525,35058.4293962403,5752.58751556397,58875.5612089843,20679.0595386963,7953.27058593743,38463.0190034181,18890.4472609863
TG (48:3) [M+NH4]+,TG (48:3) [M+NH4]+,2.0,,817.7165,10.99,RPPOS,68280.5495552367,72792.3880332033,26693.5076766357,43113.3888421631,39766.3037000732,67591.3835772705,82055.8617073975,68319.4041197509,48518.9673227539,222172.090493408,73304.3628807373,122097.593189697,34509.1563217163,18501.4628061524,52492.5677442628,60407.7682283937,33746.9877359618,73309.9395715333,19422.4440842286,123337.221315796,44624.7176717529,24874.6460923462,78631.3635207521,47175.51054187
TG (48:4) [M+Na]+,TG (48:4) [M+Na]+,2.0,,821.6596,10.76,RPPOS,8549.00907934576,24370.7943497925,1339.71215625004,10777.7581131592,2610.90246386713,14150.0753219604,14931.4666808471,15656.2689283447,13450.1280285644,79037.9547687989,16995.5327261963,58942.3174350585,2608.93962908939,1246.65974084476,5818.56519946293,12330.8792028199,7882.12676452634,25187.6316311034,,35075.5733054199,9688.93155249011,,8946.89792730713,2777.85943762208
TG (48:4) [M+NH4]+,TG (48:4) [M+NH4]+,2.0,,815.7008,10.77,RPPOS,29235.3978735351,38639.2483129272,10884.9941693726,20257.141348816,15844.0046613159,28599.7307371826,32356.3295064086,32301.920590088,24696.7957239989,128038.727034485,32994.4932854615,92383.6726955566,11723.7250621338,8092.87301989744,23412.810071045,28773.0599108276,17939.7414598998,47548.0144692992,5534.14876245126,58974.8379191894,25633.638272583,10221.3553075561,28109.0585435791,16121.0003088989
TG (49:1) [M+NH4]+,TG (49:1) [M+NH4]+,2.0,,835.7644,11.46,RPPOS,47286.6007713013,31354.3887357788,28593.0568814088,29427.7126429443,37172.0376109009,38468.0785721436,47794.099611206,34358.0101702881,32258.9598730469,34581.84302771,38993.2630987549,32971.5196055908,30052.4409213867,24003.5940222779,36309.5952360841,33038.8612252808,29685.3131707154,28127.4874364013,29040.8586112671,65135.4364702149,28898.3195236207,30633.2660742186,41115.4825419922,28018.3584172363
TG (49:2) [M+NH4]+,TG (49:2) [M+NH4]+,2.0,,833.7485,11.3,RPPOS,46184.1873096314,30908.9773428345,28069.0487437745,27812.1529002075,29267.9168859863,36702.5746128539,57161.4107487183,37337.4162210693,30686.9542796631,43571.2084105225,41763.2835019532,36482.2039371337,27816.44490625,18730.7386805419,34266.0698915405,35078.7605783081,26230.5487741699,28701.2404975586,23842.5635577393,67262.6327682496,29880.6470581666,24130.15343396,40667.2759401855,26448.9390270995
TG (49:3) [M+NH4]+,TG (49:3) [M+NH4]+,2.0,,831.7334,11.11,RPPOS,16205.0962442627,8256.27801452627,8515.80131976321,8295.87328344722,9663.12349218749,11524.1607528076,18669.2146000366,11795.7526217042,11713.3231311035,16398.8771503296,17234.985550537,14302.1232443848,5111.61973242186,2381.53267639161,10558.169619934,10111.1680740967,7763.96808551024,10259.7756254273,2843.82811743165,23346.6887774658,7509.29885559081,1232.99134906005,14337.2863272705,8818.55424548339
TG (50:0) [M+NH4]+,TG (50:0) [M+NH4]+,2.0,,851.7874,11.55,RPPOS,49533.2878314821,24268.4502323608,25533.2193627319,24503.6603562623,28616.3694003906,42900.1965063478,51345.1496446534,35018.024022888,31601.0236253663,30223.509666565,37494.6539919432,35511.0202582397,35595.6822363282,23776.1219205322,46184.3161027224,40622.5248248901,22489.652449463,24493.3611090088,32457.6777401734,37966.2442957764,31828.1857015992,28083.6956262818,54996.6616895753,33694.8294361573
TG (50:1) [M+Na]+,TG (50:1) [M+Na]+,2.0,,855.7393,11.55,RPPOS,36818.9746049196,16610.2375604248,16864.9496899415,16571.7351120606,19363.3001396485,27795.74896875,36462.4141086425,23448.9917058105,20622.4762988281,21550.4166064454,26392.8212991942,27547.9211019288,28408.7658493652,20097.0243515625,36978.8743289797,25142.0222111206,15257.5069921875,15987.9294994506,22390.2009969483,25488.8973913575,21938.073401001,20439.1116119385,37277.3121364135,22300.497824707
TG (50:1) [M+NH4]+,TG (50:1) [M+NH4]+,2.0,,849.78,11.55,RPPOS,261179.566793457,128483.731215881,128678.670689942,115791.265984864,143655.191134338,203980.029690613,251438.453925598,167551.117382812,134991.768723511,159400.211886475,195179.488115356,168553.849382324,192727.850162293,115300.089219421,242352.655203309,172603.192799011,105702.37092395,99549.6979904173,154588.489771973,171846.164571411,156272.311458679,138311.784447876,260116.964733703,163995.056588623
TG (50:2) [M+Na]+,TG (50:2) [M+Na]+,2.0,,853.7229,11.38,RPPOS,95015.7581019286,45710.6804744873,44317.1790534667,41006.7472083739,51584.6621835938,70404.2484154052,127139.801725342,76998.3597923583,59604.2718898313,72071.5702651365,88042.4203338624,88493.4616340944,60797.8726358644,37741.0927806395,107296.869368652,62939.8837740475,39570.0094267579,43505.9026263428,50520.9099025878,73044.3021645506,57509.5404743654,38558.0699360351,125175.46224054,70315.1338641356
TG (50:2) [M+NH4]+,TG (50:2) [M+NH4]+,2.0,,847.7641,11.39,RPPOS,523082.013083006,229412.318002198,246525.128312194,210570.225484253,283672.629011597,424976.187898803,760008.091886597,457916.906096068,331641.345951171,405232.440426451,553998.738314088,479522.579784547,330175.542777649,196939.07977063,671042.303752317,375206.430287107,232056.008812806,236383.075547302,288284.616320251,407050.699769897,338734.634145753,211865.790731262,726201.597023499,394633.835385252
TG (50:3) [M+Na]+,TG (50:3) [M+Na]+,2.0,,851.7071,11.2,RPPOS,106963.672629639,66596.0611264648,52639.0206882323,57628.5669694826,61534.9701363524,93536.1569711913,156210.04337207,102856.307133057,75489.9718863526,126230.161119385,148073.572680665,110711.084494507,60625.6209073484,36688.3474952393,132705.485645508,82335.6808615723,68605.9749586181,71059.8952280273,49701.3532485351,93066.6647946781,89824.0729417725,42481.6072094115,143240.55426593,89456.7860977787
TG (50:4) [M+Na]+,TG (50:4) [M+Na]+,2.0,,849.6903,11.02,RPPOS,67363.4803896481,59505.2391069336,37223.1220059815,52324.1443674318,35013.5566694336,64224.7651068113,87661.8145407715,74232.7533653564,66242.0571694338,124663.151541809,121387.647159668,96734.2267638553,34411.4732438965,22490.9172078247,76773.8445745851,61348.0780444337,54297.6393410644,70222.7223909913,18673.0264636231,68256.3502377319,80997.8390246578,23878.0111010743,63063.0987422488,54302.5224453123
TG (50:4) [M+NH4]+,TG (50:4) [M+NH4]+,2.0,,843.7327,11.02,RPPOS,138412.134623291,131545.596659546,78456.9260169678,101057.851233399,77745.9181881104,133152.890438232,194137.161885498,164733.230412231,143113.411197144,277637.535460755,271378.124271972,221157.359835511,72243.5901190185,55053.0426506346,165457.345846192,139050.172982422,123897.156051392,153048.471635803,47458.0291824951,150913.469317383,177433.017869872,54699.242826111,144750.598567994,123643.710083252
TG (50:5) [M+NH4]+,TG (50:5) [M+NH4]+,2.0,,841.7166,10.83,RPPOS,35183.5188232422,50027.6142403564,22215.5703120117,32824.144171875,20968.4395554199,36811.1638703613,41634.883150757,53680.8232037964,40113.3279240724,83073.432014099,58764.2396013184,71127.5477194825,12180.6350178833,9314.47045782475,34134.0164018554,39094.3983215333,35239.4135864259,51291.1464030152,1164.74959014892,56069.0193256835,49064.8450920411,10122.9997504882,36952.9651532593,32381.4026221924
TG (50:6) [M+NH4]+,TG (50:6) [M+NH4]+,2.0,,839.7077,11.29,RPPOS,5470.23201513672,2662.23530310059,1356.84346691891,3826.8849049072,,3101.02311767579,9628.016986084,3100.50345373531,4810.89409051517,6521.34056073001,2513.15364630127,4034.72691186523,2493.8040181885,,3739.33350585943,4861.15974023439,,2286.39062145997,1100.52461462406,10453.4385742188,1472.04286120602,,6535.33330859372,1202.91089062497
TG (51:3) [M+NH4]+,TG (51:3) [M+NH4]+,2.0,,859.7638,11.32,RPPOS,62514.7503825685,35131.9372517091,39418.250147705,34895.9378364869,42548.4859941406,69164.5335403444,104951.902305847,63526.0065725099,60280.9470454102,64218.0098193971,85556.6021143188,63034.1497640378,40124.8064047852,28447.95177417,74244.3050134888,58391.8502861939,48354.4309712525,36143.7708078613,35735.9713306885,55374.7923980714,58206.7238377076,33523.6050427856,63589.0568597411,51222.5255650636
TG (51:4) [M+NH4]+,TG (51:4) [M+NH4]+,2.0,,857.7479,11.14,RPPOS,29665.4241369019,19941.6565202026,20630.0828355103,23445.6751657714,18921.2371667481,27624.6396174317,47691.2331453248,34159.1548315429,36270.4036459959,40988.8279697266,49796.3225360105,38904.9664602051,17994.8723036499,9320.9700205078,37600.9736309204,31584.8776062622,30303.5473754882,29311.3687926025,13930.8400506592,24628.9983571777,40638.1722817993,13042.5806539917,23131.484152832,25515.7396809692
TG (52:0) [M+Na]+,TG (52:0) [M+Na]+,2.0,,885.7781,11.33,RPPOS,40925.289793816,45878.1518203583,34871.8467052219,21170.976145605,40082.7252231102,74126.6934421692,76220.0183505669,72084.9429616089,66821.4292282219,63869.3198696143,78930.2313750881,78378.7347378206,29121.1796985433,18876.4134660494,83995.2111990432,41688.9172325665,51269.6699005275,52538.4969615695,22099.7646167238,33336.8963890724,77180.8128393021,32834.2513642616,32496.2499230751,50626.1761118801
TG (52:2) [M+NH4]+,TG (52:2) [M+NH4]+,2.0,,875.7956,11.56,RPPOS,748293.139139162,322649.174037841,463667.738463989,293580.751152649,623582.269980773,980421.366959165,1218738.68810388,805660.990796995,571050.922580264,513891.803977905,833801.214659543,681897.001799805,545715.329553835,474986.723893066,1125004.99685071,712595.06457599,476095.172288146,339625.878715332,708511.646924687,571650.167337647,602287.5842536,472745.836937865,903057.202355222,790593.383212404
TG (52:3) [M+Na]+,TG (52:3) [M+Na]+,2.0,,879.7387,11.41,RPPOS,288235.249688233,150445.75297644,199771.861743103,170148.262484864,202898.80131427,297554.483182069,442232.553201539,282757.513936035,305079.395886412,256155.15301123,461990.34555127,324814.605259217,262348.556002137,216404.779833252,532214.032501953,291116.556012938,266214.525439942,165479.962843018,251960.651616271,203678.740971314,359535.993655274,170148.558617309,341866.300020873,304259.041115845
TG (52:3) [M+NH4]+,TG (52:3) [M+NH4]+,2.0,,873.7799,11.41,RPPOS,1681251.65505457,813208.461901734,1147661.12233185,885649.642294192,1115609.35654559,1879096.62087391,2678269.95522962,1699583.85685595,1848976.33810912,1511783.45896472,2905632.61753772,1943008.06018286,1458060.75254419,1212772.97438385,3301961.36209216,1686358.47813329,1581251.89728064,893028.253291077,1449140.28486816,1135968.36515918,2133316.02283472,929371.789059932,1893826.3592152,1813072.13498676
TG (52:4) [M+NH4]+,TG (52:4) [M+NH4]+,2.0,,871.7647,11.25,RPPOS,1124565.61126886,716835.464271422,827719.258312132,838488.807008423,648544.874962949,1072954.41095507,1654329.03096715,1141877.73573273,1680255.73848224,1409009.46925751,2703868.84584572,1690104.78940155,971975.169554078,789796.067778257,2374679.64836535,1220489.35825269,1553530.42150811,861266.435339845,841465.244570194,753564.65703363,2126515.23984003,570763.808329836,1171048.25705481,1241897.82411206
TG (52:5) [M+Na]+,TG (52:5) [M+Na]+,2.0,,875.708,11.07,RPPOS,132171.921056518,109367.974296265,98935.9996666871,115360.082839844,77180.9376483156,110651.996904785,165833.161586548,157351.097810059,186462.954000977,189191.933081787,300505.843144043,219862.988496582,88120.7414072262,70127.0640389404,222579.46152826,149591.264165161,191298.355316284,117015.627818298,71592.8921311646,119284.763562805,258358.835186523,57357.2506270753,132408.689739624,151007.004151245
TG (52:5) [M+NH4]+,TG (52:5) [M+NH4]+,2.0,,869.7489,11.07,RPPOS,316888.502498047,263745.804361756,246562.808210572,269107.211964844,175188.302541931,257565.796521912,396896.813366516,405232.405274719,455109.835622683,460120.163673949,761055.674752563,571466.400309326,196658.875245971,162189.998649841,519634.152069214,384037.220636353,496957.140078736,283961.164679383,155551.801241699,304790.290750366,670105.591946961,137440.895263794,300424.210420777,365465.99551471
TG (52:6) [M+NH4]+,TG (52:6) [M+NH4]+,2.0,,867.7324,10.89,RPPOS,61020.2474409179,91476.5000219725,52345.6938328247,59006.5354587404,36570.4097561035,51448.0043391113,72191.5434530029,104392.132078735,72603.1012604981,105696.650461975,127833.783696899,125972.551286438,32663.5511467285,28511.1080911866,75853.3468023682,85573.4887617188,98136.9701545411,66910.2657179566,26938.7179664916,89098.0705631103,132163.960190491,28923.5039125976,63804.0197250975,75230.2018950195
TG (53:0) [M+NH4]+,TG (53:0) [M+NH4]+,2.0,,893.8402,11.53,RPPOS,19099.5963929901,18079.390710331,14855.3586972809,18158.2238339195,10529.1692331333,24114.2550505829,15062.7149198379,25954.2594304085,16938.9531931057,10442.4491496353,19086.9416263199,16107.0694008751,17969.4078187618,16698.1320564957,23034.0648144379,25696.968580738,18347.354878233,19770.0215265922,15547.9396379547,28873.2639310493,14448.8418293686,19828.3607946243,30241.5329258022,17631.8320981293
TG (53:2) [M+NH4]+,TG (53:2) [M+NH4]+,2.0,,889.8096,11.63,RPPOS,20857.9181389771,9920.06018151866,17017.4351489868,11577.3985671997,18321.1416728516,24610.1364016116,32719.8500489503,28528.6965045775,18786.1851482544,17401.7259789428,23774.0924952391,18557.2826083375,18192.9790254517,11477.1499907837,24035.0462981567,21246.1334351807,17329.4470558472,13159.1245157471,13646.8125235595,23948.2728406983,16929.4869948121,12926.969414856,15696.9891146241,20860.2197243654
TG (53:3) [M+NH4]+,TG (53:3) [M+NH4]+,2.0,,887.7929,11.5,RPPOS,45098.691152771,26584.7471535645,36119.6286168213,27202.0807434082,40968.854590149,52115.3942457275,68783.9723393555,46419.111939453,44702.8900361939,40237.0154387206,57792.4069082032,40032.3743532715,34359.5300128784,27568.0787357177,57582.8075100707,49340.4082200317,43823.6611696166,25519.1897646485,31784.5240112306,39914.3334499511,46529.9075549928,24944.4440370484,38857.3091165161,44176.3254440306
TG (54:0) [M+Na]+,TG (54:0) [M+Na]+,2.0,,913.8056,11.25,RPPOS,13920.9525474243,7375.27597100823,11488.7928688965,9619.83766827393,7978.09706481927,14800.2218909301,18626.3490931396,11215.921951355,16177.8918768311,15537.6580924683,27498.8188435061,19649.903888916,10486.7769450684,9139.23589318844,23955.7224929199,15130.486895813,16422.086876831,11140.7078110962,9741.50200524908,11930.7249371949,20401.0300678101,6753.52257971199,15574.6768465576,13215.506531189
TG (54:2) [M+NH4]+,TG (54:2) [M+NH4]+,2.0,,903.8172,11.57,RPPOS,43326.1963115846,36971.5567560423,31589.2431709594,34314.0149066772,63380.0131469726,158779.371606323,79268.2529110716,62921.1844200442,66673.6071289674,67408.9264635619,77570.1711154174,62220.7337662354,45241.8366453858,54052.4957496947,78584.2372623292,81025.0714968874,45577.4593381348,47019.6890340576,60764.6261620485,37579.8493087157,54500.745767639,49975.5545648193,63516.7061854857,65550.3303724977
TG (54:3) [M+Na]+,TG (54:3) [M+Na]+,2.0,,907.7694,11.58,RPPOS,37324.9040455323,25247.3768841551,27862.3810746459,24745.7144589843,38620.0994088133,123536.554692383,52477.7943544921,41391.7355158692,43683.7082665407,57712.2917995606,53128.8042777709,43551.1172630616,27829.8347680665,31451.7882241211,54106.133887146,57525.0297891847,36372.1693798217,31803.0697490845,37672.6803024904,33546.6586044311,46699.0561716917,31661.423701599,41948.306571228,51559.133414795
TG (54:3) [M+NH4]+,TG (54:3) [M+NH4]+,2.0,,901.8113,11.58,RPPOS,207986.938082031,150152.990993041,180262.178400207,129432.144068359,237976.853964844,812855.919148434,318783.716988281,248882.312920716,251522.210478638,337786.834046997,305723.456029786,242321.613235108,149843.845922608,188722.36298236,314874.433957765,333159.413783204,216400.020877442,168941.026125732,219957.530533936,178713.089000427,282820.355005004,180908.716247985,220786.069895812,314830.563548584
TG (54:4) [M+Na]+,TG (54:4) [M+Na]+,2.0,,905.7537,11.42,RPPOS,77067.740588379,63612.1149327392,73409.0754942018,62346.8462330325,81220.9541026001,239761.95833838,113100.125149414,97372.4105023807,133872.453645202,167994.153386597,181337.675331848,131288.004756286,64716.9671970216,74642.869496216,139331.012315308,130939.759894714,110290.765263855,83196.2592103269,76947.7086771848,67852.8994110718,161830.34428125,58797.6162912594,80322.5982026976,143566.521513062
TG (54:4) [M+NH4]+,TG (54:4) [M+NH4]+,2.0,,899.7958,11.43,RPPOS,427558.854333619,297911.72408081,384910.412393311,313450.404017763,397522.34565619,1357779.41293646,606715.240558594,519631.849159425,731929.642445493,928146.622405154,1035381.40931891,672445.934500915,317911.583296082,391574.556882508,808265.166120242,734843.718683347,580700.559299438,394577.320210204,371741.184748046,365212.769752808,879382.251977231,316050.416764097,446289.856663573,761015.468091555
TG (54:5) [M+NH4]+,TG (54:5) [M+NH4]+,2.0,,897.7799,11.27,RPPOS,517000.301032836,395273.68772937,482920.674842956,411312.163444824,375073.368308105,951017.865892757,637978.054477171,653823.38301306,1030001.1463067,1195054.47443884,1504461.56025098,1078861.77764014,402903.385562012,466874.835731505,935807.953959836,816513.105853577,863221.644049439,524454.09635956,360224.475577149,470230.687673096,1326546.75499042,322953.602935364,468016.043817139,849323.70787854
TG (54:5)  [M+Na]+,TG (54:5)  [M+Na]+,2.0,,903.7382,11.27,RPPOS,127218.229466736,111637.26840802,123512.467677795,120769.397913147,107291.69248883,249437.66592517,155613.436406189,160938.184721802,252689.96309021,290639.387305237,349370.383485719,272065.160096924,106830.047950318,124696.835041198,233905.581210815,207144.45940857,214223.377028198,151578.076014222,102680.397220825,122120.671486633,313153.206016967,83363.9922783205,124929.0865177,218548.955660339
TG (54:6)  [M+Na]+,TG (54:6)  [M+Na]+,2.0,,901.7232,11.09,RPPOS,129712.968084106,133553.815954895,128529.029944092,137911.363485473,89073.1237261964,154226.573780457,141753.490075012,177220.941084778,272442.649876832,300384.79657788,369561.941141418,332442.135360717,98367.272422119,113492.36579065,214484.152264893,194598.030472656,257152.212229981,159951.216245606,85897.8445645751,138081.863293701,375598.577824341,72402.3268261719,113065.237903809,198011.258769714
TG (54:6)  [M+NH4]+,TG (54:6)  [M+NH4]+,2.0,,895.7654,11.1,RPPOS,325687.200863526,370689.423544556,350575.164499756,308386.998143554,231402.534164185,391381.474145264,368631.820133423,504090.058375305,709389.019358826,761587.934516172,1008719.90165124,924511.606772093,261177.183155334,296661.604248108,562849.264834351,527278.93890271,687159.738819946,425067.490687256,216461.994128601,369259.952453003,1026548.87323303,187807.199203369,304722.544251892,526741.009816162
TG (54:7) [M+Na]+,TG (54:7) [M+Na]+,2.0,,899.7069,10.91,RPPOS,60274.3725277099,100667.063399536,69737.407916626,79343.3589837037,41389.8225930176,60101.7116657716,65940.7944018554,109481.12455127,138413.473971069,166299.94373938,202176.205435302,203509.548933594,39196.7101767578,48341.8463120728,88168.4289720461,97113.1445865479,164758.250211914,100369.134650757,35602.9673206787,79574.0149945068,237522.045844604,32005.6096186524,56483.3045777588,95136.7185306396
TG (54:7) [M+NH4]+,TG (54:7) [M+NH4]+,2.0,,893.7488,10.91,RPPOS,103921.475348999,171318.960701538,119324.892294068,130232.925246826,67684.4218659668,102325.446998779,109007.752975464,196479.38177655,216002.117791626,268456.641950379,307027.039755676,354336.029095033,65664.2207505493,82781.8541949463,139829.670703613,168636.122844177,255874.63140918,157565.277717041,60871.6435379639,145555.894857544,377231.228282105,56482.0229923705,101180.980380127,164074.542911621
TG (56:2) [M+NH4]+,TG (56:2) [M+NH4]+,2.0,,931.8561,11.39,RPPOS,94418.6369790036,42383.5823070679,52206.45909198,41992.1725235596,57327.2335981446,84985.6233956909,125142.705689148,86620.6968145141,67728.2025523681,68142.2651597898,105348.100356446,85670.3657054444,59636.4911003419,41443.0153118286,110002.275286682,76419.2603721922,48778.1385834961,43976.1295811768,58424.602138916,72000.4142939453,61899.9456072387,45611.7546426391,113537.249134765,70331.8523984985
TG (56:3) [M+NH4]+,TG (56:3) [M+NH4]+,2.0,,929.8409,11.22,RPPOS,60468.1138033449,35624.2408006592,35860.0038154908,32984.7680975342,36772.2305072019,56440.8039831544,82890.0310454099,59267.5898562013,38350.0605558471,49819.8830784914,88322.1263786626,48269.9123729858,38807.1464662474,23579.5535119629,73073.3656202392,53473.3199436036,41064.1980270995,39888.6721411133,32354.7704956666,47689.8595942383,53242.3275856935,28809.4709683226,68348.6798808591,53870.6867204591
TG (56:5) [M+NH4]+,TG (56:5) [M+NH4]+,2.0,,925.8086,11.07,RPPOS,4734.5138884964,8678.53193062212,4854.27312588121,6164.55555354308,3356.6394680481,6799.32611023712,8792.98599800873,11052.4859749947,12544.974656437,12319.3388705597,17004.7202959633,22564.6549328404,2323.38447789383,1247.90912659454,11314.9736783371,11674.1234375382,1076.21169792175,6258.08446216966,,9342.08715682598,14500.434202755,,6835.62482419589,7313.87420337678
