pathway,pval,padj,log2err,ES,NES,size,timepoint,info,sample,celltype
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3,0.005467385,0.04060195,0.4070179,0.3341815,1.325204,433,Immediately Post-flight,C2,Skin,skin
MODY_HIPPOCAMPUS_PRENATAL,2.467863e-06,7.219935e-05,0.6272567,-0.6986046,-2.111775,44,Immediately Post-flight,C2,Skin,skin
MOOTHA_VOXPHOS,4.756947e-10,3.183106e-08,0.8012156,-0.6703251,-2.317547,86,Immediately Post-flight,C2,Skin,skin
MUNSHI_MULTIPLE_MYELOMA_UP,0.0003511704,0.004660046,0.4984931,-0.5225669,-1.751973,74,Immediately Post-flight,C2,Skin,skin
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,4.062231e-08,1.799397e-06,0.7195128,-0.7365044,-2.261364,49,Immediately Post-flight,C2,Skin,skin
NUTT_GBM_VS_AO_GLIOMA_DN,4.658852e-05,0.0008907045,0.5573322,-0.6508428,-1.978163,45,Immediately Post-flight,C2,Skin,skin
ONKEN_UVEAL_MELANOMA_DN,3.194699e-15,4.275459e-13,1.007318,-0.4618206,-1.983044,518,Immediately Post-flight,C2,Skin,skin
OSMAN_BLADDER_CANCER_DN,2.179832e-12,2.142366e-10,0.8986712,-0.4733935,-1.976409,401,Immediately Post-flight,C2,Skin,skin
OSMAN_BLADDER_CANCER_UP,6.823203e-06,0.0001728541,0.6105269,-0.3775003,-1.572313,392,Immediately Post-flight,C2,Skin,skin
PARENT_MTOR_SIGNALING_UP,0.002886232,0.0251446,0.4317077,-0.3018779,-1.29687,553,Immediately Post-flight,C2,Skin,skin
PECE_MAMMARY_STEM_CELL_UP,6.422315e-24,1.442727e-21,1.270913,-0.7588343,-2.779137,131,Immediately Post-flight,C2,Skin,skin
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_DN,0.0002467491,0.003456686,0.4984931,-0.5712308,-1.822763,59,Immediately Post-flight,C2,Skin,skin
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN,8.013573e-06,0.0001953697,0.5933255,-0.6835807,-2.056618,43,Immediately Post-flight,C2,Skin,skin
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,4.0147e-17,6.645384e-15,1.06721,-0.8323605,-2.660458,60,Immediately Post-flight,C2,Skin,skin
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.001279005,0.01340823,0.4550599,-0.5260591,-1.707952,63,Immediately Post-flight,C2,Skin,skin
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,1.368668e-07,5.448685e-06,0.6901325,-0.6984285,-2.188795,54,Immediately Post-flight,C2,Skin,skin
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,4.800173e-33,3.019309e-30,1.4954793,-0.5310065,-2.317274,687,Immediately Post-flight,C2,Skin,skin
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,3.671767e-26,9.623088e-24,1.3267161,-0.7418543,-2.776825,156,Immediately Post-flight,C2,Skin,skin
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0.0007753416,0.008997968,0.4772708,-0.5478377,-1.751043,60,Immediately Post-flight,C2,Skin,skin
REACTOME_DEGRADATION_OF_DVL,0.0001813804,0.002697123,0.5188481,-0.5788011,-1.83111,56,Immediately Post-flight,C2,Skin,skin
REACTOME_DEVELOPMENTAL_BIOLOGY,4.160391e-23,8.441568e-21,1.2462328,-0.4223635,-1.885776,1112,Immediately Post-flight,C2,Skin,skin
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,8.93271e-32,5.107886e-29,1.467524,-0.8688523,-2.997261,91,Immediately Post-flight,C2,Skin,skin
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,3.170166e-34,3.32339e-31,1.5229216,-0.8389812,-3.012147,119,Immediately Post-flight,C2,Skin,skin
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,5.104177e-05,0.0009583665,0.5573322,-0.589142,-1.9214310000000001,64,Immediately Post-flight,C2,Skin,skin
REACTOME_INFECTIOUS_DISEASE,5.715005e-31,2.246711e-28,1.4462029,-0.490865,-2.167159,854,Immediately Post-flight,C2,Skin,skin
REACTOME_INFLUENZA_INFECTION,3.066733e-33,2.411219e-30,1.5023869,-0.7904,-2.95764,155,Immediately Post-flight,C2,Skin,skin
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,3.252199e-25,8.182533e-23,1.3030932,-0.5858853,-2.449969,370,Immediately Post-flight,C2,Skin,skin
REACTOME_METABOLISM_OF_RNA,5.383443e-35,8.465465e-32,1.536459,-0.5495329,-2.385564,662,Immediately Post-flight,C2,Skin,skin
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,3.919267e-30,1.450129e-27,1.4245627,-0.5506249,-2.377606,570,Immediately Post-flight,C2,Skin,skin
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,3.298165e-29,1.016551e-26,1.4025887,-0.8156371,-2.916069,115,Immediately Post-flight,C2,Skin,skin
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.323491e-31,1.088537e-28,1.4533447,-0.7583729,-2.876254,170,Immediately Post-flight,C2,Skin,skin
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1.242132e-08,6.404108e-07,0.7477397,-0.6422121,-2.222433,92,Immediately Post-flight,C2,Skin,skin
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,3.61569e-12,3.498875e-10,0.8986712,-0.6453107,-2.302157,114,Immediately Post-flight,C2,Skin,skin
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,2.789825e-29,9.235788e-27,1.4025887,-0.8435978,-2.969545,101,Immediately Post-flight,C2,Skin,skin
REACTOME_RRNA_PROCESSING,1.776295e-23,3.724298e-21,1.2545135,-0.6838189,-2.6688,201,Immediately Post-flight,C2,Skin,skin
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,8.670125e-05,0.001498516,0.5384341,-0.5920977,-1.889348,59,Immediately Post-flight,C2,Skin,skin
REACTOME_SELENOAMINO_ACID_METABOLISM,3.39389e-29,1.016551e-26,1.4025887,-0.8201015,-2.927915,117,Immediately Post-flight,C2,Skin,skin
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,3.430694e-31,1.438604e-28,1.4533447,-0.7185539,-2.806349,215,Immediately Post-flight,C2,Skin,skin
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,4.049086e-33,2.829861e-30,1.4954793,-0.8422642,-3.008279,111,Immediately Post-flight,C2,Skin,skin
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.948932e-10,1.409055e-08,0.8266573,-0.5677922,-2.13953,165,Immediately Post-flight,C2,Skin,skin
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT,8.389817e-06,0.000202969,0.5933255,-0.5841908,-1.964138,75,Immediately Post-flight,C2,Skin,skin
REACTOME_TRANSLATION,1.828665e-33,1.643186e-30,1.5023869,-0.6819406,-2.755902,288,Immediately Post-flight,C2,Skin,skin
RODRIGUES_THYROID_CARCINOMA_POORLY_DIFFERENTIATED_DN,8.743327e-05,0.001498516,0.5384341,-0.3132435,-1.372842,769,Immediately Post-flight,C2,Skin,skin
SANA_RESPONSE_TO_IFNG_DN,1.249508e-07,5.005993e-06,0.6901325,-0.6214271,-2.135007,85,Immediately Post-flight,C2,Skin,skin
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_DN,0.002342384,0.0215089,0.4317077,-0.93701,-1.67909,5,Immediately Post-flight,C2,Skin,skin
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP,1.779658e-24,4.145945e-22,1.279034,-0.5447161,-2.312314,475,Immediately Post-flight,C2,Skin,skin
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,2.864653e-17,4.869911e-15,1.06721,-0.4794854,-2.058896,518,Immediately Post-flight,C2,Skin,skin
TAKAO_RESPONSE_TO_UVB_RADIATION_UP,4.597251e-14,5.455983e-12,0.9653278,-0.7379945,-2.541936,84,Immediately Post-flight,C2,Skin,skin
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,6.003687e-05,0.001100968,0.5573322,-0.3579527,-1.496834,370,Immediately Post-flight,C2,Skin,skin
TIEN_INTESTINE_PROBIOTICS_24HR_DN,2.23262e-10,1.577633e-08,0.8266573,-0.5311297,-2.070521,202,Immediately Post-flight,C2,Skin,skin
TIEN_INTESTINE_PROBIOTICS_6HR_UP,1.275125e-12,1.314842e-10,0.9101197,-0.8292892,-2.506815,44,Immediately Post-flight,C2,Skin,skin
TONG_INTERACT_WITH_PTTG1,0.001605514,0.01619863,0.4550599,-0.5258947,-1.663734,56,Immediately Post-flight,C2,Skin,skin
WANG_TUMOR_INVASIVENESS_UP,5.677374e-36,1.190356e-32,1.563182,-0.6505269,-2.713426,379,Immediately Post-flight,C2,Skin,skin
WEST_ADRENOCORTICAL_TUMOR_DN,5.42557e-06,0.0001421257,0.6105269,-0.3557976,-1.529428,533,Immediately Post-flight,C2,Skin,skin
WONG_EMBRYONIC_STEM_CELL_CORE,1.147587e-11,1.061518e-09,0.8753251,-0.4831046,-1.98669,333,Immediately Post-flight,C2,Skin,skin
WONG_MITOCHONDRIA_GENE_MODULE,1.566689e-08,7.936017e-07,0.733762,-0.4916202,-1.92598,217,Immediately Post-flight,C2,Skin,skin
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,5.836456e-29,1.668696e-26,1.3951871,-0.8586348,-2.961072,87,Immediately Post-flight,C2,Skin,skin
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,1.228044e-11,1.103485e-09,0.8753251,-0.6957802,-2.397201,89,Immediately Post-flight,C2,Skin,skin
WP_OXIDATIVE_PHOSPHORYLATION,9.785718e-09,5.216285e-07,0.7477397,-0.7296157,-2.279353,52,Immediately Post-flight,C2,Skin,skin
WP_PROTEASOME_DEGRADATION,2.716644e-05,0.000575343,0.5756103,-0.6221658,-2.00284,61,Immediately Post-flight,C2,Skin,skin
YAGI_AML_WITH_INV_16_TRANSLOCATION,1.1813e-08,6.140808e-07,0.7477397,-0.4187645,-1.746944,398,Immediately Post-flight,C2,Skin,skin
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,3.734319e-08,1.677323e-06,0.7195128,-0.7175994,-2.23948,53,Immediately Post-flight,C2,Skin,skin
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,3.680166e-09,2.104386e-07,0.774939,-0.5328155,-2.017321,173,Immediately Post-flight,C2,Skin,skin
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17,9.186933e-10,5.896511e-08,0.8012156,-0.5321147,-2.052464,181,Immediately Post-flight,C2,Skin,skin
ZHANG_RESPONSE_TO_CANTHARIDIN_DN,3.912352e-06,0.0001074615,0.6105269,-0.6300037,-2.045428,63,Immediately Post-flight,C2,Skin,skin
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,5.153691e-15,6.615656e-13,0.9969862,-0.6759251,-2.466104,130,Immediately Post-flight,C2,Skin,skin
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_MACROPHAGE,2.563896e-07,9.376108e-06,0.6749629,-0.6368716,-2.135194,74,Immediately Post-flight,C2,Skin,skin
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,4.078599e-26,2.108776e-23,1.3267161,-0.4880011,-2.141257,774,Immediately Post-flight,C5,Skin,skin
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,8.242427e-10,1.486754e-07,0.8012156,-0.6654411,-2.308145,84,Immediately Post-flight,C5,Skin,skin
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,1.813138e-37,9.062063e-34,1.5959567,-0.4993901,-2.216501,983,Immediately Post-flight,C5,Skin,skin
GOBP_CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,1.346796e-13,3.671611e-11,0.9436322,-0.3747861,-1.672787,1022,Immediately Post-flight,C5,Skin,skin
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,0.001508241,0.02967709,0.4550599,-0.2766321,-1.234848,1028,Immediately Post-flight,C5,Skin,skin
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,7.431874e-28,5.306358e-25,1.372743,-0.8398451,-2.985902,98,Immediately Post-flight,C5,Skin,skin
GOBP_CYTOPLASMIC_TRANSLATION,2.589801e-17,9.030577e-15,1.0768682,-0.7575692,-2.693386,98,Immediately Post-flight,C5,Skin,skin
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,5.692897e-26,2.753526e-23,1.3188888,-0.8009147,-2.917061,112,Immediately Post-flight,C5,Skin,skin
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,3.789761e-26,2.092571e-23,1.3267161,-0.6130643,-2.520657,338,Immediately Post-flight,C5,Skin,skin
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,1.33337e-26,7.689442e-24,1.3344975,-0.5281998999999999,-2.255484,557,Immediately Post-flight,C5,Skin,skin
GOBP_MATURATION_OF_SSU_RRNA,0.002754745,0.04441359,0.4317077,-0.5417899,-1.702259,49,Immediately Post-flight,C5,Skin,skin
GOBP_MRNA_METABOLIC_PROCESS,2.209435e-42,1.656414e-38,1.6965862,-0.5436074,-2.400392,828,Immediately Post-flight,C5,Skin,skin
GOBP_MUSCLE_CELL_DIFFERENTIATION,0.0006304262,0.01583352,0.4772708,-0.3514198,-1.441426,332,Immediately Post-flight,C5,Skin,skin
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,8.571543e-05,0.003413792,0.5384341,-0.3244427,-1.3899,573,Immediately Post-flight,C5,Skin,skin
GOBP_NCRNA_METABOLIC_PROCESS,0.00217138,0.03790184,0.4317077,-0.309782,-1.304621,471,Immediately Post-flight,C5,Skin,skin
GOBP_NCRNA_PROCESSING,0.001860403,0.03410132,0.4550599,-0.3237502,-1.347796,381,Immediately Post-flight,C5,Skin,skin
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,2.904681e-33,6.221826e-30,1.5023869,-0.4629695,-2.068149,1125,Immediately Post-flight,C5,Skin,skin
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,4.918781e-31,6.146017e-28,1.4462029,-0.7231433,-2.832683,206,Immediately Post-flight,C5,Skin,skin
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,2.745257e-29,2.421316e-26,1.4025887,-0.81399,-2.993762,119,Immediately Post-flight,C5,Skin,skin
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS,4.847521e-26,2.422791e-23,1.3267161,-0.5114863,-2.197156,625,Immediately Post-flight,C5,Skin,skin
GOBP_OXIDATIVE_PHOSPHORYLATION,1.490978e-11,3.336675e-09,0.8634154,-0.6227343,-2.310551,129,Immediately Post-flight,C5,Skin,skin
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS,9.123357e-33,1.709945e-29,1.4885397,-0.5408577,-2.331551,640,Immediately Post-flight,C5,Skin,skin
GOBP_PEPTIDE_METABOLIC_PROCESS,4.837499e-29,3.817551e-26,1.4025887,-0.4935563,-2.174214,791,Immediately Post-flight,C5,Skin,skin
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION,0.0008127395,0.01901126,0.4772708,-0.2897289,-1.275187,801,Immediately Post-flight,C5,Skin,skin
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS,0.0003687848,0.01039391,0.4984931,-0.277946,-1.245925,1211,Immediately Post-flight,C5,Skin,skin
GOBP_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION,1.767434e-17,6.309741e-15,1.0768682,-0.4601831,-1.984751,603,Immediately Post-flight,C5,Skin,skin
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,4.657011e-29,3.817551e-26,1.4025887,-0.78054,-2.912435,139,Immediately Post-flight,C5,Skin,skin
GOBP_PROTEIN_LOCALIZATION_TO_MEMBRANE,1.416646e-25,6.637874e-23,1.3110148,-0.5019093,-2.164167,642,Immediately Post-flight,C5,Skin,skin
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE,2.299326e-25,1.04473e-22,1.3030932,-0.4495696,-2.000547,971,Immediately Post-flight,C5,Skin,skin
GOBP_PROTEIN_TARGETING,3.907695e-26,2.092571e-23,1.3267161,-0.5711982,-2.391422,424,Immediately Post-flight,C5,Skin,skin
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,1.302387e-24,5.579425e-22,1.2871037,-0.6949227,-2.702593,196,Immediately Post-flight,C5,Skin,skin
GOBP_REGULATION_OF_HYDROLASE_ACTIVITY,3.014749e-05,0.001472228,0.5756103,-0.2875873,-1.291667,1234,Immediately Post-flight,C5,Skin,skin
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,1.190316e-08,1.716115e-06,0.7477397,-0.6235229,-2.221706,101,Immediately Post-flight,C5,Skin,skin
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,1.648486e-10,3.168898e-08,0.8266573,-0.4358594,-1.827495,428,Immediately Post-flight,C5,Skin,skin
