pathway,pval,padj,log2err,ES,NES,size,celltype,sample,info
CHICAS_RB1_TARGETS_LOW_SERUM,5.603461e-06,0.000149982,0.6105269,-0.5936557,-1.971169,89,GeneLab Mice,GeneLab Mice,C2
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,6.844897e-09,3.986519e-07,0.7614608,-0.7653683,-2.373305,57,GeneLab Mice,GeneLab Mice,C2
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN,0.00201956,0.01630685,0.4317077,0.6845271,1.720634,35,GeneLab Mice,GeneLab Mice,C2
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_3,0.0004383183,0.005271553,0.4984931,0.3942048,1.385822,677,GeneLab Mice,GeneLab Mice,C2
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_5,0.0009811743,0.009480163,0.4550599,0.4106686,1.423899,471,GeneLab Mice,GeneLab Mice,C2
CUI_TCF21_TARGETS_2_DN,1.619133e-12,1.921574e-10,0.9101197,0.48744,1.727001,835,GeneLab Mice,GeneLab Mice,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN,4.820877e-07,1.762983e-05,0.6594444,0.487004,1.68855,459,GeneLab Mice,GeneLab Mice,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,4.633116e-10,3.553939e-08,0.8140358,0.4634149,1.643869,844,GeneLab Mice,GeneLab Mice,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN,0.00042031,0.005113636,0.4984931,0.5941268,1.746648,83,GeneLab Mice,GeneLab Mice,C2
DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN,0.006004701,0.0357328,0.4070179,0.54765,1.601276,81,GeneLab Mice,GeneLab Mice,C2
DANG_MYC_TARGETS_UP,2.756121e-11,2.626667e-09,0.8634154,-0.6640717,-2.312859,129,GeneLab Mice,GeneLab Mice,C2
DAVICIONI_MOLECULAR_ARMS_VS_ERMS_UP,0.001550425,0.01338995,0.4550599,0.4290043,1.44513,323,GeneLab Mice,GeneLab Mice,C2
DAZARD_RESPONSE_TO_UV_NHEK_DN,0.001042571,0.009831746,0.4550599,0.4459114,1.497278,295,GeneLab Mice,GeneLab Mice,C2
DAZARD_UV_RESPONSE_CLUSTER_G1,0.000380464,0.004746703,0.4984931,-0.5950745,-1.861933,58,GeneLab Mice,GeneLab Mice,C2
DAZARD_UV_RESPONSE_CLUSTER_G6,3.359738e-05,0.0007047039,0.5573322,0.5782992,1.811466,141,GeneLab Mice,GeneLab Mice,C2
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,7.822168e-07,2.718311e-05,0.6594444,0.4658822,1.619818,498,GeneLab Mice,GeneLab Mice,C2
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP,1.68405e-06,5.488431e-05,0.6435518,0.5083321,1.716402,328,GeneLab Mice,GeneLab Mice,C2
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP,8.299473e-09,4.74579e-07,0.7477397,-0.7767508,-2.326664,50,GeneLab Mice,GeneLab Mice,C2
FOSTER_TOLERANT_MACROPHAGE_DN,1.172874e-06,3.966332e-05,0.6435518,0.4794117,1.651415,413,GeneLab Mice,GeneLab Mice,C2
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN,0.001020412,0.009680829,0.4550599,0.4095027,1.412591,427,GeneLab Mice,GeneLab Mice,C2
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP,1.180684e-05,0.0002878489,0.5933255,0.547764,1.749301,177,GeneLab Mice,GeneLab Mice,C2
GENTILE_UV_LOW_DOSE_DN,0.0003011301,0.003970877,0.4984931,0.6402899,1.803259,63,GeneLab Mice,GeneLab Mice,C2
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN,0.001005274,0.009580565,0.4550599,0.3607087,1.290792,1063,GeneLab Mice,GeneLab Mice,C2
GOZGIT_ESR1_TARGETS_DN,7.921378e-08,3.460102e-06,0.7049757,0.4560099,1.604374,712,GeneLab Mice,GeneLab Mice,C2
GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS,0.004283844,0.02785884,0.4070179,0.3529648,1.261105,981,GeneLab Mice,GeneLab Mice,C2
HAMAI_APOPTOSIS_VIA_TRAIL_UP,3.923732e-10,3.085034e-08,0.8140358,-0.4147885,-1.670018,638,GeneLab Mice,GeneLab Mice,C2
HOLLEMAN_ASPARAGINASE_RESISTANCE_B_ALL_UP,7.707104e-05,0.001361733,0.5384341,-0.7614068,-2.01482,28,GeneLab Mice,GeneLab Mice,C2
HSIAO_HOUSEKEEPING_GENES,3.366386e-11,3.160383e-09,0.8513391,-0.4938172,-1.958433,393,GeneLab Mice,GeneLab Mice,C2
IRITANI_MAD1_TARGETS_DN,0.0003174868,0.004129466,0.4984931,-0.6427906,-1.909477,46,GeneLab Mice,GeneLab Mice,C2
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR,8.405195e-05,0.001452436,0.5384341,-0.3562368,-1.424494,504,GeneLab Mice,GeneLab Mice,C2
IVANOVA_HEMATOPOIESIS_MATURE_CELL,0.004808221,0.03056658,0.4070179,-0.3545749,-1.366093,285,GeneLab Mice,GeneLab Mice,C2
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM,0.0005441662,0.006178349,0.4772708,0.4956764,1.609464,204,GeneLab Mice,GeneLab Mice,C2
JISON_SICKLE_CELL_DISEASE_DN,5.114856e-10,3.830053e-08,0.8012156,-0.5959734,-2.130784,172,GeneLab Mice,GeneLab Mice,C2
JOHNSTONE_PARVB_TARGETS_2_UP,0.001972461,0.01615466,0.4317077,0.4973713,1.565942,148,GeneLab Mice,GeneLab Mice,C2
KEGG_RIBOSOME,3.759364e-20,9.458559e-18,1.1601796,-0.8495582,-2.789514,83,GeneLab Mice,GeneLab Mice,C2
KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP,0.002071612,0.01653609,0.4317077,-0.3145619,-1.268406,658,GeneLab Mice,GeneLab Mice,C2
LEE_LIVER_CANCER_SURVIVAL_DN,1.025633e-10,8.960046e-09,0.8390889,-0.6013065,-2.156544,173,GeneLab Mice,GeneLab Mice,C2
LIM_MAMMARY_STEM_CELL_UP,1.690027e-09,1.164867e-07,0.7881868,0.5144907,1.783096,466,GeneLab Mice,GeneLab Mice,C2
LI_AMPLIFIED_IN_LUNG_CANCER,0.0002516378,0.003425978,0.4984931,-0.4606562,-1.662942,175,GeneLab Mice,GeneLab Mice,C2
LOPEZ_MBD_TARGETS,0.004810957,0.03056658,0.4070179,-0.2875467,-1.185842,917,GeneLab Mice,GeneLab Mice,C2
LUI_TARGETS_OF_PAX8_PPARG_FUSION,0.002298082,0.01786766,0.4317077,-0.6138535,-1.705144,34,GeneLab Mice,GeneLab Mice,C2
LUI_THYROID_CANCER_CLUSTER_3,0.006504913,0.03781507,0.4070179,-0.6443559,-1.705082,28,GeneLab Mice,GeneLab Mice,C2
LUI_THYROID_CANCER_PAX8_PPARG_DN,0.005591226,0.03397953,0.4070179,-0.5570452,-1.654761,46,GeneLab Mice,GeneLab Mice,C2
MALONEY_RESPONSE_TO_17AAG_DN,4.128002e-06,0.0001148429,0.6105269,-0.6394004,-2.068284,77,GeneLab Mice,GeneLab Mice,C2
MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN,0.001288668,0.01154661,0.4550599,0.4773003,1.549222,203,GeneLab Mice,GeneLab Mice,C2
MANNE_COVID19_ICU_VS_HEALTHY_DONOR_PLATELETS_DN,0.004358595,0.02826346,0.4070179,0.4721933,1.494004,160,GeneLab Mice,GeneLab Mice,C2
MANNE_COVID19_NONICU_VS_HEALTHY_DONOR_PLATELETS_DN,0.002722473,0.02002849,0.4317077,0.4611616,1.486321,192,GeneLab Mice,GeneLab Mice,C2
MARTENS_TRETINOIN_RESPONSE_DN,4.967368e-35,7.811186e-32,1.536459,-0.5633264,-2.28974,755,GeneLab Mice,GeneLab Mice,C2
MARTINEZ_RESPONSE_TO_TRABECTEDIN,0.002799149,0.0205174,0.4317077,0.6040708,1.64,49,GeneLab Mice,GeneLab Mice,C2
MASSARWEH_TAMOXIFEN_RESISTANCE_UP,3.763845e-06,0.0001082961,0.6272567,0.4446667,1.5537,552,GeneLab Mice,GeneLab Mice,C2
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,1.311673e-17,2.578257e-15,1.0864405,0.5043167,1.801776,996,GeneLab Mice,GeneLab Mice,C2
MIKKELSEN_IPS_WITH_HCP_H3K27ME3,0.00269495,0.01989581,0.4317077,0.5610168,1.645423,85,GeneLab Mice,GeneLab Mice,C2
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3,1.653719e-10,1.405661e-08,0.8266573,0.5565282,1.901727,371,GeneLab Mice,GeneLab Mice,C2
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN,5.92996e-06,0.0001555611,0.6105269,0.5348725,1.744668,214,GeneLab Mice,GeneLab Mice,C2
MODY_HIPPOCAMPUS_PRENATAL,4.164792e-06,0.0001148429,0.6105269,-0.7382573,-2.157809,43,GeneLab Mice,GeneLab Mice,C2
ONKEN_UVEAL_MELANOMA_DN,4.181301e-08,2.038789e-06,0.7195128,-0.4187279,-1.673942,513,GeneLab Mice,GeneLab Mice,C2
OSMAN_BLADDER_CANCER_DN,2.002191e-11,1.999013e-09,0.8634154,-0.485283,-1.913731,401,GeneLab Mice,GeneLab Mice,C2
PARENT_MTOR_SIGNALING_UP,0.00776402,0.04261404,0.4070179,0.3754043,1.311965,542,GeneLab Mice,GeneLab Mice,C2
PECE_MAMMARY_STEM_CELL_UP,1.208924e-08,6.499259e-07,0.7477397,-0.6196455,-2.1571,130,GeneLab Mice,GeneLab Mice,C2
PEREZ_TP53_TARGETS,2.343653e-08,1.198502e-06,0.733762,0.4274926,1.530706,1079,GeneLab Mice,GeneLab Mice,C2
PLASARI_TGFB1_TARGETS_10HR_DN,0.003318321,0.02326894,0.4317077,0.4358198,1.445925,250,GeneLab Mice,GeneLab Mice,C2
POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN,0.006460833,0.03762837,0.4070179,-0.5454048,-1.594132,43,GeneLab Mice,GeneLab Mice,C2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.009631637,0.04945551,0.3807304,-0.4411633,-1.488776,98,GeneLab Mice,GeneLab Mice,C2
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.158077e-12,2.51376e-10,0.8986712,-0.8280045,-2.59735,59,GeneLab Mice,GeneLab Mice,C2
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,0.001009849,0.009595088,0.4550599,-0.5864395,-1.854714,64,GeneLab Mice,GeneLab Mice,C2
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,0.0008385123,0.008452311,0.4772708,-0.6008166,-1.848258,55,GeneLab Mice,GeneLab Mice,C2
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,2.236775e-08,1.153223e-06,0.733762,-0.3956819,-1.59776,655,GeneLab Mice,GeneLab Mice,C2
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,6.712652e-14,8.983528e-12,0.9545416,-0.6849819,-2.419669,150,GeneLab Mice,GeneLab Mice,C2
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0.0005418264,0.006162907,0.4772708,-0.5859135,-1.837836,61,GeneLab Mice,GeneLab Mice,C2
REACTOME_DEGRADATION_OF_DVL,0.0003214361,0.00416015,0.4984931,-0.6095158,-1.890027,57,GeneLab Mice,GeneLab Mice,C2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,2.108216e-20,6.027581e-18,1.16907,-0.845362,-2.80339,88,GeneLab Mice,GeneLab Mice,C2
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,1.41244e-25,9.871389e-23,1.3110148,-0.8298691,-2.878925,116,GeneLab Mice,GeneLab Mice,C2
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,0.001449776,0.01264783,0.4550599,-0.5741424,-1.815823,64,GeneLab Mice,GeneLab Mice,C2
REACTOME_INFECTIOUS_DISEASE,4.869278e-08,2.285654e-06,0.7195128,-0.3647799,-1.501094,837,GeneLab Mice,GeneLab Mice,C2
REACTOME_INFLUENZA_INFECTION,8.592898e-21,3.002741e-18,1.1778933,-0.7597319,-2.66995,147,GeneLab Mice,GeneLab Mice,C2
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,2.943397e-15,4.515603e-13,1.007318,-0.5578451,-2.192113,351,GeneLab Mice,GeneLab Mice,C2
REACTOME_METABOLISM_OF_LIPIDS,0.002662537,0.01974924,0.4317077,0.3748731,1.318769,695,GeneLab Mice,GeneLab Mice,C2
REACTOME_METABOLISM_OF_RNA,1e-50,3.145e-47,,-0.650455,-2.614703,649,GeneLab Mice,GeneLab Mice,C2
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,4.436902e-21,1.641654e-18,1.186651,-0.8059115,-2.788942,111,GeneLab Mice,GeneLab Mice,C2
REACTOME_RAC1_GTPASE_CYCLE,0.0002661987,0.003585417,0.4984931,0.5206402,1.665969,180,GeneLab Mice,GeneLab Mice,C2
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,3.601694e-23,1.61819e-20,1.2462328,-0.7591908,-2.722678,166,GeneLab Mice,GeneLab Mice,C2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,0.001634978,0.01401091,0.4550599,-0.4822185,-1.644577,102,GeneLab Mice,GeneLab Mice,C2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS,0.0003099357,0.004053484,0.4984931,-0.4863226,-1.692374,125,GeneLab Mice,GeneLab Mice,C2
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,3.928591e-15,5.746707e-13,0.9969862,-0.7826895,-2.629453,97,GeneLab Mice,GeneLab Mice,C2
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,3.229333e-07,1.223645e-05,0.6749629,-0.7276573,-2.282573,59,GeneLab Mice,GeneLab Mice,C2
REACTOME_RRNA_PROCESSING,1.488785e-31,1.560743e-28,1.4604515,-0.7777074,-2.850388,197,GeneLab Mice,GeneLab Mice,C2
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21,0.005291592,0.03269559,0.4070179,-0.5439064,-1.706168,59,GeneLab Mice,GeneLab Mice,C2
REACTOME_SELENOAMINO_ACID_METABOLISM,2.721233e-17,4.754599e-15,1.0768682,-0.7658822,-2.638191,113,GeneLab Mice,GeneLab Mice,C2
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1.50445e-17,2.867573e-15,1.0768682,-0.6612507,-2.444825,210,GeneLab Mice,GeneLab Mice,C2
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,3.237243e-24,1.851114e-21,1.279034,-0.8337339,-2.854935,108,GeneLab Mice,GeneLab Mice,C2
REACTOME_TRANSLATION,2.002261e-30,1.799174e-27,1.4318124,-0.704148,-2.712915,285,GeneLab Mice,GeneLab Mice,C2
RODRIGUES_THYROID_CARCINOMA_ANAPLASTIC_UP,1.083022e-07,4.511395e-06,0.7049757,-0.3869388,-1.555393,672,GeneLab Mice,GeneLab Mice,C2
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN,6.904508e-08,3.058405e-06,0.7049757,0.513954,1.762185,393,GeneLab Mice,GeneLab Mice,C2
SENESE_HDAC3_TARGETS_UP,0.0004561482,0.005423766,0.4984931,0.4209556,1.459764,460,GeneLab Mice,GeneLab Mice,C2
SHEN_SMARCA2_TARGETS_UP,3.990201e-13,5.019673e-11,0.9325952,-0.5091813,-2.009207,421,GeneLab Mice,GeneLab Mice,C2
SMID_BREAST_CANCER_BASAL_DN,4.989045e-08,2.324525e-06,0.7195128,0.465219,1.631644,637,GeneLab Mice,GeneLab Mice,C2
SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP,3.777044e-05,0.0007676355,0.5573322,-0.3750669,-1.492693,476,GeneLab Mice,GeneLab Mice,C2
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN,1.314679e-20,4.35228e-18,1.1778933,-0.5373212,-2.150644,518,GeneLab Mice,GeneLab Mice,C2
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP,0.000365525,0.004607519,0.4984931,0.4972959,1.602782,192,GeneLab Mice,GeneLab Mice,C2
TAKAO_RESPONSE_TO_UVB_RADIATION_UP,1.363336e-05,0.0003263532,0.5933255,-0.6121355,-2.009939,83,GeneLab Mice,GeneLab Mice,C2
TARTE_PLASMA_CELL_VS_PLASMABLAST_UP,0.0003338339,0.00425234,0.4984931,0.4395566,1.503152,374,GeneLab Mice,GeneLab Mice,C2
TIEN_INTESTINE_PROBIOTICS_24HR_DN,0.000126662,0.002022091,0.5188481,-0.4432266,-1.633903,207,GeneLab Mice,GeneLab Mice,C2
TIEN_INTESTINE_PROBIOTICS_6HR_UP,2.161225e-06,6.732556e-05,0.6272567,-0.714835,-2.141203,50,GeneLab Mice,GeneLab Mice,C2
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP,0.0001196355,0.001924571,0.5384341,0.4856217,1.615258,262,GeneLab Mice,GeneLab Mice,C2
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP,2.858543e-07,1.096356e-05,0.6749629,0.6075284,1.930548,164,GeneLab Mice,GeneLab Mice,C2
VERHAAK_AML_WITH_NPM1_MUTATED_UP,0.005196717,0.03237396,0.4070179,0.4542377,1.452002,178,GeneLab Mice,GeneLab Mice,C2
WANG_MLL_TARGETS,2.013424e-06,6.367856e-05,0.6272567,0.5182027,1.73191,281,GeneLab Mice,GeneLab Mice,C2
WANG_TUMOR_INVASIVENESS_UP,5.321166e-08,2.425372e-06,0.7195128,-0.4458021,-1.756427,380,GeneLab Mice,GeneLab Mice,C2
WEST_ADRENOCORTICAL_TUMOR_DN,0.0007451601,0.007798764,0.4772708,0.4061349,1.41473,520,GeneLab Mice,GeneLab Mice,C2
WONG_EMBRYONIC_STEM_CELL_CORE,5.084979e-16,8.201159e-14,1.0276699,-0.5669693,-2.221118,335,GeneLab Mice,GeneLab Mice,C2
WONG_MITOCHONDRIA_GENE_MODULE,5.239019e-08,2.40536e-06,0.7195128,-0.5234729,-1.924284,217,GeneLab Mice,GeneLab Mice,C2
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,1.510123e-20,4.749337e-18,1.16907,-0.8436264,-2.796716,86,GeneLab Mice,GeneLab Mice,C2
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,0.0006686338,0.007251219,0.4772708,-0.5161949,-1.74632,100,GeneLab Mice,GeneLab Mice,C2
WP_PROTEASOME_DEGRADATION,0.005300412,0.03270585,0.4070179,-0.5338262,-1.688316,64,GeneLab Mice,GeneLab Mice,C2
YAGI_AML_WITH_INV_16_TRANSLOCATION,0.001654358,0.01410015,0.4550599,-0.3388659,-1.344281,394,GeneLab Mice,GeneLab Mice,C2
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,2.47869e-06,7.459788e-05,0.6272567,-0.7124897,-2.134178,50,GeneLab Mice,GeneLab Mice,C2
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13,5.83258e-12,6.436303e-10,0.887075,-0.6329263,-2.286719,178,GeneLab Mice,GeneLab Mice,C2
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17,0.003384285,0.02358463,0.4317077,-0.3925255,-1.432813,185,GeneLab Mice,GeneLab Mice,C2
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP,2.389156e-07,9.392369e-06,0.6749629,0.5043788,1.728923,387,GeneLab Mice,GeneLab Mice,C2
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,1.07075e-16,6.420646e-14,1.0574636,-0.4603955,-1.879214,750,GeneLab Mice,GeneLab Mice,C5
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,2.313401e-06,0.0001339004,0.6272567,-0.3325671,-1.374631,955,GeneLab Mice,GeneLab Mice,C5
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,0.0004813473,0.009804181,0.4984931,0.5856807,1.742002,91,GeneLab Mice,GeneLab Mice,C5
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,3.782234e-05,0.00142461,0.5573322,0.5488269,1.763858,171,GeneLab Mice,GeneLab Mice,C5
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS,2.661349e-09,3.836181e-07,0.774939,0.4701408,1.670927,723,GeneLab Mice,GeneLab Mice,C5
GOBP_CELLULAR_LIPID_METABOLIC_PROCESS,0.004283844,0.04673879,0.4070179,0.3524628,1.265744,966,GeneLab Mice,GeneLab Mice,C5
GOBP_CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,1.454526e-07,1.245989e-05,0.6901325,-0.3489552,-1.446753,992,GeneLab Mice,GeneLab Mice,C5
GOBP_CELL_MORPHOGENESIS,4.837643e-14,1.648207e-11,0.9653278,0.4795449,1.720502,951,GeneLab Mice,GeneLab Mice,C5
GOBP_CELL_PROJECTION_ORGANIZATION,1.333994e-12,3.773189e-10,0.9101197,0.4323279,1.567188,1472,GeneLab Mice,GeneLab Mice,C5
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT,2.122993e-12,5.683176e-10,0.8986712,0.4658582,1.672381,965,GeneLab Mice,GeneLab Mice,C5
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.472051e-20,2.647036e-17,1.16907,-0.8223184,-2.733314,97,GeneLab Mice,GeneLab Mice,C5
GOBP_CYTOPLASMIC_TRANSLATION,2.67566e-12,6.850249e-10,0.8986712,-0.736231,-2.453046,96,GeneLab Mice,GeneLab Mice,C5
GOBP_DEVELOPMENTAL_GROWTH,3.585165e-07,2.673891e-05,0.6749629,0.473173,1.657626,541,GeneLab Mice,GeneLab Mice,C5
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,6.344158e-21,8.645934e-18,1.186651,-0.8048744,-2.721204,110,GeneLab Mice,GeneLab Mice,C5
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,5.627735e-10,9.17015e-08,0.8012156,-0.5058644,-1.916516,327,GeneLab Mice,GeneLab Mice,C5
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE,1.383465e-12,3.840654e-10,0.9101197,-0.4691503,-1.875454,539,GeneLab Mice,GeneLab Mice,C5
GOBP_HEART_DEVELOPMENT,4.037971e-08,4.174705e-06,0.7195128,0.4933811,1.721985,492,GeneLab Mice,GeneLab Mice,C5
GOBP_HEART_GROWTH,0.0004454329,0.009312523,0.4984931,0.5971866,1.738511,80,GeneLab Mice,GeneLab Mice,C5
GOBP_LIPID_METABOLIC_PROCESS,2.126865e-05,0.0008974256,0.5756103,0.3776373,1.367397,1298,GeneLab Mice,GeneLab Mice,C5
GOBP_MATURATION_OF_SSU_RRNA,0.0001585254,0.004312984,0.5188481,-0.6793228,-2.047378,49,GeneLab Mice,GeneLab Mice,C5
GOBP_MRNA_METABOLIC_PROCESS,9.201375e-28,2.298963e-24,1.3651796,-0.5228525,-2.127776,801,GeneLab Mice,GeneLab Mice,C5
GOBP_MUSCLE_CELL_DEVELOPMENT,0.0003664958,0.00810345,0.4984931,0.5370491,1.695972,145,GeneLab Mice,GeneLab Mice,C5
