gene,fc_pre_vs_flight,fc_pre_vs_post,fc_flight_vs_post,label
AC002429.5,-1.8552370735665,1.08330295748726,2.0097838086346,0
AC002451.1,-8.20166316690875,1.22085899712345,10.0130742686965,0
AC002451.3,-1.02091048546594,-15.9246741078045,-15.5985018613425,0
AC002454.1,6.15104332761189,1.0,-6.15104332761189,0
AC002456.2,1.1893022453398,2.11352103143552,1.77711009940257,0
AC002463.3,1.73267659245297,32.4995490316406,18.7568465882202,0
AC002467.7,1.68809816148388,1.63608583935713,-1.0317907049102,0
AC002472.13,-2.99992791998076,3.56574966822255,10.696991985363,0
AC002480.2,-3.98571946746411,-1.29405879789792,3.08001419559804,0
AC002480.3,1.38978599857723,10.8916909327995,7.83695543339026,0
AC002480.5,1.0,1.45686318070842,1.45686318070842,0
AC002511.1,-14.2149114412635,8.1975157105285,116.526959863529,0
AC002511.3,3.36214163323852,8.32823371748814,2.47706213062361,0
AC002519.6,1.0,2.18575663001783,2.18575663001783,0
AC002523.1,-2.47811494653904,-2.47811494653904,1.0,0
AC002543.2,-1.40222701561486,-1.40222701561486,1.0,0
AC002551.1,1.0,1.7102492607646,1.7102492607646,0
AC003002.4,8.91545649503498,3.33419938967104,-2.67394221313039,0
AC003002.6,1.43441210611458,1.28252950509143,-1.11842425489644,0
AC003005.2,1.0,1.40039877077531,1.40039877077531,0
AC003005.4,1.0,13.4171703282269,13.4171703282269,0
AC003006.7,1.48720157457453,1.0,-1.48720157457453,0
AC003051.1,16.1786602150373,13.8284746764776,-1.16995262265312,0
AC003075.4,1.56807191024382,3.50596633543516,2.23584537962294,0
AC003090.1,1.5498515555152,-3.85956874308587,-5.98175862008949,0
AC003092.1,2.25055505106395,1.0,-2.25055505106395,0
AC003101.1,1.0,22.8544504301061,22.8544504301061,0
AC003102.1,-4.30256286606876,-1.51498799714662,2.83999798953677,0
AC003102.3,-9.7116561321316,3.18627843034675,30.9440404567557,0
AC003104.1,1.60774954680223,1.0,-1.60774954680223,0
AC003665.1,-1.7817695607311,-1.25906547320847,1.41515242745131,0
AC003956.1,1.0,7.03558672810096,7.03558672810096,0
AC003958.2,-2.5933071332841,5.35249273463388,13.8806575895774,0
AC003958.6,1.0,9.50628515277736,9.50628515277736,0
AC003973.4,1.0,10.3523650453623,10.3523650453623,0
AC003986.5,-2.39930352172127,15.0737478219987,36.1664962348597,0
AC003986.7,-4.17151522029327,-4.17151522029327,1.0,0
AC003991.3,4.86040210105279,1.0,-4.86040210105279,0
AC004009.3,1.0,2.93065101158975,2.93065101158975,0
AC004012.1,1.0,9.36191110532632,9.36191110532632,0
AC004051.2,-23.1076396116804,1.36841056757105,31.6207382362468,0
AC004057.1,1.25976023594905,1.0,-1.25976023594905,0
AC004063.1,1.5204001121292,1.0,-1.5204001121292,0
AC004069.2,-1.61393397213683,-12.3048165308531,-7.62411396208584,0
AC004076.9,1.52562825376034,-2.30169950097053,-3.51153779034671,0
AC004112.4,-6.32054667511365,-2.55348243851423,2.47526537867686,0
AC004156.3,-7.44663972694732,-1.21720769822745,6.11780531604546,0
AC004158.2,2.12177976062307,-2.5784165051556,-5.47083195509562,0
AC004166.6,1.0,1.58966230856526,1.58966230856526,0
AC004221.2,1.42352407256511,3.5953336700857,2.52565709240667,0
AC004381.6,3.75360315347938,-2.78249289628924,-10.4443741100453,0
AC004381.7,1.61278001520881,1.0,-1.61278001520881,0
AC004447.2,1.0,1.50960213330408,1.50960213330408,0
AC004448.5,-25.3287678355146,1.61713091706588,40.9599335579946,0
AC004461.4,1.0,1.47972742072398,1.47972742072398,0
AC004471.10,-29.0429121309202,-1.19873452855875,24.2279766195095,0
AC004471.9,1.0,1.46397205308469,1.46397205308469,0
AC004528.4,1.0,3.25548338390102,3.25548338390102,0
AC004535.2,-2.47143728016762,13.0345194939975,32.213997406537,0
AC004538.3,3.60885137398839,-2.28784666992638,-8.25649859823858,0
AC004540.4,-5.66259553336047,-2.84395897656007,1.99109606714851,0
AC004540.5,-7.06079260584601,2.3633511344201,16.6871322149312,0
AC004549.6,-5.28491180727404,-2.74190748909641,1.92745810290473,0
AC004562.1,-1.5687832772402,-1.5687832772402,1.0,0
AC004603.4,1.0,21.7505517197785,21.7505517197785,0
AC004637.1,-6.07378621815283,-6.07378621815283,1.0,0
AC004791.2,1.0,3.84114217647246,3.84114217647246,0
AC004840.8,-6.72404347003375,-2.47579451253127,2.71591339103464,0
AC004840.9,-1.0826000089852,1.60420044579396,1.7367074170306,0
AC004854.4,4.41831050068788,1.0,-4.41831050068788,0
AC004866.3,-4.19153289780064,3.28187400852067,13.7560828731513,0
AC004869.2,-4.44837335301778,-4.44837335301778,1.0,0
AC004870.4,1.51669828282218,1.0,-1.51669828282218,0
AC004878.2,-3.99089708779764,2.75033268727717,10.9762947121291,0
AC004878.3,2.93807539317899,-1.50137964414695,-4.41116658828797,0
AC004893.11,-3.51008940308857,1.64688577821819,5.78071631822095,0
AC004906.3,-1.50885797664276,1.49437715625827,2.25480289233302,0
AC004920.3,-24.5460877870341,1.64658324056519,40.4171767715723,0
AC004941.3,-4.63133016755716,6.83382013638983,31.6496773573218,0
AC004947.2,-5.64447736538106,1.02820486645811,5.80367909569748,0
AC004951.5,4.49764558240312,-2.35179078787882,-10.5775214478395,0
AC004951.6,1.30146386696414,1.514732091077,1.16386795632702,0
AC004967.7,1.03376827416969,-1.36048154245088,-1.40642265617917,0
AC004980.11,-1.84902225759387,2.83582673585988,5.24350675328471,0
AC004980.7,-1.94843346355399,-7.11525993725919,-3.65178491868066,0
AC004980.9,-1.38129530272163,-1.38129530272163,1.0,0
AC004985.12,1.95604842136342,1.0,-1.95604842136342,0
AC005000.1,-2.03119112827228,-3.27383912611948,-1.61178289947741,0
AC005003.1,1.23936953893662,2.16330213078532,1.74548596106488,0
AC005008.2,-28.7546571275706,-28.7546571275706,1.0,0
AC005013.1,-5.57080802543623,7.59671572504852,42.3198449280579,0
AC005013.5,1.0,7.33572880608761,7.33572880608761,0
AC005019.2,2.16633261142672,4.58874878788196,2.11821064026722,0
AC005022.1,1.0,1.6460184127438,1.6460184127438,0
AC005037.3,3.83277428389796,6.77850637024666,1.76856393519549,0
AC005042.4,-1.17043142764649,-1.49729866659026,-1.27927072976931,0
AC005042.5,-1.64774640194632,-1.64774640194632,1.0,0
AC005062.2,-1.59360491286477,-1.3763019528837,1.1578890152163,0
AC005076.5,3.95492925767233,1.00622266032152,-3.93047127005528,0
AC005077.12,3.91536910542369,5.23577728941175,1.33723721785488,0
AC005077.7,1.0,8.49412498663732,8.49412498663732,0
AC005083.1,-1.32130830514891,-1.1052717659297,1.19546010843541,0
AC005086.1,-1.9966681380582,-4.05066918167363,-2.02871428880164,0
AC005150.1,4.22340439167511,11.1574842268359,2.64182237647638,0
AC005154.6,1.53708456732674,-1.68757670096327,-2.59394810323082,0
AC005176.2,1.0,8.25578323325636,8.25578323325636,0
AC005197.2,1.0,7.44460571924038,7.44460571924038,0
AC005224.2,-2.76226831642417,-1.69302791926207,1.6315550883698,0
AC005235.1,-1.67416492372561,-1.12908141780665,1.48276722769721,0
AC005253.4,1.0,1.47973025445504,1.47973025445504,0
AC005256.1,-6.88097207472041,2.85278220667156,19.6299146993663,0
AC005264.2,1.37018374804946,5.00608731417535,3.65358830251916,0
AC005280.1,-1.35929929823059,2.34733446746566,3.19073009433855,0
AC005281.2,-3.5520033423144,1.73011557927296,6.14537632016776,0
AC005301.8,1.0,13.5890540337481,13.5890540337481,0
AC005306.3,1.0,1.41429386318496,1.41429386318496,0
AC005307.1,-1.46549174438916,1.26327296386367,1.85131609945224,0
AC005307.3,1.07198896997703,-3.2065832603846,-3.43742188644528,0
AC005324.6,1.0,1.8445866048255,1.8445866048255,0
AC005324.7,1.0,2.80536418301505,2.80536418301505,0
AC005329.7,-16.28985296255,2.06473669581672,33.6342571812358,0
AC005330.2,1.0,2.49972754564696,2.49972754564696,0
AC005355.2,3.19996027718275,-1.93928257510987,-6.20562720658426,0
AC005392.13,2.69156355380935,12.3742901947153,4.59743563446683,0
AC005394.1,1.0,2.57472788327744,2.57472788327744,0
AC005399.1,-1.56878788563377,-1.56878788563377,1.0,0
AC005477.1,1.23426321445931,2.57954433003373,2.08994669841452,0
AC005481.5,1.0,1.47973288174507,1.47973288174507,0
AC005484.5,3.0424760175514,-1.30377858891903,-3.96671508898316,0
AC005487.2,1.41938540809504,3.38567525834615,2.38531074015342,0
AC005498.3,1.0,5.23225316614525,5.23225316614525,0
AC005518.2,1.0,1.38239101998214,1.38239101998214,0
AC005523.3,-5.52094729034079,6.13654881245811,33.8795625381846,0
AC005532.5,-1.38508698418547,-3.12703024865315,-2.25764178304806,0
AC005537.2,1.0,9.21804459365545,9.21804459365545,0
AC005540.3,1.25272396764267,-6.74678795448408,-8.45186297518508,0
AC005546.2,-1.5050766253059,-1.5050766253059,1.0,0
AC005550.4,7.31809190782258,1.72479280730992,-4.24288174023422,0
AC005562.1,-1.92466605971782,-2.12033189157435,-1.10166222387961,0
AC005592.1,1.0,5.65172493221517,5.65172493221517,0
AC005592.2,1.0,1.646028882621,1.646028882621,0
AC005609.1,-1.8705197586803,-1.8705197586803,1.0,0
AC005614.5,1.97024090726744,-3.80538415698278,-7.49752353395487,0
AC005618.1,-1.17084803391878,1.90789177027433,2.23385132815551,0
AC005618.6,-2.33837867719609,-1.52863011472652,1.52972171270774,0
AC005624.2,1.0,7.86593325178333,7.86593325178333,0
AC005682.5,-1.64300627343954,-2.00393206769575,-1.21967402078182,0
AC005682.6,2.2166637192053,2.4122456569847,1.08823257045481,0
AC005682.8,2.43534849105938,3.57962419521928,1.46986117525305,0
AC005754.7,14.1704922661771,24.3437086324366,1.71791552298726,0
AC005772.2,4.17309790437207,17.4926248302175,4.19175999007615,0
AC005779.2,1.38821297638179,1.0,-1.38821297638179,0
AC005780.1,-1.86587010852573,-1.08624034188542,1.71773228868216,0
AC005831.1,1.24901137218608,1.0,-1.24901137218608,0
AC005841.1,-2.20533412601023,2.65476043815656,5.85463379064852,0
AC005863.1,1.0,27.9191546199534,27.9191546199534,0
AC005932.1,-22.1697823932917,7.44696350307635,165.097560353988,0
AC005944.2,1.0,3.15582525887003,3.15582525887003,0
AC006014.7,1.77947029778953,1.08457720467928,-1.64070412886442,0
AC006014.8,-1.45321947542151,-1.3147517102239,1.10531856632765,0
AC006024.4,1.20409253232461,-2.00585002002191,-2.41522903007155,0
AC006042.7,4.1857863935309,1.0,-4.1857863935309,0
AC006050.2,-22.3323456132797,2.24786302613991,50.2000539910691,0
AC006111.1,1.0,1.83351343602613,1.83351343602613,0
AC006115.3,1.0,1.46397436292527,1.46397436292527,0
AC006116.17,-2.34227331054579,-1.69790466758723,1.37950814039179,0
AC006116.21,-1.95652650038693,-3.6294381831393,-1.85504166819184,0
AC006116.22,1.28189361534679,1.0,-1.28189361534679,0
AC006126.4,7.71016292282645,9.3899701959642,1.21786923181151,0
AC006129.2,2.78034862898085,1.48066800257374,-1.87776640283168,0
AC006129.4,-1.81165494447266,1.57832323957897,2.85937710095934,0
AC006156.1,-5.15137646440315,-5.15137646440315,1.0,0
AC006156.2,1.0,1.79508753987998,1.79508753987998,0
AC006160.5,7.8951356009302,2.69674718848791,-2.92765137000368,0
AC006196.1,1.0,1.40039870838294,1.40039870838294,0
AC006262.5,1.0,4.07070661907684,4.07070661907684,0
AC006262.6,-51.3170248560151,1.8875194068545,96.8618803177632,0
AC006273.5,-23.5899579223752,-1.62321721405686,14.5328411491014,0
AC006296.1,-1.68585856383607,-1.68585856383607,1.0,0
AC006335.10,-33.3385133631007,2.45037244966134,81.6917746576082,0
AC006335.6,1.19508833888491,1.39449933659809,1.16685879296525,0
AC006369.2,1.37957394503096,5.50643230815579,3.99140062625074,0
AC006372.1,-11.3990946420812,-1.17822961387089,9.6747650100487,0
AC006372.4,-4.57594352113658,2.19594525578058,10.0485214659597,0
AC006372.5,-1.97024529815693,1.20189280423592,2.36802364643446,0
AC006372.6,-17.1686830750871,1.08372798813968,18.6061823679719,0
AC006378.2,-3.54394037084529,-3.54394037084529,1.0,0
AC006445.6,-1.54685188528678,4.85905990454908,7.51624597407313,0
AC006445.7,1.05908975639096,1.7365949174822,1.63970514019506,0
AC006486.1,1.0,2.29021356130554,2.29021356130554,0
AC006486.9,-1.03991597251249,-1.03604426185464,1.00373701279028,0
AC006538.4,1.82105821171422,-6.57972136832878,-11.9820556285866,0
AC006539.2,-1.62918137824023,-1.62918137824023,1.0,0
AC006547.13,-2.28752647804587,2.44133800862958,5.58462533659994,0
AC006547.14,1.33402751979737,9.16479148525526,6.87001680943385,0
AC006547.8,1.0,2.24965221257312,2.24965221257312,0
AC006552.1,20.0822633557636,4.18041097697579,-4.80389690544052,0
AC006942.4,9.06271212438536,1.0,-9.06271212438536,0
AC006946.15,-13.5622792978471,2.93037083116259,39.7425076584913,0
AC006960.7,1.05845675150321,1.38997228309854,1.31320649721825,0
AC006967.1,1.0,9.01597401701367,9.01597401701367,0
AC006987.4,-9.27820669403737,1.54454053736955,14.3305663530342,0
AC006994.2,-1.59809006584955,-3.12681684149544,-1.95659613204167,0
AC007000.12,-4.2749422157674,-4.05660215124857,1.05382338626716,0
AC007036.6,1.0,6.41665623351296,6.41665623351296,0
AC007038.7,4.89573788905615,-1.54663116492026,-7.57190079449516,0
AC007040.11,1.23968293136342,4.28446388714405,3.45609653787193,0
AC007050.17,1.0,1.58966039461265,1.58966039461265,0
AC007050.18,-8.13279137755496,-1.84075034585517,4.41819358929777,0
AC007064.24,-4.36972553430161,-4.36972553430161,1.0,0
AC007091.1,1.0,1.40039842055944,1.40039842055944,0
AC007099.1,1.29651039304859,1.0,-1.29651039304859,0
AC007161.5,-1.73890105845841,-2.73732580093378,-1.57416995499473,0
AC007163.3,1.24861055811963,1.0,-1.24861055811963,0
AC007163.6,1.0,1.47973890853913,1.47973890853913,0
AC007179.1,-1.68586349962459,-1.68586349962459,1.0,0
AC007182.6,1.04462984869144,2.53288168407079,2.42466907033492,0
AC007228.11,2.50842609350572,14.2175053191179,5.66789882944002,0
AC007228.5,-1.08369268362951,-2.35336675567128,-2.17161820064096,0
AC007246.3,2.04768659025775,2.3853714273231,1.16491041093493,0
AC007249.3,9.18237935029066,5.73729203274732,-1.60047271393533,0
AC007250.4,-1.87051986994186,-1.87051986994186,1.0,0
AC007255.8,-1.58023371929177,1.57690232191473,2.49187422111914,0
AC007271.3,1.0,1.35356290140275,1.35356290140275,0
AC007274.2,1.0,2.96220586824412,2.96220586824412,0
AC007274.5,-26.8375277462969,1.53789204304863,41.2732203761269,0
AC007278.3,-2.23290757556271,-2.23290757556271,1.0,0
AC007285.6,1.0,24.2800426561337,24.2800426561337,0
AC007292.7,-3.30825427939569,1.1813086802196,3.90806949662378,0
AC007319.1,2.63015568803013,1.0,-2.63015568803013,0
AC007349.4,-1.68587245080827,-1.68587245080827,1.0,0
AC007349.5,1.48720296859442,1.0,-1.48720296859442,0
AC007364.1,-10.0484457618897,-10.0484457618897,1.0,0
AC007365.1,-1.24089253739623,6.21158792084652,7.70791309635904,0
AC007365.3,-2.33134207178146,-3.03632388676381,-1.30239312519404,0
AC007381.2,1.0,4.20025072081363,4.20025072081363,0
AC007381.3,-5.01321641230848,1.24992760546833,6.26615758593129,0
AC007383.3,25.2306973342185,1.50562255822356,-16.7576509772724,0
AC007386.2,-2.62403911993215,1.49188708137111,3.91477006403919,0
AC007386.4,-1.03707369214279,-2.99355099799702,-2.88653643485236,0
AC007389.3,-8.16339569232604,2.57017467776683,20.9813528930073,0
AC007391.2,1.0,2.80536573697328,2.80536573697328,0
AC007392.3,-4.18379775699698,-3.02958901649369,1.38097865229229,0
AC007403.3,-1.1802930383674,-2.51749588058829,-2.13294139569825,0
AC007405.4,-5.67740714628368,1.26095922188785,7.15897889751838,0
AC007405.6,-1.22676107320818,2.71226950386037,3.32730664738558,0
AC007551.3,1.29340685466638,-1.81887783507491,-2.35254905968663,0
AC007562.1,-2.3367087272767,-2.3367087272767,1.0,0
AC007563.1,1.0,1.41429468827424,1.41429468827424,0
AC007563.3,-4.13535043622341,-4.13535043622341,1.0,0
AC007566.10,1.99148889683252,-2.65387311288922,-5.28515883792125,0
AC007568.1,1.0,2.43857342668072,2.43857342668072,0
AC007620.3,-2.10938766527966,-1.24505728895963,1.69420932191985,0
AC007679.1,1.31864891042608,1.0,-1.31864891042608,0
AC007682.1,-1.8306359080793,1.04438098191899,1.91188132721602,0
AC007690.1,6.67843618253583,1.0,-6.67843618253583,0
AC007743.1,4.07311793752149,-1.67255501465927,-6.81251383170018,0
AC007750.5,1.0,3.06960860659668,3.06960860659668,0
AC007795.1,-2.22140399286224,1.41185063923058,3.13629064731192,0
AC007879.2,13.996971446399,1.3756769837,-10.1746061119325,0
AC007879.4,-8.34551763270733,-8.34551763270733,1.0,0
AC007879.5,-2.72481735707999,1.41748413657011,3.86238537871179,0
AC007879.7,1.32797275436813,-5.33655031642125,-7.08679342252205,0
AC007880.1,-1.58893897697098,2.81501864959235,4.4728928532375,0
AC007952.4,1.0,12.9034319841093,12.9034319841093,0
AC007952.5,-22.9027895075363,-18.5453618418346,1.23496050941817,0
AC007967.2,1.0,9.5062739246525,9.5062739246525,0
AC007967.4,-4.13534796155631,-4.13534796155631,1.0,0
AC008060.7,-5.17851654931888,1.00539177966242,5.20643796953102,0
AC008060.8,-1.71718561195784,9.19991066456922,15.7979542244958,0
AC008063.2,2.48352563462542,1.0,-2.48352563462542,0
AC008069.1,1.0,33.1252260950172,33.1252260950172,0
AC008069.2,-2.59248597739189,6.71968102803516,17.4206788377275,0
AC008073.9,-1.71926560912932,9.54619929051463,16.4124521380765,0
