gene_id,gene_symbol,type_of_gene,crewID,Timepoint,z_counts
ENSG00000117713,ARID1A,Trans-acting factors,C003,R+1,-0.688484585916475
ENSG00000117713,ARID1A,Trans-acting factors,C003,R+194,1.18361276255552
ENSG00000117713,ARID1A,Trans-acting factors,C003,R+45,1.25341872001391
ENSG00000117713,ARID1A,Trans-acting factors,C003,R+82,1.12798046057264
ENSG00000117713,ARID1A,Trans-acting factors,C004,L-44,-0.923994100165324
ENSG00000117713,ARID1A,Trans-acting factors,C004,R+1,0.122837092327457
ENSG00000117713,ARID1A,Trans-acting factors,C004,R+194,1.06635658336434
ENSG00000117713,ARID1A,Trans-acting factors,C004,R+45,0.92269744428375
ENSG00000116478,HDAC1,Trans-acting factors,C001,L-3,0.545451951002842
ENSG00000116478,HDAC1,Trans-acting factors,C001,L-44,-1.73136638263235
ENSG00000116478,HDAC1,Trans-acting factors,C001,L-92,-1.16670916688151
ENSG00000116478,HDAC1,Trans-acting factors,C001,R+1,0.255291518680538
ENSG00000116478,HDAC1,Trans-acting factors,C001,R+194,0.715177172419982
ENSG00000116478,HDAC1,Trans-acting factors,C001,R+45,0.428280981806507
ENSG00000116478,HDAC1,Trans-acting factors,C001,R+82,1.12612281725584
ENSG00000116478,HDAC1,Trans-acting factors,C002,L-3,0.643103713068224
ENSG00000116478,HDAC1,Trans-acting factors,C002,L-44,-0.749761159240574
ENSG00000116478,HDAC1,Trans-acting factors,C002,L-92,-0.837674785831458
ENSG00000116478,HDAC1,Trans-acting factors,C002,R+1,-0.882463682645795
ENSG00000116478,HDAC1,Trans-acting factors,C002,R+194,0.611796583982772
ENSG00000116478,HDAC1,Trans-acting factors,C002,R+45,1.54652851906582
ENSG00000116478,HDAC1,Trans-acting factors,C002,R+82,1.71853546986063
ENSG00000116478,HDAC1,Trans-acting factors,C003,L-3,0.407324132435064
ENSG00000116478,HDAC1,Trans-acting factors,C003,L-44,-1.77103666598331
ENSG00000116478,HDAC1,Trans-acting factors,C003,L-92,-1.27418569729438
ENSG00000116478,HDAC1,Trans-acting factors,C003,R+1,-0.415277789087082
ENSG00000116478,HDAC1,Trans-acting factors,C003,R+194,0.225461037836589
ENSG00000116478,HDAC1,Trans-acting factors,C003,R+45,0.086969817119485
ENSG00000116478,HDAC1,Trans-acting factors,C003,R+82,0.699284228003877
ENSG00000116478,HDAC1,Trans-acting factors,C004,L-44,-1.13355762750046
ENSG00000116478,HDAC1,Trans-acting factors,C004,R+1,0.716256899109488
ENSG00000116478,HDAC1,Trans-acting factors,C004,R+194,1.03146655558775
ENSG00000116478,HDAC1,Trans-acting factors,C004,R+45,-0.795018440138504
ENSG00000162521,RbAp48,Trans-acting factors,C001,L-3,0.663451779818852
ENSG00000162521,RbAp48,Trans-acting factors,C001,L-44,-1.78445875918693
ENSG00000162521,RbAp48,Trans-acting factors,C001,L-92,-1.22366148179524
ENSG00000162521,RbAp48,Trans-acting factors,C001,R+1,1.02592570286471
ENSG00000162521,RbAp48,Trans-acting factors,C001,R+194,1.0981730931863
ENSG00000162521,RbAp48,Trans-acting factors,C001,R+45,0.891961541356746
ENSG00000162521,RbAp48,Trans-acting factors,C001,R+82,0.565436228780912
ENSG00000162521,RbAp48,Trans-acting factors,C002,L-3,0.2182242986886
ENSG00000162521,RbAp48,Trans-acting factors,C002,L-44,-1.05221117152627
ENSG00000162521,RbAp48,Trans-acting factors,C002,L-92,-1.15765506483455
ENSG00000162521,RbAp48,Trans-acting factors,C002,R+1,-0.527840406710608
ENSG00000162521,RbAp48,Trans-acting factors,C002,R+194,0.201078371003498
ENSG00000162521,RbAp48,Trans-acting factors,C002,R+45,0.770895881918787
ENSG00000162521,RbAp48,Trans-acting factors,C002,R+82,0.314625727284933
ENSG00000162521,RbAp48,Trans-acting factors,C003,L-3,0.571597650369699
ENSG00000162521,RbAp48,Trans-acting factors,C003,L-44,-1.49956619318528
ENSG00000162521,RbAp48,Trans-acting factors,C003,L-92,-1.3619089805828
ENSG00000162521,RbAp48,Trans-acting factors,C003,R+1,-0.6378872077832
ENSG00000162521,RbAp48,Trans-acting factors,C003,R+194,1.08460049634388
ENSG00000162521,RbAp48,Trans-acting factors,C003,R+45,-0.333097121533964
ENSG00000162521,RbAp48,Trans-acting factors,C003,R+82,1.20369595125754
ENSG00000162521,RbAp48,Trans-acting factors,C004,L-44,-0.937040820638109
ENSG00000162521,RbAp48,Trans-acting factors,C004,R+1,0.280648331321168
ENSG00000162521,RbAp48,Trans-acting factors,C004,R+194,1.84852269625381
ENSG00000162521,RbAp48,Trans-acting factors,C004,R+45,-0.223510542672465
ENSG00000162367,TAL1,Trans-acting factors,C001,L-3,-1.13544978925728
ENSG00000162367,TAL1,Trans-acting factors,C001,L-44,0.206437597598964
ENSG00000162367,TAL1,Trans-acting factors,C001,L-92,-0.320419650965506
ENSG00000162367,TAL1,Trans-acting factors,C001,R+1,-1.1167954206955
ENSG00000162367,TAL1,Trans-acting factors,C001,R+194,0.00818275151131817
ENSG00000162367,TAL1,Trans-acting factors,C001,R+45,0.250386955259073
ENSG00000162367,TAL1,Trans-acting factors,C001,R+82,-0.376845996948027
ENSG00000162367,TAL1,Trans-acting factors,C002,L-3,-1.294007139729
ENSG00000162367,TAL1,Trans-acting factors,C002,L-44,2.04291249850049
ENSG00000162367,TAL1,Trans-acting factors,C002,L-92,1.71158340317309
ENSG00000162367,TAL1,Trans-acting factors,C002,R+1,0.713130459191648
ENSG00000162367,TAL1,Trans-acting factors,C002,R+194,0.15156272823472
ENSG00000162367,TAL1,Trans-acting factors,C002,R+45,-1.15221363800412
ENSG00000162367,TAL1,Trans-acting factors,C002,R+82,0.735733823620855
ENSG00000162367,TAL1,Trans-acting factors,C003,L-3,-1.42360663697484
ENSG00000162367,TAL1,Trans-acting factors,C003,L-44,1.11685474440997
ENSG00000162367,TAL1,Trans-acting factors,C003,L-92,0.137433126217899
ENSG00000162367,TAL1,Trans-acting factors,C003,R+1,-1.42758293381793
ENSG00000162367,TAL1,Trans-acting factors,C003,R+194,1.13476180040471
ENSG00000162367,TAL1,Trans-acting factors,C003,R+45,0.837261285885433
ENSG00000162367,TAL1,Trans-acting factors,C003,R+82,-0.596349381379988
ENSG00000162367,TAL1,Trans-acting factors,C004,L-44,1.08206034040415
ENSG00000162367,TAL1,Trans-acting factors,C004,R+1,-0.987803243390589
ENSG00000162367,TAL1,Trans-acting factors,C004,R+194,-0.335115666411841
ENSG00000162367,TAL1,Trans-acting factors,C004,R+45,0.03788798316229
ENSG00000117505,DR-1,Trans-acting factors,C001,L-3,1.12665970296815
ENSG00000117505,DR-1,Trans-acting factors,C001,L-44,-2.0119614871278
ENSG00000117505,DR-1,Trans-acting factors,C001,L-92,-0.92482426839719
ENSG00000117505,DR-1,Trans-acting factors,C001,R+1,0.216755349455436
ENSG00000117505,DR-1,Trans-acting factors,C001,R+194,-0.350004597198056
ENSG00000117505,DR-1,Trans-acting factors,C001,R+45,-0.544315948753329
ENSG00000117505,DR-1,Trans-acting factors,C001,R+82,-0.0296697871078901
ENSG00000117505,DR-1,Trans-acting factors,C002,L-3,1.1579615138774
ENSG00000117505,DR-1,Trans-acting factors,C002,L-44,-0.891211366649648
ENSG00000117505,DR-1,Trans-acting factors,C002,L-92,-0.661607297841303
ENSG00000117505,DR-1,Trans-acting factors,C002,R+1,-0.273659028253638
ENSG00000117505,DR-1,Trans-acting factors,C002,R+194,0.112825675372861
ENSG00000117505,DR-1,Trans-acting factors,C002,R+45,0.449651070408447
ENSG00000117505,DR-1,Trans-acting factors,C002,R+82,0.83956162977835
ENSG00000117505,DR-1,Trans-acting factors,C003,L-3,0.766908186943976
ENSG00000117505,DR-1,Trans-acting factors,C003,L-44,-1.33581592032811
ENSG00000117505,DR-1,Trans-acting factors,C003,L-92,-0.68750491866155
ENSG00000117505,DR-1,Trans-acting factors,C003,R+1,-0.532655877572178
ENSG00000117505,DR-1,Trans-acting factors,C003,R+194,1.66907689501253
ENSG00000117505,DR-1,Trans-acting factors,C003,R+45,1.26004251439299
ENSG00000117505,DR-1,Trans-acting factors,C003,R+82,1.44497703086969
ENSG00000117505,DR-1,Trans-acting factors,C004,L-44,-1.10213849133465
ENSG00000117505,DR-1,Trans-acting factors,C004,R+1,0.13456099848085
ENSG00000117505,DR-1,Trans-acting factors,C004,R+194,1.29894452853292
ENSG00000117505,DR-1,Trans-acting factors,C004,R+45,-1.13255610686826
ENSG00000143614,GATAD2B,Trans-acting factors,C001,L-3,0.270608259546969
ENSG00000143614,GATAD2B,Trans-acting factors,C001,L-44,-1.87647046322172
ENSG00000143614,GATAD2B,Trans-acting factors,C001,L-92,-1.32669296886233
ENSG00000143614,GATAD2B,Trans-acting factors,C001,R+1,0.192690916893939
ENSG00000143614,GATAD2B,Trans-acting factors,C001,R+194,0.406176354795924
ENSG00000143614,GATAD2B,Trans-acting factors,C001,R+45,0.819761517642612
ENSG00000143614,GATAD2B,Trans-acting factors,C001,R+82,1.33525543730363
ENSG00000143614,GATAD2B,Trans-acting factors,C002,L-3,0.75104696969048
ENSG00000143614,GATAD2B,Trans-acting factors,C002,L-44,-0.559239183950763
ENSG00000143614,GATAD2B,Trans-acting factors,C002,L-92,-0.955917875306466
ENSG00000143614,GATAD2B,Trans-acting factors,C002,R+1,-0.594842824183256
ENSG00000143614,GATAD2B,Trans-acting factors,C002,R+194,0.946708060265704
ENSG00000143614,GATAD2B,Trans-acting factors,C002,R+45,1.64889839826019
ENSG00000143614,GATAD2B,Trans-acting factors,C002,R+82,0.850840179985372
ENSG00000143614,GATAD2B,Trans-acting factors,C003,L-3,-0.00121994677291421
ENSG00000143614,GATAD2B,Trans-acting factors,C003,L-44,-1.53307187529214
ENSG00000143614,GATAD2B,Trans-acting factors,C003,L-92,-1.12236349511064
ENSG00000143614,GATAD2B,Trans-acting factors,C003,R+1,-0.536141393550783
ENSG00000143614,GATAD2B,Trans-acting factors,C003,R+194,1.05411209233336
ENSG00000143614,GATAD2B,Trans-acting factors,C003,R+45,0.468983576296364
ENSG00000143614,GATAD2B,Trans-acting factors,C003,R+82,1.06507379651362
ENSG00000143614,GATAD2B,Trans-acting factors,C004,L-44,-1.14461689063137
ENSG00000143614,GATAD2B,Trans-acting factors,C004,R+1,-0.506265830023788
ENSG00000143614,GATAD2B,Trans-acting factors,C004,R+194,1.0438363073581
ENSG00000143614,GATAD2B,Trans-acting factors,C004,R+45,-0.697149119980096
ENSG00000160691,p66,Trans-acting factors,C001,L-3,-0.0509013411590672
ENSG00000160691,p66,Trans-acting factors,C001,L-44,-1.36897805544899
ENSG00000160691,p66,Trans-acting factors,C001,L-92,-1.22748487338707
ENSG00000160691,p66,Trans-acting factors,C001,R+1,0.696372727601434
ENSG00000160691,p66,Trans-acting factors,C001,R+194,1.8189488062442
ENSG00000160691,p66,Trans-acting factors,C001,R+45,-0.21538200964243
ENSG00000160691,p66,Trans-acting factors,C001,R+82,1.4367375668796
ENSG00000160691,p66,Trans-acting factors,C002,L-3,-0.183133599130425
ENSG00000160691,p66,Trans-acting factors,C002,L-44,-1.13661830508022
ENSG00000160691,p66,Trans-acting factors,C002,L-92,-1.00416386757714
ENSG00000160691,p66,Trans-acting factors,C002,R+1,-0.516590779796939
ENSG00000160691,p66,Trans-acting factors,C002,R+194,0.552656494588598
ENSG00000160691,p66,Trans-acting factors,C002,R+45,0.443265428180744
ENSG00000160691,p66,Trans-acting factors,C002,R+82,0.982132041098397
ENSG00000160691,p66,Trans-acting factors,C003,L-3,-0.387759511291591
ENSG00000160691,p66,Trans-acting factors,C003,L-44,-1.39814176429343
ENSG00000160691,p66,Trans-acting factors,C003,L-92,-1.27994684362562
ENSG00000160691,p66,Trans-acting factors,C003,R+1,0.0549987326889607
ENSG00000160691,p66,Trans-acting factors,C003,R+194,1.91447075005424
ENSG00000160691,p66,Trans-acting factors,C003,R+45,0.161229255336269
ENSG00000160691,p66,Trans-acting factors,C003,R+82,0.702468093685723
ENSG00000160691,p66,Trans-acting factors,C004,L-44,-0.909257702189118
ENSG00000160691,p66,Trans-acting factors,C004,R+1,-0.571112567385107
ENSG00000160691,p66,Trans-acting factors,C004,R+194,1.22107340136522
ENSG00000160691,p66,Trans-acting factors,C004,R+45,0.26511792228377
ENSG00000143190,OCT1,Trans-acting factors,C001,L-3,0.603975347681483
ENSG00000143190,OCT1,Trans-acting factors,C001,L-44,-1.58856002558064
ENSG00000143190,OCT1,Trans-acting factors,C001,L-92,-1.32961646302004
ENSG00000143190,OCT1,Trans-acting factors,C001,R+1,0.109538469954019
ENSG00000143190,OCT1,Trans-acting factors,C001,R+194,0.679242522452558
ENSG00000143190,OCT1,Trans-acting factors,C001,R+45,0.784977181031512
ENSG00000143190,OCT1,Trans-acting factors,C001,R+82,0.456243704322336
ENSG00000143190,OCT1,Trans-acting factors,C002,L-3,0.896489941336946
ENSG00000143190,OCT1,Trans-acting factors,C002,L-44,-0.887258571641586
ENSG00000143190,OCT1,Trans-acting factors,C002,L-92,-0.634397371574936
ENSG00000143190,OCT1,Trans-acting factors,C002,R+1,-1.34227711806373
ENSG00000143190,OCT1,Trans-acting factors,C002,R+194,0.375337502759373
ENSG00000143190,OCT1,Trans-acting factors,C002,R+45,1.4190036938208
ENSG00000143190,OCT1,Trans-acting factors,C002,R+82,1.23021806254431
ENSG00000143190,OCT1,Trans-acting factors,C003,L-3,0.275937961494935
ENSG00000143190,OCT1,Trans-acting factors,C003,L-44,-1.47259456836336
ENSG00000143190,OCT1,Trans-acting factors,C003,L-92,-0.966778468264383
ENSG00000143190,OCT1,Trans-acting factors,C003,R+1,-0.0788395244076938
ENSG00000143190,OCT1,Trans-acting factors,C003,R+194,1.91141337718902
ENSG00000143190,OCT1,Trans-acting factors,C003,R+45,0.184604290312764
ENSG00000143190,OCT1,Trans-acting factors,C003,R+82,1.12189858986514
ENSG00000143190,OCT1,Trans-acting factors,C004,L-44,-1.06098394403331
ENSG00000143190,OCT1,Trans-acting factors,C004,R+1,-0.144694651567985
ENSG00000143190,OCT1,Trans-acting factors,C004,R+194,0.489265742715769
ENSG00000143190,OCT1,Trans-acting factors,C004,R+45,-1.03214568096329
ENSG00000162769,FLVCR1,Trans-acting factors,C001,L-3,1.39759031796566
ENSG00000162769,FLVCR1,Trans-acting factors,C001,L-44,-0.860147317786785
ENSG00000162769,FLVCR1,Trans-acting factors,C001,L-92,-0.293662074952619
ENSG00000162769,FLVCR1,Trans-acting factors,C001,R+1,0.497494495210857
ENSG00000162769,FLVCR1,Trans-acting factors,C001,R+194,-0.535853582428824
ENSG00000162769,FLVCR1,Trans-acting factors,C001,R+45,-0.20362990901231
ENSG00000162769,FLVCR1,Trans-acting factors,C001,R+82,-0.123498551480689
ENSG00000162769,FLVCR1,Trans-acting factors,C002,L-3,-0.498146031083486
ENSG00000162769,FLVCR1,Trans-acting factors,C002,L-44,-0.330373839087557
ENSG00000162769,FLVCR1,Trans-acting factors,C002,L-92,-0.26818297458072
ENSG00000162769,FLVCR1,Trans-acting factors,C002,R+1,-0.317714525329302
ENSG00000162769,FLVCR1,Trans-acting factors,C002,R+194,0.386979074635234
ENSG00000162769,FLVCR1,Trans-acting factors,C002,R+45,0.0130554837229332
ENSG00000162769,FLVCR1,Trans-acting factors,C002,R+82,-0.378199973018757
ENSG00000162769,FLVCR1,Trans-acting factors,C003,L-3,-0.0930455936344597
ENSG00000162769,FLVCR1,Trans-acting factors,C003,L-44,-0.592158989741635
ENSG00000162769,FLVCR1,Trans-acting factors,C003,L-92,-0.536052854445073
ENSG00000162769,FLVCR1,Trans-acting factors,C003,R+1,0.413807571868524
ENSG00000162769,FLVCR1,Trans-acting factors,C003,R+194,-0.900376757515796
ENSG00000162769,FLVCR1,Trans-acting factors,C003,R+45,3.64517859567616
ENSG00000162769,FLVCR1,Trans-acting factors,C003,R+82,-0.614158489844834
ENSG00000162769,FLVCR1,Trans-acting factors,C004,L-44,-0.476512792507184
ENSG00000162769,FLVCR1,Trans-acting factors,C004,R+1,-0.907062226266161
ENSG00000162769,FLVCR1,Trans-acting factors,C004,R+194,-0.267050247370596
ENSG00000162769,FLVCR1,Trans-acting factors,C004,R+45,1.84172119100742
ENSG00000119866,BCL11A,Trans-acting factors,C001,L-3,-0.441124119725595
ENSG00000119866,BCL11A,Trans-acting factors,C001,L-44,-1.56017570935517
ENSG00000119866,BCL11A,Trans-acting factors,C001,L-92,-1.06378773022995
ENSG00000119866,BCL11A,Trans-acting factors,C001,R+1,0.0766564447899657
ENSG00000119866,BCL11A,Trans-acting factors,C001,R+194,-0.165547391833678
ENSG00000119866,BCL11A,Trans-acting factors,C001,R+45,-0.306577607848842
ENSG00000119866,BCL11A,Trans-acting factors,C001,R+82,-0.0255622516126377
ENSG00000119866,BCL11A,Trans-acting factors,C002,L-3,0.107945470706126
ENSG00000119866,BCL11A,Trans-acting factors,C002,L-44,-0.174230008070299
ENSG00000119866,BCL11A,Trans-acting factors,C002,L-92,-0.424100949398139
ENSG00000119866,BCL11A,Trans-acting factors,C002,R+1,-0.0185391116191888
ENSG00000119866,BCL11A,Trans-acting factors,C002,R+194,0.487302420628295
ENSG00000119866,BCL11A,Trans-acting factors,C002,R+45,3.13185514122534
ENSG00000119866,BCL11A,Trans-acting factors,C002,R+82,0.677516019263384
ENSG00000119866,BCL11A,Trans-acting factors,C003,L-3,-0.0252904822121365
ENSG00000119866,BCL11A,Trans-acting factors,C003,L-44,-1.37645912305515
ENSG00000119866,BCL11A,Trans-acting factors,C003,L-92,-1.25819131548331
ENSG00000119866,BCL11A,Trans-acting factors,C003,R+1,0.154876077776755
ENSG00000119866,BCL11A,Trans-acting factors,C003,R+194,1.43680980016229
ENSG00000119866,BCL11A,Trans-acting factors,C003,R+45,-0.254013871593302
ENSG00000119866,BCL11A,Trans-acting factors,C003,R+82,0.747507578364794
ENSG00000119866,BCL11A,Trans-acting factors,C004,L-44,-0.727711998782941
ENSG00000119866,BCL11A,Trans-acting factors,C004,R+1,0.246975609142324
ENSG00000119866,BCL11A,Trans-acting factors,C004,R+194,1.4539028679901
ENSG00000119866,BCL11A,Trans-acting factors,C004,R+45,-0.700035759229043
ENSG00000177463,TR4,Trans-acting factors,C001,L-3,0.299984649076926
ENSG00000177463,TR4,Trans-acting factors,C001,L-44,-1.99577980278846
ENSG00000177463,TR4,Trans-acting factors,C001,L-92,-1.36612996008566
ENSG00000177463,TR4,Trans-acting factors,C001,R+1,-0.541548780720915
ENSG00000177463,TR4,Trans-acting factors,C001,R+194,0.508699782339853
ENSG00000177463,TR4,Trans-acting factors,C001,R+45,0.990445636827504
ENSG00000177463,TR4,Trans-acting factors,C001,R+82,0.394506689897781
ENSG00000177463,TR4,Trans-acting factors,C002,L-3,0.439528365119404
ENSG00000177463,TR4,Trans-acting factors,C002,L-44,-0.770861326895125
ENSG00000177463,TR4,Trans-acting factors,C002,L-92,-0.74931380744509
ENSG00000177463,TR4,Trans-acting factors,C002,R+1,-0.701955305270941
ENSG00000177463,TR4,Trans-acting factors,C002,R+194,0.629779379173073
ENSG00000177463,TR4,Trans-acting factors,C002,R+45,0.99605765590521
ENSG00000177463,TR4,Trans-acting factors,C002,R+82,1.32357741096965
ENSG00000177463,TR4,Trans-acting factors,C003,L-3,0.132306699562968
ENSG00000177463,TR4,Trans-acting factors,C003,L-44,-1.31824187692436
ENSG00000177463,TR4,Trans-acting factors,C003,L-92,-0.976603023917436
ENSG00000177463,TR4,Trans-acting factors,C003,R+1,-0.929363766604828
ENSG00000177463,TR4,Trans-acting factors,C003,R+194,0.906885829675902
ENSG00000177463,TR4,Trans-acting factors,C003,R+45,0.639134569784171
ENSG00000177463,TR4,Trans-acting factors,C003,R+82,1.76440313733001
ENSG00000177463,TR4,Trans-acting factors,C004,L-44,-0.984423196406008
ENSG00000177463,TR4,Trans-acting factors,C004,R+1,-0.188645819736661
ENSG00000177463,TR4,Trans-acting factors,C004,R+194,1.56940396142661
ENSG00000177463,TR4,Trans-acting factors,C004,R+45,-0.0718471002935636
ENSG00000179348,GATA2,Trans-acting factors,C001,L-3,-0.247124877303911
ENSG00000179348,GATA2,Trans-acting factors,C001,L-44,0.125561896668397
ENSG00000179348,GATA2,Trans-acting factors,C001,L-92,-0.18980087007492
ENSG00000179348,GATA2,Trans-acting factors,C001,R+1,-0.820587996073344
ENSG00000179348,GATA2,Trans-acting factors,C001,R+194,1.11338682737427
ENSG00000179348,GATA2,Trans-acting factors,C001,R+45,0.85944492458235
ENSG00000179348,GATA2,Trans-acting factors,C001,R+82,-1.57904840601119
ENSG00000179348,GATA2,Trans-acting factors,C002,L-3,-1.95256986284717
ENSG00000179348,GATA2,Trans-acting factors,C002,L-44,-0.00435515038973128
ENSG00000179348,GATA2,Trans-acting factors,C002,L-92,0.399845366213788
ENSG00000179348,GATA2,Trans-acting factors,C002,R+1,0.021069370919008
ENSG00000179348,GATA2,Trans-acting factors,C002,R+194,-0.413272657903338
ENSG00000179348,GATA2,Trans-acting factors,C002,R+45,2.12590419367314
ENSG00000179348,GATA2,Trans-acting factors,C002,R+82,0.842467060493216
ENSG00000179348,GATA2,Trans-acting factors,C003,L-3,-1.88789486149672
ENSG00000179348,GATA2,Trans-acting factors,C003,L-44,0.505904475417399
ENSG00000179348,GATA2,Trans-acting factors,C003,L-92,-0.535135211707332
ENSG00000179348,GATA2,Trans-acting factors,C003,R+1,-1.05426487716457
ENSG00000179348,GATA2,Trans-acting factors,C003,R+194,-0.0246670397496375
ENSG00000179348,GATA2,Trans-acting factors,C003,R+45,0.28227580911457
ENSG00000179348,GATA2,Trans-acting factors,C003,R+82,0.602761436904128
ENSG00000179348,GATA2,Trans-acting factors,C004,L-44,1.26468246674235
ENSG00000179348,GATA2,Trans-acting factors,C004,R+1,-0.304593208437366
ENSG00000179348,GATA2,Trans-acting factors,C004,R+194,1.33972224533217
ENSG00000179348,GATA2,Trans-acting factors,C004,R+45,-0.469711054275547
ENSG00000129071,MBD4,Trans-acting factors,C001,L-3,0.547169267759517
ENSG00000129071,MBD4,Trans-acting factors,C001,L-44,-1.59497714366631
ENSG00000129071,MBD4,Trans-acting factors,C001,L-92,-0.848987573353601
ENSG00000129071,MBD4,Trans-acting factors,C001,R+1,-0.450340488288816
ENSG00000129071,MBD4,Trans-acting factors,C001,R+194,0.0685935876236473
ENSG00000129071,MBD4,Trans-acting factors,C001,R+45,0.436928864526964
ENSG00000129071,MBD4,Trans-acting factors,C001,R+82,-0.0601771105839498
ENSG00000129071,MBD4,Trans-acting factors,C002,L-3,0.810979906590416
ENSG00000129071,MBD4,Trans-acting factors,C002,L-44,-0.775833386057923
ENSG00000129071,MBD4,Trans-acting factors,C002,L-92,-0.286940766673037
ENSG00000129071,MBD4,Trans-acting factors,C002,R+1,-0.730359900744404
ENSG00000129071,MBD4,Trans-acting factors,C002,R+194,1.00398234611115
ENSG00000129071,MBD4,Trans-acting factors,C002,R+45,2.11321189073507
ENSG00000129071,MBD4,Trans-acting factors,C002,R+82,1.61575641651213
ENSG00000129071,MBD4,Trans-acting factors,C003,L-3,0.350540101650358
ENSG00000129071,MBD4,Trans-acting factors,C003,L-44,-1.54207234466391
ENSG00000129071,MBD4,Trans-acting factors,C003,L-92,-1.27197358584378
ENSG00000129071,MBD4,Trans-acting factors,C003,R+1,-0.97231196308596
ENSG00000129071,MBD4,Trans-acting factors,C003,R+194,1.61034372896862
ENSG00000129071,MBD4,Trans-acting factors,C003,R+45,0.137005651407114
ENSG00000129071,MBD4,Trans-acting factors,C003,R+82,0.421410559338939
ENSG00000129071,MBD4,Trans-acting factors,C004,L-44,-1.13000868218453
ENSG00000129071,MBD4,Trans-acting factors,C004,R+1,-0.439831901664605
ENSG00000129071,MBD4,Trans-acting factors,C004,R+194,0.855940084039717
ENSG00000129071,MBD4,Trans-acting factors,C004,R+45,0.131952441547174
ENSG00000144895,EIF2A,Trans-acting factors,C001,L-3,0.499494033670713
ENSG00000144895,EIF2A,Trans-acting factors,C001,L-44,-1.82724836172189
ENSG00000144895,EIF2A,Trans-acting factors,C001,L-92,-0.737473007493089
ENSG00000144895,EIF2A,Trans-acting factors,C001,R+1,0.797648293910312
ENSG00000144895,EIF2A,Trans-acting factors,C001,R+194,0.732240832329812
ENSG00000144895,EIF2A,Trans-acting factors,C001,R+45,1.82496197319404
ENSG00000144895,EIF2A,Trans-acting factors,C001,R+82,0.0688762608984649
