SuperPathway,SubPathway,metabolite_name,annotation_confidence,Formula,Mass,RT,CAS ID,Mode,KEGG,HMDB,C001_June_Pre,C002_June_Pre,C003_June_Pre,C004_June_Pre,C001_Aug_Pre,C002_Aug_Pre,C003_Aug_Pre,C004_Aug_Pre,C001_Sept_Pre,C002_Sept_Pre,C003_Sept_Pre,C004_Sept_Pre,C001_Sept_Post,C002_Sept_Post,C003_Sept_Post,C004_Sept_Post,C001_Nov_Post,C002_Nov_Post,C003_Nov_Post,C004_Nov_Post,C001_Dec_Post,C002_Dec_Post,C003_Dec_Post,C004_Dec_Post
Amino acids,Arginine and Proline metabolism,Creatinine,1,C4H7N3O,113.059,8.9,60-27-5,ANPPOS,C00791,HMDB00562,86708834.0,73232650.0,90722418.0,90899297.0,83606914.0,81552762.0,80660383.0,90146668.0,91595134.0,74397383.0,81344590.0,88101842.0,81281025.0,82432167.0,39034097.0,87991520.0,88631271.0,77216413.0,78612936.0,86179092.0,87340183.0,76113096.0,75183686.0,89626259.0
Amino acids,Arginine and Proline metabolism,Proline,1,C5H9NO2,115.0635,10.29,,ANPPOS,C00148,HMDB00162,14078407.0,10087599.0,12964510.0,13428887.0,12139300.0,10851538.0,13358784.0,13666310.0,11410637.0,9030255.0,15396729.0,11619028.0,13725846.0,10004110.0,17358231.0,16790262.0,10300110.0,11192961.0,15592861.0,13257197.0,11937889.0,8468117.0,14513104.0,10827724.0
Amino acids,Arginine and Proline metabolism,4-Hydroxy-Proline,1,C5H9NO3,131.0585,9.53,2584-71-6,ANPNEG,C01157,,232084.5,125730.8,316588.8,564350.5,192754.3,231416.2,251413.0,145281.5,261525.5,148219.2,250568.9,135847.6,389124.3,196534.4,441350.2,273591.6,144294.9,292256.6,157358.9,364795.7,207754.0,128929.1,209180.4,111251.3
Amino acids,Arginine and Proline metabolism,Ornithine,1,C5H12N2O2,132.087,25.87,70-26-8,ANPPOS,C00077,HMDB00214,340423.3,355293.9,513239.9,655457.8,602382.4,474140.0,386773.5,532413.3,1106716.0,654519.2,728165.9,963389.3,430778.9,299902.9,352517.3,519353.7,606148.2,312489.1,422106.3,487418.9,593121.4,335024.6,288198.1,551239.5
Amino acids,Arginine and Proline metabolism,Arginine,1,C6H14N4O2,174.109,25.27,74-79-3,ANPPOS,C00062,HMDB00517,1187557.0,1260737.0,724538.0,818353.5,819948.7,2257356.0,1128965.0,733696.8,506079.3,981076.6,844401.2,332104.9,1098994.0,1608470.0,1748113.0,1168632.0,1114350.0,1446508.0,1027747.0,872795.2,1255368.0,1589693.0,1111761.0,1182618.0
Amino acids,Arginine and Proline metabolism,Citrulline,1,C6H13N3O3,175.0958,10.54,372-75-8,ANPPOS,C00327,HMDB00904,150015.5,85071.0,127100.5,135082.6,134127.6,81276.91,111972.8,128331.5,128980.4,87235.61,203570.9,96816.61,80689.62,77092.66,84327.02,120195.6,135505.9,119114.2,149245.7,114357.9,118407.5,122055.6,136865.5,135941.7
Amino acids,Arginine and Proline metabolism,N-Acetydglutamic Acid,1,C7H11NO5,189.0652,8.83,1188-37-0,ANPNEG,C00624,HMDB01138,154826.4,158890.4,138136.3,207698.2,128513.0,228916.1,161168.6,156863.0,212987.6,221026.5,278176.0,228192.3,138139.8,202261.5,226164.0,176773.8,130993.8,180756.0,248922.0,146199.0,133929.6,167195.2,178208.3,145853.1
Amino acids,Arginine and Proline metabolism,Dimethylarginine,1,C8H18N4O2,202.1396,26.67,30344-00-4,ANPPOS,,HMDB03334,268974.5,220121.7,225736.8,231977.6,217023.3,242314.2,210426.5,266081.3,301301.6,249617.2,241973.9,284246.8,216907.6,201397.8,182612.9,257394.0,243239.9,214273.5,240390.9,226243.1,227927.5,219245.9,218803.8,282385.5
Amino acids,Arginine and Proline metabolism,Argininosuccinic Acid,1,C10H18N4O6,290.1234,10.14,2387-71-5,ANPPOS,C03406,HMDB00052,186562.8,138212.3,183983.7,111478.8,104956.8,124253.4,116973.9,134161.4,117218.7,103535.8,120806.7,87967.83,117401.5,179277.9,134472.8,162076.7,107665.5,136837.0,132490.7,111752.1,99629.94,150812.0,124833.7,109747.0
Amino acids,Arginine and Proline metabolism,Phosphocreatine,1,C4H10N3O5P,211.0359,12.03,67-07-2,ANPPOS,C02305,HMDB01511,8517.659,9595.502,18192.02,10843.73,19255.65,9121.3,10958.99,18050.81,10929.01,6078.837,7588.93,12393.79,12333.71,12031.14,,6588.774,18063.62,9573.137,6990.764,15033.67,17108.42,18248.94,5707.937,13709.79
Amino acids,Arginine and Proline metabolism,Guanidinosuccinic Acid,1,C5H9N3O4,175.0596,9.6,6133-30-8,ANPPOS,C03139,HMDB03157,69886.72,47289.75,58666.13,67907.48,59944.47,59223.11,54942.08,58724.58,67270.17,49813.6,74757.43,57952.45,53853.3,46563.05,58995.67,69526.16,60918.86,48313.25,55438.99,55046.81,60747.37,48187.95,45872.07,59039.33
Amino acids,Oxidation derivative of hydroxyproline,Pyrrole-2-Carboxylic Acid,1,C5H5NO2,111.0383,3.04,634-97-9,ANPPOS,C05942,HMDB04230,44865.45,,146120.8,34785.34,82372.67,,113798.4,28209.42,68717.53,,141949.2,47045.52,61435.51,,,,10184.68,1486.83,62275.16,1582.619,38035.94,,258825.3,
Amino acids,Arginine and Proline metabolism,Proline Betaine,1,C7H13NO2,143.0944,11.53,471-87-4,ANPPOS,C10172,HMDB04827,2363903.0,10337785.0,2306508.0,944217.1,3019521.0,2407955.0,3181267.0,8249328.0,5180403.0,2006319.0,922700.1,2001419.0,1914845.0,542245.8,320761.0,637179.3,902128.7,1960986.0,1556059.0,477016.5,1655187.0,4001681.0,2698608.0,2973911.0
Amino acids,Cysteine and Methionine metabolism,Sulfite,1,H2O3S,81.9724,0.89,14265-45-3,ANPNEG,C00094,HMDB00240,11584.75,20040.66,37682.34,36940.73,17856.46,8184.553,17509.91,17347.75,24646.54,5706.549,21014.04,12323.92,18937.37,5626.464,18187.57,34781.35,13393.35,13273.63,20403.29,19677.83,29740.48,8200.995,30019.77,13129.21
Amino acids,Cysteine and Methionine metabolism,Thiosulfate,1,H2O3S2,113.9449,4.65,,ANPNEG,C00320,HMDB00257,5087504.0,5767655.0,8270266.0,7051734.0,4961943.0,2814053.0,4935215.0,4300794.0,14877915.0,14985117.0,15708735.0,17312475.0,3547255.0,2696317.0,7851672.0,4557543.0,3373970.0,2297565.0,6272924.0,4258498.0,3176973.0,1754633.0,3237033.0,2537307.0
Amino acids,Cysteine and Methionine metabolism,Homocysteine Thiolactone,1,C4H7NOS,117.0345,9.2,31828-68-9,ANPPOS,,HMDB02287,76234.93,42499.4,55762.52,,45936.82,55445.0,,,,,60126.08,45303.59,69174.18,,33488.07,,,35527.22,,,,53672.55,43055.27,
Amino acids,Cysteine and Methionine metabolism,Methionine,1,C5H11NO2S,149.0513,7.92,63-68-3,ANPPOS,C00073,HMDB00696,4531621.0,3774630.0,4094543.0,3859724.0,3387758.0,4635035.0,3744881.0,3571821.0,4170069.0,3888186.0,4731490.0,2440784.0,3846990.0,5561764.0,4438555.0,4197706.0,4089043.0,3979557.0,3053583.0,3592026.0,3638550.0,3757270.0,2950669.0,4120823.0
Amino acids,Cysteine and Methionine metabolism,N-Formylmethionine,1,C6H11NO3S,177.0466,2.19,4289-98-9,ANPNEG,C03145,HMDB01015,277112.7,142950.6,150812.5,232841.9,177460.4,177241.8,244151.3,168618.9,194364.3,140975.7,234491.0,139064.1,181210.2,155428.8,219939.3,180089.3,172883.5,178890.8,247390.1,144758.7,198806.6,162990.0,209922.8,155836.7
Amino acids,Cysteine and Methionine metabolism,Cysteine-S-Sulfonic Acid,1,C3H7NO5S2,200.9778,2.09,1637-71-4,ANPNEG,C05824,HMDB00731,6804359.0,5251141.0,5005066.0,5824252.0,5043639.0,3523748.0,6581611.0,4525087.0,6728798.0,6850648.0,9418071.0,10275024.0,6220954.0,4853247.0,9431337.0,6862503.0,4467676.0,3263294.0,9933201.0,5652758.0,3570084.0,2676588.0,3749193.0,3301485.0
Amino acids,Cysteine and Methionine metabolism,O-Succinylhomoserine,1,C8H13NO6,219.0784,9.2,1492-23-5,ANPPOS,C01118,,27485.9,33982.43,35681.95,,18255.87,17255.25,,26948.8,,13670.21,28567.7,33466.13,22879.31,,18350.21,,,22162.38,,,,63522.44,63829.09,
Amino acids,Cysteine and Methionine metabolism,Methionine  Lactamide,1,C8H15NO4S,221.0689,2.09,,ANPNEG,,,11609.28,31184.52,6791.743,2344.425,6902.188,6276.632,12701.86,2590.158,33539.64,9139.767,43261.27,25299.24,2334.045,,2212.136,2241.698,1136.809,6801.929,9050.907,,15510.24,44430.34,23439.25,12054.89
Amino acids,Cysteine and Methionine metabolism,Cystine,1,C6H12N2O4S2,240.024,11.67,56-89-3,ANPPOS,C00491,HMDB00192,303996.6,307334.3,403785.4,357137.7,393747.1,344363.4,230428.4,399222.6,316408.1,207075.3,224883.4,296057.1,366212.6,312003.4,299145.0,419217.2,453738.8,322606.1,273064.1,376819.7,440306.3,308470.9,241550.5,481929.3
Amino acids,Cysteine and Methionine metabolism,2-Hydroxybutyric acid,1,C4H8O3,104.0478,2.31,600-15-7,ANPNEG,C05984,HMDB00008,5840053.0,4240648.0,8131925.0,2525310.0,2966352.0,4303438.0,5803998.0,5920429.0,4410696.0,2095885.0,5961560.0,5213093.0,6533048.0,5577425.0,9406603.0,3826415.0,5402991.0,2501135.0,13697865.0,3482673.0,1589489.0,4747539.0,7342803.0,5122227.0
Amino acids,Cysteine and Methionine metabolism,5'-Methylthioadenosine (MTA),1,C11H15N5O3S,297.0932,2.39,2457-80-9,ANPPOS,C00170,HMDB01173,22424.71,6306.181,10353.89,38144.22,14786.11,6598.029,29316.96,16877.49,7496.823,3517.639,8309.343,7858.674,25397.46,18391.33,21212.52,24246.61,21493.87,18525.34,16575.97,20527.24,32790.96,25397.32,42718.54,15683.55
Amino acids,Cysteine and Methionine metabolism,S-Adenosylhomocysteine (SAH),1,C14H20N6O5S,384.1113,8.63,979-92-0,ANPNEG,C00021,HMDB00939,16695.25,8357.898,9567.732,9586.85,9198.816,10092.54,10431.5,8061.346,10517.11,9417.62,16353.84,11050.0,6467.571,11568.68,9976.647,6827.59,10036.29,13140.14,11674.43,10552.9,10414.78,18510.5,13841.35,12157.3
Amino acids,Cysteine and Methionine metabolism,2-Aminobutyric Acid,1,C4H9NO2,103.0638,8.45,1492-24-6,ANPNEG,C02356,HMDB00452,38646.51,41505.04,48471.0,26099.86,37735.08,50753.64,33928.77,38734.48,43207.98,43374.34,33123.36,44426.39,29015.54,44567.17,24576.81,49398.0,51915.4,38051.9,36027.67,47543.59,38042.25,48184.0,25514.68,47074.8
Amino acids,"Glycine, serine, and threonine metabolism",Methylglyoxal,1,C3H4O2,72.0211,2.61,78-98-8,ANPNEG,C00546,HMDB01167,134508.9,150052.5,157937.2,137709.0,118287.0,120736.9,161622.2,150418.0,178832.4,180611.3,187157.2,217775.5,128319.0,115278.5,152998.4,137618.5,113935.4,124837.5,155429.6,144414.0,89396.07,88587.38,118210.1,135941.9
Amino acids,"Glycine, serine, and threonine metabolism",Glycinamide,1,C2H6N2O,74.055,9.06,,ANPPOS,C00037,HMDB00123,25790.61,16065.33,15601.96,20711.55,23115.1,23530.37,17486.37,15665.2,20753.47,19324.18,33886.72,16095.06,17228.85,16980.17,17701.77,18961.61,20508.24,21336.42,17809.66,18073.38,15340.56,16523.86,11240.74,20698.04
Amino acids,"Glycine, serine, and threonine metabolism",Glycine,1,C2H5NO2,75.0313,9.94,56-40-6,ANPPOS,C00037,HMDB00123,50795.8,85328.54,58304.72,45833.42,51707.11,114659.6,29884.32,60740.94,47878.47,79657.39,35511.45,42032.36,55328.93,92035.29,52482.76,77515.33,61180.96,84211.75,40316.71,64932.46,48705.4,82526.84,28743.41,53082.2
Amino acids,"Glycine, serine, and threonine metabolism",2-Ketobutyric Acid,1,C4H6O3,102.0319,2.09,600-18-0,ANPNEG,C00109,HMDB00005,316383.9,167115.6,418153.1,322167.5,367660.5,279493.2,232673.1,310612.9,95083.49,120149.2,64776.42,69225.44,299548.8,252467.6,116696.5,163633.6,321765.7,237295.4,171551.2,162334.1,297749.0,362729.7,290466.9,199329.5
Amino acids,"Glycine, serine, and threonine metabolism",Choline,1,C5H13NO,103.0993,26.62,62-49-7,ANPPOS,C00114,HMDB00097,5243869.0,5256312.0,5293643.0,4322740.0,4565605.0,4673715.0,5803288.0,5347644.0,4437340.0,4401780.0,6570345.0,5967682.0,5008941.0,5609345.0,5134745.0,5207988.0,4227850.0,4148019.0,6963331.0,4289840.0,4472022.0,3723548.0,6117604.0,4545761.0
Amino acids,"Glycine, serine, and threonine metabolism",Serine,1,C3H7NO3,105.0421,9.39,56-45-1,ANPPOS,C00065,HMDB00187,596548.6,692587.7,635995.5,501442.5,486946.4,1027555.0,482347.8,533963.7,674222.1,795310.6,800992.4,580667.5,601182.1,893896.4,773198.9,774811.5,603852.3,759974.5,555710.5,539245.7,526767.6,782989.0,374228.7,607538.1
Amino acids,"Glycine, serine, and threonine metabolism",Betaine,1,C5H11NO2,117.0793,11.15,107-43-7,ANPPOS,C00719,HMDB00043,21575863.0,40208038.0,63232151.0,46962815.0,46108206.0,34315902.0,25701961.0,57470152.0,40766943.0,36290553.0,24645578.0,58456701.0,54235733.0,45145299.0,25678673.0,48314229.0,46947699.0,35242242.0,47299597.0,54260628.0,47540849.0,39602971.0,40709710.0,52575151.0
Amino acids,"Glycine, serine, and threonine metabolism",N-Formylglycine,1,C3H5NO3,103.0275,3.9,2491-15-8,ANPNEG,,,134530.3,120126.5,126215.8,115547.9,120798.8,120481.7,141753.0,133694.3,119006.7,130011.3,128126.7,133171.5,123574.1,118658.0,124844.3,49847.1,63011.07,136365.2,116380.5,127607.3,85012.3,75735.74,86295.48,87628.1
Amino acids,"Glycine, serine, and threonine metabolism",Threonine,1,C4H9NO3,119.0587,9.01,72-19-5,ANPNEG,C00188,HMDB00167,3732741.0,3038524.0,2535031.0,4539715.0,3870226.0,3916588.0,3800488.0,2639300.0,3593131.0,3274017.0,5186719.0,2590897.0,3487413.0,3010759.0,2422964.0,3185151.0,3661102.0,3778313.0,2655267.0,2759641.0,3164071.0,2745549.0,1888711.0,2820385.0
Amino acids,"Glycine, serine, and threonine metabolism",Creatine,1,C4H9N3O2,131.0674,10.62,57-00-1,ANPPOS,C00300,HMDB00064,1350457.0,1246916.0,1375971.0,855977.2,725807.0,940605.6,1200821.0,841069.5,1354169.0,1170251.0,1959932.0,1174246.0,1098023.0,1470791.0,1685134.0,1247995.0,1201073.0,972460.6,884901.7,894074.4,1189296.0,1112058.0,1030944.0,921862.4
Amino acids,Histidine Metabolism,Histamine,1,C5H9N3,111.0844,26.62,51-45-6,ANPPOS,C00388,HMDB00870,93783.34,92254.55,93810.81,102048.7,89898.47,92858.79,90737.11,95625.92,102200.4,109271.9,95380.66,99648.63,101544.2,87707.58,90957.92,87509.13,87775.08,98699.26,91914.53,96113.03,96573.67,95597.78,94227.76,97720.49
Amino acids,Histidine Metabolism,4-Imidazoleacetic Acid,1,C5H6N2O2,126.0431,9.71,645-65-8,ANPNEG,C02835,HMDB02024,16971.62,38656.41,35646.9,34879.31,33371.27,18849.8,33572.79,30924.03,39772.06,36348.17,22531.97,40107.84,40468.81,35369.17,37842.11,30694.28,31673.83,38082.03,33860.08,41117.59,35338.9,24243.98,37810.7,32188.15
Amino acids,Histidine Metabolism,Histidine,1,C6H9N3O2,155.0696,11.54,71-00-1,ANPPOS,C00135,HMDB00177,1436890.0,1330158.0,1263879.0,1281498.0,1377628.0,1553960.0,1444014.0,1130011.0,1626390.0,1537326.0,1898555.0,1377544.0,1336392.0,1347581.0,1587377.0,1246393.0,1345859.0,1431171.0,1320355.0,1161939.0,1478655.0,1429195.0,1252139.0,1279600.0
Amino acids,Histidine Metabolism,3-Methylhistidine,1,C7H11N3O2,169.0853,13.12,368-16-1,ANPPOS,C01152,HMDB00479,401400.8,1078643.0,369349.2,2153044.0,1151689.0,167017.9,761601.2,748284.4,1993178.0,1954695.0,3054050.0,428152.7,394370.1,154510.5,919836.8,487626.8,1452393.0,300716.8,947902.0,317009.9,1044693.0,205528.3,968108.4,169620.2
Amino acids,Histidine Metabolism,1-Methylhistidine,1,C7H11N3O2,169.0858,11.94,368-16-1,ANPNEG,C01153,HMDB00480,7038.738,2373.919,12573.32,37327.9,17260.85,4633.026,6682.893,4805.155,31136.25,14470.79,25723.1,8497.643,15171.58,2265.928,6529.966,12959.45,9921.349,8413.129,9537.454,11823.43,21516.25,,12974.16,7163.015
Amino acids,Histidine Metabolism,Ergothioneine,1,C9H15N3O2S,229.0885,10.13,58511-63-0,ANPPOS,C05570,HMDB03045,45257.01,101593.8,147857.8,56639.34,41629.76,89850.66,26399.1,78529.41,74124.74,59386.01,37207.84,75915.14,58905.62,98784.74,39862.58,121169.5,52886.95,60912.77,26855.88,91184.24,44242.35,69951.21,24959.24,72017.21
Amino acids,"Lysine biosynthesis, metabolism,and degradation",Pipecolinic Acid,1,C6H11NO2,129.0789,8.6,3105-95-1,ANPPOS,C00408,HMDB00070,56501.68,72130.36,95260.46,96037.24,95418.03,65745.07,59083.15,86322.08,87482.11,57378.65,49311.5,71608.79,86825.15,66392.87,47122.11,76733.85,112018.4,61642.64,56053.28,71272.27,95972.79,75174.53,38346.69,85159.06
Amino acids,"Lysine biosynthesis, metabolism,and degradation",Glutaric Acid,1,C5H8O4,132.0424,8.33,110-94-1,ANPNEG,C00489,HMDB00661,620298.3,692267.7,266622.5,313387.0,323375.8,864340.7,521573.6,459733.6,274217.1,601388.0,477475.9,358242.8,393945.4,557016.6,518869.3,437914.1,408671.8,504390.9,495140.6,491879.5,465757.7,568994.0,534116.7,565708.1
Amino acids,"Lysine biosynthesis, metabolism,and degradation",Lysine,1,C6H14N2O2,146.1058,26.61,56-87-1,ANPPOS,C00047,HMDB00182,1033654.0,891091.7,920290.3,924168.2,969906.4,1028153.0,923034.2,931433.2,1577978.0,1126855.0,1781821.0,1154899.0,915026.4,871492.7,1061859.0,815808.2,1180861.0,853812.7,1016703.0,833529.8,964543.9,913434.1,843721.8,961727.3
Amino acids,"Lysine biosynthesis, metabolism,and degradation",2-Aminoadipic Acid,1,C6H11NO4,161.0691,8.57,542-32-5,ANPPOS,C00956,HMDB00510,109229.6,108502.6,163369.4,111209.2,143864.7,150069.2,102608.8,147898.5,115849.0,97178.26,80963.8,142352.3,111786.6,131003.3,93841.45,132443.5,133552.0,95661.47,83878.94,145213.9,209131.7,126536.5,102708.7,148204.7
Amino acids,"Lysine biosynthesis, metabolism,and degradation",Trimethyllysine,1,C9H20N2O2,188.1507,26.67,55528-53-5,ANPPOS,C03793,HMDB11691,105155.4,100346.8,132846.1,284055.0,159399.0,120293.1,111878.9,146225.4,217671.6,166006.4,432797.8,158574.3,150037.9,113738.6,163963.1,145228.7,102193.5,104446.8,116113.4,160067.7,280304.9,95399.4,150433.7,121382.2
Amino acids,"Lysine biosynthesis, metabolism,and degradation",2-Methylcitric Acid,1,C7H10O7,206.0427,8.0,,ANPNEG,C01251,HMDB03518,494424.0,316794.1,337056.2,359680.6,322235.6,355976.5,392910.5,360001.9,304617.0,287591.2,568851.5,317286.0,379763.1,276484.3,378870.9,402119.2,284257.5,335392.6,462107.6,285382.9,245512.0,429688.1,582097.6,262887.5
Amino acids,Phenylalanine metabolism,Phenylpyruvic Acid,1,C9H8O3,164.0478,1.41,114-76-1,ANPNEG,C00166,HMDB00205,24973.92,10941.44,16310.76,23805.2,46486.23,34630.77,33971.46,23588.82,30690.41,34949.45,21702.52,17118.28,37327.01,13947.57,24856.28,20482.58,39435.5,14366.4,13219.18,8514.884,46714.53,9954.277,41994.05,20576.75
Amino acids,Phenylalanine metabolism,Phenylalanine,1,C9H11NO2,165.0786,7.51,63-91-2,ANPPOS,C00079,HMDB00159,15238134.0,12058222.0,16425203.0,12055181.0,13239961.0,15960133.0,11837803.0,14608064.0,16549778.0,15119045.0,17023103.0,16588606.0,12053993.0,15477727.0,13992064.0,14696871.0,12826926.0,11911650.0,14001982.0,12766034.0,13382917.0,12817062.0,13500768.0,14902480.0
Amino acids,Phenylalanine metabolism,Melilotate,1,C9H10O3,166.0635,1.6,495-78-3,ANPNEG,C01198,HMDB33752,176480.9,134875.7,184697.5,311788.3,267697.6,155568.2,178415.9,170272.7,289974.8,123866.2,184781.8,170147.9,301843.5,143404.7,228910.5,130663.1,269475.9,110755.3,174807.8,146406.5,281494.6,83221.68,180804.5,138503.3
Amino acids,Phenylalanine metabolism,Hippuric Acid,1,C9H9NO3,179.0592,2.18,495-69-2,ANPNEG,C01586,HMDB00714,8309800.0,3796402.0,7881217.0,8401922.0,3729818.0,1616648.0,3212700.0,17574237.0,36211319.0,2446397.0,4020129.0,4266362.0,3259752.0,2799272.0,6386413.0,7265877.0,3919278.0,3331643.0,5393907.0,8019046.0,7383271.0,2743529.0,7513106.0,12661625.0
Amino acids,Phenylalanine metabolism,N-Acetylphenylalanine,1,C11H13NO3,207.0891,2.18,2018-61-3,ANPNEG,C03519,HMDB00512,27480.49,4795.563,21719.38,21269.0,25850.72,29126.68,16395.05,17837.95,21644.25,4534.942,27309.5,25182.51,4872.646,16663.74,4382.88,4968.732,11672.38,12747.81,21276.46,9834.302,27771.22,11772.6,28831.94,7952.047
Amino acids,Phenylalanine metabolism,2-Hydroxyphenylacetic Acid,1,C8H8O3,152.0512,1.51,611-71-2,ANPNEG,C01983,,61798.42,39593.11,100345.5,118353.1,96457.53,18257.68,57995.17,52371.5,117086.8,88801.35,105570.6,69367.98,64763.92,122229.2,73855.88,83755.96,68820.22,57540.2,76441.88,56290.54,158078.3,133651.7,74701.04,33055.59
Amino acids,Tryptophan metabolism,Indole-3-Acetaldehyde,1,C10H9NO,159.0669,1.59,20095-27-6,ANPNEG,C00637,HMDB01190,7526.016,,3997.932,6232.337,7087.298,,2744.468,5509.812,6865.084,,5516.755,2247.725,10013.98,,6582.79,,6512.467,,5371.323,3524.95,8931.897,,7687.397,4804.865
Amino acids,Tryptophan metabolism,Quinaldic Acid,1,C10H7NO2,173.047,1.98,93-10-7,ANPNEG,C06325,HMDB00842,85259.45,67664.63,72801.06,58810.92,65759.88,84601.23,59322.05,64367.71,79743.93,70794.24,84997.07,69000.38,70931.11,78643.99,69168.15,76174.38,77513.03,61916.14,77794.12,64682.19,62510.03,78580.29,55368.31,64795.63
Amino acids,Tryptophan metabolism,3-Indoleacetic Acid,1,C10H9NO2,175.0621,1.54,87-51-4,ANPNEG,C00954,HMDB00197,56633.18,95283.51,141889.0,156442.2,155603.2,39239.7,74335.78,150603.6,183444.0,33895.66,93902.11,119552.4,160957.0,36533.96,107491.5,137070.1,112002.1,106517.0,70444.17,149326.7,122365.1,10183.6,101207.5,116900.1
