gene,MT,MUC,"Platelet activation, signaling and aggregation",Chemical carcinogenesis - reactive oxygen species,cell junction organization,ameboidal-type cell migration,behavior,inorganic ion transmembrane transport,regulation of cell junction assembly,cell morphogenesis,regulation of synapse organization,placenta,skeletal muscle,Cerebellum,bone marrow,prostate cancer
CD226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD9,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
CDC42BPG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CDKAL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDS1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CECR7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELSR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CENPF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CEP170B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHADL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRNA4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CHST1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CLCN3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
CLDN19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CLU,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
CNST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTNAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL27A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORO1C,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
COX6B2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CXCL5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
CXCR2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP2S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAD1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DAPP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCAF11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGKE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DIO3OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLG5,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
DLX5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
DNAJC16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM1P51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
DOCK6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DPH7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DPP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DTX1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DYNLRB1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EGF,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
EIF4G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELAC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELFN1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ELOVL7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EPPK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESPNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
F13A1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
F5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM131B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FAM186A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM43B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FANCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCGBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FER1L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGD5P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FZD5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
GBA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDPD5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GNA14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA6L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA6L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA6L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GP1BA,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
GPC4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
GPR133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRIN2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GRAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRID1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GRIN2C,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
GRIN3B,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
GRIP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRM2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
GRM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF3C5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GTPBP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUCY1B3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
H19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HBA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDAC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERPUD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIC2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HIF1AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIST1H2AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLA-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HYDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBA57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGF2BP3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IGFN1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
IGSF9B,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ISLR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISPD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ITGB1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
ITGB3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITM2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAM3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
KANK2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KCNA7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
KCNJ12,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
KCNMA1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
KCTD17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
KIAA0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF1A,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
KIF2A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KRT2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KRT78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRT9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
LCOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDOC1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LEPREL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPROT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LETM1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LIMS1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
LINC00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIPA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LMLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYPLAL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZTS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZTS3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MAGI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MAP3K7CL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBTD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MCF2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCUR1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MED12L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEIS3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEMO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICALL1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MICALL2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
MKI67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMRN1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MORC1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSANTD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT-ATP6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MT-ATP8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MT-CO1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MT-CO2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MT-CO3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MT-CYB,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MT-ND1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MT-ND2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MT-ND3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MT-ND4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MT-ND4L,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MT-ND5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MT-ND6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MTRNR2L12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC3A_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC5B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUC6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MXI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N4BP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NACAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCOA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NEAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEXN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NFAM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFIC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NKX2-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPBWR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPHP4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
NPR1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NR4A1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
NRGN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NRXN2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NT5C3A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NYNRIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OBSCN,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ODF3L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGFOD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONECUT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OST4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PANX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
PARN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAX2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
PAX6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PCGF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCLO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PDE5A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
PDXK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PDZD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGRMC1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
PHLDB1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PHYHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PITHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PITPNM3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PITX2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
PKD1L2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PKHD1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKN2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
PLEKHG4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLXNB1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
POLE2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PPBP,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
PPFIA1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PPIL2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R2C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R2D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRG4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAR2B,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
PRKCZ,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0
PROM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROX1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRR21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPLAD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPRJ,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
PYGL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R3HCC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB27B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RADIL,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
RAI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANBP9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP1B,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
RAPGEF3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
RASA1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
RBFOX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
REXO1L1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RHBDD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHBDF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOBTB1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RHOBTB3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RNF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROBO3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RP11-1055B8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-1217F2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-24M17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-274B21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-290F20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-384K6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-404K5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-469N6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPA1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RPS6KL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RSU1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RXRA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
RYR1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
SASH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCN4A,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
SDK1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
SDPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SELENBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMA3B,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
SEMA6A,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
