human_gene,CD4_T,CD8_T,other_T,B,NK,CD14_Mono,CD16_Mono,DC,other,GeneLab,skin,skin_IE,skin_OD,skin_OE,skin_VA,JAXA.cfRNA.pval,NASA_multi_CD19,NASA_multi_CD4,NASA_multi_CD8,NASA_multi_LD,NASA_ribo_CD19,NASA_ribo_CD4,NASA_ribo_CD8,NASA_ribo_LD,NASA_poly_CD19,NASA_poly_CD4,NASA_poly_CD8,NASA_poly_LD,CD4_T.padj,CD8_T.padj,other_T.padj,B.padj,NK.padj,CD14_Mono.padj,CD16_Mono.padj,DC.padj,other.padj,GeneLab.padj,skin.padj,skin_IE.padj,skin_OD.padj,skin_OE.padj,skin_VA.padj,JAXA.cfRNA,NASA_multi_CD19.padj,NASA_multi_CD4.padj,NASA_multi_CD8.padj,NASA_multi_LD.padj,NASA_ribo_CD19.padj,NASA_ribo_CD4.padj,NASA_ribo_CD8.padj,NASA_ribo_LD.padj,NASA_poly_CD19.padj,NASA_poly_CD4.padj,NASA_poly_CD8.padj,NASA_poly_LD.padj
NCF2,0.784977146,0.837229233,0.134118497,0.140673555,0.737678489,0.707819671,0.954307909,0.48300009,0.365956102,0.052287782,0.257655936,0.463948438,0.092437078,0.082096689,0.569131281,,,,,,,,,,,,,,0.0,1.67e-139,2.2e-53,1.73e-120,6.84e-75,8.53e-141,2.14e-25,1.16e-07,9.81e-28,0.350002478,0.313382959,0.681958268,,0.955962879,,,,,,,,,,,,,,
RGS18,0.263415208,0.130882522,0.142206683,0.773411065,0.870459538,0.747697749,0.934212716,0.652744766,0.703951751,0.032261196,-0.152689849,-0.474840203,-0.132261583,-0.305040915,-0.027920052,,,,,,,,,,,,,,0.0,3.21e-134,5.42e-52,2.29e-113,1.33e-66,1.41e-140,3.32e-25,1.43e-07,2.94e-25,0.833743832,0.517489823,0.623080877,,0.722998344,0.971300944,,,,,,,,,,,,,
NEK7,0.923027972,0.075193087,0.818330464,0.906018449,0.783379339,0.703517736,0.77964961,0.65852826,0.442552748,-0.012015351,-0.063490943,-0.0735977,0.285249704,-0.223900123,-0.259042655,,,,,,,,,,,,,,0.0,4.05e-132,2.26e-51,8.83e-107,3.35e-63,1.25e-136,6.85e-25,3.31e-07,1.06e-24,0.821353484,0.839174042,0.964706916,,0.825466096,0.602014017,,,,,,,,,,,,,
PTPRC,0.612686748,0.50331556,1.140459605,1.000427345,0.579901782,0.724606345,0.576920777,0.767787173,0.452600543,-0.053078397,0.06931355,-0.178053548,0.47211076,0.028377256,-0.172224952,0.01946487,,,,,,,,,,,,,0.0,4.04e-111,3.13e-48,1.55e-101,8.05e-62,7.49e-136,4.57e-24,3.62e-07,1.9e-24,0.542731311,0.839861821,0.914553824,,0.981964704,0.796591388,-1.912584432,,,,,,,,,,,,
MIR181A1HG,2.117978765,0.743567418,0.774250717,0.714943667,0.110996806,0.951610764,1.017966547,0.678891183,2.638334778,,,,,,,,,,,,,,,,,,,,0.0,4.59e-110,8.42e-48,9.82e-99,8.66e-60,1.19e-135,6.14e-23,4.41e-07,3.72e-24,,,,,,,,,,,,,,,,,,,
SRGAP2,0.135794894,0.112899309,0.805421852,0.194742244,0.405677991,0.756389415,0.852382415,0.718645915,0.706008782,0.076655861,,,,,,,,,,,,,,,,,,,9.17e-303,1.49e-105,6.3e-46,1.13e-98,1.99e-58,1.83e-133,7.37e-23,9.48e-07,1.25e-22,0.002052487,,,,,,,,,,,,,,,,,,
DISC1,0.110992685,0.626517497,0.166692039,0.785720147,0.792716108,0.71888228,0.681599512,0.693117037,1.096550895,0.225509835,0.088000499,-0.05665237,-0.106835309,0.049590343,0.35912628,,,,,,,,,,,,,,1.77e-256,4.29e-105,1.04e-43,2.7e-97,6.06e-56,1.65e-130,8.49e-23,9.89e-07,6.24e-21,0.001607602,0.818078264,0.981926379,,0.972493613,,,,,,,,,,,,,,
LYST,0.601885854,0.26426304,0.054065932,0.801559075,0.786628723,0.75196304,0.810925248,0.623871081,0.401234023,-0.027337755,0.049684589,-0.089890026,-0.103337005,0.142552781,0.208668143,,,,,,,,,,,,,,9.53e-247,4.6e-102,2.71e-40,2.5e-95,5.81e-54,2.18e-129,4.11e-22,1.47e-06,2.13e-20,0.475975619,0.877838776,0.952161717,,0.892032388,0.701348681,,,,,,,,,,,,,
CEP170,0.579847162,0.100410167,0.595945815,0.581136955,0.243399799,0.39413998,0.760696474,0.65133641,0.433000096,0.050730791,0.309170993,-0.00785434,0.103786026,0.562250769,0.375198665,,,,,,,,,,,,,,5.18e-244,6.16e-102,1.49e-37,1.13e-86,1.55e-53,8.16e-127,4.11e-22,1.71e-06,9.18e-20,0.218276329,0.162366246,0.997283566,,0.330449689,0.488149464,,,,,,,,,,,,,
FAM49A,0.699527052,0.075856526,0.562830592,0.798742143,0.58433005,0.837057029,0.832845896,0.567526091,0.763465321,,,,,,,,,,,,,,,,,,,,2.94e-239,3.31e-95,3.85e-37,2.23e-86,3.13e-53,2.29e-126,5.88e-22,1.8e-06,1.13e-19,,,,,,,,,,,,,,,,,,,
ASXL2,0.413465029,0.609586112,0.645210074,1.039501038,0.709377466,0.903614252,0.718834512,1.045581468,0.379076746,-0.021380769,-0.056377392,-0.325160244,-0.104573548,0.211866751,-0.051683186,,,,,,,,,,,,,,7.85e-239,6.89e-92,1.43e-36,7.81e-85,2.02e-51,2.9e-126,6.67e-22,1.98e-06,1.23e-19,0.587649914,0.881735436,0.816246669,,0.842866935,0.955637495,,,,,,,,,,,,,
CDC42EP3,0.664877152,0.42072311,0.711477461,0.541965269,0.536485729,0.656696466,0.769579592,0.677933581,0.231309022,-0.050988484,-0.218893135,-0.048764048,-0.034044443,-0.078492386,-0.41893318,,,,,,,,,,,,,,1.76e-237,1.66e-89,1e-35,6.74e-84,2.92e-51,2.37e-124,3.37e-21,2.03e-06,1.69e-19,0.178364017,0.380894824,0.980947761,,0.956626235,0.416022986,,,,,,,,,,,,,
SLC8A1-AS1,0.881400378,0.917137858,0.61003638,0.745552777,0.853436559,0.724256684,0.875027438,0.70334508,0.652804125,,,,,,,,,,,,,,,,,,,,5.53e-229,3.43e-85,1.1e-35,1.02e-80,8.43e-51,2.7e-123,8.01e-21,2.2e-06,5.46e-19,,,,,,,,,,,,,,,,,,,
SLC8A1,0.38951845,0.638192985,0.718173556,0.822201008,0.719295009,0.658479618,0.784259752,0.247710674,0.883886388,0.114047966,-0.258180596,0.174964428,0.410584681,0.161384107,-0.617338817,,,,,,,,,,,,,,1.22e-222,3.13e-81,5.08e-35,4.96e-80,2.87e-50,1.55e-122,8.94e-20,2.61e-06,1.95e-18,0.02173485,0.639683941,0.93485777,,0.922476726,0.234355126,,,,,,,,,,,,,
CCDC88A,0.703381034,0.631820486,0.634182556,0.819160743,0.393022759,0.712636874,0.880880521,0.596517031,0.623867253,-0.002076933,-0.08440677,0.286354022,-0.033754495,-0.150336702,-0.431168195,,,,,,,,,,,,,,2.42e-219,3.56e-78,1.28e-34,1.73e-78,5.36e-48,1.6e-122,1.23e-19,2.76e-06,2.64e-18,0.979356092,0.78751301,0.797898408,,0.897090536,0.393786916,,,,,,,,,,,,,
ARHGAP25,0.609918432,0.42420768,0.683371458,0.591609986,0.702279902,0.742303633,0.761848599,0.748902435,0.48498206,0.041346455,0.053590367,-0.091394549,0.311118745,0.238006122,-0.186660079,,,,,,,,,,,,,,5.31e-199,1.37e-72,4.63e-34,6e-78,2.76e-46,1.04e-119,3.09e-19,3.21e-06,5.99e-18,0.464339917,0.862072528,0.9516564,,0.786047297,0.735209011,,,,,,,,,,,,,
DYSF,0.743498287,0.52705314,0.725471925,0.654971168,0.058575135,0.568660783,0.123856618,0.605087605,0.355757038,0.237162065,-0.131854253,-0.075580115,-0.126800812,-0.098025193,-0.4614488,,,,,,,,,,,,,,5.34e-192,1.84e-72,1.9e-33,8.54e-78,2.29e-44,2.3e-118,5.32e-19,7.14e-06,8.01e-18,1.91e-06,0.64697293,0.967962537,,0.944271137,0.411517427,,,,,,,,,,,,,
TBC1D8,0.57562432,0.465455022,0.653600887,0.679335458,0.527670391,0.602380784,0.873156633,0.663513149,0.098342709,0.123457989,0.031800275,-0.284538512,-0.043430607,0.217597357,0.179175387,,,,,,,,,,,,,,6.48e-190,1.86e-68,6.85e-33,1.76e-76,6.98e-43,2.85e-118,1.3e-18,1.18e-05,1.57e-17,5.05e-05,0.939922343,0.834073301,,0.845046148,0.797590554,,,,,,,,,,,,,
KYNU,0.64860426,0.510126009,0.433033062,0.928659168,0.749875052,0.85332605,0.759791233,0.568777073,0.514397375,0.285774112,0.015898886,0.256253013,-0.347426713,0.272893593,-0.175518277,,,,,,,,,,,,,,1.78e-186,4.89e-68,1.04e-32,2.42e-76,4.91e-42,8.16e-116,1.47e-18,1.83e-05,2.18e-17,0.056950203,0.975029931,0.873245993,,0.828767754,,,,,,,,,,,,,,
BAZ2B,0.607726075,0.461452586,0.26868178,0.522452885,0.1008429,0.645941189,0.69848548,0.663177273,0.372981684,0.018369157,0.12488007,0.460086522,0.040113354,0.300805355,0.000801943,,,,,,,,,,,,,,2.66e-184,2.92e-67,1.13e-32,1.78e-68,4.87e-40,3.24e-115,1.14e-17,2.83e-05,9.99e-17,0.61657162,0.650441715,0.623080877,,0.744493459,0.999392578,,,,,,,,,,,,,
SESTD1,0.601498796,0.63082729,0.587524496,0.130494404,0.463461578,0.734886496,0.751320887,0.753829247,0.52514481,0.05134462,0.008637558,-0.083769721,-0.129476288,0.101879864,0.123735694,,,,,,,,,,,,,,1.87e-183,1.3e-66,1.5e-31,7.69e-66,5.07e-40,4.39e-115,1.29e-17,2.85e-05,1.2e-16,0.14997226,0.98305594,0.960784265,,0.930982801,0.844346042,,,,,,,,,,,,,
ZNF804A,0.478615859,0.583772742,0.935600775,0.522202844,0.616692362,0.610643836,0.908046391,0.733081656,0.844657892,0.269239524,0.179503518,-0.054811612,0.222024004,0.214620741,0.289009588,,,,,,,,,,,,,,1.5e-182,4.9e-66,8.91e-31,1.08e-65,3.71e-39,1.01e-114,1.47e-17,4.04e-05,7.45e-16,0.351678635,0.471871951,0.978323576,,0.844923195,0.580177912,,,,,,,,,,,,,
NABP1,0.577307289,0.599589341,0.552243928,0.529065983,0.572380485,0.785634785,0.846111265,0.550306019,0.368236303,-0.063857523,-0.025595873,-0.35186171,0.092968338,0.52225406,-0.466766254,,,,,,,,,,,,,,1.04e-181,2.88e-65,1.54e-30,4.47e-65,6.31e-39,1.11e-114,1.68e-17,6.66e-05,7.47e-16,0.369949779,0.946309327,0.774363468,,0.390790834,0.339700963,,,,,,,,,,,,,
KANSL1L,0.100696068,0.461151407,0.582620675,0.156483252,0.625084565,0.697375856,0.684837378,0.609099945,0.678131794,-0.059026615,0.104379908,-0.161729585,-0.079321271,0.354431585,0.31378835,,,,,,,,,,,,,,9.57e-178,2.65e-64,1.19e-29,8.88e-65,1.07e-38,6.45e-112,2.81e-17,0.000113281,8.13e-16,0.213525611,0.707556444,0.909970448,,0.618777524,0.550987183,,,,,,,,,,,,,
SLC11A1,0.468931837,0.515468676,0.107046751,0.611328447,0.538816862,0.606215981,0.718782407,0.509488133,0.58133489,0.077987301,0.084377907,-0.105715671,0.121391063,0.114644538,0.109221315,,,,,,,,,,,,,,1.08e-177,7.42e-64,5.23e-29,1.27e-64,3.83e-38,3.55e-111,3.17e-17,0.000158844,8.24e-16,0.299100869,0.782077244,0.950334409,,0.929553054,0.880638984,,,,,,,,,,,,,
PID1,0.464096967,0.479151106,0.564295929,0.750023259,0.556319744,0.829612128,0.709675679,0.579006952,0.411546813,0.117659226,0.083192797,0.245850038,0.249857155,-0.25452381,-0.009891439,,,,,,,,,,,,,,1.1e-176,7.45e-63,3.19e-28,8.09e-63,1.97e-37,5.69e-111,3.83e-17,0.000219272,8.81e-16,0.003730808,0.784979112,0.8411018,,0.806147592,0.989920708,,,,,,,,,,,,,
ATG7,0.4125309,0.38270725,0.140136684,0.466866495,0.645097421,0.635699135,0.62203787,0.690085258,0.635882158,0.034005354,0.072409555,-0.297092686,-0.004833169,0.119678093,0.306586952,,,,,,,,,,,,,,6.15e-174,1.09e-62,1.48e-27,6.4e-61,1.64e-35,6.03e-108,4.37e-17,0.000249459,9.5e-16,0.476358418,0.852570512,0.835498622,,0.915840051,0.595189079,,,,,,,,,,,,,
UBE2E2,0.776441536,0.087756526,0.737009961,0.556335668,0.066298561,0.690607579,0.670266151,0.628080827,0.374740141,0.006554063,-0.107421962,-0.389549177,0.120740751,-0.174111901,0.007329584,,,,,,,,,,,,,,8.92e-174,2.25e-62,3.04e-27,1.96e-60,3.78e-34,3.15e-107,4.81e-17,0.000276504,9.98e-16,0.9104731,0.770776888,0.7589536,,0.900312948,0.994806398,,,,,,,,,,,,,
FRMD4B,0.600130136,0.613890098,0.616229726,0.658830901,0.044141876,0.751649313,0.769037881,0.25299731,0.325141378,0.031741295,-0.251978647,0.410950442,-0.006840533,-0.910602375,-0.249801035,,,,,,,,,,,,,,8.59e-173,6.67e-62,5.68e-27,2.93e-60,4.14e-34,1.02e-104,1.19e-16,0.000535277,6.89e-15,0.344143751,0.5188066,0.816246669,,0.330449689,,,,,,,,,,,,,,
MTRNR2L12,0.577834024,0.586365565,0.396865818,0.498947989,0.536104242,0.911072257,0.912014941,0.653102665,0.743444646,,,,,,,,-1.44,-1.32,,-1.09,-2.27,-2.32,,-1.72,,,,,3.35e-170,2.83e-61,1.92e-26,1.72e-57,1.86e-32,3.38e-103,1.32e-16,0.000572259,1.04e-14,,,,,,,,0.0451,0.00414,,0.0485,0.00395,1.61e-05,,0.000494,,,,
CD86,0.614281934,0.543800882,0.459348495,0.711714519,0.455286275,0.592076719,0.760238236,0.370934958,0.338617901,-0.081550718,0.195886889,0.205498968,0.342312744,0.302049183,-0.01054777,,,,,,,,,,,,,,1.15e-164,9.07e-61,2.58e-26,2.61e-57,4.4e-32,3.81e-103,9.76e-16,0.000627766,1.76e-14,0.273440215,0.425503645,0.881617607,,0.726441045,0.989843063,,,,,,,,,,,,,
DNAJC13,0.607034447,0.463363073,0.121076311,0.59832685,0.546583813,0.617869973,0.685034162,0.486721659,0.4892902,-0.028308189,0.183681607,0.53642431,0.350219105,0.038612842,-0.006290438,,,,,,,,,,,,,,8.17e-164,3.68e-60,2.77e-26,2.4e-56,4.71e-31,7.21e-103,1.28e-15,0.000691261,1.91e-14,0.265143928,0.48822244,0.55659254,,0.974655216,0.994601745,,,,,,,,,,,,,
PLSCR1,0.424281252,0.646298735,0.047805276,0.473281029,0.429743431,0.658602489,0.685024,0.747927512,0.69012115,0.090262756,0.102999973,0.463164102,-0.054657972,0.005418968,0.058032993,,,,,,,,,,,,,,9.93e-161,1.52e-59,3.34e-26,4.44e-56,6.37e-31,1.76e-101,1.54e-15,0.001046088,2.72e-14,0.033657255,0.718572188,0.620580073,,0.995787497,0.939133944,,,,,,,,,,,,,
PLSCR1,0.424281252,0.646298735,0.047805276,0.473281029,0.429743431,0.658602489,0.685024,0.747927512,0.69012115,0.047991061,0.102999973,0.463164102,-0.054657972,0.005418968,0.058032993,,,,,,,,,,,,,,9.93e-161,1.52e-59,3.34e-26,4.44e-56,6.37e-31,1.76e-101,1.54e-15,0.001046088,2.72e-14,0.471109715,0.718572188,0.620580073,,0.995787497,0.939133944,,,,,,,,,,,,,
ANKUB1,0.646906906,0.531682713,0.662979953,0.593162245,0.384094487,0.737397659,0.807652538,0.450444872,0.62481626,,0.251297643,0.457484658,0.282352184,0.296209193,0.012062497,,,,,,,,,,,,,,8.01e-160,8.46e-59,4.15e-26,4.6e-55,6.66e-31,5.1e-101,1.96e-15,0.001047608,7.26e-14,,0.32548433,0.657845286,,0.722262461,0.989274741,,,,,,,,,,,,,
RNF13,0.68847231,0.041262792,0.661736118,0.68939044,0.412599442,0.617127382,0.666846319,0.681618542,0.508647751,-0.044052533,0.113697665,0.394424199,0.059959183,0.146279781,-0.109261842,,,,,,,,,,,,,,9.94e-160,6.73e-58,6.6e-26,3.87e-54,7.1e-31,1.07e-100,4.25e-15,0.001336151,1.72e-13,0.34438436,0.644806702,0.645268477,,0.883458759,0.875934612,,,,,,,,,,,,,
MBNL1,0.82466481,0.317644541,0.06160378,0.531883888,0.306485751,0.982240562,0.71464305,0.429481236,0.427701987,-0.012928251,-0.190731619,-0.108477207,-0.023880217,-0.339068802,-0.331850189,,,,,,,,,,,,,,9.88e-157,4e-57,7.79e-26,1.08e-53,7.92e-31,2.69e-99,4.62e-15,0.001405285,2.28e-13,0.8079886,0.462991869,0.949801393,,0.726441045,0.540583107,,,,,,,,,,,,,
MBNL1-AS1,0.335253353,0.632782642,0.635685906,0.500304171,0.443042875,0.560298008,0.666606661,0.490899248,0.839371124,,,,,,,,,,,,,,,,,,,,1.42e-155,3.39e-56,1.31e-25,6.84e-53,1.19e-30,8.82e-99,5.61e-15,0.001762858,2.62e-13,,,,,,,,,,,,,,,,,,,
RBM47,0.570575952,0.539876664,0.626796704,0.461214358,0.526887703,0.590981554,0.80670049,0.437304878,0.521985425,0.12976748,0.031616379,-0.23515018,0.083766763,0.381413449,-0.104922801,,,,,,,,,,,,,,3.03e-152,1.62e-55,2.61e-25,1.14e-52,1.35e-30,2.04e-98,8.27e-15,0.002733231,3.26e-13,0.002800712,0.930251132,0.861301863,,0.630146337,0.881420731,,,,,,,,,,,,,
PF4,0.490015471,0.606084194,0.413312445,0.723799322,0.484041598,0.565081358,0.632874142,0.56546225,0.099986181,,0.006878836,0.371676932,-0.102186379,0.212934097,-0.393533036,,,,,,,,,,,,,,1.04e-151,3.43e-54,2.69e-25,1.8e-52,2.64e-29,4.87e-98,1.85e-14,0.002900779,7.08e-13,,0.987769668,0.689298493,,0.843646216,0.447064111,,,,,,,,,,,,,
PPBP,0.416544258,0.396501643,0.508443945,0.065046339,0.448279368,0.643690709,0.551648542,0.503436174,0.743537118,0.092230193,0.072182368,-0.107175863,0.027831618,0.184733236,0.220070312,,,,,,,,,,,,,,1.6e-151,1.32e-53,1.11e-24,2.88e-52,3.6e-29,1.62e-97,2.07e-14,0.00308469,8.68e-13,0.560302751,0.796707682,0.933075896,,0.843646216,0.671843336,,,,,,,,,,,,,
BMP2K,0.733780714,0.401539957,0.413566445,0.466196554,0.530407949,0.62754085,0.69731944,0.575272903,0.398283515,-0.06058369,0.115702635,0.159519807,0.2218392,-0.028062233,0.174011844,,,,,,,,,,,,,,4.55e-151,4.14e-53,1.16e-24,8.14e-52,9.58e-29,1.76e-96,2.28e-14,0.00320936,1.05e-12,0.080224579,0.690946817,0.918089805,,0.983256845,0.779723947,,,,,,,,,,,,,
ANTXR2,0.548902327,0.427358615,0.574803496,0.610260741,0.501258499,0.638618919,0.675584161,0.572954075,0.527150547,0.08168208,0.088883608,0.111900757,0.155571907,0.10138733,-0.075907309,0.022915347,,,,,,,,,,,,,1.09e-147,1.31e-52,1.44e-24,1.72e-51,1.2e-28,9.79e-96,4.09e-14,0.003330436,1.74e-12,0.029334775,0.781912997,0.949681377,,0.937641698,0.92975093,-3.38645041,,,,,,,,,,,,
