metabolite,logFC,AveExpr,t,pval,adj_pval,B,contrast,comparison
PC(42:6),-1.4213687853488,-6.26813415986286e-16,-4.54928446768177,5.28153624315083e-05,0.00230979185033796,1.78493676064202,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(20:1),-1.57919073462199,5.73268284694469e-15,-4.49509944368685,6.23967774757512e-05,0.00246468792126572,1.62707493466266,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(36:6),-1.55321265713498,1.01539147460509e-15,-4.48749517470884,6.3871485764508e-05,0.00246468792126572,1.60496337614761,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
UDP,1.67984789828844,2.80822818702712e-15,4.40196775822174,8.30092503756778e-05,0.00302522601369137,1.35702322750808,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(20:0),-1.48411894560862,1.36667297849039e-15,-4.34190306189589,9.97092938805989e-05,0.00344259456766699,1.183765224709,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
2-Ketoisovaleric acid,-1.75774384679995,2.87501504085223e-15,-4.3249011217493,0.000105007155136083,0.00344423468846351,1.13485874898723,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
C-PAF/methylCarbamyl-PAF C-16,-1.71497126532819,-0.0865861906789113,-4.2958202974834,0.000114715343240799,0.00358348881742685,1.05135034853312,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(18:1),-1.67671682167208,-8.00141203294302e-16,-4.26134116941399,0.000127368817499902,0.00362910127222226,0.952579692163817,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Dehydroascorbic Acid,-1.70529113429889,-5.71013144175699e-16,-4.26073085426675,0.000127604675280247,0.00362910127222226,0.950833733722445,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d36:3) [M+H]+,1.43928636755034,-4.79940161686917e-16,4.24762967800952,0.000132771997764229,0.00362910127222226,0.913374789896029,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
N-Acetylphenylalanine,-1.75788323966551,-3.08925339013536e-16,-4.20178606121307,0.000152516378465467,0.00400202977093384,0.782607715339934,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(40:7),-1.48343548412117,6.96346915315023e-15,-4.17457071537074,0.000165566828432025,0.00417737844043877,0.705209744455072,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(34:5),-1.46989300395738,3.42607886505419e-16,-4.14296952164726,0.000182092755545667,0.00442417954214657,0.615562305199104,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Lyso-PAF C16,-1.55409226174191,2.5303833102915e-15,-4.08851695270245,0.000214424054069452,0.00488214550646091,0.461669081636767,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(20:2),-1.43069008175091,4.73810805405132e-15,-4.08110792763742,0.000219234893865722,0.00488214550646091,0.440787833622168,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(P-40:3),1.45038165552713,5.68700179541063e-16,4.06414202122565,0.000230651097030697,0.00488214550646091,0.393025326184713,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Hydroquinone,-1.4946226249756,-8.92867594096125e-16,-4.0592949151198,0.000234017751335757,0.00488214550646091,0.379393480012906,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(30:0)),-1.54289045714835,1.50255965077524e-15,-4.05343278982595,0.000238153439339557,0.00488214550646091,0.362915246942762,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Proline Betaine,-1.72401729334166,1.07755239916093e-15,-3.96960408741318,0.000305685741653518,0.00607666201590024,0.128282907733654,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(20:3),-1.37219249997751,-2.41921644753932e-15,-3.91902806697272,0.000355086516044834,0.00685108101545328,-0.0123353653834677,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(34:4),-1.42587625986876,-2.58415973804678e-15,-3.89587209928952,0.000380215029695493,0.00700158751383252,-0.0764714575059546,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
2-Hydroxyisocaproic acid,1.66485913909614,-1.02496859379538e-15,3.89230758516021,0.000384233461124955,0.00700158751383252,-0.0863303228177861,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Pyruvate,-1.57646666531405,5.62050406216485e-16,-3.86934699203083,0.000411123640562407,0.00728911103267403,-0.149745537708534,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
6-Phosphogluconic Acid,1.37561600523377,1.04083408558608e-17,3.8438641309125,0.000443106126040883,0.00751757630565999,-0.219942383415833,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(P-16:0),-1.44111187389759,6.47630097698008e-16,-3.84093829722162,0.000446929079147469,0.00751757630565999,-0.227989510093034,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PA(34:1)[M-H]-,1.62052926971963,-4.99311240501991e-16,3.73062731632502,0.000616839096580745,0.0101161611839242,-0.529436913641118,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Thiamine (Vit B1),1.47047960252901,-4.28794731203534e-15,3.68619855964673,0.000701643189984688,0.011226291039755,-0.649738011885361,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(P-18:1),1.38939555157181,-6.24645011641315e-16,3.6372076349393,0.00080819693860162,0.0126232664695872,-0.781621243776577,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM(d30:1),-1.29017850960223,-4.67236926232628e-16,-3.62510276388941,0.0008368368517019,0.0126699952928747,-0.81408015040136,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Dihydroorotic Acid,-1.41741915651455,-0.050362930359985,-3.61974764039767,0.000849816757448913,0.0126699952928747,-0.828423462592418,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(36:5),-1.37187377102093,1.36799209113359e-15,-3.60822173654829,0.000878414825938029,0.0128053361292299,-0.859260611455253,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d34:1) [M+H]+,1.2218181373163,1.80978640638522e-15,3.57509245685493,0.000965869360942623,0.0135716906300862,-0.947634512766911,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Cholesterol [M-H2O+H]+,1.40213213265888,4.2021146400469e-15,3.56792443287464,0.00098586480776502,0.0135716906300862,-0.9667037999989,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC (35:3) [M+H]+,-1.32450830655176,-7.89588302148777e-16,-3.56538259180246,0.000993050533908744,0.0135716906300862,-0.97346146850687,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
4-Pyridoxic Acid,-1.37190033508858,-0.0229165254949986,-3.53230718283605,0.00109126962517539,0.0145526103281232,-1.06118015679763,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Xanthine,1.45292758893889,-8.74300631892311e-16,3.52010763492179,0.00112980140464139,0.0145526103281232,-1.09343274979018,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(20:5),-1.24856278975623,-5.31259064517897e-16,-3.51553354806414,0.0011445825994383,0.0145526103281232,-1.10551125418925,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
"PS(16:0/20:3(8Z,11Z,14Z))",1.28158747728416,8.54640432497907e-16,3.51278289718335,0.00115356057479025,0.0145526103281232,-1.11277096867276,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Hydroxybutyrylcarnitine,1.36114950656954,1.65376971376456e-15,3.48516471872886,0.00124753307389682,0.0154411640844588,-1.18550538213123,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Taurine,1.30908877758833,1.96110488959178e-15,3.44968650625893,0.00137906445294113,0.0165759406037008,-1.27851412666194,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
4-Aminobutanoate (GABA),1.31789885175897,-2.76254713549307e-15,3.44694818061598,0.00138975111768833,0.0165759406037008,-1.28567269970174,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPE(18:0),-1.400912630909,-9.17668718791731e-16,-3.40951519437025,0.00154403046118065,0.018025405571108,-1.38323688125288,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Pimelic Acid,-1.36275334231397,-4.84276970376859e-16,-3.40442567845669,0.00156623188651395,0.018025405571108,-1.39645940671237,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d38:2) [M+H]+,1.22575802191517,-6.01486453237025e-15,3.38118322169264,0.00167155923169719,0.0189059113102303,-1.45671182123673,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Proline,1.21761772846117,-4.0167522086243e-15,3.36869608467583,0.00173090916548252,0.0189124061232954,-1.48899311054059,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(P-18:0),-1.33321365128926,8.46978737145676e-16,-3.36417771488666,0.00175287640940449,0.0189124061232954,-1.50065828019492,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
2-Arachidonoylglycerol,1.33592843612671,0.0659004689289925,3.36300461760123,0.00175862313036741,0.0189124061232954,-1.5036855338547,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Caffeine,-1.1244819282651,6.25656933668968e-16,-3.35174091684016,0.00181472485594752,0.0192009597661544,-1.53272370311804,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Arginine,1.25392944528073,1.98676434100727e-15,3.33685407648461,0.00189149841326535,0.0196956025254297,-1.57102272350628,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Tyramine,-1.22674113403858,0.122199944832954,-3.32775548350073,0.00193993690049045,0.0198843532300271,-1.59438548282916,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(31:0),-1.30619177503743,5.73253828665502e-16,-3.29182831631943,0.00214301277383935,0.0216279443021326,-1.68629985208314,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(34:0),1.0800026828661,0.104801689428473,3.27742646392528,0.00222997563980195,0.0221646063592436,-1.72299224269385,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Trigonelline/N-Methylnicotinate,-1.14176592459965,1.0245710529988e-16,-3.27080177881193,0.00227109635990985,0.0222364061507592,-1.73984068594454,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
115.027@1.04_ANPNEG,-1.37414725632184,-8.2052420413703e-16,-3.26282879277857,0.0023215434840019,0.0223960665515478,-1.76009335293015,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Malonic Acid,1.46736342722365,-1.19088766625808e-15,3.21982833798095,0.00261251843233017,0.0248378564001245,-1.86884796332186,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(38:8),-1.20656379278014,4.60858203451172e-16,-3.17842731536835,0.0029251580104458,0.027412909355035,-1.97279027418292,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
GlcCer (d42:1) [M+Na]+,1.09666417942163,-2.72235937496627e-15,3.13413932883488,0.00329872481464689,0.0299976137517511,-2.08312885099524,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
"PS(16:0/18:2(9Z,12Z))",-1.21945940567241,1.44068784679874e-15,-3.13267566316395,0.00331181040386158,0.0299976137517511,-2.08676015542822,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PI(36:5),-1.0904562231268,-3.19940833085989e-15,-3.12974611586189,0.00333814909127718,0.0299976137517511,-2.09402530590193,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
GlcCer (d42:1) [M+H]+,1.08878006898278,3.4526779583525e-15,3.12348828971884,0.00339507670999089,0.0300968962399193,-2.1095312146757,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Tartaric Acid,1.32076619585626,1.17093834628434e-15,3.10801811617882,0.00353977595435744,0.0309612403474464,-2.1477862055594,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Argininosuccinic Acid,1.18894466340038,3.07161703479627e-15,3.09508337791979,0.00366521582945265,0.0312243277496181,-2.17968613040668,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Meso-Tartaric Acid,1.31635255071605,-1.39645239816133e-15,3.09263734761549,0.00368940459537748,0.0312243277496181,-2.18570979381403,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(42:8),-1.16893939986831,1.94325169381819e-16,-3.09030107311616,0.00371264872632655,0.0312243277496181,-2.19146055189528,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(34:3),-1.15644518158578,1.25449419371056e-15,-3.08542916858814,0.00376156613554567,0.0312352833533919,-2.20344454268969,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(32:3),-1.15882019373516,-2.29850860566927e-16,-3.07250010077416,0.00389435066455435,0.0315911257475184,-2.23519348963519,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Serine,1.12768820715553,1.31441443377659e-15,3.07188914567851,0.00390073351455639,0.0315911257475184,-2.23669181290299,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Hypoxanthine,1.336732694489,-0.0654611196859843,3.05728087505692,0.00405632326714168,0.0320753032069022,-2.27246479452265,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
GlcCer (d41:1) [M+HAc-H]-,1.08981211937317,-1.15041078515195e-15,3.05709794931286,0.00405830818014159,0.0320753032069022,-2.2729121026406,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Methionine  Lactamide,-1.29453084172279,-0.0345898105862708,-3.0394602292371,0.00425405455781224,0.033222140356248,-2.3159664413397,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LPA(18:1)[M-H]-,-1.26733226896377,-0.0908755623920869,-3.03114219607473,0.00434942608424598,0.0335673354266513,-2.33621922720233,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
1-Methylguanine,-1.00036719839161,-5.80698683583236e-16,-3.02216304101287,0.00445463650991927,0.0336862134119828,-2.3580442065889,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
"PS(14:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.25568613553165,2.27986032830252e-15,3.02107630412293,0.00446753135189407,0.0336862134119828,-2.36068300924744,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Protoporphyrin,1.04747552022199,1.45803508155851e-15,3.01464243008316,0.00454459622653277,0.0338778991432443,-2.37629392027819,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Citraconic Acid,-1.24262009416974,4.47847777381346e-16,-2.9998769738407,0.00472621296694838,0.0348359068125634,-2.41204397400476,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC (o-32:0) [M+H]+,1.12716476277017,4.96564594998361e-15,2.99069148122442,0.00484261693857227,0.0352972967967046,-2.43422995950081,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
GlcCer (d42:2) [M+H]+,1.06027112142893,-5.19795433547484e-15,2.97659543633547,0.00502650399821896,0.0362350178333147,-2.46819567055732,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Creatine,1.24773478803441,1.41148666828646e-15,2.96331917082632,0.00520567804288492,0.037118747784049,-2.50009597213001,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Purine,1.08899822111988,1.08246744900953e-15,2.94126230316311,0.00551666922578522,0.0385869579254554,-2.55289967385773,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(29:0)),-1.14328239584816,-0.00889601711672862,-2.94039624801735,0.00552922872712319,0.0385869579254554,-2.5549680048176,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Methionine,1.15754697946599,-3.57815628978149e-15,2.92987260452261,0.00568399990715599,0.0389277748501713,-2.58007051715643,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM(d36:2),1.17752083186416,4.96824803519758e-15,2.9290178451044,0.00569674753904946,0.0389277748501713,-2.5821069515231,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(32:2),-1.08283013313544,-6.89986262569775e-16,-2.90064979009103,0.00613533526895144,0.0414925766642489,-2.64948177125861,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(38:7),-1.10574449950307,4.92039857931855e-15,-2.87828649467415,0.00650315040274572,0.0435312924918489,-2.7023039537993,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
FA (20:4) [M-H]-,1.17659898022026,-2.21003770839445e-15,2.8607371701936,0.00680611401505054,0.0449121943328596,-2.74357384803299,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(38:3),-1.03457832307682,-1.34744645996498e-15,-2.85823268034914,0.00685040993626875,0.0449121943328596,-2.74945042392328,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d42:3) [M+H]+,0.998009445719377,-9.90527104782757e-16,2.85461695541864,0.00691483479819942,0.0449121943328596,-2.75792862231886,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
4-Hydroxy-Proline,1.23989486675509,4.76326154445298e-16,2.79198011358271,0.00812457810820153,0.052252188617453,-2.90370170550072,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Hexanoylcarnitine,1.16574678902105,-7.15501153695601e-16,2.77966191068964,0.00838454806128034,0.0533011237908229,-2.93212221724729,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(28:1),-1.15682323050372,-0.0911163517432593,-2.77660831188126,0.00845017816195973,0.0533011237908229,-2.93915474967002,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC (38:2) [M+H]+,-0.91695744570762,1.0125002688118e-15,-2.77237483252048,0.00854195703758846,0.0533668934919812,-2.94889619982588,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(40:8),-1.1391039609197,-1.92796444318614e-15,-2.75752365324944,0.0088712930026366,0.0549015868842416,-2.98299223956386,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Beta-Carboxyglutaric Acid,-0.95589361662981,-0.0633689258667834,-2.74745842511958,0.00910115675448481,0.0552923620425538,-3.00603179815234,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(28:0),-1.06526547644812,7.68482499857726e-16,-2.74675649967486,0.00911739126633444,0.0552923620425538,-3.00763644591122,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Theobromine,-0.888102093645253,9.37690318910297e-16,-2.7437471541655,0.00918729796133897,0.0552923620425538,-3.01451293215598,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d38:1) [M+H]+,1.02982501288771,1.91665260051987e-15,2.73332291743294,0.00943331304688603,0.0562568487159749,-3.03829412685951,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Methylenesuccinic Acid,-1.13805480247433,4.64905891561784e-16,-2.71361720328551,0.00991513155638661,0.0581289766551096,-3.08308486907952,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(18:2),1.22981821888073,-7.35233633234837e-16,2.71324452938576,0.00992445942892115,0.0581289766551096,-3.0839298663882,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Oxalic Acid,0.947510506611224,-8.20003787094237e-15,2.70912523571675,0.0100281061582986,0.0582162622995034,-3.0932647430483,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(36:3),-1.06417941358887,3.56398938139435e-15,-2.69086031652541,0.0104998535854183,0.060420210105565,-3.13454088807517,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Octanoylcarnitine,1.10160940954736,-2.15799600411515e-15,2.68264512482574,0.010718654739703,0.0611429348630012,-3.15304480360927,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(34:2),0.895252875083941,-4.04768811061255e-18,2.65317825573407,0.0115385787107302,0.064854921954737,-3.21910086159475,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Ergocalciferol (Vit D2),1.00391238217279,0.00266913169892145,2.64593831874503,0.011748697659124,0.064854921954737,-3.23525475768381,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Galactaric Acid,-0.990920193678798,-3.2809403342308e-15,-2.64162464127283,0.0118755610384869,0.064854921954737,-3.24486520472072,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LPA(18:2),-1.01959735117681,0.00270229770943241,-2.63898272545935,0.011953880683254,0.064854921954737,-3.25074584205626,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d40:1) [M+H]+,0.955321765492898,5.0538277266791e-16,2.63571923386087,0.0120512838658895,0.064854921954737,-3.25800448835493,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PE (34:1) [M-H]-,0.921015432496819,-4.70110061989715e-16,2.63557099021205,0.0120557257020568,0.064854921954737,-3.25833406541937,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
N-Oleoyl Dopamine (OLDA),1.02760786303099,1.50755149827773e-15,2.63467443399408,0.012082621440218,0.064854921954737,-3.26032702956453,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
5'-Methylthioadenosine (MTA),1.01670349209021,-6.40438223287187e-16,2.63209540995689,0.0121602978665132,0.064854921954737,-3.26605737984368,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Quinic Acid,-0.864324173527953,8.9627379592135e-18,-2.62836990388003,0.0122733167866818,0.064929804935994,-3.27432831497781,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PE(16:0),-1.0510136261504,-4.23476719547492e-15,-2.62164908949697,0.0124796519666171,0.0654932135208066,-3.28922874894927,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PE (36:1) [M+H]+,-0.966916250610719,-2.79832580718509e-16,-2.60457933414364,0.0130181397297072,0.0677769814499043,-3.3269553049061,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SM (d40:2) [M+H]+,0.917239772702939,6.30622579618952e-15,2.59337186598151,0.0133832226005284,0.0691290868184774,-3.35163279017242,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Citrulline,-1.03312390525754,2.34245493372735e-15,-2.5770150355006,0.0139329419072835,0.0708542291944736,-3.38751600940069,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
FA (28:0) [M-H]-,1.11771676723827,1.81565916815285e-14,2.57675877042149,0.0139417169567663,0.0708542291944736,-3.38807694127281,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Decenoylcarnitine,0.995149499414202,-2.48846082628873e-15,2.57386278654058,0.0140412344440268,0.0708542291944736,-3.39441318309563,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
"PI(16:0/16:2(9Z,12Z))",0.939459905334764,-7.42461647718073e-16,2.56591198328862,0.0143178146473002,0.0716983695315184,-3.41178351734861,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Lysophosphatidic Acid,1.05579085429196,3.60981499321807e-15,2.55574013009657,0.0146789374645941,0.0728884919145236,-3.43395146133657,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
SAICAR-riboside,-1.20383721717815,1.83880688453542e-16,-2.55299826316984,0.0147776972936458,0.0728884919145236,-3.43991637501892,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
PC(42:9),-1.0236341433435,-1.39890992308563e-15,-2.53061041101866,0.0156071409473373,0.0757278979094351,-3.48845255197358,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Aconitic Acid,-0.917771262353628,-2.69901288818541e-15,-2.52831677675598,0.01569447864813,0.0757278979094351,-3.49340806846355,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
"PS(18:0/20:3(8Z,11Z,14Z))",0.926611585586941,-5.6896038806246e-15,2.5281803879,0.0156996861519561,0.0757278979094351,-3.49370264377294,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Decanoylcarnitine,1.02518729479925,-8.82396008113536e-16,2.5094677526075,0.016429314864954,0.0786688361416775,-3.53401191051003,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
LysoPC(22:1),-1.02250619095817,-0.0381301842656509,-2.4782380915882,0.0177162183213645,0.0835742037301646,-3.60080962906579,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Glucose+Cl,0.84658556358091,0.118605897168221,2.4748742898697,0.0178601757797058,0.0835742037301646,-3.60796886096685,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
"PS(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.893893699128534,2.93312827729745e-16,2.47381593483485,0.0179056889880644,0.0835742037301646,-3.61021993331096,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
N-Acetylglycine,1.01048620339436,2.25629700108717e-15,2.47247842756726,0.0179633578139531,0.0835742037301646,-3.61306376202552,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
Phosphocholine,0.963071031465822,2.50436245815185e-15,2.46292721818645,0.0183801127586284,0.0849109434483115,-3.63333959109379,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
GlcCer (d42:2) [M+Na]+,0.852417439005693,-1.22413653288097e-15,2.43389711826677,0.0197013496418837,0.0901682435903297,-3.69461877557593,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
3-Dehydroxycarnitine,0.81378596569,-4.4705269578819e-16,2.43194897813233,0.0197930290808041,0.0901682435903297,-3.69871225182092,I4-FP1,"(R+1) vs (L-92, L-44, L-3)"
