metabolite_name,super_pathway,sub_pathway,HMDB_id,log2FC_R1,pvalue_R1,log2FC_R45,pvalue_R45,log2FC_R82,pvalue_R82,recovery_pattern
Cysteine-S-Sulfonic Acid,Amino acids,Cysteine and Methionine metabolism,HMDB00731,0.1146584759260569,0.6483149999744852,-0.1164559064063588,0.7040413912145732,-0.9266949317819392,0.0099498628172529,delayed_onset
O-Succinylhomoserine,Amino acids,Cysteine and methionine metabolism,,-0.3429140558259274,0.3768485599578464,,,1.2841526660407194,0.0001297951600936,stable
Methionine  Lactamide,Amino acids,"Cysteine and methionine metabolism,  from msms fragmentation",,-2.819299503417891,0.1165279794236331,-1.4956765487058474,0.2318209536927311,0.5791444714247641,0.3423786184719467,full_recovery
Cystine,Amino acids,Cysteine and methionine metabolism,HMDB00192,0.14677925343556,0.3880109613783673,0.1770882360479746,0.327650771526936,0.2229124282756727,0.2715679726335756,stable
2-Hydroxybutyric acid,Amino acids,Cysteine and methionine metabolism,HMDB00008,0.4051905990482283,0.172318365040026,0.3903809472432769,0.3747165706991492,-0.0255340842872036,0.93938396103501,stable
5'-Methylthioadenosine (MTA),Amino acids,Cysteine and methionine metabolism,HMDB01173,0.6385276884516498,0.1696480134009431,0.4278594643234419,0.3815953389879959,1.0240858684218117,0.0325675171514179,persistent
S-Adenosylhomocysteine (SAH),Amino acids,Cysteine and methionine metabolism,HMDB00939,-0.3072633309248377,0.2134243474495813,0.0747836132933595,0.7057378436179713,0.349406696684262,0.1071840916935719,stable
2-Aminobutyric Acid,Amino acids,Cysteine and methionine metabolism,HMDB00452,-0.1168138442308658,0.5227173983110849,0.1171649718361225,0.4176175219104914,-0.0107374790366217,0.9482793128719526,stable
Methylglyoxal,Amino acids,"Glycine, serine, and threonine metabolism,pyruvate metabolism",HMDB01167,-0.2422379025052343,0.1392521423392233,-0.2303983414289355,0.1621343683031208,-0.5481731810279892,0.0081473087380912,delayed_onset
Glycinamide,Amino acids,"Glycine, serine, and threonine metabolism",HMDB00123,-0.2222325869786514,0.3047589679851746,-0.0890276649691047,0.6653534413781756,-0.3738277087449203,0.1319675338040043,stable
Glycine,Amino acids,"Glycine, serine, and threonine metabolism",HMDB00123,0.2445767335992913,0.4285144120540736,0.0984324726176713,0.7584638057551127,-0.1359498157219394,0.7051711065230731,stable
2-Ketobutyric Acid,Amino acids,"Glycine, serine, and threonine metabolism; Cysteine and methionine metabolism",HMDB00005,-0.1462750198927629,0.7444328617588669,-0.0448856783786422,0.91638745184146,0.3204477754160471,0.396606858310761,stable
Choline,Amino acids,"Glycine, serine and threonine metabolism",HMDB00097,0.0231057657547932,0.8246824179781436,-0.0716134716161651,0.6355242352014305,-0.1293548814975171,0.343625749250715,stable
Serine,Amino acids,"Glycine, serine and threonine metabolism",HMDB00187,0.2254388023259957,0.2351065636015387,-0.0821532632172413,0.6848759373969855,-0.183790660719868,0.4232324417690811,stable
Betaine,Amino acids,"Glycine, serine and threonine metabolism",HMDB00043,0.0692807915985751,0.7974795464559391,0.1531393328002271,0.5387350550858112,0.1268224676000755,0.60720888055083,stable
N-Formylglycine,Amino acids,"Glycine, serine and threonine metabolism",,-0.2845387843703182,0.0487614816841536,-0.1958296170185495,0.1184779554191689,-0.6015752603513905,8.749678390855344e-08,stable
Threonine,Amino acids,"Glycine, serine and threonine metabolism",HMDB00167,-0.2341041042883265,0.233789214189226,-0.1476069327805739,0.4449176021875815,-0.4232512343187117,0.0569022052285334,stable
Creatine,Amino acids,"Glycine, serine, and threonine metabolism. Arginine and Proline metabolism",HMDB00064,0.2174685282909417,0.308432488015677,-0.2597036619947693,0.279346303906906,-0.1535982350706805,0.4971548113574334,stable
Histamine,Amino acids,Histidine metabolism,HMDB00870,-0.0693987624394841,0.2067300076930749,-0.0430287797481814,0.3907058168310873,-0.0064458618642755,0.8865033742631009,stable
4-Imidazoleacetic Acid,Amino acids,Histidine metabolism,HMDB02024,0.1825943621961952,0.3290871786684615,0.1861788966724052,0.3199741303376237,0.0266420350376047,0.8944809638705837,stable
Histidine,Amino acids,Histidine Metabolism,HMDB00177,-0.0601403264667524,0.6001237951914459,-0.1293412116891726,0.2667682806878672,-0.080720938667848,0.4746487435729161,stable
3-Methylhistidine,Amino acids,Histidine Metabolism,HMDB00479,-1.2808911645608336,0.1584233330905812,-0.6554482064575475,0.3858251919139819,-0.9932788168512074,0.2368878777354247,persistent
1-Methylhistidine,Amino acids,Histidine Metabolism,HMDB00480,-0.6390860946175535,0.4084721409355927,-0.5347887332201273,0.4583721055546781,-0.0502865591889257,0.9450106317472295,full_recovery
Ergothioneine,Amino acids,Histidine metabolism,HMDB03045,0.1965401756660607,0.6151901401614948,-0.26263191718051,0.5415667800118696,-0.3973554613521982,0.3709232757684776,stable
Pipecolinic Acid,Amino acids,Lysine degradation,HMDB00070,-0.1022613456553391,0.6138743302097338,0.0171666318967321,0.937023755298358,-0.0135152816807474,0.95071969920607,stable
Glutaric Acid,Amino acids,Lysine degradation,HMDB00661,-0.0124708339647561,0.966793828727211,-0.0182771935806405,0.9507928928654024,0.1496103856266168,0.594547262616893,stable
Lysine,Amino acids,Lysine metabolism,HMDB00182,-0.270910769379961,0.2225886512205441,-0.1865237493396523,0.3923021357312773,-0.2633549363001289,0.2281894096634794,stable
2-Aminoadipic Acid,Amino acids,Lysine degradation,HMDB00510,-0.0659982685000023,0.7008432662926845,-0.0995042706191853,0.6011923748941446,0.2565153974646799,0.2035886541329444,stable
Trimethyllysine,Amino acids,Lysine degradation,HMDB11691,-0.3129151300807937,0.4930525220969664,-0.5598808310315389,0.2668684775284147,-0.1364452531100498,0.7691299438723574,stable
2-Methylcitric Acid,Amino acids,Lysine biosynthesis,HMDB03518,-0.0349446891930255,0.84795563379253,-0.1070815517606902,0.5922742694036279,0.0460039214285403,0.8452155438650905,stable
Phenylpyruvic Acid,Amino acids,Phenylalanine metabolism,HMDB00205,-0.1390634049157649,0.675968327008017,-0.4941236023284181,0.2411036836034752,0.1645043175772795,0.6486236264688983,stable
Phenylalanine,Amino acids,Phenylalanine metabolism,HMDB00159,-0.0671937681860169,0.5415147651349517,-0.1935369447095244,0.09219060059866,-0.1093078145514518,0.3119815728351167,stable
Melilotate,Amino acids,Phenylalanine metabolism,HMDB33752,0.0399227308339522,0.8860216495906358,-0.1584156371893175,0.5796249892020309,-0.1946995389142218,0.5282347567165159,stable
Hippuric Acid,Amino acids,Phenylalanine metabolism,HMDB00714,-0.7789515422048541,0.4941410190386736,-0.7108647434290492,0.5229376349420457,-0.1585848066219636,0.8655890977702644,full_recovery
N-Acetylphenylalanine,Amino acids,Phenylalanine metabolism,HMDB00512,-1.3917422938243242,0.0147695385906582,-0.545496530684916,0.1721343250798259,-0.0865799184357199,0.8206362234237419,full_recovery
2-Hydroxyphenylacetic Acid,Amino acids,phenylalanine metabolism (phenylketonuria),,0.1588957371434183,0.6204271861602205,-0.2525785823386529,0.4677820181576325,0.3720994902098655,0.3263612015170607,stable
Indole-3-Acetaldehyde,Amino acids,Tryptophan metabolism,HMDB01190,0.6460089361713792,0.0838605234670271,-0.0461071666966636,0.8942119763030241,0.4293825111764077,0.1879133832841764,partial_recovery
Quinaldic Acid,Amino acids,Tryptophan metabolism,HMDB00842,0.035709154905566,0.7280174496453842,-0.0293913905896145,0.7929991822325598,-0.1391483516163502,0.255762031956313,stable
3-Indoleacetic Acid,Amino acids,Tryptophan metabolism,HMDB00197,0.0278261645774289,0.9439102983958668,0.0154939125226757,0.9661775185798444,-0.3063341033661076,0.4903444976281772,stable
Kynurenic Acid,Amino acids,Tryptophan metabolism,HMDB00715,-0.3283958017269264,0.1743162247176487,-0.1078337293586491,0.631720414804471,0.0116330265192005,0.962018505411386,stable
"4-(2-Aminophenyl)-2,4-dioxobutanoic acid*",Amino acids,Tryptophan metabolism,HMDB00978,-1.1274427501996402,0.3736381588871013,0.7724709851528793,0.308752775482957,-0.151651030901446,0.8733321042611233,full_recovery
5-Hydroxyindoleacetic Acid,Amino acids,Tryptophan metabolism,HMDB00763,-0.3390063427122006,0.3139655394378897,-0.377276989213873,0.2990538792254038,0.0257915787178926,0.935781016535424,stable
Tryptophan,Amino acids,Tryptophan metabolism,HMDB00929,-0.123719197272438,0.2484857051987738,-0.1100746654772356,0.312251621555231,0.014694567318584,0.9120096651306988,stable
Xanthurenic Acid,Amino acids,Tryptophan metabolism,HMDB00881,-0.4081336020690584,0.2154943531166921,-0.5025642210774287,0.1365228278413208,-0.3472062072863005,0.2974794283628657,stable
Kynurenine,Amino acids,Tryptophan metabolism,HMDB00684,-0.3428803506130656,0.1225432340819296,-0.1856582631651886,0.3561912089653294,-0.1308889700509076,0.5305492190611036,stable
Indoxyl Sulfate,Amino acids,Tryptophan metabolism,HMDB00682,-0.0171332933136736,0.9662223175669044,-0.0741457858860627,0.8579927264568712,-0.1241797298973884,0.794095241587033,stable
Hydroquinone,Amino acids,Tyrosine metabolism,HMDB02434,-1.6079273405764596,0.0411417030316752,-0.3639231541577394,0.457281513708704,0.3131634529334782,0.491750752921954,full_recovery
Tyramine,Amino acids,Tyrosine metabolism,HMDB00306,-0.4594157937456423,0.0144017810547902,-0.2160423624407218,0.211684048916548,-0.0327433106385311,0.7158639927469885,stable
3-Hydroxyphenylacetic Acid,Amino acids,Tyrosine/phenylalanin metabolism,HMDB00440,0.163973405263776,0.6084572546087752,-0.2269105856206927,0.5099385023109734,0.3771771583302233,0.319523766356466,stable
4-Hydroxyphenylacetic Acid,Amino acids,Tyrosine metabolism,HMDB00020,0.1558928992090892,0.6265819031658157,-0.2112546579040757,0.5378247091942513,0.4319813866531917,0.2422302926050472,stable
Gentisic Acid,Amino acids,Tyrosine metabolism,HMDB00152,-0.2408251282020615,0.5191356591497622,-0.0601765641455187,0.8798408057214723,0.042273472770281,0.9046523540934884,stable
Homogentisic Acid,Amino acids,Tyrosine metabolism,HMDB00130,-1.0556749314490024,0.2793194579150035,-0.2012652870610775,0.7849026655388711,-0.2842821071711234,0.7292519885236264,full_recovery
"3,4-Dihydroxyphenylacetic Acid (DOPAC)",Amino acids,Tyrosine metabolism; Dopamine metabolism,HMDB01336,-0.3733310826828793,0.1188704381779165,-0.2696901036091441,0.1975307501430296,-0.3905216093239338,0.0744374681231672,stable
4-Hydroxyphenylpyruvic Acid,Amino acids,Tyrosine metabolism,HMDB00707,0.636328843300202,0.0285878465196704,0.1470827284680735,0.4191817524053298,-0.1223292769757484,0.5056166992141574,full_recovery
Tyrosine,Amino acids,Tyrosine metabolism,HMDB00158,0.0236779200548019,0.894459394635317,-0.0046817328151638,0.9778496994537964,0.0093013510527901,0.9571314976120868,stable
Homovanillic Acid,Amino acids,Tyrosine metabolism; dopamine/catecholamine metabolite,HMDB00118,-0.1440625881016917,0.6265301688298255,-0.1180542193507915,0.659547903568479,-0.255154837904383,0.3919862175973609,stable
4-Hydroxyphenyllactate,Amino acids,Tyrosine metabolism,HMDB00755,-0.1369515256026697,0.5459711569422478,-0.0647120748864952,0.7546490027442603,-0.2672224031578702,0.2921231525363057,stable
Vanillylmandelic Acid,Amino acids,Tyrosine metabolism; catabolism of catecholamines,HMDB00291,0.0201074567190177,0.9461722610800998,-0.2620288649490951,0.4746625731454207,0.3385318071760154,0.2641045598423863,stable
2-Ketoisocaproic acid,Amino acids,Isoleucine degradation,HMDB00491,-0.0714181952121894,0.6274914461624441,0.0353688365106802,0.8710821046958825,-0.1336300696341023,0.4592850758929799,stable
2-Hydroxyisocaproic acid,Amino acids,Isoleucine metabolism,HMDB00317,0.7429834554815608,0.0279022797669649,0.4747862497595018,0.1415293766121076,-0.2922097283363899,0.4828263288342134,full_recovery
3-Hydroxymethylglutaric Acid,Amino acids,Leucine degradation,HMDB00355,-0.0168628128402333,0.952044383764605,-0.3136159156763591,0.2996894796817261,0.2427445320988769,0.3976349915753694,stable
2-Hydroxyisovaleric acid,Amino acids,"Valine, leucine, and isoleucine biosynthesis / degradation",,0.1313064876174538,0.6527910278693025,0.0866864475950336,0.779542448893291,-0.0835106491632502,0.781474834127959,stable
2-Ketoisovaleric acid,Amino acids,"Valine, leucine, and isoleucine biosynthesis / degradation",,-0.4849447882192769,0.0025090606365675,-0.0414414747530216,0.7932566488933448,0.0343119956696398,0.7734657102161897,stable
Valine,Amino acids,"Valine, leucine, and isoleucine biosynthesis / degradation",HMDB00883,0.0201326558258868,0.8902371669894338,-0.0402607342259466,0.7981427669782547,-0.1885613729770399,0.2445078959177003,stable
Methylmalonic Acid,Amino acids,"Valine, leucine, and isoleucine degradation; Propanoate metabolism",HMDB00202,-0.493850688141992,0.4708492539927202,-0.0656240159493578,0.9100837106647282,0.4418956987252781,0.3703278778639272,stable
Citraconic Acid,Amino acids,"Valin, leucine, isoleucine biosynthesis",HMDB00634,-1.0796742520205704,0.126925792011182,-0.7904471226497081,0.2166408870128154,-0.3032496065785072,0.5677922180209877,full_recovery
Ketoleucine,Amino acids,"Valine, Leucine and Isoleucine Degradation",HMDB00695,0.2376144403081949,0.3933590239232667,0.1522918400903039,0.4219145604084008,0.0326520847666052,0.9016898716549866,stable
Leucine,Amino acids,"Valine, leucine and isoleucine degradation/ biosynthesis",HMDB00687,0.093094582857431,0.6064187306710718,-0.040068901285757,0.8376595139310264,-0.1449493962820747,0.4536700104793706,stable
Isoleucine,Amino acids,"Valine, leucine, isoleucine biosynthesis",HMDB00172,0.1090620281804949,0.5480614719425607,-0.1201501452263693,0.5495399257810791,-0.2329835535595642,0.2731437948198932,stable
N-Acetylglycine,Amino acids,Amino acid acetylation,HMDB00532,0.4579464095456662,0.0250566995476767,0.6039652800178376,0.0059817845913648,0.4593145257918791,0.0054023590089018,stable
N-Acetydserine,Amino acids,Amino acid acetylation,HMDB02931,-0.1476165722754252,0.3199203581671767,0.0226985542887144,0.8852475664814259,0.2121312119817064,0.1208358047951735,stable
Putrescine,Amino acids,Polyamine metabolism,HMDB01414,-0.1014733238057964,0.1177142901878296,-0.0701813927685039,0.2253826653975496,-0.0837454592433026,0.1612442262968197,stable
Spermine,Amino acids,Polyamine metabolism,HMDB01256,0.2011363537913722,0.4253659654956061,0.265944619216892,0.2434973080814668,0.1423349887184504,0.5363580026186175,stable
N1-Acetylspermidine,Amino acids,Polyamine metabolism,HMDB01276,0.0398547091416485,0.8355635846086028,0.1603727847195687,0.3747929854159029,0.4487218510772312,0.01064967817828,stable
Hypotaurine,Amino acids,Taurine and hypotaurine metabolism,HMDB00965,0.6903155016365616,0.1762751387692593,0.9054526492118956,0.2857507862872704,-1.2291064801872136,0.2962064931996282,persistent
Taurine,Amino acids,Taurine and hypotaurine metabolism,HMDB00251,0.4706423684642907,0.0558242678487695,-0.2405851735907811,0.4317130299659507,-0.6336653855672703,0.0599172965146609,stable
Lipoic Acid,Amino acids,Lipoic acid metabolism,HMDB01451,-0.1276524275933606,0.4556456150895123,-0.4717235397236869,0.0283341248111201,0.2133592912177909,0.3358399509770252,stable
Fumaric Acid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00134,-0.6149568977936444,0.1085738611446026,-0.6377852379740505,0.0927282633725138,-0.2645546261444496,0.4192212735218259,full_recovery
Succinic Acid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00254,0.0045839373146313,0.9640249636345226,-0.155916079807206,0.1732536271057506,-0.1614199131588906,0.1428416849928095,stable
Malic Acid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00156,-0.1923543747965211,0.483851954237209,-0.5690521454300556,0.0684676406867219,-0.1700458229353628,0.6179798577565412,stable
Oxoglutaric Acid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00208,,,-1.1498712348797298,0.1975924305993999,-0.7239928786942101,0.3438107123303489,delayed_onset
2-ketoglutaramate,Energy metabolism,"Citrate cycle (TCA cycle), Alanine, Aspartate, and Glutamate metabolism",HMDB01552,-0.1414512360987288,0.507496763848772,-0.1289390170461373,0.6383632776996929,-0.0423402632366003,0.8554090224576836,stable
Aconitic Acid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00072,-0.4495461041981606,0.0547612013672412,-0.4756518300013558,0.0843852612529214,-0.5046779621467435,0.0363974464649041,stable
Beta-Carboxyglutaric Acid,Energy metabolism,"Citrate cycle (TCA cycle) , from msms fragmentation",HMDB31193,-1.158771148538462,0.1982952866885401,-1.9787505782604493,0.0478735139814858,-1.23283048160118,0.1392650603254108,persistent
Citric Acid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00094,0.0389941316158634,0.7422321962254023,-0.0980002954843531,0.4938547777204686,-0.0412732082302718,0.7601122150418901,stable
Methylenesuccinic Acid,Energy metabolism,"Citrate cycle (TCA cycle), dibasic acid metabolism",HMDB02092,-1.0334611367156192,0.1661623804357923,-0.6680778956511005,0.3132364536303825,-0.3820298356933991,0.5179599867043617,full_recovery
Glucose+Cl,Energy metabolism,Glycolysis; Gluconogenesis; galactose metabolism,HMDB03345,0.3490441373164472,0.1255529192165728,0.2212010004419879,0.3466591738142199,0.3113218820473573,0.1731159755614257,stable
2-Phosphoglyceric Acid,Energy metabolism,Glycolysis / Gluconeogenesis,HMDB00362,-0.0174517929164247,0.9776705165876024,-0.2751986111370411,0.7006318826564784,-1.5259399097090802,0.1955800398960648,delayed_onset
3-Phospho-Glycerate,Energy metabolism,Glycolysis / Gluconeogenesis,HMDB00807,-0.0398869740168676,0.9540463537587918,-0.3125260661208768,0.6909653421021807,-1.602209115754294,0.2274835289486313,delayed_onset
Lactic Acid,Energy metabolism,Glycolysis / Gluconeogenesis,HMDB00190,-0.3008451296634061,0.1096076517452739,-0.3620089923418017,0.071730390488148,-0.7682380340033863,0.0025171553450174,stable
Pyruvate,Energy metabolism,Glycolysis / Gluconeogenesis,HMDB00243,-2.914061652325257,0.0788020225797667,-1.074977385949131,0.2732913009917596,-1.0054464748737757,0.291781612845123,full_recovery
Pantothenic Acid,Energy metabolism,Pantothenate and CoA biosynthesis,HMDB00210,-0.1431656927378315,0.6802868760561163,-0.0128328859849209,0.9793032555372116,-0.0323032877755567,0.929661654418722,stable
Deoxyribose,Energy metabolism,Pentose phosphate pathway,HMDB03224,-0.1978503222191198,0.6745614740308381,-0.5231747525286234,0.2965426059085352,0.2649083707230459,0.5815108830959259,stable
Ribose,Energy metabolism,Pentose phosphate pathway,HMDB00283,-0.0864423754132885,0.5636853940564519,-0.1809992629802637,0.2415111503435262,-0.1266689788740539,0.4008865785346193,stable
Gluconic Lactone,Energy metabolism,Pentose phosphate pathway,HMDB00150,-0.4206398103404798,0.3653933793217974,-0.4001424015390979,0.387492713048438,-0.5016036389840051,0.3106334081614212,stable
Ribose 5-Phosphate,Energy metabolism,Pentose phosphate pathway,HMDB01548,-0.1058209715439216,0.7322871028617124,0.1298943341728625,0.6601545829937054,-0.4190489690821627,0.2071315948296677,stable
6-Phosphogluconic Acid,Energy metabolism,Pentose phosphate pathway,HMDB01316,0.1616963121657736,0.1072590805328559,0.1896441728944999,0.0582278390649739,0.2470818012414387,0.0294910386410952,stable
Purine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB01366,0.541055393104636,0.1069450439390345,0.315191140075038,0.4209123954914209,0.6993460221166018,0.074012613637727,persistent
Adenine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB01384,0.4040747441564605,0.6063476088511874,-0.6195797738698071,0.6182186967491494,2.11616585151266,0.1720023184914364,stable
3-Methyladenine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB11600,0.0019595502920867,0.984456183517874,0.0712001392447239,0.4669079425021336,0.0839727284759728,0.4427870270492509,stable
Hypoxanthine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB00157,2.435586492157781,5.140249533212322e-06,0.0441478577605988,0.9425487598854992,-2.3535072474575127,0.0736366764750248,persistent
Xanthine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB00292,1.0153321368077484,0.0571251123083362,0.4812300357661165,0.1896507657436423,-0.014385810092731,0.9723932068397548,full_recovery
Allantoin,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine degradation (not produced in higher apes or humans),HMDB00462,-0.2776840732817585,0.5973642337974947,0.2254847868405632,0.6482320468547079,0.5480786746991283,0.2025472862282799,stable
Uric Acid,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB00289,-0.0734587148441744,0.7949950372352399,0.0976508251262272,0.7076698003181965,-0.016205229255863,0.951864968385074,stable
5-Hydroxyisourate,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB11821,-0.1805789750321043,0.4948446975003381,0.0570403470919178,0.824256640133342,-0.2129674012796508,0.4315138125622482,stable
Adenosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB00050,-0.7538307902000876,0.2765550052272543,,,4.543860949053283,0.2112736545611108,persistent
Inosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB00195,6.155514013389829,0.0016045758088116,0.5850114437844116,0.3407441547201931,-3.169497665690177,0.0680188507956362,partial_recovery
Succinoadenosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB00912,-0.1049297472900076,0.77096039547116,0.0964143302765498,0.7876029748091807,0.1680358102335061,0.6145327230759497,stable
Adenylosuccinate,Purine  and pyrimidine metabolism/nucleotide metabolism,,HMDB00536,0.327079441120421,0.2004276975240613,0.1807308767080714,0.486744088645062,0.163124972315279,0.4701625709185257,stable
5'-Phosphoribosylglycinamide(GAR),Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB02022,-0.1051414439242195,0.5752977265915238,-0.1334814346002772,0.3023913292713273,-0.128410150830087,0.3063616191121893,stable
5'-Phosphoribosyl-N-formylglycinamide (FGAR),Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB01308,-0.0476737009598369,0.4402957844910249,-0.039994045652376,0.4679138240541549,-0.015664962239471,0.7927059535761585,stable
