metabolite_name,HMDB_id,pathway,super_pathway,log2FC_PD,log2FC_I4,pvalue_PD,pvalue_I4,padj_PD,padj_I4,concordant
PE 34:1,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.105703812006792,0.5368878127532982,0.0566923787573836,0.6885203134812752,0.3392006368211062,0.8703072871153323,FALSE
Glutamine,HMDB00641,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.5945147901162281,0.0675746999884212,0.1140911371057757,0.5641299942674743,0.3829335506050237,0.8287382000476577,FALSE
PC 40:8,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.2554656643427399,-0.2933100349698136,0.3161033187882933,0.0446914673858896,0.5744416869956485,0.4113439141027806,TRUE
PC 38:8,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.428826863949675,-0.8564651310018933,0.0992026871393715,0.1211685962728043,0.3764494188759763,0.4683643946690702,TRUE
Proline,HMDB00162,Arginine and Proline metabolism,Amino acids,-0.6904555711500368,0.2301517472786091,0.0936136357283239,0.1221612950908682,0.3764494188759763,0.4683643946690702,FALSE
Bilirubin,HMDB00054,Porphyrin metabolism,Porphyrin metabolism,0.0149937694225692,0.6146122110137677,0.9784228869665272,0.2990490821040761,0.9993027653760432,0.6515513817823106,TRUE
PE 38:6,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.0768844514292125,0.30223622023407,0.8885094271941595,0.5582723777716119,0.9744179297694724,0.8255109586065473,TRUE
Threonine,HMDB00167,"Glycine, serine and threonine metabolism",Amino acids,-0.2980000713305132,-0.2341041042883265,0.4161708970636026,0.233789214189226,0.6565935020412774,0.6059032010531085,TRUE
Kynurenic Acid,HMDB00715,Tryptophan metabolism,Amino acids,-0.1964147873933542,-0.3283958017269264,0.5486790022629002,0.1743162247176487,0.7452684585100727,0.5497665548787385,TRUE
Hippuric Acid,HMDB00714,Phenylalanine metabolism,Amino acids,-2.385990368784546,-0.7789515422048541,0.17538401027414,0.4941410190386736,0.4770142693231998,0.786575210304444,TRUE
PI 38:2,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.9156032085202463,-0.6638985388085151,0.0043256878793536,0.4250245839959874,0.1436583711511672,0.7184386611018111,TRUE
Paraxanthine,HMDB01860,Caffiene metabolism,Caffeine metabolism,-3.456047536549459,-0.0351055089140199,0.0415159786680273,0.8815660140283332,0.3352311277389937,0.9514184856318494,TRUE
Cytosine,HMDB00630,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.1003102745035131,-0.0438676992336731,0.2493596846111112,0.8593529361930456,0.5243009334855013,0.9514184856318494,TRUE
Thiosulfate,HMDB00257,Cysteine and Methionine metabolism,Amino acids,-1.03026073917847,-0.9226373867159526,0.3083204311442313,0.1541402020319136,0.5688602106783917,0.5226859482435567,TRUE
N1-Acetylspermidine,HMDB01276,Polyamine metabolism,Amino acids,-0.2977342562232494,0.0398547091416485,0.5275217863397985,0.8355635846086028,0.7331855664766803,0.9424372905349326,FALSE
PC 44:10,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.330630659866086,0.2828636687156686,0.4047683989883199,0.817416889936794,0.6532195901831966,0.9409478282768764,TRUE
PC 34:4,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.5891759137776371,-0.8357075892430738,0.3356266426173463,0.0111037766059705,0.5986705629109873,0.3287483011092887,TRUE
2-ketoglutaramate,HMDB01552,"Citrate cycle (TCA cycle), Alanine, Aspartate, and Glutamate metabolism",Energy metabolism,-0.170149957088006,-0.1414512360987288,0.7211464464954717,0.507496763848772,0.8887566557395363,0.7947258350548477,TRUE
N1-Methy4-Pyridone-5-Carboxamide(4-PY),HMDB04194,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",-0.1117736598705452,-0.3363536302051914,0.8325232240345737,0.1600564738726788,0.9414607059471218,0.5307755126218981,TRUE
Cysteineglutathione Disulfide,HMDB00656,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",-0.4805863922206536,-1.2808077643081546,0.2821679945785402,0.1877097049727311,0.5422903839258885,0.5681683016288708,TRUE
Gentisic Acid,HMDB00152,Tyrosine metabolism,Amino acids,-1.940310868942284,-0.2408251282020615,0.0097413160073608,0.5191356591497622,0.1862657697165057,0.8023312309255253,TRUE
PC 42:10,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.1679134535197353,-0.3949939810100727,0.5373341647814432,0.2798435487788255,0.7370822999501971,0.6279076641753747,TRUE
Urea,HMDB00294,Arginine and Proline metabolism,Amino acids,0.012554277622859,0.0466988051455943,0.9586847561612116,0.7003795842031473,0.9965899195020176,0.8804465545905312,TRUE
Fumaric Acid,HMDB00134,Citrate cycle (TCA cycle),Energy metabolism,-0.4131641199233689,-0.6149568977936444,0.2659245084016244,0.1085738611446026,0.5354141537644564,0.4683643946690702,TRUE
PC 30:0,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6715335169968898,-0.7104284168038739,0.2697613398348546,0.0091893918293252,0.5354141537644564,0.3287483011092887,TRUE
N-FormyGAR (FGAR)--riboside,HMDB01308,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,0.1498844822985738,0.1041797866080578,0.6585733725043688,0.5429149646691499,0.8361364145880417,0.8130780389674174,TRUE
Ribose,HMDB00283,Pentose phosphate pathway,Energy metabolism,-0.1627977238436276,-0.0864423754132885,0.6761388226318139,0.5636853940564519,0.8515840261091309,0.8287382000476577,TRUE
PE O-36:4,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.7118761962361861,-0.4535557035490311,0.0035881493556219,0.2777262132111283,0.1336486752807946,0.6279076641753747,TRUE
Sn-Glycero3-Phosphocholine,HMDB00086,Glycerophospholipid metabolism,Lipid metabolism,0.0944834801672143,-0.785217518570151,0.7690530869924697,0.1320460316042155,0.9195565501832024,0.4726409543928665,FALSE
Proline Betaine,HMDB04827,"Arginine and Proline metabolism, osmolyte",Amino acids,-2.0523099440996844,-2.0667614973867887,0.1107914328779873,0.0925030845407876,0.3823578427076766,0.44943203779015,TRUE
Oxalic Acid,HMDB02329,Glyoxylic or Ascorbic acid metabolism,Glycylate and dicarboxylate metabolism,-0.2829611029522216,0.0684641353450554,0.4632834502447321,0.1802071852922562,0.6884443029009145,0.551057338913218,FALSE
Citrulline,HMDB00904,Arginine and Proline metabolism,Amino acids,0.0300328732105849,-0.4351670687571199,0.8399718916352981,0.1029336289078906,0.946468327896202,0.4683643946690702,FALSE
3-Hydroxyphenylacetic Acid,HMDB00440,Tyrosine/phenylalanin metabolism,Amino acids,-0.0361298074853398,0.163973405263776,0.9280300938473798,0.6084572546087752,0.9827939830025284,0.836628725087066,FALSE
Spermine,HMDB01256,Polyamine metabolism,Amino acids,0.074184701503855,0.2011363537913722,0.7958478025514244,0.4253659654956061,0.9271713300114364,0.7184386611018111,TRUE
Succinic Semialdehyde,HMDB01259,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.4750263658925902,0.3757963981162013,0.4417641065522764,0.2072854876380428,0.675253454850774,0.5842859682797332,FALSE
Trigonelline/N-Methylnicotinate,HMDB00875,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",-2.952680240615224,-1.4580136795067449,0.052158949039958,0.1808347808407012,0.3392006368211062,0.551057338913218,TRUE
Sorbitol,HMDB00247,Fructose and mannose metabolism; galactose metabolism,Carbohydrate metabolism,-2.0491585473245304,0.2609576119314088,0.2029652564950257,0.5750504789757729,0.5005175660219998,0.8303133158069599,FALSE
Methylglyoxal,HMDB01167,"Glycine, serine, and threonine metabolism,pyruvate metabolism",Amino acids,-1.736359202409252,-0.2422379025052343,0.216278780132955,0.1392521423392233,0.5169390540299038,0.4830978168845363,TRUE
Lysine,HMDB00182,Lysine metabolism,Amino acids,-0.0118942911758831,-0.270910769379961,0.9586103683713344,0.2225886512205441,0.9965899195020176,0.5940087674583753,TRUE
Myo-Inositol,HMDB00211,Galactose metabolism,Carbohydrate metabolism,-1.7133862515864458,-0.3148768359502262,0.0801601471542276,0.2437095441713779,0.3757060585861598,0.6106672304348486,TRUE
PC 44:8,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.1353489219010471,0.226838757058159,0.6569512527917127,0.5222680125215553,0.8357585494184894,0.8023312309255253,TRUE
PC 38:3,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.0880301330943345,-0.2722911604585762,0.6112968884182375,0.0325340037315927,0.7888105042779302,0.3762265559730339,FALSE
Kynurenine,HMDB00684,Tryptophan metabolism,Amino acids,-0.2868934178474395,-0.3428803506130656,0.1057576412257211,0.1225432340819296,0.3792143066264267,0.4683643946690702,TRUE
PI 36:2,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-0.4834032795449794,-0.4797442461513199,0.1074929956124197,0.3885390303257036,0.3823578427076766,0.6953615185590964,TRUE
Aconitic Acid,HMDB00072,"Citrate cycle (TCA cycle), trans isomer of cis-Aconitic acid",Energy metabolism,-0.7071162841688493,-0.4495461041981606,0.3118197998481578,0.0547612013672412,0.5719717840238011,0.4132029385853039,TRUE
Pantothenic Acid,HMDB00210,Pantothenate and CoA biosynthesis,Energy metabolism,-1.2547645338890396,-0.1431656927378315,0.227636957193631,0.6802868760561163,0.5185424114097582,0.8642517777501646,TRUE
Hydroquinone,HMDB02434,Tyrosine metabolism,Amino acids,-2.4102199793001224,-1.6079273405764596,0.0068331982985013,0.0411417030316752,0.1658364663982438,0.4033675666801199,TRUE
Butyric Acid,HMDB00039,Butyrate metabolism,Butyrate metabolism,-0.3619825931984642,0.1695600050558203,0.7704682844324987,0.8553069350572171,0.9195565501832024,0.9514184856318494,FALSE
Ribothymidine,HMDB00884,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,0.2658814585472184,-0.1268371935231624,0.3071382106214371,0.5705672291500998,0.5683407944343895,0.8303133158069599,FALSE
3-Methylhistidine,HMDB00479,Histidine Metabolism,Amino acids,-0.0164148095117199,-1.2808911645608336,0.95524885791378,0.1584233330905812,0.9965899195020176,0.5292512831396454,TRUE
Glycine,HMDB00123,"Glycine, serine, and threonine metabolism",Amino acids,-0.1859642662029964,0.2445767335992913,0.5305686980010885,0.4285144120540736,0.7341860711374711,0.7184386611018111,FALSE
PE O-38:5,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.0024602127446797,0.0702557114202346,0.991540406304008,0.7401486140999896,0.9993027653760432,0.9188335127824035,TRUE
PC 32:3,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.5173295994120175,-1.4254235762959246,0.2676618629511264,0.0346800969986499,0.5354141537644564,0.383917564409946,TRUE
PC 36:6,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.4442080429590202,-1.1016221909843034,0.4807390527344209,0.0211847213147898,0.6978743236700867,0.3287483011092887,TRUE
N-Acetycysteine,HMDB01890,Glutathione synthesis,"Cofactor, vitamin and antioxidant metabolism",-0.0011102446497472,0.2280143820496422,0.9897145970419938,0.4242175118377393,0.9993027653760432,0.7184386611018111,FALSE
Citraconic Acid,HMDB00634,"Valin, leucine, isoleucine biosynthesis",Amino acids,-0.6288246440416758,-1.0796742520205704,0.1254518160896347,0.126925792011182,0.4018278982363428,0.470632807493079,TRUE
Serine,HMDB00187,"Glycine, serine and threonine metabolism",Amino acids,-0.1867829078988095,0.2254388023259957,0.3889362141131884,0.2351065636015387,0.6532195901831966,0.6059032010531085,FALSE
Cortisol,HMDB00063,Steroid hormone biosynthesis,Lipid metabolism,-0.1543169510359431,0.6405150708327482,0.6295392829914896,0.3688350011637201,0.8106924236074081,0.6782079652228593,FALSE
2-Methylcitric Acid,HMDB03518,Lysine biosynthesis,Amino acids,-0.8270453436730055,-0.0349446891930255,0.2698856607935329,0.84795563379253,0.5354141537644564,0.948952830869556,TRUE
PI 36:3,,Glycerophosphoinositols [GP06],Glycerophospholipids [GP],-1.053801168855787,-0.5020284469905417,0.0241798721555779,0.3243231950480273,0.2831177242834846,0.6537848462414385,TRUE
Alanine,HMDB00161,"Alanine, Aspartate, and Glutamate metabolism",Amino acids,-0.2105715559277204,-0.128087871220748,0.2738866305555317,0.3371082387081675,0.5354141537644564,0.6635265153196083,TRUE
2-Hydroxy-isovaleric acid,,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,1.5859882507794556,0.1313064876174538,0.002797917261436,0.6527910278693025,0.1336486752807946,0.8508923513556516,TRUE
PC 42:9,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.1933514496003434,-0.4646300290068941,0.2011877850027039,0.10699974101497,0.5004961709028757,0.4683643946690702,TRUE
PC 34:0,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.1352556792056481,0.7025468714479577,0.5267857702640484,0.0579243891693131,0.7331855664766803,0.4132029385853039,FALSE
Beta-Alanine,HMDB00056,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.2117159629539346,-0.2954477736458043,0.2723702046452879,0.426029426157166,0.5354141537644564,0.7184386611018111,TRUE
4-Imidazoleacetic Acid,HMDB02024,Histidine metabolism,Amino acids,-0.040939194759596,0.1825943621961952,0.8721720183694406,0.3290871786684615,0.9689763258231,0.655057892400667,FALSE
Succinic Acid,HMDB00254,Citrate cycle (TCA cycle),Energy metabolism,1.1187423942907293,0.0045839373146313,0.1640357185253788,0.9640249636345226,0.453976045568044,0.986479675918489,TRUE
Indoxyl Sulfate,HMDB00682,Tryptophan metabolism,Amino acids,-0.6462433308470323,-0.0171332933136736,0.260776753653806,0.9662223175669044,0.5351482151105263,0.986479675918489,TRUE
Sphingosine 1-phosphate,HMDB00277,Sphingolipid metabolism,Lipid metabolism,0.0032479047692759,-0.7082665476575486,0.9871348487539922,0.0008219640556641,0.9993027653760432,0.185352894552272,FALSE
PC 34:2,HMDB08004,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.0657121384249232,0.132387656349878,0.4080075542012445,0.4253711669574266,0.6534334180228053,0.7184386611018111,FALSE
PE 38:3,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.71700845190588,0.1370422719854313,0.0176625021474703,0.855086040230275,0.2371284862777401,0.9514184856318494,FALSE
Sucrose,HMDB00258,Galactose metabolism; starch and sucrose metabolism,Carbohydrate metabolism,-1.7220211092131723,-1.27656612885822,0.2064178146438947,0.3582701385783867,0.5005175660219998,0.6716913961512664,TRUE
Glycolic Acid,HMDB00115,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,-0.1223373186928895,-0.2320170412373567,0.475345873903846,0.0218873859290957,0.6932851934003419,0.3287483011092887,TRUE
4-Hydroxy-Proline,,Arginine and Proline metabolism,Amino acids,0.4354672186582283,0.4502551369756872,0.4004510063313676,0.2184252273412333,0.6532195901831966,0.5880403552006206,TRUE
Erythrose,,Carbohydrates,Carbohydrate metabolism,-0.0683753814987015,0.0032098934234358,0.8938308634869676,0.9891568137065984,0.9763563161764268,0.9943092592316188,FALSE
PC 28:1,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6415325029703316,-2.04184971851804,0.2701403267662553,0.0349015967645405,0.5354141537644564,0.383917564409946,TRUE
Citric Acid,HMDB00094,Citrate cycle (TCA cycle),Energy metabolism,-0.8536494663112646,0.0389941316158634,0.2210687665729193,0.7422321962254023,0.5185424114097582,0.9188335127824035,FALSE
PC 38:7,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6307953765270078,-0.455348099512974,0.1920824615075011,0.0672911656608407,0.4908454359890197,0.4157303522334134,TRUE
PE 38:4,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.339004557893008,0.4033066684721607,0.1449098925189018,0.359999557041207,0.436270370371161,0.6716913961512664,FALSE
Isoleucine,HMDB00172,"Valine, leucine, isoleucine biosynthesis",Amino acids,-0.000262425936169,0.1090620281804949,0.9988166678075616,0.5480614719425607,0.9993027653760432,0.8130780389674174,FALSE
2-Aminoadipic Acid,HMDB00510,Lysine degradation,Amino acids,0.0992375444428558,-0.0659982685000023,0.8323026067951145,0.7008432662926845,0.9414607059471218,0.8804465545905312,FALSE
PC 38:4,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.0088920936337001,-0.1962759329564246,0.9687508359962878,0.094414693764925,0.9993027653760432,0.44943203779015,FALSE
Glyceric Acid,HMDB00139,Glyoxylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,-0.5654613024681253,-0.329036568940235,0.1266518053287956,0.2125606922786185,0.4036226725377274,0.5880403552006206,TRUE
O-Succinylhomoserine,,Cysteine and methionine metabolism,Amino acids,-0.2035002826376028,-0.3429140558259274,0.6916688466075689,0.3768485599578464,0.8608344027798343,0.6853173408910835,TRUE
Tyrosine,HMDB00158,Tyrosine metabolism,Amino acids,-0.5565461560146924,0.0236779200548019,0.0701573337488749,0.894459394635317,0.3612660412019187,0.95592698336618,FALSE
Phosphocholine,HMDB01565,"Glycerophospholipid metabolism, choline metabolism",Lipid metabolism,-1.300672863378369,0.2678506567870508,0.0411402844073283,0.1156773403102583,0.3352311277389937,0.4683643946690702,FALSE
Nicotinamide N-Oxide,HMDB02730,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",0.0279781675869789,-0.0404577967479514,0.8305309376153059,0.8595195481370093,0.9414607059471218,0.9514184856318494,FALSE
Xanthine,HMDB00292,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,0.0745244886862498,1.0153321368077484,0.9282424294244128,0.0571251123083362,0.9827939830025284,0.4132029385853039,TRUE
Maleic Acid,HMDB00176,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",-1.009200272106569,-1.228635298457966,0.1110242775556145,0.2988842846634219,0.3823578427076766,0.6515513817823106,TRUE
Uric Acid,HMDB00289,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.4006492707942492,-0.0734587148441744,0.2643049408003422,0.7949950372352399,0.5354141537644564,0.931279900761281,TRUE
Adenosine,HMDB00050,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,0.3601834331296339,-0.7538307902000876,0.1057713438450889,0.2765550052272543,0.3792143066264267,0.6279076641753747,FALSE
PC 36:3,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.4091655179006883,-0.2167161290320541,0.000923076573286,0.0521337021967327,0.0853448790712121,0.4132029385853039,TRUE
Hypoxanthine,HMDB00157,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.226955906239499,2.435586492157781,0.5586583310850823,5.140249533212322e-06,0.7490450669602555,0.0023182525394787,FALSE
Succinoadenosine,HMDB00912,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.773622036545381,-0.1049297472900076,0.2414871878259786,0.77096039547116,0.5185424114097582,0.9269571401909784,TRUE
Homovanillic Acid,HMDB00118,Tyrosine metabolism; dopamine/catecholamine metabolite,Amino acids,-0.9411067508618224,-0.1440625881016917,0.1355467304657339,0.6265301688298255,0.4202853305000577,0.8372740894061015,TRUE
Trimethylamine N-Oxide,HMDB00925,Glycerophospholipid metabolism,Lipid metabolism,0.0563072421681396,-0.2158420980905274,0.9167866224481748,0.7728068397157604,0.9827939830025284,0.9269571401909784,FALSE
PC 32:2,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6367972602304449,-0.927649835077805,0.2740261302476635,0.0302808851079048,0.5354141537644564,0.3593862943069761,TRUE
PC 40:7,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.310719812243146,-0.4427769887063971,0.2617527807326766,0.0194351409089786,0.5351482151105263,0.3287483011092887,TRUE
PC 35:2,HMDB08330,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.6831035780366991,-0.2701560227851969,0.0049375515755818,0.0585895871538247,0.1447467711342672,0.4132029385853039,TRUE
PC O-34:3,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.0085761913564698,-0.085661011721918,0.9555426281285796,0.6484999654865227,0.9965899195020176,0.8502136175419236,TRUE
Uridine,HMDB00296,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,-1.6943358229755203,-0.0123806300439072,0.3991192122463887,0.9735778224925716,0.6532195901831966,0.9911593633050786,TRUE
PC 32:1,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.3437098531173187,-0.4554302240609628,0.2270058658735254,0.2429516427587308,0.5185424114097582,0.6106672304348486,TRUE
PC 42:6,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.3899725773002618,-0.7859211657105194,0.4854691347356168,0.0254908659517716,0.6978743236700867,0.3381288395367359,TRUE
PC 34:1,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.1405904208659398,0.0765411259755217,0.4963091561474795,0.5830108845546457,0.708531849613257,0.8318047133454698,FALSE
Meso-Tartaric Acid,HMDB62642,Glycylate and dicarboxylate metabolism,Glycylate and dicarboxylate metabolism,-1.5070210763219332,1.5496401456640347,0.5078887640792715,0.057277392750165,0.721548910644406,0.4132029385853039,FALSE
PC 31:0,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.7563575907527166,-1.573591147174366,0.0086592210199627,0.2024516351111037,0.1812987662125987,0.5815648881217056,TRUE
Theobromine,HMDB02825,Cacao alkaloid,Caffeine metabolism,-3.456047536549459,-1.5548961986502334,0.0415159786680273,0.128354402043567,0.3352311277389937,0.470632807493079,TRUE
PC 36:2,HMDB08590,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.5248274906051631,-0.2426354276744962,0.0049971180090437,0.1691239092100735,0.1447467711342672,0.5426330074030167,TRUE
PC 36:5,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.9154789407629488,-0.7867732470813859,0.0856571037454972,0.0794566336454296,0.3764494188759763,0.4393682020118479,TRUE
N-Acetylglycine,HMDB00532,Amino acid acetylation,Amino acids,0.5694838782664152,0.4579464095456662,0.1051245824674678,0.0250566995476767,0.3792143066264267,0.3381288395367359,TRUE
Phenylalanine,HMDB00159,Phenylalanine metabolism,Amino acids,-0.4272432372987273,-0.0671937681860169,0.0608459649015765,0.5415147651349517,0.3392006368211062,0.8130780389674174,TRUE
PC 36:4,HMDB07983,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.1915811294261317,0.1518970218242095,0.2411376140465956,0.2858461466406348,0.5185424114097582,0.635057202635105,TRUE
Betaine,HMDB00043,"Glycine, serine and threonine metabolism",Amino acids,-0.2169724963845203,0.0692807915985751,0.1391313272969791,0.7974795464559391,0.4261741141960866,0.9317701436570688,FALSE
Pipecolinic Acid,HMDB00070,Lysine degradation,Amino acids,-0.3615723177763968,-0.1022613456553391,0.5346074370870337,0.6138743302097338,0.7355143613020554,0.8372740894061015,TRUE
PC 40:6,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],0.0574387587385499,-0.1314719964684673,0.6999267318714204,0.5469291651911086,0.8667820521729965,0.8130780389674174,FALSE
Biliverdin,HMDB01008,Porphyrin metabolism,Porphyrin metabolism,-0.0184910337919315,0.5456111618766769,0.978540003464068,0.3091810843576294,0.9993027653760432,0.6522357789806338,FALSE
PC 34:3,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],-0.49282525322421,-0.5514786185277509,0.0319309231563439,0.0225968898766916,0.3052789774492886,0.3287483011092887,TRUE
5-Methylcytidine,HMDB00982,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,-0.4046725231470481,-0.2782658742672627,0.5515695247610205,0.3476518384656372,0.7452684585100727,0.6643685557118745,TRUE
Valine,HMDB00883,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,-0.2558291195516712,0.0201326558258868,0.3231398726432557,0.8902371669894338,0.582575027536841,0.9536744948034076,FALSE
Lactic Acid,HMDB00190,Glycolysis / Gluconeogenesis,Energy metabolism,-0.0655194040324596,-0.3008451296634061,0.7539046021682714,0.1096076517452739,0.913078318556966,0.4683643946690702,TRUE
PE 36:3,,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.0788256099478188,0.1072418965358734,0.0853243463101566,0.8746515084801851,0.3764494188759763,0.9514184856318494,FALSE
Malic Acid,HMDB00156,Citrate cycle (TCA cycle),Energy metabolism,-0.4738796124208111,-0.1923543747965211,0.2447853253289459,0.483851954237209,0.5200657921971882,0.7793472548606475,TRUE
Dehydroascorbic Acid,HMDB01264,Ascorbate and aldarate metabolism,"Cofactor, vitamin and antioxidant metabolism",-1.1381930096530892,-1.3794343859664115,0.0743733126445621,0.0587384674181277,0.3717512091653902,0.4132029385853039,TRUE
Sphingosine,HMDB00252,Sphingolipid metabolism,Lipid metabolism,0.3926461965341301,-0.238832186469842,0.0603031362414796,0.0725059473742563,0.3392006368211062,0.4360024302105279,FALSE
Arginine,HMDB00517,Arginine and Proline metabolism,Amino acids,-0.0069100433851039,0.5412049359609572,0.9809054850201576,0.117654916440871,0.9993027653760432,0.4683643946690702,FALSE
