gene_name,gene_id,gene_type,pathway
MTRNR2L8,ENSG00000255823.5,protein_coding,Other
MTRNR2L12,ENSG00000269028.3,protein_coding,Other
LUC7L2,ENSG00000146963.18,protein_coding,Other
SMIM5,ENSG00000204323.5,protein_coding,Other
ATXN7L1,ENSG00000146776.15,protein_coding,Other
POLR3GL,ENSG00000121851.13,protein_coding,Other
RAB11FIP3,ENSG00000090565.17,protein_coding,Other
TREML1,ENSG00000161911.11,protein_coding,Other
DNAJC16,ENSG00000116138.13,protein_coding,Other
MCRIP1,ENSG00000225663.8,protein_coding,Other
RAVER1,ENSG00000161847.14,protein_coding,Other
RN7SL4P,ENSG00000263740.2,misc_RNA,Other
MCU,ENSG00000156026.14,protein_coding,Other
GNB5,ENSG00000069966.19,protein_coding,Other
CRTC3,ENSG00000140577.16,protein_coding,Other
RAPH1,ENSG00000173166.18,protein_coding,Other
USP39,ENSG00000168883.20,protein_coding,Other
MYO10,ENSG00000145555.15,protein_coding,Other
INTS8,ENSG00000164941.14,protein_coding,Other
MOV10,ENSG00000155363.18,protein_coding,Other
PHF1,ENSG00000112511.18,protein_coding,Other
DNA2,ENSG00000138346.15,protein_coding,Other
DLAT,ENSG00000150768.17,protein_coding,Other
SLC9A3R2,ENSG00000065054.14,protein_coding,Other
PARP10,ENSG00000178685.14,protein_coding,Other
KRT10,ENSG00000186395.9,protein_coding,Other
E2F2,ENSG00000007968.7,protein_coding,Other
RNF24,ENSG00000101236.17,protein_coding,Other
KIF1C,ENSG00000129250.12,protein_coding,Other
CD55,ENSG00000196352.16,protein_coding,Other
FCF1,ENSG00000119616.11,protein_coding,Other
CAMK1,ENSG00000134072.11,protein_coding,Other
RNA5SP202,ENSG00000201185.1,rRNA_pseudogene,Other
SCRIB,ENSG00000180900.20,protein_coding,Other
OSGIN2,ENSG00000164823.11,protein_coding,Other
WWTR1,ENSG00000018408.15,protein_coding,Other
FNBP1L,ENSG00000137942.18,protein_coding,Other
SNX19,ENSG00000120451.11,protein_coding,Other
TNIK,ENSG00000154310.17,protein_coding,Other
ACTBP2,ENSG00000213763.4,processed_pseudogene,Other
VPS8,ENSG00000156931.16,protein_coding,Other
ARPC4,ENSG00000241553.13,protein_coding,Other
TMCC1,ENSG00000172765.18,protein_coding,Other
TBC1D22B,ENSG00000065491.8,protein_coding,Other
SLC7A5,ENSG00000103257.9,protein_coding,Other
KLRB1,ENSG00000111796.4,protein_coding,Other
LILRB3,ENSG00000204577.11,protein_coding,Other
ARL4A,ENSG00000122644.13,protein_coding,Other
RNA5SP145,ENSG00000199994.1,rRNA_pseudogene,Other
RNA5S9,ENSG00000201321.1,rRNA,Other
PITPNM2,ENSG00000090975.14,protein_coding,Other
SASH1,ENSG00000111961.18,protein_coding,Other
CAVIN1,ENSG00000177469.13,protein_coding,Other
GTF2A2,ENSG00000140307.11,protein_coding,Other
CNTROB,ENSG00000170037.14,protein_coding,Other
NACC2,ENSG00000148411.8,protein_coding,Other
IFT57,ENSG00000114446.5,protein_coding,Other
CPNE2,ENSG00000140848.17,protein_coding,Other
CPLANE1,ENSG00000197603.16,protein_coding,Other
DAPK3,ENSG00000167657.14,protein_coding,Other
ATP9B,ENSG00000166377.20,protein_coding,Other
ANKRD9,ENSG00000156381.9,protein_coding,Other
DCXR,ENSG00000169738.8,protein_coding,Other
CORO1C,ENSG00000110880.11,protein_coding,Other
PLIN3,ENSG00000105355.9,protein_coding,Other
BHLHE40,ENSG00000134107.5,protein_coding,Other
ZNF542P,ENSG00000240225.10,transcribed_unprocessed_pseudogene,Other
NAA16,ENSG00000172766.19,protein_coding,Other
H2AJ,ENSG00000246705.4,protein_coding,Other
CST7,ENSG00000077984.6,protein_coding,Other
PELI1,ENSG00000197329.12,protein_coding,Other
HBA1,ENSG00000206172.8,protein_coding,Erythropoiesis
SBF2,ENSG00000133812.17,protein_coding,Other
AASDHPPT,ENSG00000149313.11,protein_coding,Other
CIT,ENSG00000122966.17,protein_coding,Other
UTP25,ENSG00000117597.18,protein_coding,Other
NDUFA6,ENSG00000184983.11,protein_coding,Other
NAA38,ENSG00000183011.14,protein_coding,Other
DFFA,ENSG00000160049.12,protein_coding,Other
USP37,ENSG00000135913.11,protein_coding,Other
DENND5A,ENSG00000184014.9,protein_coding,Other
ERCC1,ENSG00000012061.16,protein_coding,Other
GNAQ,ENSG00000156052.11,protein_coding,Other
RMDN1,ENSG00000176623.12,protein_coding,Other
SLC11A1,ENSG00000018280.17,protein_coding,Other
CCDC43,ENSG00000180329.14,protein_coding,Other
PDE5A,ENSG00000138735.16,protein_coding,Other
SCFD2,ENSG00000184178.16,protein_coding,Other
CEP128,ENSG00000100629.17,protein_coding,Other
STRIP1,ENSG00000143093.15,protein_coding,Other
PPP1R14A,ENSG00000167641.11,protein_coding,Other
TOMM22,ENSG00000100216.6,protein_coding,Other
DBP,ENSG00000105516.11,protein_coding,Other
AFDN,ENSG00000130396.21,protein_coding,Other
FAM107A,ENSG00000168309.18,protein_coding,Other
DDRGK1,ENSG00000198171.13,protein_coding,Other
KANK2,ENSG00000197256.11,protein_coding,Other
SKA3,ENSG00000165480.16,protein_coding,Other
EIF2AK4,ENSG00000128829.12,protein_coding,Other
ZNF431,ENSG00000196705.8,protein_coding,Other
CNTLN,ENSG00000044459.15,protein_coding,Other
TATDN1,ENSG00000147687.19,protein_coding,Other
IQCE,ENSG00000106012.18,protein_coding,Other
MYL9,ENSG00000101335.10,protein_coding,Other
PCGF3,ENSG00000185619.18,protein_coding,Other
SRPRA,ENSG00000182934.12,protein_coding,Other
ZFAND2B,ENSG00000158552.13,protein_coding,Other
OST4,ENSG00000228474.6,protein_coding,Other
RBPMS2,ENSG00000166831.9,protein_coding,Other
HMBS,ENSG00000256269.10,protein_coding,Other
PARVB,ENSG00000188677.15,protein_coding,Other
DSP,ENSG00000096696.15,protein_coding,Other
CGNL1,ENSG00000128849.11,protein_coding,Other
INSIG1,ENSG00000186480.13,protein_coding,Other
EGR1,ENSG00000120738.8,protein_coding,Other
FBXL17,ENSG00000145743.17,protein_coding,Other
ATG2B,ENSG00000066739.12,protein_coding,Other
IL6ST,ENSG00000134352.20,protein_coding,Other
INPP4B,ENSG00000109452.12,protein_coding,Other
MAP4K2,ENSG00000168067.12,protein_coding,Other
UBXN11,ENSG00000158062.20,protein_coding,Other
PITPNM3,ENSG00000091622.16,protein_coding,Other
H3C10,ENSG00000278828.1,protein_coding,Other
AFAP1,ENSG00000196526.11,protein_coding,Other
NQO2,ENSG00000124588.22,protein_coding,Other
FAM110A,ENSG00000125898.13,protein_coding,Other
SIDT2,ENSG00000149577.16,protein_coding,Other
MIR4435-2HG,ENSG00000172965.17,lncRNA,Other
RNU6-2,ENSG00000207357.1,snRNA,Other
SEPHS1,ENSG00000086475.15,protein_coding,Other
RNA5SP150,ENSG00000199839.1,rRNA,Other
TMEM248,ENSG00000106609.16,protein_coding,Other
RN7SL128P,ENSG00000240869.3,misc_RNA,Other
GFOD1,ENSG00000145990.11,protein_coding,Other
EPAS1,ENSG00000116016.14,protein_coding,Other
ALB,ENSG00000163631.17,protein_coding,Other
RNA5SP226,ENSG00000199523.1,rRNA_pseudogene,Other
TPP1,ENSG00000166340.18,protein_coding,Other
VCL,ENSG00000035403.18,protein_coding,Other
SLC35E1,ENSG00000127526.15,protein_coding,Other
TMSB4XP4,ENSG00000223551.1,processed_pseudogene,Other
PIEZO1,ENSG00000103335.22,protein_coding,Other
RNU4-2,ENSG00000202538.1,snRNA,Other
SBK1,ENSG00000188322.8,protein_coding,Other
RRAGD,ENSG00000025039.15,protein_coding,Other
NPAT,ENSG00000149308.17,protein_coding,Other
RN7SL1,ENSG00000276168.1,misc_RNA,Other
AKAP12,ENSG00000131016.17,protein_coding,Other
SUZ12P1,ENSG00000264538.6,transcribed_unprocessed_pseudogene,Other
RNA5SP298,ENSG00000201861.1,rRNA_pseudogene,Other
RNA5SP149,ENSG00000201822.1,rRNA_pseudogene,Other
ZNF646,ENSG00000167395.10,protein_coding,Other
PNKD,ENSG00000127838.14,protein_coding,Other
VPS13A,ENSG00000197969.14,protein_coding,Other
PPP1R14B,ENSG00000173457.11,protein_coding,Other
HIP1,ENSG00000127946.17,protein_coding,Other
VAV2,ENSG00000160293.17,protein_coding,Other
MLH3,ENSG00000119684.16,protein_coding,Other
CMTM5,ENSG00000166091.21,protein_coding,Other
ZNF25,ENSG00000175395.16,protein_coding,Other
AIF1L,ENSG00000126878.13,protein_coding,Other
LYPLAL1,ENSG00000143353.12,protein_coding,Other
SCAMP2,ENSG00000140497.16,protein_coding,Other
SHE,ENSG00000169291.10,protein_coding,Other
APPL2,ENSG00000136044.12,protein_coding,Other
METTL7A,ENSG00000185432.12,protein_coding,Other
SPPL3,ENSG00000157837.16,protein_coding,Other
TRAPPC1,ENSG00000170043.12,protein_coding,Other
SIAE,ENSG00000110013.13,protein_coding,Other
ASB8,ENSG00000177981.11,protein_coding,Other
RSRP1,ENSG00000117616.18,protein_coding,Other
CCL5,ENSG00000271503.6,protein_coding,Other
NNT,ENSG00000112992.18,protein_coding,Other
RAP1BL,ENSG00000254893.6,translated_processed_pseudogene,Other
C1orf198,ENSG00000119280.17,protein_coding,Other
CAMSAP1,ENSG00000130559.19,protein_coding,Other
GTPBP2,ENSG00000172432.19,protein_coding,Other
TJP1,ENSG00000104067.17,protein_coding,Other
JCAD,ENSG00000165757.9,protein_coding,Other
PPARD,ENSG00000112033.14,protein_coding,Other
TMEM91,ENSG00000142046.15,protein_coding,Other
ZNF438,ENSG00000183621.15,protein_coding,Other
VPS16,ENSG00000215305.10,protein_coding,Other
SVIP,ENSG00000198168.9,protein_coding,Other
GZMA,ENSG00000145649.8,protein_coding,Other
FABP5,ENSG00000164687.11,protein_coding,Other
IFI27,ENSG00000165949.12,protein_coding,Other
KCNK6,ENSG00000099337.5,protein_coding,Other
PLCB1,ENSG00000182621.18,protein_coding,Other
JAM3,ENSG00000166086.13,protein_coding,Other
ERG,ENSG00000157554.19,protein_coding,Other
CXCL5,ENSG00000163735.7,protein_coding,Other
RN7SL3,ENSG00000278771.1,misc_RNA,Other
H4C8,ENSG00000158406.6,protein_coding,Other
TAGLN2,ENSG00000158710.15,protein_coding,Other
PGM2,ENSG00000169299.14,protein_coding,Other
CD84,ENSG00000066294.15,protein_coding,Other
DNAJB6,ENSG00000105993.15,protein_coding,Other
FERMT3,ENSG00000149781.13,protein_coding,Other
CHIC2,ENSG00000109220.11,protein_coding,Other
H3P6,ENSG00000235655.3,processed_pseudogene,Other
RUNX1,ENSG00000159216.19,protein_coding,Other
TTC38,ENSG00000075234.17,protein_coding,Other
PRDX6,ENSG00000117592.9,protein_coding,Other
GP9,ENSG00000169704.5,protein_coding,Other
LRP1,ENSG00000123384.14,protein_coding,Other
ARHGAP21,ENSG00000107863.19,protein_coding,Other
GTF3C5,ENSG00000148308.18,protein_coding,Other
PDGFA,ENSG00000197461.13,protein_coding,Other
TMEM140,ENSG00000146859.6,protein_coding,Other
GP1BA,ENSG00000185245.8,protein_coding,Other
BCL6B,ENSG00000161940.11,protein_coding,Other
ENTR1,ENSG00000165689.17,protein_coding,Other
THBS1,ENSG00000137801.11,protein_coding,Other
CR1,ENSG00000203710.12,protein_coding,Other
FRAT2,ENSG00000181274.7,protein_coding,Other
SNX8,ENSG00000106266.11,protein_coding,Other
FOS,ENSG00000170345.10,protein_coding,Other
RGS10,ENSG00000148908.15,protein_coding,Other
MYLK,ENSG00000065534.19,protein_coding,Other
CRIP2,ENSG00000182809.11,protein_coding,Other
RBMS2,ENSG00000076067.13,protein_coding,Other
PLA2G12A,ENSG00000123739.11,protein_coding,Other
STON2,ENSG00000140022.13,protein_coding,Other
ATP2A3,ENSG00000074370.18,protein_coding,Other
SMOX,ENSG00000088826.18,protein_coding,Other
GTDC1,ENSG00000121964.15,protein_coding,Other
LAMP1,ENSG00000185896.11,protein_coding,Other
DNAJB4,ENSG00000162616.9,protein_coding,Other
LRBA,ENSG00000198589.14,protein_coding,Other
GNAZ,ENSG00000128266.9,protein_coding,Other
FGD5,ENSG00000154783.12,protein_coding,Other
MGAT4B,ENSG00000161013.17,protein_coding,Other
PTPRA,ENSG00000132670.21,protein_coding,Other
MARCHF2,ENSG00000099785.11,protein_coding,Other
TLK1,ENSG00000198586.14,protein_coding,Other
C2orf88,ENSG00000187699.10,protein_coding,Other
ZNF516,ENSG00000101493.11,protein_coding,Other
CMIP,ENSG00000153815.17,protein_coding,Other
LINC00989,ENSG00000250334.6,lncRNA,Other
C12orf76,ENSG00000174456.15,protein_coding,Other
MCUR1,ENSG00000050393.11,protein_coding,Other
RP11-1398P2.1,ENSG00000244459.2,lncRNA,Other
CD82,ENSG00000085117.12,protein_coding,Other
A2M,ENSG00000175899.15,protein_coding,Other
PPP2R5B,ENSG00000068971.14,protein_coding,Other
ENDOD1,ENSG00000149218.5,protein_coding,Other
ITGB5,ENSG00000082781.12,protein_coding,Other
H2AC6,ENSG00000180573.10,protein_coding,Other
ECE1,ENSG00000117298.16,protein_coding,Other
TNFRSF13B,ENSG00000240505.9,protein_coding,Other
KLHL6,ENSG00000172578.12,protein_coding,Other
MTATP6P1,ENSG00000248527.1,unprocessed_pseudogene,Other
IGLC2,ENSG00000211677.2,IG_C_gene,Other
EEF1DP1,ENSG00000228887.3,processed_pseudogene,Other
ALOX12,ENSG00000108839.12,protein_coding,Other
B2M,ENSG00000166710.21,protein_coding,Other
AP003068.23,ENSG00000254614.2,lncRNA,Other
PROS1,ENSG00000184500.16,protein_coding,Other
SLC44A2,ENSG00000129353.15,protein_coding,Other
ABCC4,ENSG00000125257.16,protein_coding,Other
HRAT92,ENSG00000223855.2,lncRNA,Other
GUCY1B1,ENSG00000061918.14,protein_coding,Other
NRGN,ENSG00000154146.13,protein_coding,Other
TPM1,ENSG00000140416.23,protein_coding,Other
CXCR2P1,ENSG00000229754.1,transcribed_unprocessed_pseudogene,Other
RSU1,ENSG00000148484.18,protein_coding,Other
SAMD14,ENSG00000167100.15,protein_coding,Other
SRSF6,ENSG00000124193.16,protein_coding,Other
HECW2,ENSG00000138411.13,protein_coding,Other
PTGS1,ENSG00000095303.17,protein_coding,Other
CD9,ENSG00000010278.15,protein_coding,Other
DDX11L10,ENSG00000233614.6,transcribed_unprocessed_pseudogene,Other
MED12L,ENSG00000144893.12,protein_coding,Other
RNA5SP141,ENSG00000201413.1,rRNA_pseudogene,Other
AC114752.3,ENSG00000238201.1,lncRNA,Other
ESAM,ENSG00000149564.12,protein_coding,Other
WHAMMP2,ENSG00000248334.6,transcribed_unprocessed_pseudogene,Other
HACD4,ENSG00000188921.14,protein_coding,Other
RAI1,ENSG00000108557.19,protein_coding,Other
PLXDC2,ENSG00000120594.17,protein_coding,Other
NPTN,ENSG00000156642.17,protein_coding,Other
F13A1,ENSG00000124491.16,protein_coding,Other
CLEC1B,ENSG00000165682.14,protein_coding,Other
MPIG6B,ENSG00000204420.10,protein_coding,Other
SEMA4D,ENSG00000187764.12,protein_coding,Other
GFI1B,ENSG00000165702.15,protein_coding,Other
ZNF271P,ENSG00000257267.3,transcribed_unitary_pseudogene,Other
DPM2,ENSG00000136908.18,protein_coding,Other
NCKAP1,ENSG00000061676.15,protein_coding,Other
NEXN,ENSG00000162614.19,protein_coding,Other
ACVR2A,ENSG00000121989.15,protein_coding,Other
MTND2P28,ENSG00000225630.1,unprocessed_pseudogene,Other
GUCY1A1,ENSG00000164116.17,protein_coding,Other
TSC22D1,ENSG00000102804.15,protein_coding,Other
DEDD,ENSG00000158796.17,protein_coding,Other
H2BC11,ENSG00000124635.9,protein_coding,Other
FLACC1,ENSG00000155749.13,protein_coding,Other
CD34,ENSG00000174059.17,protein_coding,Other
MTND1P23,ENSG00000225972.1,unprocessed_pseudogene,Other
RNASET2,ENSG00000026297.17,protein_coding,Other
TPTEP1,ENSG00000100181.22,transcribed_unprocessed_pseudogene,Other
CDKN1A,ENSG00000124762.14,protein_coding,Other
PTCRA,ENSG00000171611.10,protein_coding,Other
ATP8A1,ENSG00000124406.16,protein_coding,Other
PBX1,ENSG00000185630.19,protein_coding,Other
CDC14B,ENSG00000081377.17,protein_coding,Other
GNG11,ENSG00000127920.6,protein_coding,Other
SLC25A39,ENSG00000013306.16,protein_coding,Other
PPBP,ENSG00000163736.4,protein_coding,Other
CAVIN2,ENSG00000168497.5,protein_coding,Other
RDH11,ENSG00000072042.13,protein_coding,Other
MFAP3L,ENSG00000198948.12,protein_coding,Other
TMEM40,ENSG00000088726.16,protein_coding,Other
NBPF26,ENSG00000273136.7,protein_coding,Other
GRAP2,ENSG00000100351.17,protein_coding,Other
PF4,ENSG00000163737.4,protein_coding,Other
MMD,ENSG00000108960.9,protein_coding,Other
DAAM1,ENSG00000100592.16,protein_coding,Other
PRKAR2B,ENSG00000005249.13,protein_coding,Other
IGF1R,ENSG00000140443.15,protein_coding,Other
DSE,ENSG00000111817.19,protein_coding,Other
ITGB1,ENSG00000150093.20,protein_coding,Other
LTBP1,ENSG00000049323.16,protein_coding,Other
MAP1A,ENSG00000166963.13,protein_coding,Other
RUFY1,ENSG00000176783.15,protein_coding,Other
TUBB1,ENSG00000101162.4,protein_coding,Other
WASF3,ENSG00000132970.14,protein_coding,Other
LGALSL,ENSG00000119862.13,protein_coding,Other
FRMD4B,ENSG00000114541.15,protein_coding,Other
RP11-673E1.1,ENSG00000251600.8,lncRNA,Other
TSPAN33,ENSG00000158457.6,protein_coding,Other
RAB27B,ENSG00000041353.10,protein_coding,Other
ARHGAP18,ENSG00000146376.11,protein_coding,Other
INAFM2,ENSG00000259330.3,protein_coding,Other
TSPAN18,ENSG00000157570.12,protein_coding,Other
ITGA2B,ENSG00000005961.19,protein_coding,Other
CNST,ENSG00000162852.14,protein_coding,Other
ARL6IP5,ENSG00000144746.7,protein_coding,Other
RN7SL674P,ENSG00000239899.3,misc_RNA,Other
CLU,ENSG00000120885.22,protein_coding,Other
FABP4,ENSG00000170323.9,protein_coding,Other
ANKRD36BP2,ENSG00000230006.7,transcribed_unprocessed_pseudogene,Other
EGF,ENSG00000138798.13,protein_coding,Other
ICAM2,ENSG00000108622.11,protein_coding,Other
APP,ENSG00000142192.21,protein_coding,Other
ABCC3,ENSG00000108846.16,protein_coding,Other
DGKG,ENSG00000058866.15,protein_coding,Other
PNMA1,ENSG00000176903.5,protein_coding,Other
INF2,ENSG00000203485.14,protein_coding,Other
SSX2IP,ENSG00000117155.17,protein_coding,Other
LIMCH1,ENSG00000064042.18,protein_coding,Other
PRKAR1B,ENSG00000188191.15,protein_coding,Other
SLC40A1,ENSG00000138449.11,protein_coding,Other
CTDSPL,ENSG00000144677.15,protein_coding,Other
AC005301.9,ENSG00000283633.1,lncRNA,Other
PKHD1L1,ENSG00000205038.12,protein_coding,Other
MAP3K7CL,ENSG00000156265.16,protein_coding,Other
CTB-63M22.1,ENSG00000229119.3,processed_pseudogene,Other
CD226,ENSG00000150637.9,protein_coding,Other
KIF2A,ENSG00000068796.19,protein_coding,Other
SH3BGRL2,ENSG00000198478.8,protein_coding,Other
PTPRJ,ENSG00000149177.13,protein_coding,Other
IL7R,ENSG00000168685.15,protein_coding,Other
PF4V1,ENSG00000109272.4,protein_coding,Other
SPARC,ENSG00000113140.11,protein_coding,Other
ACVR1,ENSG00000115170.16,protein_coding,Other
ITGB3,ENSG00000259207.9,protein_coding,Other
F2R,ENSG00000181104.7,protein_coding,Other
ANO6,ENSG00000177119.17,protein_coding,Other
LIMS1,ENSG00000169756.16,protein_coding,Other
SGCE,ENSG00000127990.19,protein_coding,Other
RGS18,ENSG00000150681.10,protein_coding,Other
ENKUR,ENSG00000151023.17,protein_coding,Other
RNU5A-1,ENSG00000199568.1,snRNA,Other
VTRNA1-1,ENSG00000199990.1,misc_RNA,Other
RNA5SP429,ENSG00000200558.1,rRNA_pseudogene,Other
RNY1,ENSG00000201098.1,misc_RNA,Other
MUC19,ENSG00000205592.15,protein_coding,Other
LCAT,ENSG00000213398.8,protein_coding,Other
MTCYBP29,ENSG00000224880.1,unprocessed_pseudogene,Other
SILC1,ENSG00000232044.7,lncRNA,Other
RNY4,ENSG00000252316.1,misc_RNA,Other
MIR124-2HG,ENSG00000254377.6,lncRNA,Other
