metabolite_id,metabolite_name,HMDB_id,KEGG_id,pathway,super_pathway,chemical_class,formula,CAS_id
MET_0179,PC O-36:6,,,"1-(1Z-alkenyl),2-acylglycerophosphocholines [GP0103]",Glycerophosphocholines [GP01],Other,C44H78NO7P,
MET_0180,PC O-36:5,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C44H80NO7P,
MET_0181,PC 35:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C43H84NO8P,
MET_0182,PC O-38:1,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C46H92NO7P,
MET_0183,PC 38:6,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H80NO8P,
MET_0184,PC 38:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H82NO8P,
MET_0185,PC O-40:8,,,"1-acyl,2-alkylglycerophosphocholines [GP0108]",Glycerophosphocholines [GP01],Other,C48H82NO7P,
MET_0186,PC O-39:1,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C47H94NO7P,
MET_0187,PC O-40:7,,,"1-(1Z-alkenyl),2-acylglycerophosphocholines [GP0103]",Glycerophosphocholines [GP01],Other,C48H84NO7P,
MET_0188,PC O-40:2,,,"1-alkyl,2-acylglycerophosphocholines [GP0102]",Glycerophosphocholines [GP01],Other,C48H94NO7P,
MET_0189,PC 44:12,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C52H80NO8P,
MET_0190,PC 54:12,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C62H100NO8P,
MET_0191,PC 56:12,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C64H104NO8P,
MET_0192,LPC 14:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C22H46NO7P,
MET_0193,LPC O-17:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C25H52NO6P,
MET_0194,LPC O-18:2,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C26H52NO6P,
MET_0195,LPC O-18:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C26H54NO6P,
MET_0196,LPC 17:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C25H52NO7P,
MET_0197,LPC O-18:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C26H56NO6P,
MET_0198,LPC 18:2;O,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C26H50NO8P,
MET_0199,LPC O-20:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C28H60NO6P,
MET_0200,LPC 20:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C28H48NO7P,
MET_0201,LPC 20:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C28H50NO7P,
MET_0202,LPC 20:3,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C28H52NO7P,
MET_0203,LPC 20:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C28H56NO7P,
MET_0204,LPC 20:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C28H58NO7P,
MET_0205,LPC O-22:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H62NO6P,
MET_0206,LPC O-22:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H64NO6P,
MET_0207,LPC 22:6,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H50NO7P,
MET_0208,PC 34:2;O,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C42H80NO9P,
MET_0209,PC 36:4;O,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C44H80NO9P,
MET_0210,PC 38:6;O,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H80NO9P,
MET_0211,LPC 22:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H52NO7P,
MET_0212,LPC 22:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H54NO7P,
MET_0213,LPC 22:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H60NO7P,
MET_0214,LPC 22:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C30H62NO7P,
MET_0215,LPC O-24:2,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C32H64NO6P,
MET_0216,LPC O-24:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C32H66NO6P,
MET_0217,LPC O-24:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C32H68NO6P,
MET_0218,LPC 24:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C32H66NO7P,
MET_0219,PC O-30:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C38H76NO7P,
MET_0220,PC 31:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C39H76NO8P,
MET_0221,PC O-32:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C40H80NO7P,
MET_0222,PC O-32:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C40H82NO7P,
MET_0223,PC 33:2,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C41H78NO8P,
MET_0224,PC O-34:2,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C42H82NO7P,
MET_0225,PC 33:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C41H80NO8P,
MET_0226,PC O-34:1,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C42H84NO7P,
MET_0227,PC 33:0,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C41H82NO8P,
MET_0228,PC O-35:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C43H78NO7P,
MET_0229,PC O-35:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C43H80NO7P,
MET_0230,PC 35:5,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C43H76NO8P,
MET_0231,PC 35:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C43H78NO8P,
MET_0232,PC O-36:4,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C44H82NO7P,
MET_0233,PC O-36:3,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C44H84NO7P,
MET_0234,PC O-36:2,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C44H86NO7P,
MET_0235,PC O-38:7,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H80NO7P,
MET_0236,PC 37:6,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C45H78NO8P,
MET_0237,PC O-38:6,,,Diacylglycerophosphocholines [GP0101],Glycerophosphocholines [GP01],Other,C46H82NO7P,
