metabolite_name,norm_name,super_pathway,sub_pathway,HMDB_id,KEGG_id,CAS_id,formula,log2FC_PD_R1,pvalue_PD_R1,padj_PD_R1,log2FC_PD_R39,pvalue_PD_R39,padj_PD_R39,log2FC_I4_R1,pvalue_I4_R1,padj_I4_R1,log2FC_I4_R45,pvalue_I4_R45,padj_I4_R45,log2FC_I4_R82,pvalue_I4_R82,padj_I4_R82,concordant,avg_log2FC
Thiosulfate,thiosulfate,Amino acids,Cysteine and Methionine metabolism,HMDB00257,C00320,,H2O3S2,-1.03026073917847,0.3083204311442313,0.5688602106783917,-1.3610901730211122,0.2252094773089129,0.8937009496165054,-0.9226373867159526,0.1541402020319136,0.5226859482435567,-1.1257714676524129,0.1027087563896406,0.9475413111830084,-1.7236163121675296,0.039335279552425,0.7085838955099125,TRUE,-0.9764490629472112
N1-Acetylspermidine,n1acetylspermidine,Amino acids,Polyamine metabolism,HMDB01276,C00612,14278-49-0,C9H21N3O,-0.2977342562232494,0.5275217863397985,0.7331855664766803,-0.2721029599316326,0.5453139792584878,0.8953345911408636,0.0398547091416485,0.8355635846086028,0.9424372905349326,0.1603727847195687,0.3747929854159029,0.9475413111830084,0.4487218510772312,0.01064967817828,0.3711003242123732,FALSE,-0.1289397735408004
PC 44:10,pc44:10,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C52H84NO8P,0.330630659866086,0.4047683989883199,0.6532195901831966,-0.1475883341522846,0.7313482017820954,0.921131979732708,0.2828636687156686,0.817416889936794,0.9409478282768764,-1.147343540498757,0.4659339650464887,0.9475413111830084,-1.3757403226203349,0.4124554087964841,0.9269761010096572,TRUE,0.3067471642908773
PC 34:4,pc34:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C42H76NO8P,-0.5891759137776371,0.3356266426173463,0.5986705629109873,0.1512548848891392,0.7272280601923091,0.921131979732708,-0.8357075892430738,0.0111037766059705,0.3287483011092887,-0.1973724247591273,0.4652841420227162,0.9475413111830084,-0.0784466062590753,0.739450144519288,0.9947320575600496,TRUE,-0.7124417515103554
2-ketoglutaramate,2ketoglutaramate,Energy metabolism,"Citrate cycle (TCA cycle), Alanine, Aspartate, and Glutamate metabolism",HMDB01552,C00940,,C5H7NO4,-0.170149957088006,0.7211464464954717,0.8887566557395363,-0.5368876581172511,0.2884195416997019,0.8937009496165054,-0.1414512360987288,0.507496763848772,0.7947258350548477,-0.1289390170461373,0.6383632776996929,0.9475413111830084,-0.0423402632366003,0.8554090224576836,0.9947320575600496,TRUE,-0.1558005965933674
N1-Methy4-Pyridone-5-Carboxamide(4-PY),n1methy4pyridone5carboxamide4py,"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,HMDB04194,C05843,769-49-3,C7H8N2O2,-0.1117736598705452,0.8325232240345737,0.9414607059471218,-0.6591114973985831,0.3053818840172536,0.8937009496165054,-0.3363536302051914,0.1600564738726788,0.5307755126218981,0.1079412414597564,0.624596390845077,0.9475413111830084,-0.0133127849837457,0.9445419449551232,0.9947320575600496,TRUE,-0.2240636450378683
Cysteineglutathione Disulfide,cysteineglutathionedisulfide,"Cofactor, vitamin and antioxidant metabolism",Glutathione metabolism,HMDB00656,,,C13H22N4O8S2,-0.4805863922206536,0.2821679945785402,0.5422903839258885,-0.0413216488959464,0.9178201925245356,0.9573290087590356,-1.2808077643081546,0.1877097049727311,0.5681683016288708,-1.704781375945945,0.1247898921877058,0.9475413111830084,-0.737309363583285,0.3672233980240698,0.9269761010096572,TRUE,-0.8806970782644041
Gentisic Acid,gentisicacid,Amino acids,Tyrosine metabolism,HMDB00152,C00628,490-79-9,C7H6O4,-1.940310868942284,0.0097413160073608,0.1862657697165057,-0.3649622026416325,0.4192471450174683,0.8937009496165054,-0.2408251282020615,0.5191356591497622,0.8023312309255253,-0.0601765641455187,0.8798408057214723,0.9781365830684796,0.042273472770281,0.9046523540934884,0.9947320575600496,TRUE,-1.0905679985721728
PC 42:10,pc42:10,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C50H80NO8P,-0.1679134535197353,0.5373341647814432,0.7370822999501971,-0.0044410227626432,0.9869953200660287,0.9924109154258052,-0.3949939810100727,0.2798435487788255,0.6279076641753747,-0.1459802696257085,0.6586312418421912,0.9475413111830084,-0.1646570784695222,0.6140529884013157,0.9733682641727456,TRUE,-0.281453717264904
Urea,urea,Amino acids,Arginine and Proline metabolism,HMDB00294,C00086,57-13-6,CH4N2O,0.012554277622859,0.9586847561612116,0.9965899195020176,-0.3657096709279696,0.162574878219388,0.8937009496165054,0.0466988051455943,0.7003795842031473,0.8804465545905312,-0.0683633447435803,0.5538048111914511,0.9475413111830084,-0.0424382564097078,0.7206429564093109,0.9947320575600496,TRUE,0.0296265413842266
Fumaric Acid,fumaricacid,Energy metabolism,Citrate cycle (TCA cycle),HMDB00134,C00122,110-17-8,C4H4O4,-0.4131641199233689,0.2659245084016244,0.5354141537644564,-0.7097507533475726,0.0913071107937799,0.8937009496165054,-0.6149568977936444,0.1085738611446026,0.4683643946690702,-0.6377852379740505,0.0927282633725138,0.9475413111830084,-0.2645546261444496,0.4192212735218259,0.9269761010096572,TRUE,-0.5140605088585066
PC 30:0,pc30:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C38H76NO8P,-0.6715335169968898,0.2697613398348546,0.5354141537644564,0.0421469128381233,0.9251103893403204,0.9633380913791764,-0.7104284168038739,0.0091893918293252,0.3287483011092887,-0.0658428671794293,0.7977130458350281,0.9607670304912502,-0.0743533403188066,0.7158093355122576,0.9947320575600496,TRUE,-0.6909809669003819
N-FormyGAR (FGAR)--riboside,nformygarfgarriboside,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,HMDB01308,C04376,,C8H14N2O6,0.1498844822985738,0.6585733725043688,0.8361364145880417,0.2077284484791981,0.5297262786016788,0.8953345911408636,0.1041797866080578,0.5429149646691499,0.8130780389674174,0.0724932206081345,0.6815436415540042,0.9475413111830084,0.130953128014017,0.4576704710027676,0.9418937937821892,TRUE,0.1270321344533158
Ribose,ribose,Energy metabolism,Pentose phosphate pathway,HMDB00283,C08353,50-69-1,C5H10O5,-0.1627977238436276,0.6761388226318139,0.8515840261091309,-0.947004521994266,0.0823964018076775,0.8937009496165054,-0.0864423754132885,0.5636853940564519,0.8287382000476577,-0.1809992629802637,0.2415111503435262,0.9475413111830084,-0.1266689788740539,0.4008865785346193,0.9269761010096572,TRUE,-0.124620049628458
PE O-36:4,peo36:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],,,,C41H76NO7P,-0.7118761962361861,0.0035881493556219,0.1336486752807946,0.038833971256986,0.841779363943308,0.9386212376712992,-0.4535557035490311,0.2777262132111283,0.6279076641753747,0.101728879423491,0.7705988589610554,0.9607670304912502,0.1771588956376506,0.6453842032728012,0.9810706177267752,TRUE,-0.5827159498926087
Sn-Glycero3-Phosphocholine,snglycero3phosphocholine,Lipid metabolism,Glycerophospholipid metabolism,HMDB00086,C00670,28319-77-9,C8H20NO6P,0.0944834801672143,0.7690530869924697,0.9195565501832024,-0.2556958719176601,0.4831948954871083,0.8937009496165054,-0.785217518570151,0.1320460316042155,0.4726409543928665,-0.8709277623443837,0.1093359766710826,0.9475413111830084,-0.9983342739670388,0.0780401572059143,0.8045497613784104,FALSE,-0.3453670192014683
Proline Betaine,prolinebetaine,Amino acids,"Arginine and Proline metabolism, osmolyte",HMDB04827,C10172,471-87-4,C7H13NO2,-2.0523099440996844,0.1107914328779873,0.3823578427076766,0.0418043458399495,0.9558096838775828,0.9737444207683674,-2.0667614973867887,0.0925030845407876,0.44943203779015,-1.54700061147949,0.1405739441889516,0.9475413111830084,-0.336662316147241,0.6313852496696164,0.9810706177267752,TRUE,-2.0595357207432365
Oxalic Acid,oxalicacid,Glycylate and dicarboxylate metabolism,Glyoxylic or Ascorbic acid metabolism,HMDB02329,C00209,144-62-7,C2H2O4,-0.2829611029522216,0.4632834502447321,0.6884443029009145,-0.6441850063350014,0.1447968968819088,0.8937009496165054,0.0684641353450554,0.1802071852922562,0.551057338913218,0.0283603628870557,0.5831074560243853,0.9475413111830084,0.048937296350858,0.4002033523181012,0.9269761010096572,FALSE,-0.1072484838035831
Citrulline,citrulline,Amino acids,Arginine and Proline metabolism,HMDB00904,C00327,372-75-8,C6H13N3O3,0.0300328732105849,0.8399718916352981,0.946468327896202,-0.0581773663451931,0.719986970213889,0.9200644852631849,-0.4351670687571199,0.1029336289078906,0.4683643946690702,0.0812036095706026,0.6994585943786457,0.9475413111830084,0.0673473960610934,0.7452967951702173,0.9947320575600496,FALSE,-0.2025670977732675
3-Hydroxyphenylacetic Acid,3hydroxyphenylaceticacid,Amino acids,Tyrosine/phenylalanin metabolism,HMDB00440,C05593,621-37-4,C8H8O3,-0.0361298074853398,0.9280300938473798,0.9827939830025284,-0.3640122892813164,0.3962675572967733,0.8937009496165054,0.163973405263776,0.6084572546087752,0.836628725087066,-0.2269105856206927,0.5099385023109734,0.9475413111830084,0.3771771583302233,0.319523766356466,0.9269761010096572,FALSE,0.063921798889218
Spermine,spermine,Amino acids,Polyamine metabolism,HMDB01256,C00750,71-44-3,C10H26N4,0.074184701503855,0.7958478025514244,0.9271713300114364,0.1172576346093705,0.6402692663626597,0.9139608058986984,0.2011363537913722,0.4253659654956061,0.7184386611018111,0.265944619216892,0.2434973080814668,0.9475413111830084,0.1423349887184504,0.5363580026186175,0.9418937937821892,TRUE,0.1376605276476136
Succinic Semialdehyde,succinicsemialdehyde,Amino acids,"Alanine, Aspartate, and Glutamate metabolism",HMDB01259,C00232,692-29-5,C4H6O3,-0.4750263658925902,0.4417641065522764,0.675253454850774,-0.4487697318903991,0.4379408302386809,0.8937009496165054,0.3757963981162013,0.2072854876380428,0.5842859682797332,1.1752538005819602,0.0775422021058844,0.9475413111830084,1.5699576966386384,0.0015531042043182,0.1407112409112325,FALSE,-0.0496149838881944
Trigonelline/N-Methylnicotinate,trigonelline/nmethylnicotinate,"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,HMDB00875,C01004,535-83-1,C7H7NO2,-2.952680240615224,0.052158949039958,0.3392006368211062,0.5285038573187385,0.3659055571144585,0.8937009496165054,-1.4580136795067449,0.1808347808407012,0.551057338913218,-1.0769240127803528,0.2566255940003211,0.9475413111830084,-0.820565371564213,0.3522320976407883,0.9269761010096572,TRUE,-2.205346960060984
Sorbitol,sorbitol,Carbohydrate metabolism,Fructose and mannose metabolism; galactose metabolism,HMDB00247,C00749,50-70-4,C6H14O6,-2.0491585473245304,0.2029652564950257,0.5005175660219998,-0.9401323927784292,0.4184964665589722,0.8937009496165054,0.2609576119314088,0.5750504789757729,0.8303133158069599,-0.5595757271098959,0.1064817070299271,0.9475413111830084,0.6644202680692172,0.0932743540055359,0.8448337887804866,FALSE,-0.8941004676965608
Methylglyoxal,methylglyoxal,Amino acids,"Glycine, serine, and threonine metabolism,pyruvate metabolism",HMDB01167,C00546,78-98-8,C3H4O2,-1.736359202409252,0.216278780132955,0.5169390540299038,-1.966024378547628,0.1898481556894516,0.8937009496165054,-0.2422379025052343,0.1392521423392233,0.4830978168845363,-0.2303983414289355,0.1621343683031208,0.9475413111830084,-0.5481731810279892,0.0081473087380912,0.335520987123213,TRUE,-0.9892985524572432
Lysine,lysine,Amino acids,Lysine metabolism,HMDB00182,C00047,56-87-1,C6H14N2O2,-0.0118942911758831,0.9586103683713344,0.9965899195020176,-0.0581774418247833,0.8019581882264146,0.9219946801351102,-0.270910769379961,0.2225886512205441,0.5940087674583753,-0.1865237493396523,0.3923021357312773,0.9475413111830084,-0.2633549363001289,0.2281894096634794,0.8911189877375535,TRUE,-0.141402530277922
Myo-Inositol,myoinositol,Carbohydrate metabolism,Galactose metabolism,HMDB00211,C00137,87-89-8,C6H12O6,-1.7133862515864458,0.0801601471542276,0.3757060585861598,-0.8281676100184016,0.2581440383328891,0.8937009496165054,-0.3148768359502262,0.2437095441713779,0.6106672304348486,-0.2627663330125278,0.3150785486571709,0.9475413111830084,-0.2091833985808968,0.3990322638862528,0.9269761010096572,TRUE,-1.014131543768336
PC 44:8,pc44:8,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C52H88NO8P,0.1353489219010471,0.6569512527917127,0.8357585494184894,-0.2325927738735209,0.4275979680361251,0.8937009496165054,0.226838757058159,0.5222680125215553,0.8023312309255253,0.0139459515020423,0.9688510274834417,0.983740821045,-0.057413207745443,0.8671536505550622,0.9947320575600496,TRUE,0.181093839479603
PC 38:3,pc38:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],,,,C46H86NO8P,0.0880301330943345,0.6112968884182375,0.7888105042779302,0.1285016214468009,0.4832615902104211,0.8937009496165054,-0.2722911604585762,0.0325340037315927,0.3762265559730339,0.0205466831288055,0.8476145396141721,0.973347642677144,0.1501535167688816,0.1595848890441079,0.870687317766254,FALSE,-0.0921305136821208
Kynurenine,kynurenine,Amino acids,Tryptophan metabolism,HMDB00684,C00328,2922-83-0,C10H12N2O3,-0.2868934178474395,0.1057576412257211,0.3792143066264267,-0.2201247093836459,0.126810469493938,0.8937009496165054,-0.3428803506130656,0.1225432340819296,0.4683643946690702,-0.1856582631651886,0.3561912089653294,0.9475413111830084,-0.1308889700509076,0.5305492190611036,0.9418937937821892,TRUE,-0.3148868842302526
PI 36:2,pi36:2,Glycerophospholipids [GP],Glycerophosphoinositols [GP06],,,,C45H86NO13P,-0.4834032795449794,0.1074929956124197,0.3823578427076766,0.1377581866574646,0.5889331736298657,0.8994552033274821,-0.4797442461513199,0.3885390303257036,0.6953615185590964,-0.194487577145754,0.6992274214294514,0.9475413111830084,-0.1479183852003499,0.7634682073717011,0.9947320575600496,TRUE,-0.4815737628481497
Aconitic Acid,aconiticacid,Energy metabolism,"Citrate cycle (TCA cycle), trans isomer of cis-Aconitic acid",HMDB00072,C00417,4023-65-8,C6H6O6,-0.7071162841688493,0.3118197998481578,0.5719717840238011,-1.502702301359336,0.1146699687077216,0.8937009496165054,-0.4495461041981606,0.0547612013672412,0.4132029385853039,-0.4756518300013558,0.0843852612529214,0.9475413111830084,-0.5046779621467435,0.0363974464649041,0.7085838955099125,TRUE,-0.578331194183505
Pantothenic Acid,pantothenicacid,Energy metabolism,Pantothenate and CoA biosynthesis,HMDB00210,C00864,79-83-4,C9H17NO5,-1.2547645338890396,0.227636957193631,0.5185424114097582,-1.5309042905966856,0.1543818698912825,0.8937009496165054,-0.1431656927378315,0.6802868760561163,0.8642517777501646,-0.0128328859849209,0.9793032555372116,0.9846223714097304,-0.0323032877755567,0.929661654418722,0.9947320575600496,TRUE,-0.6989651133134356
Hydroquinone,hydroquinone,Amino acids,Tyrosine metabolism,HMDB02434,C00530,123-31-9,C6H6O2,-2.4102199793001224,0.0068331982985013,0.1658364663982438,0.0654329358286446,0.8882979172116753,0.9416463138783092,-1.6079273405764596,0.0411417030316752,0.4033675666801199,-0.3639231541577394,0.457281513708704,0.9475413111830084,0.3131634529334782,0.491750752921954,0.9418937937821892,TRUE,-2.009073659938291
Butyric Acid,butyricacid,Butyrate metabolism,Butyrate metabolism,HMDB00039,C00246,107-92-6,C4H8O2,-0.3619825931984642,0.7704682844324987,0.9195565501832024,-0.2830645387799223,0.8141726135623223,0.9241959397193928,0.1695600050558203,0.8553069350572171,0.9514184856318494,0.3599647213970277,0.6834821335041046,0.9475413111830084,-0.1996442786789729,0.8219176616214938,0.9947320575600496,FALSE,-0.0962112940713219
Ribothymidine,ribothymidine,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide modification,HMDB00884,C16744,1463-10-1,C10H14N2O6,0.2658814585472184,0.3071382106214371,0.5683407944343895,0.0718747372863899,0.7617461456978566,0.9216437931952424,-0.1268371935231624,0.5705672291500998,0.8303133158069599,-0.0705370461883852,0.6690607699207385,0.9475413111830084,0.2545414263869674,0.1316824274264453,0.8581466701854294,FALSE,0.069522132512028
3-Methylhistidine,3methylhistidine,Amino acids,Histidine Metabolism,HMDB00479,C01152,368-16-1,C7H11N3O2,-0.0164148095117199,0.95524885791378,0.9965899195020176,-0.1728492339833038,0.5631943539743385,0.8953345911408636,-1.2808911645608336,0.1584233330905812,0.5292512831396454,-0.6554482064575475,0.3858251919139819,0.9475413111830084,-0.9932788168512074,0.2368878777354247,0.8932425552477279,TRUE,-0.6486529870362767
Glycine,glycine,Amino acids,"Glycine, serine, and threonine metabolism",HMDB00123,C00037,56-40-6,C2H5NO2,-0.1859642662029964,0.5305686980010885,0.7341860711374711,-0.1231066381367923,0.6753814091312682,0.9139608058986984,0.2445767335992913,0.4285144120540736,0.7184386611018111,0.0984324726176713,0.7584638057551127,0.9607670304912502,-0.1359498157219394,0.7051711065230731,0.9947320575600496,FALSE,0.0293062336981474
