metabolite_name,super_pathway,sub_pathway,log2FC_R1,pvalue_R1,log2FC_R39,pvalue_R39,recovery_pattern
Cysteine,Amino acids,Cysteine and Methionine metabolism,-0.979879071008512,0.1525203551037397,-0.980623376028156,0.1391380079944809,persistent
Methylcysteine,Amino acids,Cysteine and methionine metabolism,-0.7279670273882252,0.0072628730430843,-0.4648859242523602,0.1082772301210985,partial_recovery
Methionine,Amino acids,Cysteine and methionine metabolism,0.0391755869940423,0.8144809209712538,0.1205222901801105,0.5254953612993816,stable
Cysteine-S-Sulfonic Acid,Amino acids,Cysteine and Methionine metabolism,0.2592352601351734,0.4647817322278756,-0.433764712590477,0.273223751243304,stable
O-Succinylhomoserine,Amino acids,Cysteine and methionine metabolism,-0.2035002826376028,0.6916688466075689,-0.0086268313279537,0.9876851491618728,stable
Cystine,Amino acids,Cysteine and methionine metabolism,-0.2444184465689954,0.4013850953761544,-0.0763596639939648,0.7741864566991975,stable
2-Hydroxybutyric acid,Amino acids,Cysteine and methionine metabolism,1.2612024980729948,0.0202892528669231,-0.6439863674174148,0.2794883872820798,partial_recovery
2-Aminobutyric Acid,Amino acids,Cysteine and methionine metabolism,0.4321330201468757,0.0817598355448354,-0.1368038819963965,0.5653539684226297,stable
Methylglyoxal,Amino acids,"Glycine, serine, and threonine metabolism,pyruvate metabolism",-1.736359202409252,0.216278780132955,-1.966024378547628,0.1898481556894516,persistent
Glycine,Amino acids,"Glycine, serine, and threonine metabolism",-0.1859642662029964,0.5305686980010885,-0.1231066381367923,0.6753814091312682,stable
Sarcosine,Amino acids,"Glycine, serine, and threonine metabolism",-0.0547349003891651,0.8051296527215299,-0.124011313084516,0.5911443771425434,stable
2-Ketobutyric Acid,Amino acids,"Glycine, serine, and threonine metabolism; Cysteine and methionine metabolism",-0.4923514379693823,0.4195151559009515,-0.4612544548316352,0.4174016085986263,stable
Dimethylglycine,Amino acids,Glycine metabolism,0.6864893622813629,0.2332010532568821,0.179575190601138,0.8127748001138458,full_recovery
Choline,Amino acids,"Glycine, serine and threonine metabolism",-0.1728803229139385,0.1614062218342816,-0.2290339384807249,0.0974806903318497,stable
Serine,Amino acids,"Glycine, serine and threonine metabolism",-0.1867829078988095,0.3889362141131884,0.0467393955141441,0.8391630257210329,stable
Guanidinoacetic Acid,Amino acids,"Glycine, serine, and threonine metabolism",-0.3704897489894381,0.0936422923181707,-0.1180856850902572,0.5906342768370263,stable
Betaine,Amino acids,"Glycine, serine and threonine metabolism",-0.2169724963845203,0.1391313272969791,-0.0122332611516672,0.9428111668339966,stable
Threonine,Amino acids,"Glycine, serine and threonine metabolism",-0.2980000713305132,0.4161708970636026,-0.442913633811309,0.2384758414767432,stable
3-Methylhistamine,Amino acids,"Histidine metabolism, histamine metabolite",0.3495206990848886,0.0147218194560726,0.2341647034277677,0.1839703314978839,stable
4-Imidazoleacetic Acid,Amino acids,Histidine metabolism,-0.040939194759596,0.8721720183694406,-0.1533319134100889,0.5336325047877406,stable
Histidinol,Amino acids,Histidine metabolism,-0.0292912332238513,0.4578029415163974,-0.1214219402644955,0.0075595006809054,stable
Histidine,Amino acids,Histidine Metabolism,-0.2399278203838541,0.0255748181999344,-0.1277333947801284,0.1936313084552607,stable
3-Methylhistidine,Amino acids,Histidine Metabolism,-0.0164148095117199,0.95524885791378,-0.1728492339833038,0.5631943539743385,stable
5-Aminopentanoate,Amino acids,Lysine degradation,-0.2150676094636348,0.1356069344421533,-0.013112597575732,0.9376184218517134,stable
Pipecolinic Acid,Amino acids,Lysine degradation,-0.3615723177763968,0.5346074370870337,-0.1283794077692862,0.8189925422290468,stable
Glutaric Acid,Amino acids,Lysine degradation,-0.1961548564217379,0.3913935828718039,-0.2075606906730457,0.3652593719856538,stable
Lysine,Amino acids,Lysine metabolism,-0.0118942911758831,0.9586103683713344,-0.0581774418247833,0.8019581882264146,stable
2-Oxoadipic Acid,Amino acids,"lysine biosynthesis/degradation, tryptophan metabolism",-0.5647706189655692,0.3827763540649621,-0.8464248803779186,0.2169555334879027,persistent
2-Aminoadipic Acid,Amino acids,Lysine degradation,0.0992375444428558,0.8323026067951145,0.3458974703095379,0.3216599389175633,stable
Trimethyllysine,Amino acids,Lysine degradation,-0.106249018537233,0.8170532282464411,-0.5306302640621876,0.3116018556610243,stable
2-Methylcitric Acid,Amino acids,Lysine biosynthesis,-0.8270453436730055,0.2698856607935329,-1.3023931770668091,0.1366062307804641,persistent
Phenylalanine,Amino acids,Phenylalanine metabolism,-0.4272432372987273,0.0608459649015765,-0.2763192723685244,0.1440040364607867,stable
Hippuric Acid,Amino acids,Phenylalanine metabolism,-2.385990368784546,0.17538401027414,-0.2755753247241067,0.775913459037874,full_recovery
Phenylacetylglycine,Amino acids,Phenylalanine metabolism,-2.8109701950071466,0.5396376908495695,,,full_recovery
Picolinic Acid,Amino acids,Tryptophan metabolism,-1.1056196589085203,0.1969642325370347,-1.3078198233073977,0.1512585758001128,persistent
3-Hydroxyanthranilic Acid,Amino acids,Tryptophan metabolism,-0.3734835491885758,0.2288074179572732,-0.1532595588133257,0.5511670894714188,stable
Kynurenic Acid,Amino acids,Tryptophan metabolism,-0.1964147873933542,0.5486790022629002,-0.4455835641636139,0.2008047549373897,stable
Tryptophan,Amino acids,Tryptophan metabolism,-0.3891425488493399,0.0906304259013127,-0.3148367105410693,0.1168214351714498,stable
Xanthurenic Acid,Amino acids,Tryptophan metabolism,-0.2312582198791357,0.7767411113274909,0.1477671464271388,0.8106880840181427,stable
Kynurenine,Amino acids,Tryptophan metabolism,-0.2868934178474395,0.1057576412257211,-0.2201247093836459,0.126810469493938,stable
Indoxyl Sulfate,Amino acids,Tryptophan metabolism,-0.6462433308470323,0.260776753653806,-0.138196662021853,0.7816721110939227,full_recovery
Hydroquinone,Amino acids,Tyrosine metabolism,-2.4102199793001224,0.0068331982985013,0.0654329358286446,0.8882979172116753,full_recovery
3-Hydroxyphenylacetic Acid,Amino acids,Tyrosine/phenylalanin metabolism,-0.0361298074853398,0.9280300938473798,-0.3640122892813164,0.3962675572967733,stable
4-Hydroxyphenylacetic Acid,Amino acids,Tyrosine metabolism,-0.0293526048253386,0.94139903771697,-0.3666938495844524,0.394653979490566,stable
Gentisic Acid,Amino acids,Tyrosine metabolism,-1.940310868942284,0.0097413160073608,-0.3649622026416325,0.4192471450174683,full_recovery
Tyrosine,Amino acids,Tyrosine metabolism,-0.5565461560146924,0.0701573337488749,-0.3728196798115951,0.1951235182647777,partial_recovery
Homovanillic Acid,Amino acids,Tyrosine metabolism; dopamine/catecholamine metabolite,-0.9411067508618224,0.1355467304657339,-1.3663945820605294,0.0503503031658448,persistent
4-Hydroxyphenyllactate,Amino acids,Tyrosine metabolism,-0.9404372179805472,0.1358767154073086,-1.3673809856383687,0.0503465100833042,persistent
3-Methoxy-Tyrosine,Amino acids,Tyrosine metabolism,,,,,stable
3-Methy2-Oxopentanoic Acid,Amino acids,Isoleucine degradation,0.3560041807696273,0.4539103590579688,-0.2948272142762705,0.5018555363128016,stable
2-Hydroxy-3-Methylpentanoic Acid,Amino acids,Isoleucine metabolism,1.4115986105475649,0.001149735933413,0.3304523026217131,0.3093874651449247,full_recovery
3-Methylglutaric Acid,Amino acids,Leucine metabolism,-0.5865526196317237,0.3962935335393811,-0.5289801362638185,0.4339566363215074,persistent
Valine,Amino acids,"Valine, leucine, and isoleucine biosynthesis / degradation",-0.2558291195516712,0.3231398726432557,-0.3843632307600171,0.1497978919277612,stable
2-Ketoisovaleric acid,Amino acids,"Valine, leucine, and isoleucine biosynthesis / degradation",0.1688659274219549,0.4753467610151611,-0.27850722133064,0.2382883195094556,stable
2-Hydroxy-isovaleric acid,Amino acids,"Valine, leucine, and isoleucine biosynthesis / degradation",1.5859882507794556,0.002797917261436,0.1944472210759653,0.6777821124810699,full_recovery
Methylmalonic Acid,Amino acids,"Valine, leucine, and isoleucine degradation; Propanoate metabolism",-1.0046466494414183,0.0516394862988415,-0.4231801749269168,0.3006345856770354,full_recovery
Citraconic Acid,Amino acids,"Valin, leucine, isoleucine biosynthesis",-0.6288246440416758,0.1254518160896347,-0.3318597566923423,0.3641797872605194,partial_recovery
Itaconic Acid,Amino acids,"Valin, leucine, isoleucine biosynthesis",-0.1912296275917405,0.3030192160554196,-0.5914794066919252,0.0078268634884481,stable
Ketoleucine,Amino acids,"Valine, Leucine and Isoleucine Degradation",0.3125664808466475,0.3156877845765978,-0.3985671398575878,0.1906486274258409,stable
Leucine,Amino acids,"Valine, leucine and isoleucine degradation/ biosynthesis",-0.1606787230757306,0.4079966102553438,-0.3839645554597867,0.0831506421698887,stable
Isoleucine,Amino acids,"Valine, leucine, isoleucine biosynthesis",-0.000262425936169,0.9988166678075616,-0.1678351627649661,0.3895208362529593,stable
N-Acetylglycine,Amino acids,Amino acid acetylation,0.5694838782664152,0.1051245824674678,-0.5770186084988752,0.0505943723549222,persistent
N-Acetylalanine,Amino acids,Amino acid acetylation,-0.2474677837155697,0.0876233694540808,-0.2489161116233518,0.067641091017136,stable
N-Acetydserine,Amino acids,Amino acid acetylation,0.2080778532099377,0.287743174653642,0.2330763096497624,0.2398361524090082,stable
Spermine,Amino acids,Polyamine metabolism,0.074184701503855,0.7958478025514244,0.1172576346093705,0.6402692663626597,stable
N1-Acetylspermidine,Amino acids,Polyamine metabolism,-0.2977342562232494,0.5275217863397985,-0.2721029599316326,0.5453139792584878,stable
Taurine,Amino acids,Taurine and hypotaurine metabolism,-0.4380893364819522,0.2659175922312088,-0.7377769504984893,0.087068856080403,stable
Fumaric Acid,Energy metabolism,Citrate cycle (TCA cycle),-0.4131641199233689,0.2659245084016244,-0.7097507533475726,0.0913071107937799,stable
Succinic Acid,Energy metabolism,Citrate cycle (TCA cycle),1.1187423942907293,0.1640357185253788,-0.5895463299316149,0.2447568298032334,partial_recovery
2-Methylglutaric Acid,Energy metabolism,"Citrate cycle (TCA cycle), Succinic acid metabolite",-0.5863339119753453,0.3962606114134606,-0.5293822948593464,0.4335076789509426,persistent
Malic Acid,Energy metabolism,Citrate cycle (TCA cycle),-0.4738796124208111,0.2447853253289459,-0.7950416129240417,0.0864287051421992,stable
Oxoglutaric Acid,Energy metabolism,Citrate cycle (TCA cycle),-0.7018858741872562,0.2500650181292729,-1.003640410434785,0.1402700603089066,persistent
2-ketoglutaramate,Energy metabolism,"Citrate cycle (TCA cycle), Alanine, Aspartate, and Glutamate metabolism",-0.170149957088006,0.7211464464954717,-0.5368876581172511,0.2884195416997019,stable
Aconitic Acid,Energy metabolism,"Citrate cycle (TCA cycle), trans isomer of cis-Aconitic acid",-0.7071162841688493,0.3118197998481578,-1.502702301359336,0.1146699687077216,persistent
Beta-Carboxyglutaric Acid,Energy metabolism,"Citrate cycle (TCA cycle) , from msms fragmentation",-0.2352137220462111,0.552911473464107,-0.9511584132405508,0.0645258988238037,stable
Citric Acid,Energy metabolism,Citrate cycle (TCA cycle),-0.8536494663112646,0.2210687665729193,-1.2273935946494563,0.1205084297895877,persistent
Glucose,Energy metabolism,Glycolysis; Gluconogenesis; galactose metabolism,-0.4413475189501743,0.3968543378199318,0.1108478776786891,0.7507823685329698,stable
Lactic Acid,Energy metabolism,Glycolysis / Gluconeogenesis,-0.0655194040324596,0.7539046021682714,-0.2404721175089046,0.2931788952238188,stable
Pyruvate,Energy metabolism,Glycolysis / Gluconeogenesis,-1.0122737714119754,0.1657612357414264,-0.654768670457267,0.3161818967237686,partial_recovery
3-Phosphohexose?,Energy metabolism,Glycolysis -Cycle sugar phosphate?,-1.2118793733174638,0.0410746697693147,-1.1059006846742834,0.0536101810677364,persistent
Pantothenic Acid,Energy metabolism,Pantothenate and CoA biosynthesis,-1.2547645338890396,0.227636957193631,-1.5309042905966856,0.1543818698912825,persistent
Deoxyribose,Energy metabolism,Pentose phosphate pathway,-2.695772804259251,0.0936561456208021,-0.988960623687868,0.1618984192046454,full_recovery
Ribose,Energy metabolism,Pentose phosphate pathway,-0.1627977238436276,0.6761388226318139,-0.947004521994266,0.0823964018076775,stable
2-DeoxyRibose 5-Phosphate-fragment?,Energy metabolism,Pentose phosphate pathway,,,-2.3587328636518583,0.216549578921374,stable
Galacturonic Acid,Energy metabolism,Pentose and glucuronate interconversions,-0.8905929138554562,0.1740176462030568,-0.3616812373537593,0.5126107308174973,full_recovery
Hypoxanthine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,-0.226955906239499,0.5586583310850823,-0.3352642891178993,0.3614044723320572,stable
Xanthine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,0.0745244886862498,0.9282424294244128,,,stable
Uric Acid,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,-0.4006492707942492,0.2643049408003422,-0.6109821217948849,0.1029548054290298,stable
5-Hydroxyisourate,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,-0.6635082847813871,0.4124521959486417,-0.8646617113908577,0.3184656008631625,persistent
Adenosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,0.3601834331296339,0.1057713438450889,1.084867100798397,0.0191082426344814,stable
Succinoadenosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,-0.773622036545381,0.2414871878259786,-1.0658153489683804,0.1436043595800731,persistent
N-FormyGAR (FGAR)--riboside,Purine  and pyrimidine metabolism/nucleotide metabolism,Purine metabolism,0.1498844822985738,0.6585733725043688,0.2077284484791981,0.5297262786016788,stable
Beta-Alanine,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-0.2117159629539346,0.2723702046452879,0.0862130003611979,0.658592350108732,stable
3-Aminoisobutyric Acid,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,0.6864893622813629,0.2332010532568821,0.179575190601138,0.8127748001138458,full_recovery
Cytosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-0.1003102745035131,0.2493596846111112,-0.1696065284641801,0.0673297736799683,stable
Orotic Acid,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-0.3974196769909097,0.5993901897849945,-0.1044526803763423,0.8800846174498687,stable
Uracil 5-Carboxylic Acid/Isoorotic Acid,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-0.3974196769909097,0.5993901897849945,-0.1044526803763423,0.8800846174498687,stable
Thymidine+Cl,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-0.1859890593639107,0.7277726802646589,-1.7647102014757876,0.0469462678821824,stable
Uridine,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-1.6943358229755203,0.3991192122463887,-2.5881507577750784,0.3820038257098699,persistent
Uridine+Cl,Purine  and pyrimidine metabolism/nucleotide metabolism,Pyrimidine metabolism,-2.964911294370988,0.404232770104561,-3.816230810391505,0.3748774785404092,persistent
5-Methylcytidine,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide modification,-0.4046725231470481,0.5515695247610205,-1.0615519203008212,0.2089041731275172,stable
Ribothymidine,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide modification,0.2658814585472184,0.3071382106214371,0.0718747372863899,0.7617461456978566,stable
1-Methyladenosine,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide modification,-0.335518798218142,0.0530975487787104,-0.3110981347823265,0.0547160833152739,stable
N-Acetylglucosamine (GlcNAc),Amino sugar and nucleotide sugar metabolism,Amino sugar metabolism,0.1281032392476319,0.4892771175346109,0.1065359287862412,0.5620163069606409,stable
N-Acetylneuraminic Acid,Amino sugar and nucleotide sugar metabolism,Amino sugar metabolism,-2.3405024378784245,0.2305846237816434,-3.881315233251672,0.1662759418038084,persistent
Maleic Acid,"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,-1.009200272106569,0.1110242775556145,-0.9819814981314848,0.1148853584303526,persistent
Trigonelline/N-Methylnicotinate,"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,-2.9526802406152237,0.052158949039958,0.5285038573187385,0.3659055571144585,full_recovery
Nicotinamide N-Oxide,"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,0.0279781675869789,0.8305309376153059,0.095690028324875,0.6010733347946852,stable
1-Methylnicotinamide,"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,1.088132488082025,0.0033390668125505,-1.7590311843195212,0.0382448932287724,persistent
N1-Methy4-Pyridone-5-Carboxamide(4-PY),"Cofactor, vitamin and antioxidant metabolism",Nicotinate and nicotinamide metabolism,-0.1117736598705452,0.8325232240345737,-0.6591114973985831,0.3053818840172536,stable
Dehydroascorbic Acid,"Cofactor, vitamin and antioxidant metabolism",Ascorbate and aldarate metabolism,-1.1381930096530892,0.0743733126445621,-1.1738155427049737,0.0702661384356401,persistent
Ascorbic Acid,"Cofactor, vitamin and antioxidant metabolism",Ascorbate and aldarate metabolism,-1.3221248758731945,0.1602873014561198,-1.302969912118627,0.1632766854217958,persistent
5-Oxo-Proline,"Cofactor, vitamin and antioxidant metabolism",Glutathione metabolism,-0.3663918378134246,0.4419646225885415,-0.6912731528291953,0.1985441681244926,stable
N-Acetycysteine,"Cofactor, vitamin and antioxidant metabolism",Glutathione synthesis,-0.0011102446497472,0.9897145970419938,-0.0323751483764798,0.695814447837559,stable
Cys-Gly,"Cofactor, vitamin and antioxidant metabolism",Glutathione metabolism,-1.00193097125804,0.0392727208479942,-0.613808130506441,0.1456494630799147,partial_recovery
Cysteineglutathione Disulfide,"Cofactor, vitamin and antioxidant metabolism",Glutathione metabolism,-0.4805863922206536,0.2821679945785402,-0.0413216488959464,0.9178201925245356,stable
Erythrose,Carbohydrate metabolism,Carbohydrates,-0.0683753814987015,0.8938308634869676,-0.7683406711376942,0.2276242331979738,stable
Rhamnose,Carbohydrate metabolism,Fructose and mannose metabolism,0.0889114973483501,0.8133403801380364,-0.537991760517596,0.2047910707397243,stable
Fucose,Carbohydrate metabolism,Fructose and mannose metabolism; Glycan and glycoprotein component,0.1247296961893095,0.730835402045576,-0.4293385193357791,0.2607209732707068,stable
Fructose,Carbohydrate metabolism,Fructose and mannose metabolism,-2.720910147586673,0.0709936435959396,-0.7288248825477835,0.3850380579779315,full_recovery
Sorbitol,Carbohydrate metabolism,Fructose and mannose metabolism; galactose metabolism,-2.0491585473245304,0.2029652564950257,-0.9401323927784292,0.4184964665589722,full_recovery
Myo-Inositol,Carbohydrate metabolism,Galactose metabolism,-1.7133862515864458,0.0801601471542276,-0.8281676100184016,0.2581440383328891,full_recovery
Lactose,Carbohydrate metabolism,Galactose metabolism,-1.7381353263592252,0.2058130610864856,-1.9945119876547288,0.1776495226078069,persistent
Sucrose,Carbohydrate metabolism,Galactose metabolism; starch and sucrose metabolism,-1.7220211092131723,0.2064178146438947,-1.978397770508676,0.1777934042876877,persistent
Galactaric Acid,Carbohydrate metabolism,"Galactose metabolism,  oxidation of galactose",-1.4075178272712976,0.0899304899559198,-0.7014475102278026,0.2856096161763727,full_recovery
Maltose,Carbohydrate metabolism,Starch and sucrose metabolism,-1.679652420003076,0.2045104361524536,-1.9360290812985796,0.1748186745246611,persistent
Lithocholic Acid,Lipid metabolism,Bile acid biosynthesis,-0.3913305817723257,0.3166078613959906,-0.1570250531608739,0.6662260543116896,stable
Glycocholic Acid,Lipid metabolism,Bile acid biosynthesis,0.1724087789936666,0.85252027481488,-1.9193105589175052,0.1243328735355876,stable
FA 28:0,Fatty acid metabolism,Fatty acid metabolism,0.1160068481412089,0.5255497364684845,-0.0151231783772074,0.9325723771939544,stable
FA 26:0,Fatty acid metabolism,Fatty acid metabolism,0.1186186967286731,0.4344804216682094,0.0928155604671488,0.4936633816929268,stable
FA 24:1,Fatty acid metabolism,Fatty acid metabolism,0.0290466859638008,0.8759119317191157,0.0606261975151097,0.689295321241597,stable
FA 24:0,Fatty acid metabolism,Fatty acid metabolism,0.0726473850737623,0.6661458358057938,0.2242468139009633,0.1725817725925124,stable
FA 22:6,Fatty acid metabolism,Fatty acid metabolism,0.4008375933580964,0.4098370639228176,-0.3741666329624026,0.5472438292011688,stable
FA 22:5,Fatty acid metabolism,Fatty acid metabolism,0.0979717432237,0.795119964416741,-0.1498697974018789,0.7125164454214148,stable
FA 22:4,Fatty acid metabolism,Fatty acid metabolism,0.4268499721531936,0.5668193837776623,-0.1049984105037903,0.89988104029123,stable
FA 22:1,Fatty acid metabolism,Fatty acid metabolism,-0.0781197604662855,0.3569080478943063,-0.167205592518478,0.0546088204662584,stable
FA 22:0,Fatty acid metabolism,Fatty acid metabolism,0.0457993586624309,0.5877213332852369,0.0729927263310098,0.4269649875318185,stable
FA 20:6,Fatty acid metabolism,Fatty acid metabolism,0.059650877058096,0.7848534428177509,0.4147776352088973,0.0254108191696778,stable
FA 20:5,Fatty acid metabolism,Fatty acid metabolism,0.2324329133635387,0.4583733647320662,-0.2476067695726998,0.5088560522849659,stable
FA 20:4,Fatty acid metabolism,Fatty acid metabolism,0.7252096954416033,0.0538995536040349,-0.1472576242970545,0.7478851828183408,full_recovery
FA 20:3,Fatty acid metabolism,Fatty acid metabolism,0.150080110753328,0.7830128049269477,-0.1743586508470544,0.780902797702454,stable
FA 20:2,Fatty acid metabolism,Fatty acid metabolism,0.0165347768119887,0.979426376474454,-0.3251655567936009,0.6494356913310414,stable
FA 20:1,Fatty acid metabolism,Fatty acid metabolism,-0.1661856513437041,0.7808711028115706,0.1577068527885965,0.7761933861518124,stable
FA 20:0,Fatty acid metabolism,Fatty acid metabolism,0.0110693374277152,0.8772893216359772,0.0534890327262611,0.5579464201664772,stable
FA 18:3,Fatty acid metabolism,Fatty acid metabolism,0.3578664076723224,0.4522060671700254,0.4842162901965349,0.3683938795114896,stable
FA 18:2,Fatty acid metabolism,Fatty acid metabolism,0.2708972505225827,0.5924186925218278,0.3498862208590447,0.5626877571844591,stable
FA 18:1,Fatty acid metabolism,Fatty acid metabolism,-0.278302869099546,0.7628516347469653,-0.3588341772142061,0.7069391322394147,stable
FA 18:0,Fatty acid metabolism,Fatty acid metabolism,-0.0444457593019201,0.6796673040009239,-0.0316176750791955,0.7886799088706091,stable
FA 17:1,Fatty acid metabolism,Fatty acid metabolism,-0.0020115962920791,0.9979446324742834,-0.3931964303440323,0.6725159225488577,stable
FA 17:0,Fatty acid metabolism,Fatty acid metabolism,-0.0739163417041901,0.7480224107556657,-0.0126693156053212,0.9567425340565388,stable
FA 16:0,Fatty acid metabolism,Fatty acid metabolism,-0.0456946866996623,0.7737801821535593,-0.0224911076050698,0.8893326297739587,stable
FA 14:0,Fatty acid metabolism,Fatty acid metabolism,-0.0731222589219384,0.8105100703862933,-0.0537063309221542,0.8597964949510579,stable
FA 26:0;O,Fatty acid metabolism,Fatty acid metabolism,0.2194244336514176,0.5636471151516851,0.0716484578869295,0.8471739720584895,stable
FA 24:1;O,Fatty acid metabolism,Fatty acid metabolism,-0.1949937285418823,0.2501453977433183,0.0345528888309381,0.8038864146465948,stable
FA 24:0;O,Fatty acid metabolism,Fatty acid metabolism,0.0930830526150588,0.7712594250139954,0.432456769664049,0.24057092019892,stable
FA 22:0;O,Fatty acid metabolism,Fatty acid metabolism,-0.146647541692498,0.4390168561589046,0.2376079232120262,0.2927451795544415,stable
FA 18:1;O,Fatty acid metabolism,Fatty acid metabolism,-0.0526027729756869,0.906571035891613,0.4178209840350297,0.3719720976449168,stable
FA 18:0;O,Fatty acid metabolism,Fatty acid metabolism,0.0155184431528071,0.9132342005625688,0.119581704344608,0.514189921176126,stable
FA 16:0;O,Fatty acid metabolism,Fatty acid metabolism,0.1742315103568589,0.3011933013225866,0.0739710813008068,0.677149879390163,stable
FA 14:1;O,Fatty acid metabolism,Fatty acid metabolism,0.4694657588630703,0.3521537748875382,-0.1373345433795217,0.8217171486604069,stable
FA 12:0;O,Fatty acid metabolism,Fatty acid metabolism,0.6909937700833716,0.1096909146457252,-0.1017354191558098,0.8765373096713543,full_recovery
9-PAHSA,Fatty acid metabolism,Fatty acid metabolism,0.0777884408168547,0.5325869727914994,0.1094351203575695,0.490585846825051,stable
