gene_name,pathway
MLH3,DNA_Repair
RNA5SP145,Other
PLA2G12A,Other
HBA2,Erythropoiesis
FABP4,Other
MED12L,Other
INSIG1,Other
SMOX,Other
RNA5SP226,Other
ANO6,Other
NRGN,Other
IREB2,Other
GTPBP2,Other
ZNF438,Other
GP9,Coagulation
IRF2BPL,Other
SLC7A5,Other
WHAMMP2,Other
SH3BGRL2,Other
SLC44A2,Other
SIDT2,Other
CDKN1A,Other
RAB11FIP3,Other
PTPRJ,Other
PRKAR2B,Other
RN7SL3,Other
TBX21,Immune
MAP1S,Other
CTDSPL,Other
ALOX12,Other
RDH11,Other
AFDN,Other
SYNPO,Other
TSC22D1,Other
MOV10,Other
AMPD3,Other
ITGB1,Other
CCND1,Other
RN7SL128P,Other
FAM102B,Other
NPTN,Other
CCL5,Immune
RRAGD,Other
AIF1L,Other
APP,Other
TMEM248,Other
VPS16,Other
LRP1,Other
NEXN,Other
IFT57,Other
PF4V1,Other
LYPLAL1,Other
C1orf115,Other
CD84,Immune
FGD5,Other
H3C10,Other
RP11-206L10.8,Other
RP11-1398P2.1,Other
HECW2,Other
RNF8,Other
PLXDC2,Other
EPAS1,Other
A2M,Other
MARCHF2,Other
DDRGK1,Other
DDX59,Other
PTGS1,Other
RNY4,Other
MGAT4B,Other
MMD,Other
RNY1,Other
CAMK1,Other
ARL4A,Other
KANK2,Other
SLC9A3R2,Other
MCUR1,Other
GTDC1,Other
FADD,Other
UACA,Other
AC114752.3,Other
CEP128,Other
KCNK6,Other
H2AJ,Other
C12orf76,Other
TSPAN33,Other
F2R,Other
PKHD1L1,Other
C22orf46,Other
SLC25A39,Other
YAF2,Other
SPTA1,Erythropoiesis
AKAP12,Other
TSPAN18,Other
DNA2,DNA_Repair
DSE,Other
ENTR1,Other
SEPHS1,Other
INAFM2,Other
NNT,Other
SHARPIN,Other
MCU,Other
EEF1DP1,Other
SCRIB,Other
PARP10,Other
LUC7L2,Other
FLACC1,Other
VPS8,Other
SBK1,Other
SASH1,Other
CD226,Immune
SLC11A1,Other
OST4,Other
CHST15,Other
MFAP3L,Other
STK25,Other
TMEM40,Other
LTBP1,Other
SVIP,Other
GFI1B,Other
RP11-673E1.1,Other
POLR3GL,Other
ZNF431,Other
CST7,Other
CAVIN1,Other
FAM110A,Other
NAA16,Other
ARHGAP18,Other
CLEC1B,Other
TPM1,Other
IGF2R,Other
TMCC1,Other
TRIO,Other
TRAK2,Other
NDUFA6,Other
TBC1D22B,Other
MSRB1,Other
CMIP,Other
BET1L,Other
CPLANE1,Other
E2F2,Other
LIMS1,Other
KIF1C,Other
SAMD14,Other
SPPL3,Other
CPNE2,Other
GABPB1,Other
DAAM1,Other
TMSB4XP4,Other
PNKD,Other
KLRB1,Immune
ARHGEF11,Other
H3C3,Other
NFE2L1,Other
FABP5,Other
BRD8,Other
ARHGAP21,Other
DFFA,Other
RBMS2,Other
EIF2AK4,Other
SMIM5,Other
RGS18,Other
CD82,Immune
LILRB3,Other
ERG,Transcription
SNX19,Other
IGHA1,Other
CNST,Other
GNG11,Other
INPP4B,Other
PLSCR1,Other
CTSW,Other
MAP3K7CL,Other
PARVB,Other
ALB,Other
FCF1,Other
RSU1,Other
GFOD1,Other
IGLC2,Other
GRAP2,Other
SNX8,Other
DIDO1,Other
CDC14B,Other
RN7SL4P,Other
CNTROB,Other
KLHDC4,Other
VPS13A,Other
GZMA,Immune
INF2,Other
CCAR2,Other
IFI27,Other
PPBP,Coagulation
RBPMS2,Other
PELI1,Other
IQCE,Other
ZNF317,Other
BUD13,Other
SBDSP1,Other
ACTBP2,Other
KIF2A,Other
H3P6,Other
DNAJB6,Other
RUFY1,Other
PRDX6,Oxidative_Stress
SPRYD3,Other
SRSF6,Other
RN7SL674P,Other
BCL6B,Other
CNTLN,Other
HIP1,Other
PNMA1,Other
ZNF646,Other
SLC35A4,Other
DGKG,Other
ABCC4,Other
JCAD,Other
NQO2,Other
ORC4,Other
TOMM22,Other
GUCY1A1,Other
SEMA4D,Other
PITPNM1,Other
PRR12,Other
ENOPH1,Other
HBA1,Erythropoiesis
CYB5A,Other
TANGO2,Other
CR1,Other
PHF1,Other
IGF2BP2,Other
ECE1,Other
CCDC43,Other
ATXN7L1,Other
PPP2R5B,Other
SBF2,Other
HMBS,Other
DPM2,Other
RGS10,Other
STON2,Other
PF4,Coagulation
BTF3L4,Other
MZT2A,Other
SMARCD2,Other
ZNF516,Other
PRKAR1B,Other
FNBP1L,Other
FRMD4B,Other
RAB27B,Other
LAMP1,Other
RAP1BL,Other
FTH1P10,Other
GNAZ,Other
SLC2A1,Other
PPP1R14B,Other
FOS,Transcription
SHE,Other
SSR3,Other
CA1,Erythropoiesis
H4C8,Other
CCNYL1,Other
MAP1A,Other
DAPK3,Other
HBB,Erythropoiesis
FRAT2,Other
TAGLN2,Other
NBPF26,Other
AC005301.9,Other
MAP4K2,Other
RAVER1,Other
SLC40A1,Erythropoiesis
KLHL6,Other
GTF3C5,Other
RFLNB,Other
APPL2,Other
GTF2A2,Other
H2BC11,Other
FBXL17,Other
ATP9B,Other
MIDEAS,Other
ARPC4,Other
CORO1C,Other
ICAM2,Other
ERCC1,DNA_Repair
VAV2,Other
CD9,Other
ZEB1,Other
PLCB1,Other
ATG2B,Other
RMDN1,Other
ANKRD9,Other
PPP1R15A,Other
RNU6-2,Other
NACC2,Other
ZFAND2B,Other
LRBA,Other
ASB8,Other
RUBCNL,Other
ESAM,Other
FERMT3,Other
APBA2,Other
CTB-63M22.1,Other
SSX2IP,Other
SRPRA,Other
WASF3,Other
TPTEP1,Other
PTPRA,Other
HACD4,Other
GNAQ,Other
ARL6IP5,Other
PPARD,Other
PLIN3,Other
TATDN1,Other
TNFRSF13B,Other
TNIK,Other
TFAP4,Other
CRTC3,Other
CIT,Other
RAB1A,Other
KIF15,Other
SUZ12P1,Other
MCTP1,Other
PTCRA,Other
RUNX1,Transcription
NPAT,Other
DBP,Other
UTP18,Other
ATP8A1,Other
ZNF25,Other
EHBP1L1,Other
SKA3,Other
IL7R,Immune
NAA38,Other
CXCR2P1,Other
ZNF271P,Other
CD55,Other
TTC38,Other
PGM2,Other
USP37,Other
INTS8,Other
DNAJB4,Other
TLK1,Other
MCRIP1,Other
TECPR2,Other
LGALSL,Other
BHLHE40,Other
TRAPPC1,Other
PBX1,Other
RNA5SP149,Other
ACVR2A,Other
DENND5A,Other
NCKAP1,Other
RAI1,Other
METTL7A,Other
RSRP1,Other
ANKRD36BP2,Other
B2M,Immune
DEDD,Other
CHIC2,Other
RNASET2,Other
RN7SL1,Other
CAMSAP1,Other
TNFAIP8L2,Other
LIMCH1,Other
PCGF3,Other
IGF1R,Other
DCXR,Other
UTP25,Other
AHCTF1,Other
AASDHPPT,Other
USP39,Other
H2AC6,Other
